valid	volumeS1	connectedComponentsS1	connectedComponentsS1Rel	volumeS2	connectedComponentsS2	connectedComponentsS2Rel	corticalSize	distanceMin	direction_x	direction_y	direction_z	distanceToExtremity1	distanceToExtremity2	gravityCenter_x	gravityCenter_y	gravityCenter_z	corticalDotProduct	junctions	junctionDepthMin	junctionsSize	plisDePassage	plisDePassageDepthMax	Potential	Class	cycle
1.0	692.183959961	1.0	1.0	753.539978027	1.0	1.0	67.7000010014	3.27839900091	0.892102599144	-0.105267427862	-0.439399272203	13.5384141659	13.2148325133	-8.16250514984	-26.6099014282	12.4901008606	0.838038934015	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	1298.10595703	5.0	2.0	1316.32214355	5.0	3.0	83.4800007343	0.0	-0.997897267342	0.0559444390237	0.0327306836843	0.0	14.2535959963	-1.64019501209	-47.4152984619	-1.95006990433	0.967111680377	2.0	5.69999980927	15.7800002098	1.0	12.4799995422	0.59198465759	1.0	1
1.0	560.682983398	2.0	1.0	846.739990234	2.0	2.0	52.5199987888	2.64554530301	-0.205778211355	-0.620555281639	-0.756681203842	28.0311545114	22.4685952173	-2.69934010506	-20.7383003235	3.16068410873	0.478185780507	0.0	0.0	0.0	0.0	0.0	0.617511932011	1.0	1
1.0	1113.53796387	2.0	1.0	753.539978027	1.0	1.0	67.7000010014	3.27839900091	0.892102599144	-0.105267427862	-0.439399272203	24.8442729202	13.2148325133	-8.16250514984	-26.6099014282	12.4901008606	0.838038934015	0.0	0.0	0.0	0.0	0.0	0.0839762595043	1.0	1
1.0	581.891967773	1.0	1.0	110.291999817	1.0	1.0	24.7199993134	0.0	-0.0584670938551	-0.987323582172	0.14755935967	0.0	2.5308124131	-8.49254512787	-46.6131515503	11.6994495392	0.921875893163	1.0	7.0	6.73999977112	0.0	7.0	0.311367542122	1.0	1
1.0	1059.79296875	1.0	1.0	421.616912842	2.0	2.0	48.7799987793	3.08552258756	0.926611721516	0.340090602636	-0.160402879119	8.94635313264	4.8615293228	-6.72974014282	-42.8959999084	12.813249588	0.703575278225	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	2814.3684082	3.0	2.0	2220.78222656	4.0	2.0	89.6415975094	0.0	-0.10500677675	-0.992559432983	-0.0616385154426	0.992887964429	23.5336563466	-2.31126999855	-51.9524536133	-5.01400995255	0.933792426137	2.0	5.0	7.24332780764	2.0	5.0	0.994351595778	1.0	1
1.0	2743.55224609	2.0	1.0	811.449523926	4.0	2.0	48.7799987793	3.08552258756	0.926611721516	0.340090602636	-0.160402879119	8.94635313264	38.2678355212	-6.72974014282	-42.8959999084	12.813249588	0.703575278225	0.0	0.0	0.0	0.0	0.0	0.783621897646	1.0	1
1.0	3933.11303711	4.0	3.0	1851.2331543	3.0	2.0	114.941599131	0.0	-0.10500677675	-0.992559432983	-0.0616385154426	9.59983355103	23.5336563466	-2.31126999855	-51.9524536133	-5.01400995255	0.933792426137	2.0	5.0	7.24332780764	2.0	5.0	0.994276838247	1.0	1
1.0	652.07598877	1.0	0.0	421.616912842	2.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.498763688422	1.0	1
1.0	2525.48632812	3.0	2.0	733.702331543	4.0	3.0	63.6000003815	0.0	-0.995600402355	0.0935386791825	-0.00550813507289	20.5818421277	0.0	-12.0478992462	-17.8127498627	20.6640014648	0.82269237693	3.0	7.5	39.5600004196	2.0	13.2399997711	0.997810028524	1.0	1
1.0	614.695007324	2.0	2.0	803.327026367	2.0	2.0	59.4799997807	0.0	0.104937009513	0.992567241192	0.0616318397224	3.14753392029	20.4501835885	-14.8193998337	-28.9986000061	19.951499939	0.821550586471	2.0	13.2399997711	24.7600002289	2.0	16.6000003815	0.415011357713	1.0	1
1.0	2352.00195312	5.0	5.0	647.621887207	3.0	3.0	85.2999985218	0.0	-0.104987069964	-0.992561519146	-0.0616386458278	11.0464004448	25.1818177144	-2.12032985687	-50.0654525757	-3.07319998741	0.980563533532	2.0	7.5	21.8400001526	1.0	16.6000003815	0.96781828	1.0	1
1.0	1087.04760742	2.0	2.0	1526.77697754	2.0	2.0	92.6199998856	1.49552328922	-0.375525861979	0.925345003605	0.0521244555712	7.02628490569	17.0542097813	-1.94345498085	-53.4800033569	-5.10290002823	0.467432124575	0.0	0.0	0.0	0.0	0.0	0.409540084016	1.0	1
1.0	1337.52001953	2.0	1.0	735.484985352	3.0	1.0	14.2600002289	0.0	-0.104937009513	-0.992567241192	-0.0616318397224	2.783444272	3.14753392029	-14.8193998337	-28.9986000061	19.951499939	0.821550586471	1.0	13.2399997711	13.2600002289	1.0	13.2399997711	0.989933284015	1.0	1
1.0	697.499023438	1.0	1.0	927.972167969	1.0	1.0	29.779999733	3.2565779508	0.728589057922	-0.13810133934	-0.670884549618	17.8886841884	4.00190850509	-9.1880645752	-26.1888999939	15.5472507477	0.931926661943	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	779.218994141	1.0	1.0	1941.27026367	2.0	2.0	75.7199993134	0.0	0.0334186889231	0.984706521034	-0.17098608613	3.56769774281	14.6285897742	-12.9592494965	-22.7384490967	18.6326999664	0.965504084253	1.0	11.9200000763	12.2399997711	0.0	11.9200000763	0.341647889764	1.0	1
