valid	volumeS1	connectedComponentsS1	connectedComponentsS1Rel	volumeS2	connectedComponentsS2	connectedComponentsS2Rel	corticalSize	distanceMin	direction_x	direction_y	direction_z	distanceToExtremity1	distanceToExtremity2	gravityCenter_x	gravityCenter_y	gravityCenter_z	corticalDotProduct	junctions	junctionDepthMin	junctionsSize	plisDePassage	plisDePassageDepthMax	Potential	Class	cycle
1.0	419.614807129	2.0	1.0	666.024536133	3.0	3.0	63.7000007629	1.95024610825	0.313351750374	0.937594413757	-0.150756210089	5.2600183352	7.46230418927	-3.60524988174	16.4188499451	-65.2023010254	0.237260857146	0.0	0.0	0.0	0.0	0.0	0.480279099719	1.0	1
1.0	130.718505859	2.0	1.0	535.306030273	1.0	1.0	6.5	4.19357837946	-0.771163225174	-0.489001661539	-0.407657593489	3.5066646207	1.98389230182	-13.2091245651	-9.00778484344	-68.5606536865	0.356890766367	0.0	0.0	0.0	0.0	0.0	0.036581319316	1.0	1
1.0	130.718505859	2.0	2.0	914.7890625	2.0	2.0	49.2000007629	1.95024610825	-0.313351750374	-0.937594413757	0.150756210089	7.46230418927	5.2600183352	-3.60524988174	16.4188499451	-65.2023010254	0.237260857146	0.0	0.0	0.0	0.0	0.0	0.036581319316	1.0	1
1.0	754.313964844	1.0	1.0	281.317993164	1.0	1.0	29.5600013733	2.97670619347	0.97206312418	0.142966046929	-0.186155840755	4.0779766859	11.3333646317	-29.391450882	29.1284008026	-72.4191436768	0.650154595686	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	3793.14501953	5.0	3.0	551.195007324	2.0	2.0	99.1799993515	3.16187608317	0.209145590663	0.975930035114	0.0617956072092	28.4437510266	2.23658263811	-10.2532405853	34.5968017578	-78.25340271	0.211939366376	0.0	0.0	0.0	0.0	0.0	0.987420190421	1.0	1
1.0	453.041992188	1.0	1.0	281.317993164	1.0	1.0	16.0400009155	3.11265000438	0.823845565319	0.547799170017	-0.145583614707	8.65563487381	12.5230777688	-26.3300495148	22.9542999268	-74.5843505859	0.972662535008	0.0	0.0	0.0	0.0	0.0	0.207863667452	1.0	1
1.0	1778.67285156	3.0	2.0	281.317993164	1.0	1.0	48.2200012207	2.97670619347	0.97206312418	0.142966046929	-0.186155840755	27.0493714903	11.3333646317	-29.391450882	29.1284008026	-72.4191436768	0.650154595686	0.0	0.0	0.0	0.0	0.0	0.195215961894	1.0	1
1.0	1437.60107422	2.0	1.0	538.650817871	2.0	1.0	10.8199996948	0.0	-0.10493888706	-0.992566823959	-0.0616356544197	10.1253433105	4.17287139055	-34.4976005554	21.0193996429	-70.2350006104	0.611444803294	1.0	16.8999996185	16.1800003052	0.0	16.8999996185	0.986030695668	1.0	1
1.0	688.388793945	3.0	2.0	539.669006348	2.0	2.0	44.759999752	2.97670619347	-0.97206312418	-0.142966046929	0.186155840755	23.0197737565	8.77603858728	-29.391450882	29.1284008026	-72.4191436768	0.650154595686	0.0	0.0	0.0	0.0	0.0	0.468048530397	1.0	1
1.0	2075.69775391	4.0	2.0	301.272003174	1.0	1.0	20.0399999619	0.0	0.10493888706	0.992566823959	0.0616356544197	20.9667527576	3.6409584086	-34.4976005554	21.0193996429	-70.2350006104	0.611444803294	1.0	16.8999996185	16.1800003052	0.0	16.8999996185	0.989933287358	1.0	1
