valid	volumeS1	connectedComponentsS1	connectedComponentsS1Rel	volumeS2	connectedComponentsS2	connectedComponentsS2Rel	corticalSize	distanceMin	direction_x	direction_y	direction_z	distanceToExtremity1	distanceToExtremity2	gravityCenter_x	gravityCenter_y	gravityCenter_z	corticalDotProduct	junctions	junctionDepthMin	junctionsSize	plisDePassage	plisDePassageDepthMax	Potential	Class	cycle
1.0	1546.26879883	2.0	2.0	2101.53295898	1.0	1.0	26.9000005722	2.35822606691	-0.413937807083	-0.573398172855	-0.707014918327	2.08578310416	21.0915925599	-61.4034996033	71.407699585	-5.73342514038	0.204784681325	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	5727.26855469	11.0	6.0	7853.74755859	9.0	4.0	87.5536005497	0.0	0.997898817062	-0.055951192975	-0.0326706506312	37.0489175436	2.37376626805	-60.1567993164	72.6452026367	14.2625999451	0.815249557549	9.0	7.67999982834	131.299999475	6.0	25.4200000763	0.997790796069	1.0	1
1.0	5034.91992188	13.0	8.0	7341.1640625	12.0	6.0	61.9200000763	0.0	0.0584588237107	0.987321674824	-0.147575244308	40.9939608474	22.184739841	-68.5948028564	55.2101974487	15.6748504639	0.0282036714042	9.0	7.30000019073	114.559999466	4.0	25.4200000763	0.997018735087	1.0	1
1.0	5767.03320312	11.0	5.0	7663.35742188	11.0	5.0	96.0800004005	0.0	0.0584588237107	0.987321674824	-0.147575244308	40.9939608474	0.0	-68.5948028564	55.2101974487	15.6748504639	0.0282036714042	12.0	3.66000008583	148.019999027	3.0	18.7000007629	0.980030588674	1.0	1
1.0	826.695068359	2.0	2.0	2364.6015625	4.0	2.0	41.6200003624	0.0	0.997898817062	-0.055951192975	-0.0326706506312	10.0710473993	2.37376626805	-60.1567993164	72.6452026367	14.2625999451	0.815249557549	3.0	7.67999982834	27.2800004482	4.0	18.7000007629	0.672956831345	1.0	1
1.0	3878.60498047	3.0	3.0	1830.34240723	5.0	3.0	25.6799993515	0.0	-0.0584668405354	-0.98731648922	0.14760671556	26.8683576338	3.24884167347	-75.5373001099	43.3164978027	7.21994495392	0.873501014165	5.0	10.3199996948	61.4799995422	3.0	14.720000267	0.979293938903	1.0	1
1.0	2758.75268555	3.0	0.0	3484.31274414	5.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0126026522244	1.0	1
1.0	1139.57299805	3.0	2.0	1633.65209961	5.0	3.0	17.2135999203	0.0	0.0584668405354	0.98731648922	-0.14760671556	5.72163544485	2.15643935349	-75.5373001099	43.3164978027	7.21994495392	0.873501014165	3.0	20.2600002289	60.7199993134	1.0	11.3199996948	0.994033221529	1.0	1
1.0	2633.81665039	3.0	2.0	3330.29296875	2.0	1.0	26.9000005722	2.35822606691	-0.413937807083	-0.573398172855	-0.707014918327	29.8692096898	21.0915925599	-61.4034996033	71.407699585	-5.73342514038	0.204784681325	0.0	0.0	0.0	0.0	0.0	0.403809609646	1.0	1
1.0	1713.83691406	2.0	1.0	1909.21203613	1.0	1.0	31.9800004959	0.0	-0.995599925518	0.093542508781	-0.00552693987265	27.683541052	12.4845238273	-64.146697998	68.993347168	-1.99296998978	0.237524442704	1.0	11.1800003052	11.5600004196	1.0	11.1800003052	-1.0	0.0	1
1.0	3865.64160156	5.0	4.0	5249.60839844	4.0	2.0	62.7999999523	0.0	-0.105034284294	-0.992556929588	-0.0616323947906	22.1063080039	2.33152208139	-58.1737518311	71.1437988281	14.6189994812	0.791510121736	8.0	5.82000017166	54.2571996357	4.0	23.3600006104	0.972818127666	1.0	1
1.0	4380.83007812	9.0	3.0	2496.48632812	8.0	3.0	30.6000006199	0.0	0.105037279427	0.99255657196	0.0616328567266	39.4374395804	6.21166987857	-56.129650116	70.6943969727	20.085899353	0.128401954562	5.0	9.56000041962	51.8879992962	2.0	18.0	0.97932369726	1.0	1
1.0	3891.67041016	7.0	4.0	6154.29931641	9.0	2.0	56.4599997997	0.0	-0.105034284294	-0.992556929588	-0.0616323947906	38.8354340756	2.33152208139	-58.1737518311	71.1437988281	14.6189994812	0.791510121736	7.0	5.82000017166	66.0700001717	4.0	28.0400009155	0.973858426853	1.0	1
1.0	2638.30883789	4.0	4.0	1732.64904785	1.0	1.0	61.5199999809	0.0	0.995600342751	-0.093538582325	0.00552714802325	41.5534238104	0.0	-68.3860015869	58.7004470825	-8.13883972168	0.330847458281	3.0	5.82000017166	35.6400005817	5.0	25.7199993134	0.677227713212	1.0	1
1.0	4786.22363281	5.0	3.0	1763.42199707	2.0	2.0	55.1600000858	0.0	-0.104949310422	-0.992565512657	-0.0616388916969	37.6501388839	4.25963088993	-67.6877975464	60.2135467529	-9.86256027222	0.0455678691471	2.0	11.1800003052	33.1199998856	3.0	23.3600006104	0.98896540582	1.0	1
1.0	2451.9519043	4.0	1.0	966.989013672	1.0	1.0	24.9200000763	0.0	0.995600342751	-0.093538582325	0.00552714802325	39.4792390497	2.3194388956	-68.3860015869	58.7004470825	-8.13883972168	0.942864742746	2.0	22.3199996948	46.2399997711	2.0	22.9200000763	0.987745543768	1.0	1
1.0	1989.00585938	3.0	1.0	2876.20117188	1.0	1.0	3.31999993324	2.85508664937	0.59550011158	0.697689771652	-0.398256927729	26.7788561571	0.0	-71.4590988159	54.8365020752	-4.7613401413	0.543602969699	0.0	0.0	0.0	0.0	0.0	0.632080341358	1.0	1
1.0	4017.85986328	5.0	4.0	1215.00805664	3.0	3.0	41.0199997425	0.0	0.104934707284	0.992567420006	0.0616325736046	25.1599777274	21.036734224	-58.4208984375	77.99659729	-3.20384001732	0.317474603458	4.0	10.6999998093	46.2411993127	2.0	22.3199996948	0.985846617535	1.0	1
1.0	2543.10693359	2.0	2.0	3054.87744141	1.0	1.0	46.7999997139	0.0	-0.999344468117	0.0346922315657	0.010345403105	8.45442565575	33.1879838258	-61.0541000366	73.4417495728	-28.0134010315	0.409980599507	1.0	16.9799995422	19.7600002289	0.0	16.9799995422	-1.0	0.0	1
1.0	6765.70068359	10.0	4.0	2643.0246582	8.0	2.0	104.65999949	0.0	0.0334207303822	0.984704017639	-0.171000093222	44.5242872916	4.76244782831	-54.2512512207	78.7545013428	14.4104995728	0.76598068012	12.0	5.53999996185	140.380001068	6.0	18.4799995422	0.998002885527	1.0	1
1.0	1346.90002441	3.0	3.0	4251.08398438	1.0	1.0	25.7399997711	0.0	-0.688960909843	0.715982437134	-0.11270326376	26.263839749	2.84352991853	-59.4829025269	75.5618515015	7.80611038208	0.676815359409	4.0	7.32000017166	54.7399988174	2.0	13.6999998093	0.105079269973	1.0	1
1.0	5634.96386719	11.0	3.0	5624.58642578	9.0	3.0	56.9000002146	0.0	-0.033417776227	-0.984706759453	0.170984968543	46.5639943492	12.9884948233	-57.7442474365	76.1000518799	11.3057994843	0.00713110719252	9.0	4.28000020981	94.2800011635	4.0	19.1000003815	0.999605083216	1.0	1
1.0	1186.26635742	5.0	4.0	5213.84863281	2.0	1.0	62.9420000762	0.0	-0.999344825745	0.0346922427416	0.010310956277	32.5095209245	25.0274729404	-66.7431945801	64.9565505981	-6.53495025635	0.0149395667621	2.0	8.23999977112	9.03999996185	2.0	18.3199996948	0.312215294478	1.0	1
1.0	4431.73876953	6.0	5.0	5465.25537109	4.0	2.0	89.9619996995	0.0	-0.0334208533168	-0.984700739384	0.171019077301	1.78385457465	34.2854821153	-51.8522491455	86.6728057861	2.13688993454	0.777077097436	7.0	4.28000020981	74.026001811	7.0	18.4799995422	0.988965416782	1.0	1
1.0	1153.10144043	5.0	4.0	6569.66552734	6.0	2.0	44.0819994658	0.0	-0.99934732914	0.0346106663346	0.0103471335024	9.86785621158	15.0754768869	-54.8298988342	78.2303009033	14.5107002258	0.902969510042	3.0	6.26000022888	31.240000248	1.0	18.3199996948	0.889020725828	1.0	1
1.0	4533.11376953	4.0	4.0	5691.60888672	6.0	3.0	113.659999847	0.0	-0.033417776227	-0.984706759453	0.170984968543	15.1844240733	12.9884948233	-57.7442474365	76.1000518799	11.3057994843	0.00713110719252	9.0	3.16000008583	113.419999719	2.0	7.32000017166	0.99975103234	1.0	1
1.0	800.69140625	4.0	3.0	4242.40478516	3.0	2.0	36.5599994659	0.0	-0.999344825745	0.0346922427416	0.010310956277	27.3097404872	25.0274729404	-66.7431945801	64.9565505981	-6.53495025635	0.0149395667621	3.0	8.23999977112	46.3599996567	0.0	23.2800006866	0.856166974552	1.0	1
1.0	2630.84619141	5.0	5.0	6115.62011719	5.0	4.0	84.3600006104	0.0	0.0334207303822	0.984704017639	-0.171000093222	30.3485357218	4.76244782831	-54.2512512207	78.7545013428	14.4104995728	0.76598068012	8.0	8.23999977112	92.1000022888	4.0	18.4799995422	0.989933267347	1.0	1
1.0	2626.25610352	1.0	1.0	1254.98266602	1.0	1.0	17.6199998856	0.0	-0.998023092747	0.0332690142095	-0.0533209592104	19.0709036798	17.2550283179	-63.7311515808	67.7081451416	-13.1490497589	0.454500562111	2.0	3.59999990463	6.23999977112	3.0	22.0400009155	-1.0	0.0	1
1.0	7293.18017578	11.0	6.0	5942.68408203	8.0	5.0	95.9368010908	0.0	0.0461904853582	0.993747830391	-0.101645082235	55.2794083951	3.08004332111	-61.4720001221	69.101852417	-1.64169001579	0.186962696406	10.0	5.01999998093	127.779999018	7.0	22.0400009155	0.969446051379	1.0	1
1.0	3352.63867188	3.0	2.0	1581.15063477	3.0	1.0	30.5399999619	0.0	-0.998023092747	0.0332690142095	-0.0533209592104	26.7714105706	17.2550283179	-63.7311515808	67.7081451416	-13.1490497589	0.454500562111	3.0	3.59999990463	9.17999982834	4.0	22.0400009155	0.437662670292	1.0	1
