valid	extremitiesValid	extremity1x	extremity1y	extremity1z	extremity2x	extremity2y	extremity2z	gravityCenter_x	gravityCenter_y	gravityCenter_z	normalValid	normal_x	normal_y	normal_z	direction_x	direction_y	direction_z	volume	geodesicDepthMax	geodesicDepthMin	connectedComponentsAllRels	connectedComponents	pureCortical	distanceBetweenComponentsMax	plisDePassage	hullJunctionsSize	Potential	Class	cycle
1.0	1.0	48.2696990967	75.4782028198	-41.0135993958	40.5032997131	80.7824020386	-50.8582000732	42.9915008545	76.895401001	-44.120300293	1.0	0.176783025265	-0.722599089146	-0.668280124664	0.635304093361	-0.321208029985	0.702292084694	59.6228981018	6.51999998093	0.0	1.0	1.0	0.0	0.0	0.0	48.7793006897	-1.0	0.0	1
1.0	1.0	66.3044967651	67.4760971069	-5.52093982697	3.41884994507	78.8021011353	-49.9101982117	35.5649223328	75.8430709839	-28.8590335846	1.0	0.204302713275	-0.799837589264	-0.564375936985	0.560703396797	-0.389216840267	0.730836570263	1499.4041748	22.1399993896	0.0	5.0	9.0	4.0	9.75360012054	1.0	442.968383789	1.0	1.0	1
1.0	1.0	48.2696990967	75.4782028198	-41.0135993958	40.5032997131	80.7824020386	-50.8582000732	39.2557220459	77.8710479736	-30.2963542938	1.0	-0.0580254606903	-0.873685002327	-0.483019083738	0.635304093361	-0.321208029985	0.702292084694	81.7053985596	17.0599994659	0.0	2.0	2.0	0.0	30.0	0.0	48.7793006897	1.0	1.0	1
1.0	1.0	53.5369987488	86.2326965332	-3.12788009644	0.903838992119	69.6910018921	-44.6707000732	36.1787261963	78.6675415039	-25.5048789978	1.0	0.614645600319	-0.423752725124	-0.665315270424	0.495440483093	-0.0585988387465	0.86666315794	3228.4675293	22.1399993896	0.0	4.0	6.0	3.0	6.92481994629	8.0	856.933166504	1.0	1.0	1
1.0	1.0	48.2696990967	75.4782028198	-41.0135993958	31.2472991943	75.2529983521	-58.802898407	34.7267875671	72.8819732666	-45.1333961487	1.0	-0.818566799164	-0.413681983948	-0.398516774178	0.44531339407	-0.851182937622	-0.277819156647	200.950897217	21.9799995422	0.0	1.0	2.0	1.0	8.94120979309	0.0	67.2362976074	1.0	1.0	1
1.0	1.0	59.5845985413	70.5670013428	-14.9994001389	31.2472991943	75.2529983521	-58.802898407	37.1640853882	76.2421875	-35.8408584595	1.0	0.636549472809	-0.587781310081	-0.499317497015	0.436112701893	0.00736945867538	0.899861872196	1828.43383789	21.9799995422	0.0	1.0	4.0	5.0	8.94120979309	1.0	428.466400146	1.0	1.0	1
1.0	1.0	59.5845985413	70.5670013428	-14.9994001389	31.3131999969	76.6384963989	-57.2332000732	34.8056488037	79.4305496216	-34.0345077515	1.0	0.712989866734	-0.464218437672	-0.525496482849	0.419836342335	0.0460318662226	0.906431794167	1349.24291992	21.0599994659	0.0	1.0	3.0	3.0	9.60468959808	0.0	321.679321289	1.0	1.0	1
1.0	1.0	57.5134010315	79.8048019409	-21.3430995941	50.3661994934	72.2820968628	-41.1086997986	54.0068702698	73.0717926025	-29.9176845551	1.0	0.556736707687	-0.829040169716	-0.0523132160306	0.353288173676	0.26015278697	0.898614525795	121.627700806	11.1800003052	0.0	1.0	1.0	0.0	0.0	1.0	63.2812004089	-1.0	0.0	1
1.0	1.0	34.7589988708	98.4502029419	-4.23396015167	39.5906982422	54.391998291	-64.2986984253	35.5467185974	80.3599472046	-27.5641880035	1.0	0.24613827467	-0.712627768517	-0.656945645809	0.772990822792	-0.201806485653	0.601464211941	1594.30834961	23.2600002289	0.0	3.0	10.0	7.0	6.99965000153	2.0	566.3671875	1.0	1.0	1
1.0	1.0	40.2016983032	90.1473999023	-27.6168994904	17.8390007019	100.487998962	-24.0449008942	28.2654018402	88.9406967163	-19.9463005066	1.0	-0.372167855501	-0.493960827589	-0.785807728767	0.941615283489	-0.330833077431	-0.0625315234065	394.467987061	22.0400009155	0.0	1.0	1.0	0.0	0.0	0.0	79.101600647	0.988593016426	1.0	1
