valid	extremitiesValid	extremity1x	extremity1y	extremity1z	extremity2x	extremity2y	extremity2z	gravityCenter_x	gravityCenter_y	gravityCenter_z	normalValid	normal_x	normal_y	normal_z	direction_x	direction_y	direction_z	volume	geodesicDepthMax	geodesicDepthMin	connectedComponentsAllRels	connectedComponents	pureCortical	distanceBetweenComponentsMax	plisDePassage	hullJunctionsSize	Potential	Class	cycle
1.0	1.0	9.69052028656	9.76500988007	-72.462600708	12.0843000412	-58.5699996948	-38.9441986084	17.6376113892	-33.8019828796	-53.5733108521	1.0	-0.60480183363	-0.683612346649	0.408520311117	0.937063753605	0.336272090673	0.0939817503095	382.028381348	10.779999733	0.0	1.0	4.0	3.0	15.0	0.0	312.450531006	-1.0	0.0	1
1.0	1.0	1.6393699646	33.6099014282	-65.5954971313	23.6944007874	-7.83751010895	-67.8330993652	20.9062614441	9.94883728027	-62.4693374634	1.0	0.909568369389	-0.396562546492	0.124191336334	0.212577477098	0.930641055107	-0.297855615616	320.196899414	15.7399997711	0.0	2.0	2.0	0.0	30.0	0.0	105.468704224	1.0	1.0	1
1.0	1.0	-0.0425872988999	16.5510005951	-60.8041992188	18.7987995148	-20.4309005737	-63.7625007629	9.1390209198	0.595601022243	-59.2621192932	1.0	-0.00103176757693	-0.995590150356	0.0938046723604	0.458623290062	-0.0950277149677	0.883535146713	88.3302001953	8.65999984741	0.0	2.0	2.0	0.0	30.0	0.0	63.2812042236	1.0	1.0	1
1.0	1.0	31.1760997772	44.5600013733	-67.9730987549	26.6681003571	-62.423500061	-25.8407993317	22.2827854156	-14.782541275	-51.4423904419	1.0	0.747770249844	-0.359110414982	0.558461487293	0.411582440138	0.876454591751	-0.249854519963	1616.44213867	21.6599998474	0.0	5.0	10.0	7.0	12.1166000366	1.0	702.686218262	1.0	1.0	1
1.0	1.0	31.073299408	10.7109003067	-69.3539962769	12.0843000412	-58.5699996948	-38.9441986084	20.4631958008	-20.7291622162	-56.6428413391	1.0	0.234993383288	-0.735415279865	0.635564625263	0.623051524162	0.779908239841	-0.0595805086195	607.270385742	15.7399997711	0.0	2.0	5.0	4.0	11.7931003571	0.0	325.634002686	1.0	1.0	1
1.0	1.0	9.69052028656	9.76500988007	-72.462600708	3.45048999786	-43.5474014282	-57.6996002197	5.05599164963	-2.69205355644	-61.8206443787	1.0	-0.141013786197	-0.895614922047	0.421887546778	0.316466033459	-0.184672102332	0.93045437336	128.078796387	8.72000026703	0.0	2.0	3.0	1.0	8.97066020966	0.0	126.5625	1.0	1.0	1
1.0	1.0	17.6863002777	-19.603099823	-65.6981964111	12.0843000412	-58.5699996948	-38.9441986084	18.263502121	-38.0500450134	-51.047252655	1.0	-0.617073714733	-0.665556490421	0.419826954603	0.883939683437	0.466802179813	-0.0273168571293	322.405487061	10.779999733	0.0	1.0	3.0	2.0	8.43957996368	0.0	229.39390564	1.0	1.0	1
1.0	1.0	-0.786010980606	28.2513008118	-64.6283035278	26.6681003571	-62.423500061	-25.8407993317	18.7133617401	-14.7576036453	-57.8766593933	1.0	0.135858222842	-0.821988999844	0.553061008453	0.774977564812	0.613110601902	0.153313934803	1124.00256348	15.7399997711	0.0	1.0	9.0	12.0	22.7247009277	0.0	709.276977539	1.0	1.0	1
1.0	1.0	9.69052028656	9.76500988007	-72.462600708	12.0843000412	-58.5699996948	-38.9441986084	17.8148155212	-36.382522583	-51.5779762268	1.0	-0.614904761314	-0.645081520081	0.45360994339	0.880952119827	0.471319854259	-0.0422012619674	320.197296143	10.779999733	0.0	2.0	3.0	1.0	2.40117001534	0.0	249.169311523	1.0	1.0	1
1.0	1.0	4.82626008987	14.388999939	-57.5229988098	33.8722991943	-62.7523002625	-26.3661994934	28.9361476898	-37.5234947205	-39.3960952759	1.0	0.844939112663	-0.215085059404	0.489710390568	0.378683269024	0.834837496281	-0.399556279182	333.654602051	14.1999998093	0.0	3.0	3.0	0.0	30.0	0.0	137.109603882	1.0	1.0	1
