valid	extremitiesValid	extremity1x	extremity1y	extremity1z	extremity2x	extremity2y	extremity2z	gravityCenter_x	gravityCenter_y	gravityCenter_z	normalValid	normal_x	normal_y	normal_z	direction_x	direction_y	direction_z	volume	geodesicDepthMax	geodesicDepthMin	connectedComponentsAllRels	connectedComponents	pureCortical	distanceBetweenComponentsMax	plisDePassage	hullJunctionsSize	Potential	Class	cycle
1.0	1.0	34.6744995117	-56.7682991028	-30.5716991425	31.073299408	10.7109003067	-69.3539962769	28.7863121033	-24.9387893677	-47.2095222473	1.0	0.874660491943	0.212229624391	0.435806959867	-0.151808559895	-0.874740004539	0.460200160742	1256.4967041	21.6599998474	0.0	1.0	2.0	1.0	8.9057598114	1.0	391.553009033	-1.0	0.0	1
1.0	1.0	32.1411018372	-70.3153991699	-11.8895998001	3.13411998749	42.3746986389	-59.8947982788	25.4122180939	-17.0733661652	-42.0973320007	1.0	0.993466496468	-0.0437660999596	0.105399467051	-0.269039571285	-0.871948361397	0.40905213356	6755.05029297	22.4400005341	0.0	1.0	11.0	12.0	9.67761993408	12.0	2282.08007812	1.0	1.0	1
1.0	1.0	32.5312004089	-52.1489982605	-36.7681999207	31.073299408	10.7109003067	-69.3539962769	28.6967067719	-23.9017696381	-47.6874885559	1.0	0.879988372326	0.188738405704	0.435887724161	-0.159848675132	-0.883318126202	0.44067850709	1212.33154297	21.6599998474	0.0	1.0	2.0	1.0	8.9057598114	0.0	359.912414551	0.217304721677	1.0	1
1.0	1.0	30.0900001526	-66.870300293	-5.21011018753	10.3416996002	30.6152992249	-81.5146026611	25.2145576477	-10.7979669571	-43.6159477234	1.0	0.937141895294	-0.346489191055	-0.0413535088301	-0.396437734365	-0.857584118843	0.327698916197	5960.07958984	22.4400005341	0.0	1.0	14.0	16.0	15.0	8.0	2067.18676758	1.0	1.0	1
1.0	1.0	41.3996009827	-61.9280014038	-13.4926996231	-0.786010980606	28.2513008118	-64.6283035278	32.6014976501	-24.4136009216	-43.2319488525	1.0	0.534929215908	-0.15367116034	0.830804407597	-0.632043540478	-0.744777739048	0.214072778821	2616.78271484	19.3799991608	0.0	1.0	9.0	10.0	11.7931003571	1.0	1116.65002441	1.0	1.0	1
1.0	1.0	41.3996009827	-61.9280014038	-13.4926996231	-0.786010980606	28.2513008118	-64.6283035278	33.2143630981	-24.6544036865	-41.8018760681	1.0	0.442489773035	-0.246864259243	0.862125754356	-0.699104428291	-0.703669786453	0.126893088222	2316.45947266	19.3799991608	0.0	2.0	9.0	7.0	15.0	1.0	963.720397949	1.0	1.0	1
1.0	1.0	32.5312004089	-52.1489982605	-36.7681999207	38.9478988647	-25.5657997131	-50.5279998779	30.0813159943	-35.7137031555	-38.6888847351	1.0	0.820805311203	0.23253364861	0.521734297276	-0.196905970573	-0.854744255543	0.480250388384	713.265625	21.6599998474	0.0	1.0	1.0	0.0	0.0	0.0	175.342208862	1.0	1.0	1
1.0	1.0	42.3381996155	-25.3840999603	-48.8041992188	24.8516998291	-6.78909015656	-68.0335006714	27.293050766	-17.2375011444	-57.7405509949	1.0	0.881881356239	0.405440539122	0.24063128233	0.0558196231723	-0.751001298428	0.657937049866	256.157989502	17.0400009155	0.0	1.0	2.0	1.0	8.9057598114	0.0	121.289001465	0.999909511277	1.0	1
1.0	1.0	41.3996009827	-61.9280014038	-13.4926996231	-0.786010980606	28.2513008118	-64.6283035278	33.2143630981	-24.6544036865	-41.8018760681	1.0	0.442489773035	-0.246864259243	0.862125754356	-0.699104428291	-0.703669786453	0.126893088222	2316.45947266	19.3799991608	0.0	2.0	9.0	7.0	15.0	1.0	963.720397949	1.0	1.0	1
1.0	1.0	41.3996009827	-61.9280014038	-13.4926996231	-0.786010980606	28.2513008118	-64.6283035278	31.1622695923	-35.0305099487	-36.4123535156	1.0	0.631106674671	0.0173742175102	0.775501430035	-0.531976103783	-0.777220547199	0.336050122976	2312.04223633	21.6599998474	0.0	3.0	5.0	2.0	11.7931003571	1.0	818.701538086	1.0	1.0	1
