valid	extremitiesValid	extremity1x	extremity1y	extremity1z	extremity2x	extremity2y	extremity2z	gravityCenter_x	gravityCenter_y	gravityCenter_z	normalValid	normal_x	normal_y	normal_z	direction_x	direction_y	direction_z	volume	geodesicDepthMax	geodesicDepthMin	connectedComponentsAllRels	connectedComponents	pureCortical	distanceBetweenComponentsMax	plisDePassage	hullJunctionsSize	Potential	Class	cycle
1.0	1.0	19.8612995148	49.7089004517	12.7975997925	3.80377006531	75.6832962036	-2.30070996284	14.4235486984	63.3007545471	1.25007104874	1.0	-0.445344626904	-0.235295563936	-0.863889038563	0.494842737913	-0.679966449738	0.541088044643	417.359283447	11.7399997711	0.0	1.0	1.0	0.0	0.0	2.0	152.929702759	-1.0	0.0	1
1.0	1.0	27.2217998505	32.4449996948	24.7192001343	3.14468002319	85.4203033447	8.69865036011	20.2938766479	58.4563522339	4.48527479172	1.0	-0.546137988567	-0.172073468566	-0.819831728935	0.365492999554	-0.864520549774	0.344991326332	2128.75634766	21.0	0.0	4.0	5.0	1.0	5.70258998871	8.0	562.93963623	1.0	1.0	1
1.0	1.0	16.5370006561	50.9127006531	12.6434001923	0.202605992556	72.625	-14.3867998123	15.3009881973	59.4837112427	-6.07827711105	1.0	0.125258550048	-0.507038414478	-0.852773308754	0.214079126716	-0.953046381474	-0.214179128408	596.227966309	23.9400005341	0.0	3.0	3.0	0.0	30.0	0.0	75.1464996338	1.0	1.0	1
1.0	1.0	27.2217998505	32.4449996948	24.7192001343	1.11739003658	67.6407012939	-17.1601009369	19.5197353363	57.5351448059	4.55251312256	1.0	-0.626122236252	-0.175788223743	-0.759650826454	0.280734032393	-0.911314725876	0.301154345274	1665.02416992	21.0	0.0	1.0	3.0	2.0	7.91285991669	3.0	514.16027832	1.0	1.0	1
1.0	1.0	27.2217998505	32.4449996948	24.7192001343	1.11739003658	67.6407012939	-17.1601009369	19.0939846039	58.7205963135	3.90898537636	1.0	-0.622208833694	-0.179143428802	-0.762078642845	0.284779906273	-0.919180512428	0.272043347359	1642.94152832	21.0	0.0	1.0	3.0	3.0	7.91285991669	3.0	474.609588623	1.0	1.0	1
1.0	1.0	19.8612995148	49.7089004517	12.7975997925	1.11739003658	67.6407012939	-17.1601009369	13.8750324249	60.3240814209	-2.65521907806	1.0	-0.602161347866	0.0122263533995	-0.798280775547	0.426155954599	-0.707482099533	0.563790857792	881.093261719	21.0	0.0	1.0	1.0	0.0	0.0	4.0	264.99029541	0.980818897779	1.0	1
1.0	1.0	19.8612995148	49.7089004517	12.7975997925	1.11739003658	67.6407012939	-17.1601009369	13.0286636353	65.1680297852	0.167979344726	1.0	-0.395752638578	-0.527925372124	-0.751448392868	0.554119825363	-0.589278936386	0.587963759899	624.93548584	12.7600002289	0.0	1.0	3.0	2.0	8.6920003891	2.0	261.035217285	1.0	1.0	1
1.0	1.0	19.8612995148	49.7089004517	12.7975997925	3.80377006531	75.6832962036	-2.30070996284	15.1104240417	60.0774116516	-1.57855761051	1.0	-0.60426980257	0.155012220144	-0.781555652618	0.452690392733	-0.720387578011	0.525464594364	761.847290039	21.0	0.0	1.0	1.0	0.0	0.0	4.0	192.480499268	0.938156171799	1.0	1
1.0	1.0	19.8612995148	49.7089004517	12.7975997925	3.14468002319	85.4203033447	8.69865036011	10.9440193176	68.2714004517	-0.668976843357	1.0	-0.314428299665	-0.429934620857	-0.846339821815	0.619995653629	-0.630567133427	0.466894507408	715.474365234	12.7600002289	0.0	2.0	4.0	2.0	7.91285991669	2.0	340.136810303	1.0	1.0	1
1.0	1.0	6.71878004074	59.3564987183	4.22494983673	5.65658998489	69.1078033447	10.3647003174	8.80708026886	65.1607971191	7.1414899826	1.0	-0.513000786304	0.193687930703	-0.836250662804	0.0905952379107	-0.920431435108	-0.380261152983	24.6543006897	4.88000011444	0.0	1.0	1.0	0.0	0.0	0.0	37.9687995911	-1.0	0.0	1
