valid	extremitiesValid	extremity1x	extremity1y	extremity1z	extremity2x	extremity2y	extremity2z	gravityCenter_x	gravityCenter_y	gravityCenter_z	normalValid	normal_x	normal_y	normal_z	direction_x	direction_y	direction_z	volume	geodesicDepthMax	geodesicDepthMin	connectedComponentsAllRels	connectedComponents	pureCortical	distanceBetweenComponentsMax	plisDePassage	hullJunctionsSize	Potential	Class	cycle
1.0	1.0	-0.933640003204	78.8703994751	-37.1767997742	16.6686992645	77.0375976562	-64.3058013916	10.3209133148	74.8284606934	-45.9100189209	1.0	-0.759537756443	-0.639926373959	0.11660464108	-0.334535121918	0.416638404131	0.845280230045	541.022277832	22.1399993896	0.0	1.0	1.0	0.0	0.0	4.0	160.839813232	-1.0	0.0	1
1.0	1.0	12.4033002853	62.4313011169	7.09557008743	31.2472991943	75.2529983521	-58.802898407	15.4687099457	77.9930419922	-26.838722229	1.0	-0.557911276817	-0.791558802128	-0.249338209629	-0.147559806705	0.411793619394	0.899250864983	3544.24853516	27.8600006104	0.0	2.0	6.0	6.0	8.43957996368	5.0	921.533508301	1.0	1.0	1
1.0	1.0	12.4033002853	62.4313011169	7.09557008743	16.6686992645	77.0375976562	-64.3058013916	14.7588634491	77.9255752563	-28.9729804993	1.0	-0.595594167709	-0.761987388134	-0.254249662161	-0.182526051998	0.384805589914	0.904770076275	3656.86962891	27.8600006104	0.0	2.0	5.0	3.0	7.70577001572	7.0	903.07635498	1.0	1.0	1
1.0	1.0	-0.0188446007669	97.477897644	-13.2538003922	31.3131999969	76.6384963989	-57.2332000732	20.1532764435	84.2326507568	-36.2542266846	1.0	-0.92292368412	-0.243049189448	0.298561692238	-0.00152262847405	0.555843830109	0.831285357475	883.301696777	21.0599994659	0.0	3.0	3.0	0.0	30.0	0.0	257.08001709	1.0	1.0	1
1.0	1.0	2.22989988327	66.8128967285	-15.2243003845	15.0	90.075302124	-53.8614006042	10.7839756012	75.1596755981	-31.0514507294	1.0	-0.530851304531	-0.795845985413	-0.291249006987	0.147022917867	0.129501059651	0.980619013309	1097.50195312	27.7999992371	0.0	3.0	4.0	1.0	8.43957996368	0.0	253.125	1.0	1.0	1
1.0	1.0	27.9361991882	98.7686004639	-26.6077003479	0.482024997473	56.1531982422	-38.6988983154	16.1703701019	78.2389221191	-33.8524780273	1.0	-0.873630344868	-0.486375033855	-0.0144675541669	0.0795623287559	0.37078922987	0.925302803516	1766.6027832	27.7999992371	0.0	1.0	3.0	2.0	8.43957996368	0.0	441.650299072	1.0	1.0	1
1.0	1.0	27.9361991882	98.7686004639	-26.6077003479	16.6686992645	77.0375976562	-64.3058013916	19.7999706268	81.6110458374	-41.3096466064	1.0	-0.954475045204	-0.277371048927	0.109739355743	-0.139798164368	0.491100907326	0.859811782837	984.88092041	22.1399993896	0.0	4.0	4.0	0.0	30.0	1.0	317.724517822	1.0	1.0	1
1.0	1.0	27.9361991882	98.7686004639	-26.6077003479	0.482024997473	56.1531982422	-38.6988983154	15.6635828018	78.0467987061	-34.0976791382	1.0	-0.866850495338	-0.497258663177	0.0361097492278	0.0647596493363	0.392294198275	0.917557358742	1850.51647949	27.7999992371	0.0	1.0	3.0	2.0	8.43957996368	0.0	483.837799072	1.0	1.0	1
1.0	1.0	27.9361991882	98.7686004639	-26.6077003479	0.692932009697	66.8143997192	-55.0329017639	18.2861309052	79.6267471313	-42.1880378723	1.0	-0.938985705376	-0.303862094879	0.161163732409	-0.0912841483951	0.495948940516	0.863540351391	1232.20556641	22.1399993896	0.0	1.0	3.0	2.0	7.50233983994	4.0	337.499908447	1.0	1.0	1
1.0	1.0	7.40489006042	94.3108978271	-43.6071014404	16.6686992645	77.0375976562	-64.3058013916	11.8915023804	79.41847229	-39.2194328308	1.0	-0.912294149399	-0.143551856279	0.383551985025	-0.0601299591362	0.943228662014	0.326656073332	624.93536377	24.3199996948	0.0	1.0	2.0	1.0	1.76886999607	0.0	146.337905884	1.0	1.0	1
