valid	extremitiesValid	extremity1x	extremity1y	extremity1z	extremity2x	extremity2y	extremity2z	gravityCenter_x	gravityCenter_y	gravityCenter_z	normalValid	normal_x	normal_y	normal_z	direction_x	direction_y	direction_z	volume	geodesicDepthMax	geodesicDepthMin	connectedComponentsAllRels	connectedComponents	pureCortical	distanceBetweenComponentsMax	plisDePassage	hullJunctionsSize	Potential	Class	cycle
1.0	1.0	22.0468006134	-18.6446990967	26.4057998657	48.4595985413	-7.26126003265	45.7314987183	35.1088256836	-10.3648853302	36.9693374634	1.0	0.186580076814	-0.838923513889	-0.511268258095	-0.961338996887	-0.0867756903172	-0.261337429285	459.316009521	12.8000001907	0.0	1.0	1.0	0.0	0.0	0.0	284.765197754	-1.0	0.0	1
1.0	1.0	48.5097007751	-23.2609004974	-2.19660997391	62.9723014832	60.106098175	22.9685001373	46.3938941956	7.27613019943	9.12224674225	1.0	-0.0765389725566	-0.627154409885	-0.775125265121	-0.707063734531	-0.675029039383	0.210705280304	4937.65429688	26.9400005341	0.0	8.0	13.0	6.0	12.0992002487	18.0	1058.64257812	1.0	1.0	1
1.0	1.0	22.0468006134	-18.6446990967	26.4057998657	48.4595985413	-7.26126003265	45.7314987183	35.554813385	-9.42928218842	35.3851547241	1.0	0.12771499157	-0.849896371365	-0.511238694191	-0.961338996887	-0.0867756903172	-0.261337429285	485.815002441	18.8600006104	0.0	2.0	2.0	0.0	30.0	0.0	284.765197754	1.0	1.0	1
1.0	1.0	22.0468006134	-18.6446990967	26.4057998657	73.533203125	47.4412002563	3.26134991646	42.212474823	7.33824634552	21.9373874664	1.0	-0.250457376242	-0.806075155735	-0.536203205585	-0.980691254139	-0.0838468968868	0.176675736904	1985.21960449	26.0799999237	0.0	11.0	11.0	0.0	30.0	4.0	905.712646484	1.0	1.0	1
1.0	1.0	35.6552009583	10.4081001282	48.3133010864	50.0043983459	-14.4961004257	3.5041000843	41.6548805237	-5.54041337967	24.7149581909	1.0	-0.362061053514	-0.385601788759	-0.84865963459	-0.822643995285	-0.216835364699	0.525584638119	1168.16650391	21.0	0.0	2.0	5.0	3.0	11.1779003143	1.0	479.88269043	1.0	1.0	1
1.0	1.0	20.7602996826	3.9855298996	40.6152000427	35.6552009583	10.4081001282	48.3133010864	28.674200058	4.81195020676	42.263999939	1.0	-0.0661319941282	0.635369956493	-0.769370913506	-0.7852602005	-0.456234127283	-0.41858908534	90.5383987427	9.26000022888	0.0	1.0	1.0	0.0	0.0	0.0	121.289001465	0.991847912711	1.0	1
1.0	1.0	20.7602996826	3.9855298996	40.6152000427	53.3762016296	-18.7504005432	18.6704006195	35.1403236389	-8.86084842682	36.5437164307	1.0	0.0814863070846	-0.671757161617	-0.736275970936	-0.966245830059	-0.162511408329	-0.199897408485	609.477294922	12.8000001907	0.0	1.0	2.0	1.0	1.76886999607	1.0	477.245605469	1.0	1.0	1
1.0	1.0	35.6552009583	10.4081001282	48.3133010864	50.0043983459	-14.4961004257	3.5041000843	38.915473938	-8.86631298065	26.7667942047	1.0	-0.23905184865	-0.604890108109	-0.759580254555	-0.943641126156	-0.118585005403	0.308996647596	1874.80639648	21.0	0.0	1.0	2.0	1.0	8.89192962646	6.0	821.337463379	1.0	1.0	1
1.0	1.0	27.4009990692	0.789031982422	42.8708000183	46.4112014771	-24.5499992371	16.1669006348	35.0320587158	-16.2450408936	25.6281890869	1.0	-0.437814950943	-0.598805248737	-0.670634269714	-0.935100734234	0.263055086136	0.237463012338	441.649993896	13.1199998856	0.0	2.0	2.0	0.0	30.0	0.0	220.16619873	1.0	1.0	1
1.0	1.0	18.9281005859	-12.4955997467	29.0133991241	62.4081001282	8.77408027649	37.2960014343	43.8206481934	-6.73205518723	22.3934650421	1.0	-0.410049796104	-0.414182901382	-0.812595665455	-0.754610836506	-0.171763315797	0.633292794228	1015.796875	21.0	0.0	2.0	4.0	2.0	10.5216999054	0.0	313.769500732	1.0	1.0	1
