valid	volumeS1	connectedComponentsS1	connectedComponentsS1Rel	volumeS2	connectedComponentsS2	connectedComponentsS2Rel	corticalSize	distanceMin	direction_x	direction_y	direction_z	distanceToExtremity1	distanceToExtremity2	gravityCenter_x	gravityCenter_y	gravityCenter_z	corticalDotProduct	junctions	junctionDepthMin	junctionsSize	plisDePassage	plisDePassageDepthMax	Potential	Class	cycle
1.0	8362.65527344	12.0	2.0	320.196990967	2.0	2.0	47.4609408379	0.0	-0.688923835754	0.71601319313	-0.112734295428	60.9369691483	0.0	71.950050354	24.5570487976	-16.2890510559	0.68690598011	7.0	12.5399999619	312.451101303	2.0	13.6800003052	0.999982406349	1.0	1
1.0	3407.33544922	4.0	2.0	165.618499756	2.0	2.0	40.869099617	0.0	0.688923835754	-0.71601319313	0.112734295428	37.3005421453	0.0	71.950050354	24.5570487976	-16.2890510559	0.68690598011	7.0	6.0	183.251978755	5.0	20.9400005341	0.861358085416	1.0	1
1.0	6306.77197266	19.0	4.0	479.190612793	3.0	3.0	54.0527607203	2.23833642595	0.163161918521	-0.875385463238	0.455058783293	42.7075226994	6.92701382327	70.9153442383	31.8461990356	-32.9242477417	0.890634655952	19.0	3.75999999046	378.369344831	1.0	17.5200004578	0.999982864186	1.0	1
1.0	4153.72558594	3.0	2.0	223.033096313	1.0	1.0	64.5995998383	0.0	0.999348282814	-0.0346090011299	-0.0102569758892	37.6721682511	2.38183974125	73.0599060059	24.7635993958	-18.1535491943	0.0838940441608	6.0	16.8799991608	257.080222368	4.0	28.5400009155	0.965663073911	1.0	1
1.0	2342.95849609	7.0	2.0	262.782196045	4.0	3.0	15.8203001022	2.67157632151	-0.163701757789	-0.650914490223	-0.741290748119	48.4729809565	6.29754741098	73.1521987915	23.5893497467	-5.27750015259	0.828783988953	5.0	3.75999999046	90.9668613672	0.0	12.5399999619	0.977930402302	1.0	1
1.0	6609.30078125	5.0	2.0	393.069396973	2.0	2.0	47.4609408379	0.0	-0.688923835754	0.71601319313	-0.112734295428	52.4744566767	0.0	71.950050354	24.5570487976	-16.2890510559	0.68690598011	19.0	3.75999999046	635.449282169	2.0	13.6800003052	0.996528197137	1.0	1
1.0	6445.890625	7.0	3.0	622.727294922	3.0	3.0	100.195300221	0.0	0.0334241650999	0.984700798988	-0.171018123627	60.9701194746	1.12113415582	68.9328460693	16.0617008209	-7.52671003342	0.742022752762	20.0	5.84000015259	822.656485081	4.0	28.5400009155	0.965663022376	1.0	1
1.0	6984.70410156	6.0	1.0	271.615386963	1.0	1.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	14.0	3.75999999046	442.968882084	0.0	20.5799999237	0.998600601282	1.0	1
1.0	1850.71191406	1.0	1.0	108.478996277	1.0	1.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	20.8799991608	124.453102112	1.0	20.8799991608	-1.0	0.0	1
1.0	8852.51660156	16.0	1.0	917.138977051	1.0	1.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	18.0	10.720000267	585.35148263	7.0	27.0799999237	0.999999795232	1.0	1
