valid	volumeS1	connectedComponentsS1	connectedComponentsS1Rel	volumeS2	connectedComponentsS2	connectedComponentsS2Rel	corticalSize	distanceMin	direction_x	direction_y	direction_z	distanceToExtremity1	distanceToExtremity2	gravityCenter_x	gravityCenter_y	gravityCenter_z	corticalDotProduct	junctions	junctionDepthMin	junctionsSize	plisDePassage	plisDePassageDepthMax	Potential	Class	cycle
1.0	432.81741333	1.0	1.0	1457.4473877	1.0	1.0	34.2773017883	2.52104541317	-0.306691348553	-0.00368797383271	-0.951801836491	0.0	21.7402848218	53.1916503906	-43.8859481812	-20.4297504425	0.191459983587	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	1417.69897461	4.0	3.0	5478.67724609	8.0	4.0	251.806616545	0.0	0.999348282814	-0.0346072986722	-0.0102586774155	1.57272828681	43.7571115872	57.9014015198	-18.5771999359	-32.1304473877	0.872143805027	20.0	0.939999997616	694.775443316	6.0	22.5599994659	0.969840259017	1.0	1
1.0	724.307861328	2.0	1.0	2680.82055664	10.0	4.0	56.689479351	0.0	0.0334178842604	0.984706521034	-0.170986399055	23.1335486205	51.5550562809	57.225151062	-23.642950058	-25.8106002808	0.641600966454	1.0	3.75999999046	10.5468997955	0.0	3.75999999046	0.55998552966	1.0	1
1.0	77.2889022827	1.0	1.0	461.525604248	3.0	2.0	38.2323999405	0.0	0.0334177166224	0.984702408314	-0.171010166407	3.06734286054	10.6233185279	57.881652832	-12.6462497711	-0.565895020962	0.333549708128	1.0	12.7399997711	43.5059013367	0.0	12.7399997711	0.9927495682	1.0	1
1.0	145.744796753	2.0	2.0	2108.88208008	2.0	1.0	22.4121599197	0.0	-0.999348282814	0.0346072986722	0.0102569758892	1.12113006214	31.3887982062	54.384601593	-23.5986995697	-29.3931503296	0.960691571236	2.0	8.47999954224	80.4199008942	1.0	8.47999954224	0.039530680939	1.0	1
1.0	1746.72900391	2.0	2.0	2941.39404297	5.0	3.0	125.244197845	0.0	-0.999348282814	0.0346072986722	0.0102586774155	2.49832354602	40.5597944254	57.9014015198	-18.5771999359	-32.1304473877	0.157246559858	8.0	0.939999997616	262.35343802	1.0	2.94000005722	0.964302505253	1.0	1
1.0	635.97644043	1.0	1.0	1457.4473877	1.0	1.0	34.2773017883	2.52104541317	-0.306691348553	-0.00368797383271	-0.951801836491	0.0	21.7402848218	53.1916503906	-43.8859481812	-20.4297504425	0.191459983587	0.0	0.0	0.0	0.0	0.0	0.201548018221	1.0	1
1.0	1680.48046875	3.0	3.0	3221.84228516	6.0	5.0	258.398460031	0.0	-0.999348282814	0.0346072986722	0.0102586774155	14.6299065079	1.57272828681	57.9014015198	-18.5771999359	-32.1304473877	0.872143805027	14.0	0.939999997616	370.459059358	5.0	20.7999992371	0.984889526349	1.0	1
1.0	136.911804199	2.0	2.0	2956.85107422	3.0	1.0	42.187579155	0.0	-0.0334178842604	-0.984706521034	0.170986399055	1.78384150665	30.8368509571	57.225151062	-23.642950058	-25.8106002808	0.641600966454	4.0	3.75999999046	151.611398697	0.0	16.3400001526	0.0395307761574	1.0	1
1.0	797.17980957	2.0	1.0	448.276123047	3.0	1.0	25.0488204956	0.0	0.999348282814	-0.0346072986722	-0.0102586774155	1.57272828681	2.49832354602	57.9014015198	-18.5771999359	-32.1304473877	0.157246559858	1.0	10.3599996567	44.8241996765	0.0	10.3599996567	0.978216267302	1.0	1
1.0	336.940887451	1.0	1.0	913.851013184	1.0	1.0	31.6406002045	2.44948974278	0.0502794384956	-0.0856275632977	-0.995057761669	0.0	9.54790145426	65.2417449951	-13.8727998734	-26.3058509827	0.582296192646	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	1679.77648926	3.0	3.0	1063.42053223	11.0	4.0	149.765466928	0.0	-0.998026072979	0.0331857390702	-0.0533173568547	15.8595832999	37.976703128	62.4655990601	-16.3273010254	-8.1560459137	0.61475777626	5.0	6.21999979019	108.632788301	2.0	11.3199996948	0.973308511928	1.0	1
1.0	636.079589844	3.0	2.0	4687.59521484	14.0	4.0	64.3359401226	0.0	0.046198066324	0.993749558926	-0.10162486881	4.33975848673	50.7599474549	64.3204956055	-16.1233501434	-10.9697999954	0.262704193592	14.0	5.11999988556	319.570225	2.0	11.3199996948	0.227955505445	1.0	1
1.0	2728.40405273	5.0	5.0	4704.03125	16.0	7.0	507.30431354	0.0	0.0461883544922	0.993750691414	-0.101618126035	1.52424123054	27.4444562918	64.7686004639	-5.67011499405	-32.2362976074	0.811267793179	22.0	3.20000004768	648.632513285	2.0	11.3199996948	0.97188351313	1.0	1
1.0	705.111633301	3.0	3.0	1032.1907959	4.0	3.0	87.5390799046	0.0	0.0461883544922	0.993750691414	-0.101618126035	1.52424123054	25.7120615164	64.7686004639	-5.67011499405	-32.2362976074	0.811267793179	6.0	7.34000015259	145.54689312	0.0	19.4599990845	0.0474254002903	1.0	1
1.0	521.026367188	2.0	2.0	2444.05810547	4.0	2.0	107.578122139	0.0	-0.0461898036301	-0.993749916553	0.10162524879	26.6284956809	6.199686707	55.4876022339	-16.410900116	5.92964506149	0.209206461906	9.0	6.01999998093	194.062486291	2.0	10.720000267	0.446149986755	1.0	1
1.0	264.027008057	1.0	1.0	917.145629883	1.0	1.0	40.6054000854	2.33805898827	0.493305027485	0.851969659328	-0.175493180752	2.23492691586	20.0013442541	62.1899490356	-29.1604499817	-27.1854000092	0.584679245949	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	3489.66967773	4.0	3.0	4401.60205078	13.0	9.0	256.201311946	0.0	0.0314098708332	-0.976059734821	0.215222984552	4.06895450482	52.5764092402	57.8812484741	-15.3677501678	-37.3348503113	0.664785146713	31.0	3.59999990463	815.009789467	12.0	24.7399997711	0.995737132644	1.0	1
1.0	1243.70556641	3.0	3.0	3546.99023438	12.0	3.0	115.048771858	1.72181296955	0.290650904179	0.935952603817	-0.198783248663	25.4531861475	26.2970281858	59.2807006836	-21.9622993469	-2.17871499062	0.9381326437	6.0	8.39999961853	125.683578014	4.0	30.2800006866	0.433389355416	1.0	1
1.0	2353.65942383	3.0	3.0	4306.06738281	13.0	7.0	183.691472054	0.0	-0.0314098708332	0.976059854031	-0.215222150087	6.53409904871	9.87432820413	53.0609512329	-29.3114509583	13.3188495636	0.962910652161	12.0	6.09999990463	253.300689816	6.0	24.7399997711	0.994083045159	1.0	1
1.0	1113.4284668	2.0	2.0	2303.28613281	4.0	2.0	130.517418623	0.0	0.0314098708332	-0.976059734821	0.215222984552	4.06895450482	37.176311342	57.8812484741	-15.3677501678	-37.3348503113	0.664785146713	4.0	12.1599998474	142.119096756	0.0	21.7600002289	0.522721971562	1.0	1
1.0	1299.28918457	3.0	3.0	1295.8157959	5.0	5.0	173.056615472	0.0	0.0314099192619	-0.976059556007	0.215223327279	13.7403297405	33.9353723579	49.6099472046	-39.1202507019	-35.1176490784	0.0343288481236	4.0	3.59999990463	125.683567047	2.0	14.6000003815	0.987464056405	1.0	1
1.0	960.571411133	2.0	2.0	1976.72619629	6.0	6.0	210.761698723	0.0	-0.0314126759768	0.976040899754	-0.215307578444	2.23492606243	37.7240216128	59.1151504517	-17.7782516479	-38.1786994934	0.950348556042	3.0	6.48000001907	97.6465015411	1.0	14.6000003815	0.71112369628	1.0	1
1.0	2129.58398438	3.0	3.0	1472.99206543	6.0	6.0	243.632897973	0.0	-0.0314098931849	0.976059615612	-0.215223133564	2.50773824897	34.2823378217	60.1384506226	-13.6446495056	-40.4658508301	0.913117706776	12.0	3.59999990463	334.511667252	3.0	24.7399997711	0.971712446234	1.0	1
1.0	602.745727539	2.0	1.0	2654.16308594	4.0	1.0	65.7420907021	1.72181296955	0.290650904179	0.935952603817	-0.198783248663	4.36802597049	54.9101116492	59.2807006836	-21.9622993469	-2.17871499062	0.9381326437	0.0	0.0	0.0	0.0	0.0	0.421537215185	1.0	1
1.0	1295.81530762	3.0	3.0	515.894287109	3.0	2.0	10.634759903	0.0	0.0314098708332	-0.976059734821	0.215222984552	37.6498778971	5.40666893896	57.8812484741	-15.3677501678	-37.3348503113	0.664785146713	3.0	12.9799995422	101.513667107	3.0	18.9599990845	0.994626854505	1.0	1
1.0	284.524993896	1.0	1.0	809.358215332	1.0	1.0	48.688999176	2.24366440464	-0.420126140118	-0.315021306276	-0.851032078266	0.0	16.5998887024	62.198348999	-23.2658996582	-30.0267486572	0.233945921063	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	1589.87854004	2.0	2.0	6088.44677734	13.0	3.0	139.487267613	0.0	0.0429977811873	0.985951662064	-0.161401897669	13.3202580873	51.2929412328	62.1505508423	-8.7222442627	-5.11137485504	0.225109696388	19.0	4.61999988556	414.514267802	10.0	30.5400009155	0.980967464478	1.0	1
1.0	244.153396606	2.0	2.0	2389.6237793	14.0	2.0	50.0049495697	0.0	-0.998987555504	0.0365973860025	-0.026163296774	1.24596287151	62.6143582681	56.4163513184	-27.2099990845	-29.4944992065	0.565876841545	4.0	9.0	96.06201756	2.0	10.5200004578	0.00657965701733	1.0	1
1.0	2322.33789062	5.0	4.0	4091.00341797	20.0	5.0	227.653798103	0.0	-0.0429979041219	-0.985947370529	0.161427736282	2.76416494332	62.4897491594	56.2525482178	-37.8359489441	-14.7442493439	0.251504838467	24.0	4.61999988556	480.31027317	16.0	30.5400009155	0.991426233909	1.0	1
1.0	1243.83581543	5.0	5.0	1128.4876709	4.0	4.0	218.442418218	0.0	0.0429126434028	0.985954999924	-0.161403954029	18.8943677149	0.0	55.4650001526	-17.6094512939	-1.18288493156	0.0330471619964	9.0	4.61999988556	238.181204319	4.0	11.779999733	0.971884298002	1.0	1
