valid	volumeS1	connectedComponentsS1	connectedComponentsS1Rel	volumeS2	connectedComponentsS2	connectedComponentsS2Rel	corticalSize	distanceMin	direction_x	direction_y	direction_z	distanceToExtremity1	distanceToExtremity2	gravityCenter_x	gravityCenter_y	gravityCenter_z	corticalDotProduct	junctions	junctionDepthMin	junctionsSize	plisDePassage	plisDePassageDepthMax	Potential	Class	cycle
1.0	386.444091797	3.0	0.0	293.697387695	1.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	5.43072113908e-13	0.0	1
1.0	3530.99609375	17.0	1.0	1285.20361328	2.0	1.0	42.1875	0.0	0.999346852303	-0.0346341691911	-0.0103107606992	71.1577768007	24.2469140675	0.3515625	-7.82274532318	6.78022003174	0.492732465267	3.0	3.75999999046	84.3749605417	2.0	12.2399997711	0.999999129176	1.0	1
1.0	1079.83557129	9.0	1.0	300.322601318	4.0	1.0	76.464799881	3.57552793113	0.56220972538	-0.745336353779	-0.358321040869	11.6058612091	15.7644025557	6.12371015549	-53.6866989136	18.2471504211	0.827087521553	0.0	0.0	0.0	0.0	0.0	0.995600402489	1.0	1
1.0	4270.76269531	15.0	1.0	1112.96020508	2.0	1.0	42.1875	0.0	0.999346852303	-0.0346341691911	-0.0103107606992	71.1577768007	24.2469140675	0.3515625	-7.82274532318	6.78022003174	0.492732465267	6.0	3.75999999046	204.345622301	4.0	19.4400005341	0.999999874607	1.0	1
1.0	2316.45727539	8.0	0.0	998.130615234	2.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	5.43072113908e-13	1.0	1
1.0	2044.84204102	6.0	0.0	726.515686035	2.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	5.43072113908e-13	1.0	1
1.0	2506.36669922	8.0	1.0	889.926086426	2.0	2.0	105.468698502	0.0	-0.0334303416312	-0.984703779221	0.170999780297	17.5112991912	30.5831775575	4.49446487427	-36.7039031982	18.9548988342	0.56856238842	1.0	3.5	5.27343988419	1.0	3.5	0.984889517089	1.0	1
1.0	2557.15649414	9.0	1.0	739.765136719	3.0	2.0	105.468698502	0.0	-0.0334303416312	-0.984703779221	0.170999780297	17.5112991912	30.5831775575	4.49446487427	-36.7039031982	18.9548988342	0.56856238842	1.0	3.5	5.27343988419	1.0	3.5	0.978216298458	1.0	1
1.0	846.463256836	1.0	0.0	361.596008301	1.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	5.43072113908e-13	0.0	1
1.0	2347.08666992	14.0	2.0	570.335021973	2.0	1.0	28.4765400887	2.84921745131	0.418883085251	0.0603953413665	0.90602940321	40.2019787657	9.27482490477	7.60239982605	-49.5147018433	9.8860244751	0.579087078571	0.0	0.0	0.0	0.0	0.0	0.999311252104	1.0	1
1.0	1263.94250488	13.0	0.0	402.685913086	2.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	5.43072113908e-13	1.0	1
1.0	2241.89550781	12.0	3.0	816.877624512	4.0	3.0	108.63273859	0.0	0.0462031140924	0.993747234344	-0.101644784212	38.4388751024	15.9936248476	4.44556522369	-51.4099502563	4.15647983551	0.808099091053	2.0	6.40000009537	32.6953001022	1.0	6.40000009537	0.999853832274	1.0	1
1.0	927.000488281	1.0	0.0	361.596008301	1.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	5.43072113908e-13	1.0	1
1.0	1612.38928223	8.0	3.0	649.22869873	4.0	3.0	85.4296383858	0.0	0.998023331165	-0.0332702361047	0.0533144548535	17.8611648477	30.708806925	5.07223987579	-40.8674507141	-9.8977355957	0.517568528652	1.0	6.40000009537	16.875	1.0	6.40000009537	0.995060527034	1.0	1
