valid	volumeS1	connectedComponentsS1	connectedComponentsS1Rel	volumeS2	connectedComponentsS2	connectedComponentsS2Rel	corticalSize	distanceMin	direction_x	direction_y	direction_z	distanceToExtremity1	distanceToExtremity2	gravityCenter_x	gravityCenter_y	gravityCenter_z	corticalDotProduct	junctions	junctionDepthMin	junctionsSize	plisDePassage	plisDePassageDepthMax	Potential	Class	cycle
1.0	386.444091797	3.0	1.0	3837.9453125	2.0	1.0	59.3261985779	3.83988286694	-0.100539080799	0.530889630318	0.841455936432	17.8730484757	52.0864384491	-1.59929156303	-4.88174343109	-29.0039997101	0.993977427483	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	1252.0793457	7.0	2.0	3952.77172852	13.0	1.0	43.505838871	0.0	-0.0334291346371	-0.984689712524	0.171081021428	47.2191067574	58.8249916164	0.803688526154	-4.35365486145	-15.5550498962	0.0255578458309	3.0	3.75999999046	127.880863786	1.0	19.4400005341	0.998382378178	1.0	1
1.0	2104.46508789	13.0	2.0	7872.42773438	14.0	1.0	102.832098961	0.0	0.0334282405674	0.98470634222	-0.170985490084	58.3399273152	49.154953694	-0.627815485001	-14.5908498764	-10.1382007599	0.43446958065	8.0	0.939999997616	212.255818486	6.0	15.4799995422	0.989933267789	1.0	1
1.0	3071.6809082	16.0	0.0	5483.09375	13.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.00050176582933	1.0	1
1.0	390.861022949	2.0	1.0	998.130371094	5.0	1.0	38.2324008942	0.0	0.999346852303	-0.0346341691911	-0.0103107606992	30.6761331736	0.0	0.3515625	-7.82274532318	6.78022003174	0.492732465267	2.0	8.47999954224	61.9629001617	2.0	18.9400005341	0.994780037049	1.0	1
1.0	2314.2487793	4.0	1.0	3303.54956055	4.0	1.0	65.9179987907	3.83988286694	-0.100539080799	0.530889630318	0.841455936432	46.4603956007	60.3761362794	-1.59929156303	-4.88174343109	-29.0039997101	0.993977427483	0.0	0.0	0.0	0.0	0.0	0.985660142528	1.0	1
1.0	1625.27416992	7.0	4.0	4725.66552734	3.0	1.0	109.423799038	3.57071421427	0.0216909777373	0.786581575871	-0.617105305195	23.8061809816	47.1170599039	0.273796498775	-22.1875991821	-5.21657752991	0.404829442501	5.0	3.75999999046	167.431622744	4.0	19.4400005341	0.961916391996	1.0	1
1.0	2537.2824707	10.0	3.0	4798.53759766	4.0	1.0	129.199144363	0.0	0.0334311984479	0.984703540802	-0.171000614762	42.1208269446	51.2640605712	-0.582984507084	-12.7145996094	-12.2744007111	0.939758300781	8.0	0.939999997616	239.941422224	5.0	19.4400005341	0.999216297169	1.0	1
1.0	1265.32849121	5.0	2.0	4001.35668945	3.0	1.0	59.3261985779	3.83988286694	-0.100539080799	0.530889630318	0.841455936432	25.8139754421	54.880905772	-1.59929156303	-4.88174343109	-29.0039997101	0.993977427483	5.0	3.75999999046	167.431622744	4.0	19.4400005341	0.918918487462	1.0	1
1.0	1457.44750977	4.0	1.0	2647.69677734	3.0	2.0	139.74610281	0.0	0.0334364436567	0.984706223011	-0.170984610915	2.47767108931	39.4616915205	1.32829999924	11.6568498611	-20.1459007263	0.673247098923	6.0	0.939999997616	181.933598638	6.0	18.9400005341	0.976749193103	1.0	1
