valid	volumeS1	connectedComponentsS1	connectedComponentsS1Rel	volumeS2	connectedComponentsS2	connectedComponentsS2Rel	corticalSize	distanceMin	direction_x	direction_y	direction_z	distanceToExtremity1	distanceToExtremity2	gravityCenter_x	gravityCenter_y	gravityCenter_z	corticalDotProduct	junctions	junctionDepthMin	junctionsSize	plisDePassage	plisDePassageDepthMax	Potential	Class	cycle
1.0	1353.66088867	1.0	1.0	1294.03723145	1.0	1.0	15.8203001022	0.0	0.999347388744	-0.0346075482666	-0.0103462012485	1.12123229337	28.1818782504	17.0602493286	49.8059997559	12.826499939	0.030849814415	1.0	1.5	1.31835997105	1.0	1.5	-1.0	0.0	1
1.0	2766.94335938	11.0	7.0	3553.0793457	14.0	7.0	358.593760014	0.0	0.999348282814	-0.0346072986722	-0.0102569758892	0.0	38.8306180035	27.781999588	32.4255981445	24.7134513855	0.557836532593	15.0	6.46000003815	382.3241992	9.0	19.2600002289	0.999625364116	1.0	1
1.0	3831.32128906	10.0	7.0	4001.35644531	14.0	10.0	511.523421764	0.0	0.999348282814	-0.0346072986722	-0.0102569758892	0.0	45.6936795795	27.781999588	32.4255981445	24.7134513855	0.557836532593	15.0	5.63999986649	461.425899744	7.0	19.2600002289	0.999998201807	1.0	1
1.0	1890.26635742	9.0	4.0	2742.6496582	13.0	4.0	296.630964279	0.0	0.0334267690778	0.984695315361	-0.171049237251	13.4601269797	0.0	21.84375	108.665496826	0.74811899662	0.979459404945	5.0	3.20000004768	92.2851819992	2.0	6.46000003815	0.999766912816	1.0	1
1.0	2086.80175781	7.0	7.0	976.049072266	4.0	4.0	206.982420444	0.0	0.999348282814	-0.0346072986722	-0.0102569758892	61.9072260618	16.0899599223	27.781999588	32.4255981445	24.7134513855	0.557836532593	9.0	10.3400001526	283.447320223	4.0	17.9799995422	0.977347460648	1.0	1
1.0	2409.20605469	3.0	3.0	2115.50805664	5.0	3.0	245.21487999	0.0	0.999348223209	-0.0346100702882	-0.0102567886934	30.9842410486	1.12115058356	1.67759990692	67.6212997437	-17.165851593	0.239190250635	6.0	1.5	205.664059281	3.0	13.5200004578	0.986030721696	1.0	1
1.0	2203.83911133	3.0	3.0	3100.38867188	6.0	3.0	266.308679819	0.0	0.999345302582	-0.0346959345043	-0.0102577209473	28.4076036187	17.5081105647	23.8697509766	81.8440551758	18.0326499939	0.0983255505562	12.0	1.5	325.634721637	5.0	10.779999733	0.996833776734	1.0	1
1.0	2630.03173828	8.0	8.0	2197.21313477	9.0	7.0	518.115365028	0.0	0.999348282814	-0.0346072986722	-0.0102569758892	0.0	27.0700813933	27.781999588	32.4255981445	24.7134513855	0.557836532593	14.0	3.20000004768	391.552701235	9.0	17.9799995422	0.999890051775	1.0	1
1.0	1154.91760254	3.0	3.0	1746.73022461	4.0	3.0	102.831963539	0.0	0.999347388744	-0.0346075482666	-0.0103462012485	1.12123229337	39.0056774213	17.0602493286	49.8059997559	12.826499939	0.030849814415	7.0	1.5	199.07235682	5.0	13.5200004578	0.890394743493	1.0	1
1.0	2451.16333008	7.0	6.0	1914.55725098	9.0	5.0	319.043125153	0.0	0.999345302582	-0.0346959345043	-0.0102577209473	28.4076036187	17.5081105647	23.8697509766	81.8440551758	18.0326499939	0.0983255505562	13.0	3.20000004768	436.376979828	6.0	13.5200004578	0.999867766723	1.0	1
