valid	volumeS1	connectedComponentsS1	connectedComponentsS1Rel	volumeS2	connectedComponentsS2	connectedComponentsS2Rel	corticalSize	distanceMin	direction_x	direction_y	direction_z	distanceToExtremity1	distanceToExtremity2	gravityCenter_x	gravityCenter_y	gravityCenter_z	corticalDotProduct	junctions	junctionDepthMin	junctionsSize	plisDePassage	plisDePassageDepthMax	Potential	Class	cycle
1.0	1294.03723145	1.0	1.0	306.947509766	1.0	1.0	69.8729991913	3.47839046812	0.652834415436	0.757342040539	-0.0154955517501	15.9342095064	3.73942652013	33.1177978516	39.5199012756	27.9248008728	0.253589242697	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	6041.78564453	8.0	3.0	1627.48266602	9.0	6.0	305.859343052	0.0	-0.0334208533168	-0.984700739384	0.171018868685	47.1819300314	17.6469261194	52.3876495361	82.0809020996	8.47327041626	0.94715064764	7.0	3.0	110.742259979	4.0	19.2600002289	0.999999975224	1.0	1
1.0	2883.98071289	8.0	1.0	792.762512207	3.0	1.0	75.1464390755	3.47839046812	0.652834415436	0.757342040539	-0.0154955517501	15.9342095064	20.4361747289	33.1177978516	39.5199012756	27.9248008728	0.253589242697	0.0	0.0	0.0	0.0	0.0	0.720973051232	1.0	1
1.0	5498.55419922	11.0	5.0	1824.01660156	8.0	5.0	464.062603474	0.0	-0.0334208533168	-0.984700739384	0.171018868685	41.2230972878	17.6469261194	52.3876495361	82.0809020996	8.47327041626	0.94715064764	15.0	3.0	295.312419534	5.0	19.2600002289	0.999999999645	1.0	1
1.0	2349.58154297	4.0	2.0	479.190795898	2.0	2.0	164.79486084	0.0	-0.999347388744	0.0346076078713	0.0103462189436	45.9245623788	7.64332155413	49.9688491821	56.5018997192	25.6152000427	0.212969228625	6.0	4.76000022888	172.705162644	1.0	19.2600002289	0.968233075181	1.0	1
1.0	2528.45117188	3.0	1.0	653.643310547	2.0	2.0	96.2402005196	0.0	-0.999347388744	0.0346076078713	0.0103462189436	45.9245623788	7.64332155413	49.9688491821	56.5018997192	25.6152000427	0.212969228625	5.0	5.01999998093	171.386802673	0.0	14.5200004578	0.999680173916	1.0	1
1.0	2080.17529297	4.0	2.0	306.947509766	1.0	1.0	138.42770195	0.0	-0.0335070937872	-0.984688460827	0.171073079109	34.3262545007	13.1301108446	50.510597229	55.9388504028	25.7038497925	0.872565090656	2.0	4.76000022888	30.322260499	0.0	5.01999998093	0.759639049909	1.0	1
1.0	3720.90844727	5.0	3.0	918.633544922	2.0	2.0	213.574280262	0.0	0.999347388744	-0.0346076078713	-0.0103462189436	38.8429313445	7.36306806099	49.9688491821	56.5018997192	25.6152000427	0.212969228625	5.0	4.0	106.787100792	2.0	13.3599996567	0.999920922076	1.0	1
1.0	1360.28479004	2.0	1.0	775.097473145	2.0	1.0	69.8729991913	3.47839046812	0.652834415436	0.757342040539	-0.0154955517501	29.216986912	10.4015211753	33.1177978516	39.5199012756	27.9248008728	0.253589242697	0.0	0.0	0.0	0.0	0.0	0.144011364086	1.0	1
1.0	2539.49194336	5.0	3.0	284.864990234	1.0	1.0	100.195259094	0.0	-0.999347388744	0.0346076078713	0.0103462189436	52.8008331233	7.64332155413	49.9688491821	56.5018997192	25.6152000427	0.212969228625	2.0	4.76000022888	21.0937601328	0.0	5.01999998093	0.991054522979	1.0	1
1.0	1130.80847168	1.0	0.0	325.436004639	1.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	4.54482678158e-09	0.0	1
1.0	3995.63256836	18.0	2.0	1857.28735352	5.0	2.0	16.875	0.0	0.046189840883	0.993750751019	-0.101616896689	48.745597758	0.0	41.6508026123	39.4781990051	32.5714988708	0.720679402351	2.0	12.8999996185	43.2422394753	1.0	18.3600006104	0.994512616554	1.0	1
1.0	5961.39941406	18.0	6.0	2194.22973633	5.0	4.0	358.593849301	0.0	-0.0461943224072	-0.993749678135	0.101624883711	62.9868150265	5.4350682225	28.9545001984	53.8382492065	27.5504989624	0.0251841507852	8.0	3.09999990463	194.062648773	5.0	18.3600006104	0.999999995865	1.0	1
1.0	5427.22363281	17.0	5.0	1242.57495117	5.0	3.0	151.875130892	0.0	-0.046189840883	-0.993750751019	0.101616896689	41.5526553778	2.03501917987	47.3816986084	83.3656005859	22.4972000122	0.347145587206	10.0	4.82000017166	247.851730585	3.0	18.3600006104	0.999999924817	1.0	1
1.0	1005.89379883	4.0	2.0	77.25	1.0	1.0	102.304595947	0.0	0.0461943224072	0.993749678135	-0.101624883711	44.1792847849	2.4675144049	28.9545001984	53.8382492065	27.5504989624	0.0251841507852	1.0	5.07999992371	16.875	1.0	5.07999992371	0.595113328162	1.0	1
1.0	2850.03198242	8.0	5.0	770.856384277	4.0	4.0	359.648575068	0.0	-0.0461943224072	-0.993749678135	0.101624883711	43.4990865677	5.4350682225	28.9545001984	53.8382492065	27.5504989624	0.0251841507852	3.0	5.07999992371	83.320400238	1.0	5.07999992371	0.999845918052	1.0	1
1.0	1650.19140625	9.0	0.0	80.5372009277	1.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	4.54482678158e-09	1.0	1
1.0	2937.14379883	8.0	4.0	486.510803223	3.0	3.0	225.703288674	0.0	0.046189840883	0.993750751019	-0.101616896689	26.6661122582	0.0	41.6508026123	39.4781990051	32.5714988708	0.842579722404	2.0	11.6999998093	60.1172008514	0.0	11.6999998093	0.999811733854	1.0	1
1.0	1328.04248047	2.0	0.0	325.436004639	1.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	4.54482678158e-09	1.0	1
1.0	3219.84594727	9.0	4.0	401.042419434	2.0	2.0	202.500091195	0.0	0.046189840883	0.993750751019	-0.101616896689	26.6661122582	24.5209647029	41.6508026123	39.4781990051	32.5714988708	0.720679402351	2.0	11.6999998093	66.445400238	0.0	12.8999996185	0.999566912764	1.0	1
1.0	715.649963379	2.0	0.0	140.698394775	1.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	4.54482678158e-09	0.0	1
1.0	4486.71533203	12.0	5.0	1200.27905273	5.0	2.0	85.0780707598	0.0	-0.999278783798	-0.034292768687	-0.0163073930889	35.7506658319	0.0	33.5713996887	84.8542480469	20.032951355	0.686999022961	1.0	11.7399997711	22.2362995148	1.0	11.1199998856	0.999998912317	1.0	1
1.0	925.829528809	6.0	0.0	293.555999756	1.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	4.54482678158e-09	1.0	1
1.0	2211.22290039	10.0	2.0	116.380096436	2.0	2.0	30.9374796152	0.0	-0.999278783798	-0.034292768687	-0.0163090731949	36.3122714063	9.48205759309	40.6488990784	77.1849517822	20.4841499329	0.28673774004	1.0	11.2600002289	32.8711013794	1.0	11.2600002289	0.985797118275	1.0	1
1.0	2181.69165039	8.0	5.0	1681.4329834	4.0	3.0	238.79867661	0.0	-0.999278783798	-0.034292768687	-0.0163073930889	26.0171686854	0.0	33.5713996887	84.8542480469	20.032951355	0.686999022961	1.0	11.2600002289	32.8711013794	3.0	11.2600002289	0.981063396517	1.0	1
1.0	3937.81542969	10.0	8.0	1196.80517578	5.0	5.0	521.103430986	0.0	-0.999278783798	-0.034292768687	-0.0163073930889	26.0171686854	0.0	33.5713996887	84.8542480469	20.032951355	0.686999022961	6.0	7.42000007629	156.621100426	4.0	13.1000003815	0.973029369785	1.0	1
1.0	2442.24414062	6.0	1.0	434.254394531	2.0	1.0	20.3027000427	2.52674096774	0.866272926331	0.490418672562	0.095188178122	40.280586326	0.0	48.6067008972	23.5437507629	33.1647491455	0.911815941334	0.0	0.0	0.0	0.0	0.0	0.731970588388	1.0	1
1.0	2572.52099609	4.0	2.0	508.94619751	3.0	3.0	171.123002052	0.0	-0.0314093194902	0.976040959358	-0.215307965875	39.4588161118	26.2436736703	43.5355529785	75.6462478638	20.8910999298	0.255980044603	2.0	8.72000026703	43.5058689117	1.0	8.72000026703	0.982121083111	1.0	1
1.0	2760.11865234	5.0	2.0	1116.90197754	4.0	3.0	84.1112985611	0.0	-0.0314092710614	0.976041078568	-0.215307623148	15.9443344721	0.0	44.2227478027	19.7136497498	31.7975006104	0.809130728245	2.0	9.76000022888	52.2070007324	0.0	9.76000022888	0.80470346503	1.0	1
1.0	2466.56298828	9.0	8.0	552.37121582	4.0	4.0	303.574240327	0.0	0.0314099192619	-0.976059556007	0.215223327279	27.1387493955	13.1722248434	61.9391479492	33.4252510071	29.2061500549	0.658997237682	3.0	7.42000007629	45.4394693375	3.0	11.1400003433	0.99060536599	1.0	1
1.0	1038.13110352	1.0	1.0	299.90447998	1.0	1.0	86.8506011963	2.38421899528	0.161851942539	-0.985891461372	-0.0426844730973	26.6273438761	16.233723632	34.3532485962	50.691947937	28.1142997742	0.653288245201	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	6505.62060547	20.0	9.0	1361.10534668	6.0	4.0	417.146044254	0.0	-0.0429130494595	-0.985964238644	0.161347478628	39.100932656	7.42317114505	47.723400116	27.3660507202	30.2728004456	0.76285558939	6.0	7.86000013351	176.333100319	3.0	15.3400001526	0.999999999998	1.0	1
1.0	5575.14746094	11.0	4.0	1591.80187988	6.0	4.0	153.962411046	0.0	0.0429985523224	0.985960662365	-0.161346882582	36.4009149793	1.20237986292	50.1584472656	24.5348510742	28.1870002747	0.696940124035	2.0	12.720000267	90.7982978821	2.0	12.720000267	0.999999999486	1.0	1
1.0	6934.33056641	22.0	13.0	2189.68798828	7.0	6.0	477.678328753	0.0	0.0429130494595	0.985964238644	-0.161347478628	37.9150018236	8.26203503015	47.723400116	27.3660507202	30.2728004456	0.76285558939	9.0	7.21999979019	301.345298767	8.0	15.3400001526	1.0	1.0	1
1.0	242.230804443	3.0	3.0	970.844604492	3.0	3.0	69.7436313629	0.0	0.998985528946	-0.0365959256887	0.0262422859669	3.04479173697	23.0678545931	41.6259994507	44.8068008423	27.2791500092	0.662580549717	2.0	9.07999992371	59.216299057	2.0	12.720000267	0.844587104611	1.0	1
1.0	1920.54223633	7.0	5.0	1149.6340332	3.0	3.0	272.395109653	0.0	-0.0429130494595	-0.985964238644	0.161347478628	25.3547113799	28.7740335602	33.8003005981	23.3100509644	31.959400177	0.537226080894	1.0	10.6800003052	40.7934989929	2.0	11.9200000763	0.996878909135	1.0	1
1.0	251.843109131	1.0	1.0	1086.19262695	2.0	2.0	94.7461013794	0.0	-0.998985528946	0.0365959256887	-0.0262422859669	0.0	6.1366503716	22.2695999146	53.9136009216	17.5862503052	0.0241167992353	1.0	4.40000009537	10.527299881	1.0	4.40000009537	0.091854352766	1.0	1
1.0	2574.1809082	11.0	5.0	532.522338867	4.0	4.0	269.763258934	0.0	-0.9989823699	0.0366784408689	-0.0262459050864	51.262960442	2.76970203987	55.9705505371	63.0103492737	31.0754508972	0.319924652576	7.0	9.07999992371	232.917399406	6.0	14.279999733	0.998424331968	1.0	1
1.0	1991.67407227	5.0	2.0	299.90447998	1.0	1.0	118.432601929	0.0	-0.042994864285	-0.98594725132	0.161429032683	44.8540479792	2.71134993964	46.5303497314	60.2040481567	30.0460510254	0.599495530128	2.0	11.1599998474	50.0047988892	1.0	11.1599998474	0.811596631878	1.0	1
1.0	2770.27148438	10.0	3.0	336.431610107	4.0	4.0	130.275888443	0.0	-0.0429130494595	-0.985964238644	0.161347478628	22.5988402483	4.27732011623	47.723400116	27.3660507202	30.2728004456	0.76285558939	6.0	9.07999992371	173.701140642	5.0	14.279999733	0.999833845014	1.0	1
1.0	539.283508301	2.0	1.0	114.767501831	1.0	1.0	42.1875	5.14504619967	0.777712583542	-0.27085313201	0.567275643349	14.0159526944	4.52732921529	39.7529983521	52.2466506958	27.0069007874	0.634296357632	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	4622.78613281	22.0	6.0	1098.31262207	6.0	6.0	239.062549949	0.0	0.0037282446865	0.980662882328	-0.195669427514	71.8789299197	5.01509409914	71.4304504395	41.081451416	21.0905990601	0.676545023918	5.0	8.34000015259	199.511701584	1.0	16.7399997711	0.999999988211	1.0	1
1.0	3183.87329102	17.0	2.0	260.38659668	4.0	2.0	117.773412108	0.0	0.999825954437	0.0	0.0186565555632	29.5974838012	17.2176546555	66.3180007935	54.5657997131	32.2817497253	0.503679573536	1.0	7.13999986649	4.39452981949	2.0	8.42000007629	0.982167757629	1.0	1
1.0	3336.89599609	21.0	9.0	1325.37963867	9.0	6.0	417.480510712	0.0	-0.999825954437	0.0	-0.0186530370265	58.4300672078	22.0076918594	62.314453125	75.6341018677	14.0241498947	0.560068964958	6.0	6.76000022888	195.11716938	3.0	21.3799991608	0.999578178569	1.0	1
1.0	1420.4017334	9.0	3.0	64.171005249	2.0	2.0	22.8515305519	0.0	-0.00372796668671	-0.980685830116	0.195553958416	34.3020603996	2.26145150775	15.0326499939	64.650604248	10.674249649	0.959714353085	1.0	12.4799995422	1.7578099966	2.0	12.4799995422	0.816748810827	1.0	1
1.0	1417.93371582	8.0	4.0	813.244750977	5.0	5.0	280.370953798	0.0	-0.00372796668671	-0.980685830116	0.195553958416	34.3020603996	2.26145150775	15.0326499939	64.650604248	10.674249649	0.959714353085	6.0	7.13999986649	88.7694504261	6.0	12.4799995422	0.988672271459	1.0	1
1.0	1599.34020996	8.0	4.0	501.028198242	3.0	3.0	232.031052828	0.0	-0.00372796668671	-0.980685830116	0.195553958416	34.1728144875	2.26145150775	15.0326499939	64.650604248	10.674249649	0.959714353085	2.0	7.13999986649	33.3984303474	4.0	9.52000045776	0.976648013834	1.0	1
1.0	1558.61657715	10.0	2.0	60.4688987732	1.0	1.0	32.5195007324	0.0	-0.0037282446865	-0.980662882328	0.195669427514	30.7502878067	1.98498195467	16.0983505249	58.8107528687	11.8597002029	0.82256513834	1.0	7.40000009537	14.9413995743	0.0	7.40000009537	0.979680304346	1.0	1
1.0	1172.35595703	9.0	5.0	419.580413818	3.0	2.0	125.683502197	0.0	-0.0037282446865	-0.980662882328	0.195669427514	30.7502878067	1.98498195467	16.0983505249	58.8107528687	11.8597002029	0.82256513834	4.0	7.13999986649	22.851549387	4.0	12.4799995422	0.964913574582	1.0	1
1.0	1336.83740234	1.0	0.0	72.5946960449	1.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	4.54482678158e-09	0.0	1
1.0	6634.87939453	16.0	5.0	1831.30212402	7.0	3.0	309.638608456	0.0	-0.99950671196	-0.0309955105186	-0.00506545929238	50.7502164789	9.49406408276	36.7472991943	68.7870941162	25.2285003662	0.961667954922	8.0	4.19999980927	188.52545929	2.0	17.5599994659	1.0	1.0	1
1.0	731.425598145	3.0	2.0	705.400756836	2.0	1.0	71.9824199677	0.0	0.0288045406342	-0.963112413883	0.26755335927	26.0816775965	5.08834758325	18.9302005768	55.4226989746	17.0107002258	0.821240901947	3.0	12.9399995804	141.679599762	0.0	16.1399993896	0.345136606927	1.0	1
1.0	4721.39257812	18.0	7.0	2242.21484375	10.0	6.0	796.376772404	0.0	-0.0288045927882	0.963112235069	-0.26755386591	44.5597359548	19.0639567835	55.2953033447	27.5526008606	31.0774002075	0.998358130455	12.0	4.40000009537	357.626976967	2.0	4.5	0.999999999935	1.0	1
1.0	3181.83764648	3.0	2.0	819.087463379	4.0	2.0	286.78718996	0.0	0.999507427216	0.0309878066182	0.00496307201684	38.692002338	9.19125600839	31.9052009583	66.0279998779	23.0073509216	0.834923148155	3.0	4.40000009537	82.2655982971	1.0	4.40000009537	0.999912049175	1.0	1
1.0	1921.70458984	4.0	4.0	1708.02941895	5.0	3.0	302.783172131	0.0	0.999507427216	0.0309878066182	0.00496307201684	38.692002338	9.19125600839	31.9052009583	66.0279998779	23.0073509216	0.834923148155	5.0	4.40000009537	235.371099472	2.0	14.4200000763	0.979502802538	1.0	1
1.0	1898.41918945	2.0	0.0	72.5946960449	1.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	4.54482678158e-09	1.0	1
1.0	2333.98681641	4.0	2.0	720.468322754	3.0	3.0	166.816530704	0.0	0.0289058294147	-0.963135540485	0.267459183931	64.0407966285	21.7867352928	60.8419494629	40.9197998047	23.0649490356	0.356356054544	2.0	8.69999980927	79.9804992676	0.0	8.80000019073	0.999727445872	1.0	1
1.0	2624.36572266	2.0	1.0	536.927001953	3.0	2.0	159.960981369	1.15144690835	0.727552890778	-0.658476889133	0.192548826337	26.8302964413	20.8715737095	30.1055488586	60.3906478882	23.086151123	0.438557296991	0.0	0.0	0.0	0.0	0.0	0.998837338287	1.0	1
1.0	3221.55981445	4.0	3.0	817.717468262	4.0	2.0	227.373091221	0.0	0.999507427216	0.0309878066182	0.00496307201684	38.692002338	9.19125600839	31.9052009583	66.0279998779	23.0073509216	0.834923148155	3.0	4.40000009537	82.2656002045	1.0	4.40000009537	0.99998537157	1.0	1
1.0	818.476318359	2.0	0.0	71.7220993042	1.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	4.54482678158e-09	0.0	1
1.0	3657.83081055	13.0	5.0	738.316894531	7.0	6.0	196.874991417	0.0	0.0535312853754	0.956509947777	-0.286745578051	41.1967014807	1.07411820375	43.6071472168	84.1641998291	31.089099884	0.852005839348	8.0	1.0	239.94140029	1.0	25.8199996948	0.999981371996	1.0	1
1.0	957.701477051	6.0	2.0	592.059082031	2.0	1.0	69.4336013794	0.0	0.99568939209	-0.0703903064132	-0.0603980571032	55.7698736649	36.8787802617	29.721950531	52.348449707	27.6902503967	0.920315086842	2.0	4.59999990463	36.035159111	1.0	5.03999996185	0.638631650731	1.0	1
1.0	6469.05859375	18.0	8.0	1465.38244629	6.0	5.0	516.796951532	0.0	0.0535312853754	0.956509947777	-0.286745578051	50.6290531749	1.92211856694	43.6071472168	84.1641998291	31.089099884	0.449586182833	20.0	3.03999996185	426.269676566	9.0	25.8199996948	0.999999999993	1.0	1
1.0	856.446838379	2.0	1.0	33.7515983582	1.0	1.0	29.0039203167	1.96606461987	0.191168144345	-0.945515990257	0.263541787863	31.6154182001	3.05305081983	33.0217514038	35.3024978638	31.1875495911	0.652776539326	0.0	0.0	0.0	0.0	0.0	0.144011460978	1.0	1
1.0	3330.15795898	4.0	3.0	347.360626221	2.0	2.0	108.105461359	0.0	0.0535350143909	0.956509590149	-0.286746531725	41.4387829152	2.4302526473	47.8134498596	38.898399353	28.9197998047	0.215981379151	2.0	7.03999996185	42.1875	0.0	7.51999998093	0.999742125738	1.0	1
1.0	2410.42724609	3.0	2.0	507.680603027	3.0	3.0	137.988229632	0.0	0.0536251068115	0.956504762173	-0.286745786667	44.6634468702	0.0	31.5227012634	68.7230987549	29.0382995605	0.689283132553	5.0	3.03999996185	62.4023599625	2.0	6.69999980927	0.996618401421	1.0	1
1.0	3044.67553711	3.0	3.0	192.665298462	4.0	4.0	174.902371407	0.0	-0.0536251068115	-0.956504762173	0.286745786667	25.7556750516	3.40233365921	31.5227012634	68.7230987549	29.0382995605	0.689283132553	6.0	1.0	71.1913545132	1.0	3.25999999046	0.992291261993	1.0	1
1.0	40.783203125	2.0	1.0	53.4399986267	1.0	1.0	23.7304992676	0.0	-0.995689570904	0.0703867897391	0.060398068279	5.94718448477	2.68227703992	60.4802513123	41.9222488403	28.2599506378	0.439297109842	1.0	6.03999996185	18.4570007324	0.0	6.03999996185	0.118098801166	1.0	1
1.0	925.638000488	1.0	0.0	231.410003662	1.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	4.54482678158e-09	0.0	1
1.0	2981.09912109	14.0	2.0	435.594787598	4.0	2.0	46.0	0.0	0.0178714543581	0.144278362393	-0.989375710487	62.9649483189	6.20600881732	55.410697937	79.5	5.87527513504	0.357844799757	1.0	11.220000267	33.0	0.0	11.220000267	0.974007166884	1.0	1
1.0	2273.25927734	19.0	6.0	579.142578125	5.0	4.0	162.0	0.0	-0.00273948349059	0.988859832287	0.148824244738	51.3680424121	40.971041245	45.2459487915	68.4723510742	26.3118515015	0.370363801718	3.0	2.74000000954	48.0	1.0	2.74000000954	0.990826625417	1.0	1
1.0	1204.07177734	7.0	3.0	241.309417725	3.0	2.0	59.0	0.0	0.999845981598	0.0	0.0175493974239	21.7255181395	9.16835362488	37.1027984619	61.6697006226	25.145149231	0.568076431751	2.0	2.0	36.0	1.0	2.0	0.50052021119	1.0	1
1.0	2362.35742188	6.0	3.0	569.243103027	4.0	3.0	150.0	0.0	0.999845981598	0.0	0.0175493974239	53.4852696755	0.0	37.1027984619	61.6697006226	25.145149231	0.351169168949	4.0	2.0	93.0	2.0	11.0	0.97525917052	1.0	1
1.0	2628.41674805	9.0	4.0	601.417541504	5.0	5.0	299.0	0.0	-0.00264555681497	0.988875985146	0.148718863726	51.4045782403	15.5536971723	37.629901886	53.5103988647	26.0994987488	0.788246035576	2.0	2.0	29.0	2.0	11.0	0.992557741314	1.0	1
