valid	volumeS1	connectedComponentsS1	connectedComponentsS1Rel	volumeS2	connectedComponentsS2	connectedComponentsS2Rel	corticalSize	distanceMin	direction_x	direction_y	direction_z	distanceToExtremity1	distanceToExtremity2	gravityCenter_x	gravityCenter_y	gravityCenter_z	corticalDotProduct	junctions	junctionDepthMin	junctionsSize	plisDePassage	plisDePassageDepthMax	Potential	Class	cycle
1.0	1625.2701416	1.0	1.0	1713.60498047	1.0	1.0	160.839900136	2.21201268665	-0.771256744862	0.11066647619	-0.626830101013	38.2975124896	50.7360207232	61.6540985107	12.6974506378	-48.4696006775	0.942214310169	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	476.983093262	5.0	1.0	2296.5847168	7.0	1.0	7.9101600647	0.0	-0.0334203839302	-0.984688639641	0.171089023352	2.47757572663	55.8204475375	55.4720535278	30.5190010071	-56.8857498169	0.64510345459	1.0	9.15999984741	26.3672008514	0.0	9.15999984741	0.981374082173	1.0	1
1.0	1881.42724609	4.0	3.0	2784.60791016	5.0	4.0	355.957163453	0.0	0.0334203839302	0.984688639641	-0.171089023352	52.8995099627	55.6697875345	55.4720535278	30.5190010071	-56.8857498169	0.867304563522	2.0	9.15999984741	92.285200119	1.0	11.779999733	0.687790364663	1.0	1
1.0	2064.71264648	7.0	4.0	4699.16357422	12.0	6.0	189.843819737	0.0	-0.999344348907	0.0346956290305	0.0103437006474	54.7490189695	29.9476634953	34.0509986877	46.6374511719	-68.379699707	0.623418569565	1.0	15.5399999619	46.1426010132	3.0	22.5400009155	0.993725276558	1.0	1
1.0	1625.2701416	1.0	1.0	1808.55993652	2.0	2.0	196.435599446	0.0	-0.999344348907	0.0346956290305	0.0103437006474	1.10418696955	31.0787996015	34.0509986877	46.6374511719	-68.379699707	0.592501223087	1.0	15.5399999619	31.6406002045	0.0	15.5399999619	0.176122769964	1.0	1
1.0	1439.77709961	4.0	3.0	865.635498047	7.0	2.0	25.0488005877	2.70549621656	-0.253994733095	0.371794819832	-0.892891526222	28.1168901068	51.5369207386	70.2273025513	29.489200592	-37.03150177	0.581225395203	0.0	0.0	0.0	0.0	0.0	0.989800360031	1.0	1
1.0	1883.63513184	3.0	1.0	2261.25146484	4.0	2.0	162.158260107	0.0	-0.999344348907	0.0346956290305	0.0103437006474	1.10418696955	26.6044487237	34.0509986877	46.6374511719	-68.379699707	0.254607141018	1.0	15.5399999619	34.2773017883	1.0	15.5399999619	0.55998567163	1.0	1
1.0	3246.1237793	5.0	4.0	1711.3963623	7.0	4.0	304.54105866	0.0	-0.99934732914	0.0346089676023	0.010343731381	50.8679740234	36.6515292277	41.2084999084	27.2859992981	-68.7676010132	0.757056295872	3.0	7.63999986649	97.558599472	4.0	22.5400009155	0.982089922323	1.0	1
1.0	362.153503418	4.0	1.0	585.186767578	5.0	1.0	10.5468997955	0.0	0.999344289303	-0.0346990302205	-0.010343699716	13.1805453652	22.8165664184	29.4664993286	44.3200492859	-69.714302063	0.777287125587	1.0	8.26000022888	22.4120998383	0.0	8.26000022888	0.999811236742	1.0	1
1.0	862.898925781	2.0	2.0	1888.51647949	1.0	1.0	104.414040089	2.18639662027	-0.260550200939	-0.961483359337	0.0875402614474	19.2303739302	45.9697750141	64.2531509399	25.4304504395	-51.382850647	0.445759803057	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	3502.5480957	7.0	4.0	3650.47338867	13.0	10.0	421.874969482	0.0	-0.0461883544922	-0.993750691414	0.101618126035	2.09659804037	29.2934112536	64.7686004639	-5.67011499405	-32.2362976074	0.811267793179	9.0	7.73999977112	326.953149796	0.0	23.2600002289	0.991556554593	1.0	1
1.0	1745.52160645	3.0	1.0	2800.72338867	11.0	1.0	179.29683733	2.18639662027	-0.260550200939	-0.961483359337	0.0875402614474	38.6444157562	58.2069524748	64.2531509399	25.4304504395	-51.382850647	0.445759803057	0.0	0.0	0.0	0.0	0.0	0.537883379818	1.0	1
1.0	2565.6862793	9.0	6.0	4662.94189453	14.0	9.0	298.476350784	0.0	0.998024761677	-0.0332172550261	0.0533220730722	0.0	39.1884142512	60.5636520386	1.22302007675	-43.2650527954	0.416383445263	13.0	6.21999979019	397.617064953	0.0	23.2600002289	0.998144892718	1.0	1
1.0	987.813842773	4.0	2.0	2307.63916016	5.0	2.0	81.2109398842	0.0	-0.0461943149567	-0.993749558926	0.101626746356	17.3159343742	33.3193498908	40.7860031128	55.8712501526	-64.3937988281	0.394894897938	2.0	9.57999992371	55.898399353	0.0	9.57999992371	0.479296027099	1.0	1
1.0	2001.92468262	6.0	3.0	746.202941895	4.0	3.0	55.8983011246	0.0	0.0503059774637	-0.0856133252382	-0.995057582855	0.0	15.9029563986	34.1245498657	52.1274490356	-69.3837509155	0.955120503902	2.0	9.96000003815	83.3203010559	0.0	19.4599990845	0.991007459526	1.0	1
1.0	1448.02685547	3.0	2.0	1888.51647949	1.0	1.0	179.29683733	2.18639662027	-0.260550200939	-0.961483359337	0.0875402614474	38.5085201992	45.9697750141	64.2531509399	25.4304504395	-51.382850647	0.445759803057	0.0	0.0	0.0	0.0	0.0	0.267546236503	1.0	1
1.0	1852.35656738	6.0	1.0	13.148900032	1.0	1.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	18.1200008392	58.0077991486	0.0	18.1200008392	0.970074278342	1.0	1
1.0	476.648925781	2.0	2.0	1888.51647949	1.0	1.0	74.8828396797	2.18639662027	-0.260550200939	-0.961483359337	0.0875402614474	1.43318157871	45.9697750141	64.2531509399	25.4304504395	-51.382850647	0.445759803057	0.0	0.0	0.0	0.0	0.0	0.146592198524	1.0	1
1.0	2970.01611328	7.0	3.0	3103.1496582	9.0	6.0	316.40609169	0.0	-0.0461943149567	-0.993749558926	0.101626746356	17.3159343742	33.3193498908	40.7860031128	55.8712501526	-64.3937988281	0.394894897938	6.0	7.73999977112	178.242099762	1.0	20.2399997711	0.985584867541	1.0	1
1.0	74.6918029785	1.0	1.0	1778.70605469	1.0	1.0	62.8418006897	2.56682491516	-0.832466244698	-0.265455782413	-0.486346930265	0.0	51.4819517639	52.5191993713	19.8535499573	-65.5480041504	0.277207672596	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	2921.66845703	7.0	4.0	3751.95654297	9.0	7.0	327.744140387	0.0	0.0314135886729	-0.976059794426	0.215221658349	41.4706221318	56.0109264068	52.7649497986	9.88505554199	-58.4405517578	0.882308602333	4.0	4.73999977112	98.6132779121	2.0	17.4400005341	0.966105126224	1.0	1
1.0	2932.09033203	8.0	5.0	3736.32446289	7.0	4.0	264.902263165	0.0	0.999280273914	0.0342894010246	0.0162216406316	31.0010592372	26.7557389708	5.29141998291	47.5090484619	-48.198299408	0.321403741837	3.0	10.8400001526	65.7421808243	0.0	36.0600013733	0.938549457027	1.0	1
1.0	3710.27441406	10.0	5.0	2466.5637207	8.0	7.0	230.097569227	0.0	-0.0314092710614	0.976041078568	-0.215307623148	56.1341276159	47.1537648451	47.9546508789	22.2994499207	-69.702003479	0.685210347176	2.0	28.3999996185	68.6426010132	1.0	17.4400005341	0.996015516626	1.0	1
1.0	679.17401123	4.0	4.0	2959.87841797	3.0	2.0	253.300703049	2.27554171474	0.0381788723171	-0.969945430756	-0.240308567882	23.5259969859	18.0178066762	4.85252475739	47.5167999268	-56.6287994385	0.141531705856	0.0	0.0	0.0	0.0	0.0	0.172287802556	1.0	1
1.0	2150.43237305	4.0	4.0	1563.3157959	5.0	5.0	275.537053585	0.0	0.0314092151821	-0.976041138172	0.215307250619	47.7606182975	58.2519111811	60.9158477783	34.7101516724	-55.2840995789	0.205273970962	1.0	9.19999980927	29.9706993103	1.0	17.4400005341	0.982627764224	1.0	1
1.0	1050.89575195	2.0	2.0	802.50201416	1.0	1.0	42.5389995575	0.0	-0.0314092710614	0.976041078568	-0.215307623148	3.77270475425	0.0	47.9546508789	22.2994499207	-69.702003479	0.685210347176	0.0	0.0	0.0	1.0	17.4400005341	0.0771896373109	1.0	1
1.0	976.203979492	1.0	1.0	406.461791992	3.0	2.0	43.5058976412	2.56682491516	0.832466244698	0.265455782413	0.486346930265	7.08126337062	41.8342195901	52.5191993713	19.8535499573	-65.5480041504	0.277207672596	0.0	0.0	0.0	0.0	0.0	0.993228354168	1.0	1
1.0	2537.78808594	4.0	3.0	2306.75927734	6.0	3.0	218.496047616	0.0	-0.0314092710614	0.976041078568	-0.215307623148	28.873554144	47.1537648451	47.9546508789	22.2994499207	-69.702003479	0.685210347176	1.0	4.73999977112	5.80077981949	2.0	17.4400005341	0.96888582074	1.0	1
1.0	805.512817383	1.0	1.0	2145.47094727	1.0	1.0	134.223597884	1.86030106764	-0.0342874862254	-0.982957065105	-0.180609419942	0.0	40.9557211358	41.1541519165	47.8138504028	-74.0121002197	0.695123970509	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	4019.87475586	11.0	5.0	3771.87524414	7.0	2.0	214.494547844	0.0	-0.0429126620293	-0.985964477062	0.161346018314	1.28316484972	16.5990806968	69.0397949219	3.3525249958	-12.1612997055	0.379545688629	14.0	6.40000009537	531.630852461	7.0	21.7800006866	0.99999997077	1.0	1
1.0	2478.05664062	6.0	5.0	2074.33959961	9.0	5.0	302.661126137	0.0	-0.0429120846093	-0.985953330994	0.161414414644	25.0926432858	28.8395239151	30.0942001343	51.8730010986	-74.2534484863	0.0668661594391	10.0	8.31999969482	344.770592213	4.0	20.5200004578	0.862431690016	1.0	1
