valid	volumeS1	connectedComponentsS1	connectedComponentsS1Rel	volumeS2	connectedComponentsS2	connectedComponentsS2Rel	corticalSize	distanceMin	direction_x	direction_y	direction_z	distanceToExtremity1	distanceToExtremity2	gravityCenter_x	gravityCenter_y	gravityCenter_z	corticalDotProduct	junctions	junctionDepthMin	junctionsSize	plisDePassage	plisDePassageDepthMax	Potential	Class	cycle
1.0	2307.62084961	2.0	2.0	181.076797485	1.0	1.0	55.3711013794	2.11018480368	0.392637461424	-0.89873623848	-0.195215091109	30.1411251741	1.12113133809	33.9482002258	59.8529510498	-69.7605438232	0.439557015896	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	3860.02856445	15.0	2.0	1872.59570312	5.0	3.0	81.7383794785	0.0	-0.999344289303	0.0346990302205	0.010343699716	45.1083669679	25.930330099	29.4664993286	44.3200492859	-69.714302063	0.777287125587	3.0	8.26000022888	96.2402000427	2.0	15.5399999619	0.990816641231	1.0	1
1.0	2747.06396484	7.0	3.0	143.536499023	1.0	1.0	65.9180011749	0.0	0.999344289303	-0.0346990302205	-0.010343699716	13.1805453652	0.0	29.4664993286	44.3200492859	-69.714302063	0.777287125587	1.0	8.26000022888	22.4120998383	0.0	8.26000022888	0.0526856696892	1.0	1
1.0	5829.79101562	21.0	6.0	1618.64562988	2.0	2.0	196.435622931	0.0	0.999347627163	-0.0346007533371	-0.0103428009897	58.9059847474	3.53899809587	17.2289505005	77.0182037354	-64.3115997314	0.521274864674	3.0	2.81999993324	40.8692393303	2.0	19.1399993896	0.999933376883	1.0	1
1.0	3031.9284668	6.0	4.0	936.299560547	3.0	3.0	201.70899868	0.0	0.999347627163	-0.0346007533371	-0.0103428009897	46.1054248986	3.53899809587	17.2289505005	77.0182037354	-64.3115997314	0.521274864674	4.0	1.5	96.2402570248	2.0	5.28000020981	0.981374089278	1.0	1
1.0	4021.22631836	5.0	2.0	408.526794434	1.0	1.0	83.0566005707	2.11018480368	0.392637461424	-0.89873623848	-0.195215091109	30.1411251741	25.018918623	33.9482002258	59.8529510498	-69.7605438232	0.439557015896	0.0	0.0	0.0	0.0	0.0	0.969840242161	1.0	1
1.0	2959.0559082	4.0	2.0	181.076797485	1.0	1.0	55.3711013794	2.11018480368	0.392637461424	-0.89873623848	-0.195215091109	40.9416460806	1.12113133809	33.9482002258	59.8529510498	-69.7605438232	0.439557015896	0.0	0.0	0.0	0.0	0.0	0.694674358698	1.0	1
1.0	3855.60693359	8.0	2.0	635.977478027	3.0	3.0	135.790998459	0.0	0.999348521233	-0.0346038751304	-0.0102552687749	49.7797811499	0.0	13.962600708	78.8184051514	-60.9487495422	0.143444538116	2.0	1.5	48.7793209553	3.0	15.5399999619	0.998154642388	1.0	1
1.0	1695.93505859	2.0	2.0	978.256469727	3.0	2.0	52.7344007492	0.0	-0.0334202125669	-0.98468875885	0.171088129282	37.4697957788	3.04662771933	31.3316497803	77.1820983887	-57.3276519775	0.921079814434	1.0	22.3400001526	65.9179992676	1.0	19.1399993896	0.550869874416	1.0	1
1.0	2457.78637695	8.0	5.0	2312.03759766	4.0	3.0	267.62699914	0.0	0.0334173925221	0.984691977501	-0.171070232987	10.5010498975	24.7293528738	28.8667507172	44.2866516113	-73.3199462891	0.0310802459717	5.0	1.5	101.51371789	3.0	10.6999998093	0.998524881947	1.0	1
