valid	volumeS1	connectedComponentsS1	connectedComponentsS1Rel	volumeS2	connectedComponentsS2	connectedComponentsS2Rel	corticalSize	distanceMin	direction_x	direction_y	direction_z	distanceToExtremity1	distanceToExtremity2	gravityCenter_x	gravityCenter_y	gravityCenter_z	corticalDotProduct	junctions	junctionDepthMin	junctionsSize	plisDePassage	plisDePassageDepthMax	Potential	Class	cycle
1.0	2307.62084961	2.0	1.0	777.305603027	1.0	1.0	40.8690986633	2.63150526245	0.794881939888	-0.592621982098	-0.130238085985	14.4772012305	2.38183974125	29.7829017639	91.8070983887	-40.8228492737	0.271867871284	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	7355.69677734	22.0	11.0	4200.09863281	9.0	8.0	756.73852396	0.0	0.999345302582	-0.0346959345043	-0.0102577209473	28.4076036187	34.8563493196	23.8697509766	81.8440551758	18.0326499939	0.0983255505562	34.0	2.25999999046	1074.46301889	13.0	15.0600004196	0.999999999906	1.0	1
1.0	8444.36132812	24.0	12.0	4034.47998047	11.0	10.0	934.717191458	0.0	0.999348223209	-0.0346106998622	-0.0102552734315	57.3362648385	0.0	30.6870994568	75.2723999023	-58.7971496582	0.168394759297	28.0	3.0	1009.86344242	10.0	15.0600004196	0.999999999382	1.0	1
1.0	7141.49023438	23.0	11.0	2223.7121582	8.0	7.0	348.046865702	0.0	0.0334267690778	0.984695315361	-0.171049237251	13.4601269797	19.259485063	21.84375	108.665496826	0.74811899662	0.979459404945	18.0	6.01999998093	487.793105125	6.0	13.8599996567	0.999996430858	1.0	1
1.0	1868.18261719	5.0	2.0	856.802124023	1.0	1.0	46.1425385475	2.63150526245	-0.794881939888	0.592621982098	0.130238085985	26.2195519562	26.9457802493	29.7829017639	91.8070983887	-40.8228492737	0.271867871284	0.0	0.0	0.0	0.0	0.0	0.814542415382	1.0	1
1.0	4063.18310547	6.0	2.0	1274.16235352	4.0	4.0	209.619241476	0.0	0.999348223209	-0.0346106998622	-0.0102552734315	49.4652976725	0.0	30.6870994568	75.2723999023	-58.7971496582	0.168394759297	5.0	3.57999992371	159.521498919	4.0	19.1399993896	0.999236685357	1.0	1
1.0	1561.23144531	5.0	2.0	1241.03869629	4.0	3.0	36.9141597748	0.0	0.0334177687764	0.984706580639	-0.170985803008	37.9864204637	2.4777139099	32.4231491089	76.8450469971	-59.0977020264	0.643536329269	4.0	6.78000020981	131.835899353	2.0	6.96000003815	0.84524372612	1.0	1
1.0	3009.84936523	4.0	2.0	499.065917969	2.0	2.0	72.5098023415	0.0	-0.999345123768	0.0346990562975	0.0102586448193	30.8891411031	23.3802791081	52.2993011475	75.7461547852	-32.0726470947	0.877267420292	1.0	7.57999992371	18.4570007324	1.0	11.4799995422	0.986391753419	1.0	1
1.0	2983.34643555	3.0	1.0	172.244110107	2.0	2.0	22.4121208191	0.0	-0.999345123768	0.0346990562975	0.0102586448193	30.8891411031	0.0	52.2993011475	75.7461547852	-32.0726470947	0.877267420292	1.0	7.57999992371	18.4570007324	1.0	11.4799995422	0.312215319223	1.0	1
1.0	2683.02832031	6.0	4.0	1411.07434082	3.0	2.0	146.337900639	0.0	-0.0334207266569	-0.984703958035	0.171000942588	41.9345105352	26.8907203296	56.0915527344	71.804901123	-31.4521999359	0.875481545925	2.0	6.78000020981	43.5058002472	2.0	11.4799995422	0.999303951325	1.0	1
1.0	2424.3347168	2.0	0.0	285.989013672	1.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1.99512383894e-05	0.0	1
1.0	7634.59960938	23.0	14.0	4118.90380859	9.0	8.0	657.070216298	0.0	0.998022913933	-0.0332701578736	0.0533227920532	59.0405134341	10.2823771407	0.390998989344	86.5996551514	-14.8083496094	0.950715065002	19.0	3.09999990463	490.42972672	12.0	18.3600006104	0.99999992402	1.0	1
1.0	2534.45703125	10.0	5.0	1323.11157227	6.0	5.0	120.234460354	0.0	0.998025715351	-0.0331840887666	0.0533250458539	43.3847645259	5.3376127995	18.4264984131	99.3349990845	-25.3375511169	0.39628136158	10.0	7.96000003815	417.656208992	1.0	11.5600004196	0.696036472568	1.0	1
1.0	5492.96728516	21.0	10.0	4373.66455078	12.0	11.0	582.187491179	0.0	0.998025655746	-0.0331841446459	0.0533268228173	15.7805151438	64.4921113151	36.2426986694	80.6732025146	27.9927501678	0.562948703766	18.0	3.09999990463	445.078187585	7.0	18.3600006104	0.999999557781	1.0	1
1.0	1628.8236084	3.0	3.0	1683.06420898	3.0	2.0	145.546899796	0.0	-0.998025655746	0.0331840291619	-0.0533266440034	43.8088708264	15.9991678975	41.3750991821	78.176399231	-47.9443511963	0.072800591588	6.0	3.20000004768	204.609445095	1.0	3.20000004768	0.637589595417	1.0	1
1.0	3113.01049805	12.0	11.0	2629.78686523	8.0	8.0	411.328155756	0.0	-0.998037755489	0.0328228063881	-0.0533226765692	21.4271645947	2.86641306384	18.5455513	100.223495483	-26.8670501709	0.498811244965	7.0	5.82000017166	176.13270092	5.0	10.2600002289	0.997916924401	1.0	1
1.0	1318.18041992	4.0	4.0	567.048217773	3.0	3.0	110.742219925	0.0	-0.998025715351	0.0331840887666	-0.0533250458539	5.3376127995	1.74264123593	18.4264984131	99.3349990845	-25.3375511169	0.590950906277	6.0	8.80000019073	196.171901703	0.0	22.1800003052	0.773233957434	1.0	1
1.0	2942.07373047	11.0	9.0	2345.44189453	7.0	7.0	413.437503338	0.0	0.0461528003216	0.99376064539	-0.1015374735	2.07968815116	1.01835494309	2.97601008415	100.837005615	-20.4960002899	0.918658018112	9.0	5.82000017166	367.031302452	3.0	18.3600006104	0.990321750371	1.0	1
1.0	1548.28674316	6.0	6.0	1426.65917969	4.0	4.0	249.96088171	0.0	0.0461943224072	0.993749678135	-0.101624883711	36.0244447579	21.5227228783	57.5869979858	78.0426483154	-24.0401992798	0.685591101646	8.0	3.20000004768	297.421844959	2.0	5.92000007629	0.753437779472	1.0	1
1.0	456.925598145	2.0	1.0	1658.40917969	3.0	3.0	75.9375596046	0.0	-0.046193856746	-0.993739664555	0.101723216474	1.82322126478	43.3372240716	33.3506011963	73.9365539551	-59.4418487549	0.148166805506	3.0	9.06000041962	144.492198944	0.0	22.1800003052	0.975948194692	1.0	1
1.0	7361.48535156	18.0	11.0	1782.18005371	13.0	11.0	420.556629181	0.0	0.0314130336046	-0.976050317287	0.215264797211	64.0019035056	26.1392672335	63.3185501099	71.7501525879	-1.63305497169	0.439137786627	11.0	8.72000026703	362.548763275	2.0	11.3000001907	0.999998963645	1.0	1
1.0	2723.65039062	8.0	3.0	479.416809082	6.0	3.0	123.749962568	0.0	0.999280273914	0.0342894569039	0.0162216667086	54.5923279008	76.3401490657	40.1823997498	61.8412475586	-61.7411994934	0.365521609783	2.0	0.939999997616	31.9042893648	1.0	0.939999997616	0.604956010966	1.0	1
1.0	5191.95117188	18.0	9.0	1224.59680176	11.0	8.0	358.681615472	0.0	-0.99927598238	-0.0343730188906	-0.0163080170751	28.4444166554	18.1921481456	2.1714849472	88.5032958984	-13.7877502441	0.971148729324	5.0	6.01999998093	93.7792987823	1.0	8.03999996185	0.997701688872	1.0	1
1.0	2906.03515625	5.0	5.0	885.879821777	2.0	2.0	127.617247224	0.0	-0.0314093194902	0.976040959358	-0.215307965875	46.398920928	2.11345994797	26.335849762	79.8897476196	-52.0074005127	0.439908206463	5.0	8.77999973297	218.496099472	0.0	24.1399993896	0.433389663784	1.0	1
1.0	5096.41503906	9.0	3.0	962.308410645	5.0	5.0	210.761717081	0.0	-0.0314286909997	0.976021230221	-0.215394645929	1.11678306889	21.1779201759	27.0230503082	105.712997437	-8.55951499939	0.817560970783	2.0	6.36000013351	79.2773981094	1.0	6.36000013351	0.993608745052	1.0	1
1.0	2020.15686035	4.0	1.0	48.6365013123	1.0	1.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	11.3199996948	28.0370998383	0.0	11.3199996948	0.110725634579	1.0	1
1.0	3866.60668945	11.0	8.0	1400.03723145	5.0	5.0	252.333937168	0.0	0.999280273914	0.0342894569039	0.0162216667086	54.5923279008	1.13442368206	40.1823997498	61.8412475586	-61.7411994934	0.365521609783	7.0	5.69999980927	186.591797829	0.0	19.8600006104	0.986592198786	1.0	1
1.0	2723.64990234	1.0	1.0	97.2730026245	1.0	1.0	41.5722794533	2.33805898827	0.875715911388	-0.466776609421	0.123455420136	27.2671247797	0.0	41.1680488586	87.7279510498	-37.9429473877	0.263016521931	0.0	0.0	0.0	0.0	0.0	0.204918601009	1.0	1
