valid	volumeS1	connectedComponentsS1	connectedComponentsS1Rel	volumeS2	connectedComponentsS2	connectedComponentsS2Rel	corticalSize	distanceMin	direction_x	direction_y	direction_z	distanceToExtremity1	distanceToExtremity2	gravityCenter_x	gravityCenter_y	gravityCenter_z	corticalDotProduct	junctions	junctionDepthMin	junctionsSize	plisDePassage	plisDePassageDepthMax	Potential	Class	cycle
1.0	355.528869629	1.0	1.0	225.24230957	1.0	1.0	48.7793393135	2.38800962911	0.133808329701	-0.976847052574	0.166928514838	18.2106986994	12.8850088381	70.2549438477	44.0466499329	-30.4990997314	0.67706823349	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	355.528869629	1.0	1.0	178.869003296	1.0	1.0	43.5058994293	2.38800962911	0.133808329701	-0.976847052574	0.166928514838	18.2106986994	12.8850088381	70.2549438477	44.0466499329	-30.4990997314	0.67706823349	0.0	0.0	0.0	0.0	0.0	0.026361090704	1.0	1
1.0	1046.71276855	4.0	2.0	1362.49304199	3.0	3.0	118.65240097	0.968245836552	-0.0334173887968	-0.98470389843	0.171001538634	43.368580104	14.3538110225	72.9900512695	38.6717987061	-18.7495994568	0.359944522381	1.0	13.3800001144	22.4120998383	1.0	13.3800001144	0.980117537592	1.0	1
1.0	693.391845703	2.0	1.0	1406.6583252	2.0	2.0	76.464900136	2.38800962911	0.133808329701	-0.976847052574	0.166928514838	26.4321987888	23.4857030355	70.2549438477	44.0466499329	-30.4990997314	0.67706823349	0.0	0.0	0.0	0.0	0.0	0.312215485448	1.0	1
1.0	75.0805969238	1.0	1.0	174.452301025	2.0	1.0	5.27343988419	0.0	-0.0334213376045	-0.984706401825	0.170986369252	0.0	15.6644740633	64.2824554443	51.5199508667	-37.1271972656	0.989487111568	1.0	9.84000015259	32.9589996338	1.0	9.84000015259	0.971367265079	1.0	1
1.0	240.699890137	1.0	1.0	1406.6583252	2.0	2.0	51.4160600901	2.38800962911	0.133808329701	-0.976847052574	0.166928514838	3.73945470109	23.4857030355	70.2549438477	44.0466499329	-30.4990997314	0.67706823349	0.0	0.0	0.0	0.0	0.0	0.257726862825	1.0	1
1.0	355.528869629	1.0	1.0	1263.12231445	2.0	2.0	76.464900136	2.38800962911	0.133808329701	-0.976847052574	0.166928514838	18.2106986994	23.4857030355	70.2549438477	44.0466499329	-30.4990997314	0.67706823349	0.0	0.0	0.0	0.0	0.0	0.137550332847	1.0	1
1.0	221.887908936	3.0	0.0	197.233703613	2.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.38411581714e-09	1.0	1
1.0	1561.43603516	4.0	1.0	407.617004395	2.0	1.0	1.0546900034	3.38769826837	-0.463508546352	-0.278277039528	-0.841261923313	36.2464219005	13.6388871002	70.6154022217	42.384552002	-41.2981491089	0.579458594322	0.0	0.0	0.0	0.0	0.0	0.518879096974	1.0	1
1.0	2406.25512695	6.0	5.0	1397.07385254	5.0	5.0	232.031212568	0.0	-0.0461943335831	-0.993749916553	0.101623035967	29.7463386911	2.70610464292	49.1426010132	50.1183509827	-56.1621017456	0.685138165951	7.0	4.13999986649	189.843803525	2.0	6.5	0.987153743417	1.0	1
1.0	87.1117019653	1.0	1.0	386.25	1.0	1.0	1.0546900034	3.38769826837	-0.463508546352	-0.278277039528	-0.841261923313	2.31874015785	13.6388871002	70.6154022217	42.384552002	-41.2981491089	0.579458594322	0.0	0.0	0.0	0.0	0.0	0.00527340113391	1.0	1
1.0	87.1117019653	1.0	1.0	853.036987305	2.0	2.0	55.8984012604	1.3372508949	-0.479727476835	0.441618770361	-0.758178412914	0.0	28.027879187	72.2385025024	46.8025512695	-36.6302986145	0.622930645943	0.0	0.0	0.0	0.0	0.0	0.0998615520135	1.0	1
