valid	volumeS1	connectedComponentsS1	connectedComponentsS1Rel	volumeS2	connectedComponentsS2	connectedComponentsS2Rel	corticalSize	distanceMin	direction_x	direction_y	direction_z	distanceToExtremity1	distanceToExtremity2	gravityCenter_x	gravityCenter_y	gravityCenter_z	corticalDotProduct	junctions	junctionDepthMin	junctionsSize	plisDePassage	plisDePassageDepthMax	Potential	Class	cycle
1.0	355.528869629	1.0	1.0	353.320800781	1.0	1.0	36.914100647	2.9333598403	-0.519312798977	0.825416386127	0.221364021301	0.0	3.56768047387	61.0517501831	68.6666564941	-29.1792488098	0.70838868618	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	152.369110107	2.0	0.0	379.819763184	6.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.19448867618	1.0	1
1.0	189.909606934	1.0	1.0	390.861114502	2.0	1.0	2.63671994209	1.67705098312	0.0334185324609	0.984699606895	-0.171025529504	11.4214755509	23.2371935286	64.3562469482	53.6944503784	-37.5048522949	0.210341602564	0.0	0.0	0.0	0.0	0.0	0.513074625383	1.0	1
1.0	907.593017578	5.0	3.0	2837.60229492	10.0	5.0	201.709079266	0.0	0.999347448349	-0.0346038676798	-0.010347135365	2.37503633973	28.9340554612	54.8959999084	80.0361022949	-12.9409999847	0.388414978981	6.0	6.0	159.521399498	5.0	12.4799995422	0.992749578259	1.0	1
1.0	295.906097412	2.0	2.0	337.863006592	1.0	1.0	36.914100647	2.9333598403	-0.519312798977	0.825416386127	0.221364021301	0.0	3.56768047387	61.0517501831	68.6666564941	-29.1792488098	0.70838868618	1.0	13.3800001144	22.4120998383	1.0	13.3800001144	0.111593774773	1.0	1
1.0	635.977478027	3.0	2.0	2157.46069336	2.0	1.0	118.652500153	0.0	-0.0334177687764	-0.984706580639	0.170985803008	12.6028429245	8.18959170114	57.3411483765	71.6790466309	-18.776599884	0.0193681716919	3.0	3.57999992371	40.8690795898	2.0	6.96000003815	0.754007283699	1.0	1
1.0	355.528869629	1.0	1.0	1419.90368652	2.0	1.0	89.6485004425	1.91307341263	-0.536432802677	-0.368845999241	-0.75907343626	20.2435548675	31.192193605	57.6522521973	58.3633995056	-50.8780517578	0.663480579853	0.0	0.0	0.0	0.0	0.0	0.257726857817	1.0	1
1.0	711.05859375	3.0	3.0	1285.20031738	4.0	4.0	147.656317949	0.0	-0.0334173738956	-0.984691441059	0.17107360065	26.2294550833	13.0814007994	63.2727508545	54.8205490112	-37.6821517944	0.125361263752	3.0	6.0	61.9628992081	2.0	13.3800001144	0.986568743519	1.0	1
1.0	87.1117019653	1.0	1.0	494.72857666	1.0	1.0	20.039100647	2.93980106563	-0.132626995444	0.584688365459	0.800343334675	1.51266402624	5.98474566156	72.5345458984	48.1763000488	-20.1700496674	0.7947229743	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	1913.16906738	7.0	5.0	2621.57006836	11.0	7.0	369.140684128	0.0	-0.998023927212	0.0332690440118	-0.0533036589622	1.77281682248	16.123543607	60.2816505432	72.9344482422	-4.61837005615	0.797057271004	6.0	4.13999986649	215.156294465	4.0	8.47999954224	0.965395116057	1.0	1
