valid	volumeS1	connectedComponentsS1	connectedComponentsS1Rel	volumeS2	connectedComponentsS2	connectedComponentsS2Rel	corticalSize	distanceMin	direction_x	direction_y	direction_z	distanceToExtremity1	distanceToExtremity2	gravityCenter_x	gravityCenter_y	gravityCenter_z	corticalDotProduct	junctions	junctionDepthMin	junctionsSize	plisDePassage	plisDePassageDepthMax	Potential	Class	cycle
1.0	59.6228981018	1.0	1.0	777.305603027	1.0	1.0	52.7344017029	1.81105220454	0.311893701553	0.422120630741	0.851197063923	2.47770736658	20.4296703215	50.071647644	78.4362945557	-39.7444534302	0.986569106579	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	2234.75244141	5.0	5.0	4003.56567383	12.0	6.0	200.390784264	0.0	-0.0334202125669	-0.98468875885	0.171088129282	28.9437731541	2.09473157051	31.3316497803	77.1820983887	-57.3276519775	0.921079814434	16.0	3.57999992371	433.740200281	6.0	19.1399993896	0.970229414146	1.0	1
1.0	1201.29003906	7.0	4.0	4007.98120117	9.0	3.0	192.480542898	0.0	0.999347448349	-0.0346038676798	-0.010347135365	7.7559697939	45.5522241713	54.8959999084	80.0361022949	-12.9409999847	0.91988158226	9.0	6.01999998093	293.994101524	3.0	14.7399997711	0.27609290384	1.0	1
1.0	3179.88549805	6.0	5.0	903.176086426	9.0	6.0	168.750082493	1.81105220454	-0.311893701553	-0.422120630741	-0.851197063923	37.9929770957	13.4066449443	50.071647644	78.4362945557	-39.7444534302	0.986569106579	5.0	10.4799995422	118.652322054	0.0	19.4400005341	0.998993330555	1.0	1
1.0	516.731933594	3.0	3.0	1029.04663086	2.0	1.0	134.472703457	0.0	0.0334207266569	0.984703958035	-0.171000942588	26.8907203296	30.5783844841	56.0915527344	71.804901123	-31.4521999359	0.875481545925	1.0	7.15999984741	31.6406002045	1.0	7.15999984741	0.118098801166	1.0	1
1.0	178.868896484	2.0	2.0	1241.03869629	4.0	2.0	110.742223024	1.22474487139	-0.0162566881627	-0.167168870568	-0.985794246197	20.7778508439	31.194033869	47.4934005737	82.59349823	-32.2743492126	0.429608136415	0.0	0.0	0.0	0.0	0.0	0.0131828359616	1.0	1
1.0	973.83996582	2.0	2.0	178.868896484	2.0	2.0	131.83600235	1.22474487139	0.0162566881627	0.167168870568	0.985794246197	24.8434158783	20.7778508439	47.4934005737	82.59349823	-32.2743492126	0.429608136415	0.0	0.0	0.0	0.0	0.0	0.964761851496	1.0	1
1.0	499.065917969	2.0	2.0	675.725585938	1.0	1.0	68.5547223091	0.0	0.999345123768	-0.0346990562975	-0.0102586448193	23.3802791081	26.118686625	52.2993011475	75.7461547852	-32.0726470947	0.877267420292	1.0	7.57999992371	18.4570007324	1.0	11.4799995422	0.684300875874	1.0	1
1.0	121.627700806	1.0	1.0	285.989013672	1.0	1.0	31.6406002045	0.0	0.0461943224072	0.993749678135	-0.101624883711	3.48469808817	3.545638083	57.5869979858	78.0426483154	-24.0401992798	0.685591101646	1.0	5.92000007629	16.875	1.0	5.92000007629	-1.0	0.0	1
1.0	2230.38769531	7.0	6.0	5055.76611328	12.0	9.0	318.515670896	0.0	0.0461943224072	0.993749678135	-0.101625353098	1.74231955537	35.1970492427	34.8076019287	97.8219451904	-5.60836029053	0.613735556602	5.0	7.51999998093	184.570300102	4.0	10.2600002289	0.976444287595	1.0	1
1.0	1053.55883789	6.0	4.0	627.861755371	8.0	3.0	81.2109012604	0.0	0.998022675514	-0.0332720465958	0.0533266663551	32.1613592272	22.9859416954	52.1005020142	73.2370452881	-41.1219482422	0.539801597595	1.0	5.82000017166	13.7109003067	1.0	5.82000017166	0.311025515154	1.0	1
1.0	3020.96704102	6.0	6.0	3793.46801758	15.0	10.0	416.601431489	0.0	0.0461990907788	0.993747293949	-0.101646155119	1.52424271651	34.6385599294	34.9737014771	99.721496582	-7.2412853241	0.705270886421	15.0	5.92000007629	468.281340122	5.0	18.3600006104	0.993642270198	1.0	1
