valid	volumeS1	connectedComponentsS1	connectedComponentsS1Rel	volumeS2	connectedComponentsS2	connectedComponentsS2Rel	corticalSize	distanceMin	direction_x	direction_y	direction_z	distanceToExtremity1	distanceToExtremity2	gravityCenter_x	gravityCenter_y	gravityCenter_z	corticalDotProduct	junctions	junctionDepthMin	junctionsSize	plisDePassage	plisDePassageDepthMax	Potential	Class	cycle
1.0	1930.01391602	5.0	2.0	1121.79211426	2.0	1.0	101.513761997	0.0	-0.0334208533168	-0.984700739384	0.171018868685	40.0746084593	17.5772291438	52.3876495361	82.0809020996	8.47327041626	0.94715064764	0.0	0.0	0.0	1.0	5.63999986649	-1.0	0.0	1
1.0	4308.30517578	12.0	7.0	4946.48681641	8.0	6.0	460.107727289	0.0	-0.0334173962474	-0.984704077244	0.171000704169	1.10408823466	39.6258071191	68.123550415	49.9682998657	13.775800705	0.859276533127	14.0	3.0	403.41800642	8.0	14.0200004578	0.999991591414	1.0	1
1.0	2175.12988281	8.0	5.0	2435.70507812	6.0	3.0	146.337900639	0.0	-0.0334208533168	-0.984700739384	0.171018868685	22.7173341417	17.6469261194	52.3876495361	82.0809020996	8.47327041626	0.94715064764	8.0	6.78000020981	246.533122301	3.0	14.7399997711	0.595113178416	1.0	1
1.0	1355.86804199	5.0	1.0	492.441009521	2.0	1.0	14.501999855	2.59052508153	-0.690535247326	0.494400858879	-0.52794778347	34.8517332503	16.6364871616	50.6726989746	87.8021469116	-14.2165489197	0.686801671982	0.0	0.0	0.0	0.0	0.0	0.999906139041	1.0	1
1.0	2415.82983398	10.0	6.0	602.85345459	3.0	3.0	205.664144039	0.0	0.0334177687764	0.984706580639	-0.170985803008	48.4938180661	5.46792282388	57.3411483765	71.6790466309	-18.776599884	0.0193681716919	4.0	6.84000015259	152.929698944	4.0	15.0600004196	0.999512365513	1.0	1
1.0	2846.43969727	7.0	4.0	2709.52416992	2.0	2.0	330.908508301	0.0	0.0335104689002	0.984701275826	-0.170998752117	24.2777042034	14.5723094727	33.2562026978	76.9196014404	20.5425987244	0.957329630852	3.0	3.0	43.5058016777	2.0	5.63999986649	0.991054567269	1.0	1
1.0	2607.94750977	8.0	7.0	1455.23913574	4.0	4.0	359.912301779	0.0	-0.0334207303822	-0.984704017639	0.171000093222	24.8477259495	23.8372344268	57.6496505737	71.3125	12.0622005463	0.189546734095	11.0	3.75999999046	295.312461615	3.0	14.7399997711	0.947439479014	1.0	1
1.0	1384.57519531	4.0	0.0	145.744995117	1.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.484151988354	1.0	1
1.0	1850.51757812	10.0	3.0	1841.68139648	6.0	4.0	73.8281624317	0.0	0.999348223209	-0.0346106998622	-0.0102569749579	33.6157867402	11.062667242	37.638999939	90.3742980957	18.1418495178	0.532854020596	4.0	5.57999992371	130.517503738	1.0	8.84000015259	0.999962205079	1.0	1
1.0	1755.56201172	9.0	8.0	1234.41381836	8.0	7.0	315.088044643	0.0	-0.999345302582	0.0346959345043	0.0102577209473	34.8563493196	15.8885349036	23.8697509766	81.8440551758	18.0326499939	0.0983255505562	7.0	5.57999992371	199.072219133	6.0	13.5200004578	0.999897065365	1.0	1
1.0	1130.80834961	5.0	1.0	861.255065918	1.0	1.0	76.9921693802	2.45008778707	0.629739940166	-0.768712043762	0.111845485866	30.7365891901	3.24586296868	58.805847168	77.540802002	-5.17385005951	0.132848694921	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	2488.43603516	14.0	6.0	3852.63745117	10.0	5.0	355.429729819	0.0	-0.0461879707873	-0.993750870228	0.10161691159	18.7378704256	58.1660515316	22.2993011475	83.6691970825	26.9832000732	0.440533816814	6.0	3.55999994278	157.148538113	2.0	6.28000020981	0.998574551564	1.0	1
1.0	1919.74401855	10.0	4.0	1635.39868164	2.0	2.0	149.765663862	0.0	-0.0461905822158	-0.993749916553	0.101624906063	1.01746003094	10.7733691617	66.068901062	66.6204528809	-22.422000885	0.216944038868	4.0	6.78000020981	119.179739475	2.0	18.3600006104	0.649940788057	1.0	1
1.0	2707.03710938	14.0	3.0	4754.98388672	8.0	3.0	272.109349608	0.0	0.998025655746	-0.0331841446459	0.0533268228173	15.7805151438	64.085224628	36.2426986694	80.6732025146	27.9927501678	0.629791736603	6.0	10.5600004196	222.539198875	0.0	17.3799991608	0.999557680948	1.0	1
1.0	1489.1171875	5.0	3.0	701.824157715	3.0	2.0	114.960968971	0.0	-0.0461879707873	-0.993750870228	0.10161691159	33.6270510817	6.83097699484	22.2993011475	83.6691970825	26.9832000732	0.440533816814	5.0	3.55999994278	167.695440769	1.0	3.55999994278	0.559985555436	1.0	1
1.0	2815.51611328	10.0	9.0	1566.36669922	8.0	7.0	243.632719278	0.0	-0.998025655746	0.0331841446459	-0.0533268228173	33.160656664	20.4929939021	36.2426986694	80.6732025146	27.9927501678	0.629791736603	12.0	5.36000013351	285.820400238	4.0	8.47999954224	0.999575949152	1.0	1
1.0	1014.1116333	5.0	2.0	764.281677246	1.0	1.0	102.304650307	0.0	0.998026847839	-0.0331811457872	0.0533038154244	14.6653620978	11.9699234748	55.1805496216	75.199798584	7.87281036377	0.176577150822	2.0	3.09999990463	68.5546989441	2.0	18.3600006104	0.306253517319	1.0	1
1.0	1331.3293457	4.0	1.0	1106.1541748	4.0	3.0	150.820420265	0.0	0.998026013374	-0.0331811159849	0.0533219613135	45.2158694876	23.6247610252	55.6380500793	70.8429031372	17.0065498352	0.169748350978	2.0	11.3199996948	59.0625991821	0.0	12.720000267	0.96944603011	1.0	1
1.0	1222.85131836	4.0	2.0	913.850524902	3.0	3.0	106.523379564	0.0	-0.998025655746	0.0331841446459	-0.0533259771764	26.6019720508	4.57549911028	42.3620986938	94.4371032715	-12.0897502899	0.461570084095	4.0	8.0	114.961099625	1.0	12.8999996185	0.559985634399	1.0	1
1.0	2720.18603516	10.0	5.0	1796.4732666	3.0	3.0	227.812489271	0.0	0.0461943149567	0.993749558926	-0.101626746356	20.2016770979	25.2573086576	40.2251968384	90.6529541016	-27.6686000824	0.53626948595	6.0	8.47999954224	255.234405518	1.0	8.47999954224	0.991101382703	1.0	1
1.0	1665.79931641	5.0	2.0	988.362609863	2.0	1.0	78.3105965853	1.97725565822	-0.270876973867	0.616834938526	0.739013075829	18.997518277	0.0	56.845451355	82.6041488647	-11.8896999359	0.626265823841	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	2846.97192383	13.0	5.0	3335.0690918	7.0	2.0	321.943251014	0.0	0.0314059108496	-0.976041018963	0.215307995677	0.0	56.0109765331	66.112449646	64.8020477295	-19.6821994781	0.46788880229	2.0	2.81999993324	24.1698799133	1.0	7.92000007629	0.997265414152	1.0	1
1.0	2654.16259766	9.0	5.0	1907.24121094	6.0	6.0	344.179739594	0.0	-0.0314323045313	0.97602057457	-0.215396866202	58.6892159793	6.94370878604	34.8880500793	103.5	1.93574500084	0.494370669127	3.0	2.81999993324	59.9413795471	3.0	13.1199998856	0.97750436745	1.0	1
1.0	4457.18701172	12.0	6.0	2584.67797852	9.0	7.0	352.880855203	0.0	-0.0314323045313	0.97602057457	-0.215396866202	58.6892159793	6.94370878604	34.8880500793	103.5	1.93574500084	0.494370669127	3.0	2.81999993324	60.9081802368	1.0	7.92000007629	0.99988839693	1.0	1
1.0	1747.43920898	7.0	4.0	559.319213867	2.0	2.0	118.916074872	0.0	0.031501673162	-0.976046681404	0.215268433094	23.4704013858	16.856139996	62.0895996094	73.3381500244	0.794746518135	0.630019724369	1.0	11.220000267	35.7714996338	0.0	11.220000267	0.906619703811	1.0	1
1.0	1328.8182373	7.0	5.0	2200.79736328	6.0	6.0	225.263685346	0.0	0.999279558659	0.034292794764	0.0162636898458	1.13441564314	46.6171292368	68.928894043	60.7775497437	-8.90915489197	0.266084671021	3.0	4.92000007629	71.5429909229	4.0	13.1199998856	0.998897027203	1.0	1
1.0	1695.32861328	6.0	2.0	988.362609863	2.0	1.0	78.3105965853	1.97725565822	-0.270876973867	0.616834938526	0.739013075829	18.997518277	0.0	56.845451355	82.6041488647	-11.8896999359	0.626265823841	0.0	0.0	0.0	0.0	0.0	0.0867925743233	1.0	1
1.0	1924.61584473	12.0	5.0	2454.40161133	6.0	5.0	252.333995938	0.0	0.999279558659	0.034292794764	0.0162636898458	1.13441564314	39.090568041	68.928894043	60.7775497437	-8.90915489197	0.266084671021	3.0	4.92000007629	71.5429909229	4.0	13.1199998856	0.999762780056	1.0	1
1.0	1922.87792969	6.0	3.0	694.80657959	3.0	3.0	151.787196279	0.0	-0.999276518822	-0.0343800038099	-0.0162637960166	25.0570503836	18.069437668	61.4802017212	73.3096008301	3.59260511398	0.340099751949	2.0	4.92000007629	34.8046905994	3.0	13.1199998856	0.620057164604	1.0	1
1.0	2143.47851562	9.0	4.0	2155.63452148	5.0	4.0	245.566358089	0.0	-0.999275743961	-0.0343799814582	-0.0163072887808	6.50061178996	41.1101173441	64.0233001709	60.8172988892	14.817150116	0.0399107784033	2.0	2.81999993324	38.671880722	1.0	10.0399999619	0.995937894855	1.0	1
1.0	917.014892578	8.0	2.0	1018.90698242	1.0	1.0	44.7412281036	3.38001486171	0.7575263381	-0.625834524632	-0.185701683164	22.066519309	32.5892442056	51.4384498596	86.6491546631	25.1426506042	0.489037752151	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	5882.74072266	14.0	9.0	3277.80273438	13.0	9.0	661.90669775	0.0	0.998985409737	-0.0365960337222	0.0262454245239	47.0951704331	2.80488445472	49.5862998962	78.8170928955	-37.9792480469	0.130905002356	14.0	4.53999996185	414.514135599	7.0	13.9399995804	1.0	1.0	1
1.0	2868.31689453	19.0	8.0	2722.20996094	12.0	6.0	339.506668806	0.0	-0.0429129824042	-0.985964298248	0.161347225308	14.062071391	47.7386326865	54.7187995911	74.9732513428	25.1798992157	0.126791387796	8.0	8.60000038147	246.076698303	3.0	11.6000003815	0.999859968874	1.0	1
1.0	2158.92822266	11.0	1.0	644.02520752	7.0	1.0	27.6343102455	0.0	0.999003529549	-0.036121930927	0.0262147504836	32.8322485214	0.0	30.7809486389	101.00050354	0.905384004116	0.986067295074	2.0	8.02000045776	47.3731002808	2.0	10.5200004578	0.991648014333	1.0	1
1.0	2845.24755859	16.0	7.0	2007.05371094	9.0	9.0	509.259985924	0.0	0.998987436295	-0.0365990251303	0.0261641386896	1.24595918796	30.2432016347	70.0804443359	60.9272003174	12.1963996887	0.357724428177	8.0	8.60000038147	243.444900513	5.0	11.6000003815	0.999956012422	1.0	1
1.0	1945.53442383	14.0	6.0	2749.125	6.0	5.0	428.989295244	0.0	0.998973429203	-0.0369229279459	0.0262440592051	33.9423357081	2.85479118773	31.6596508026	103.722000122	19.9823493958	0.989874482155	9.0	4.53999996185	223.70610857	5.0	9.57999992371	0.99997838644	1.0	1
