valid	volumeS1	connectedComponentsS1	connectedComponentsS1Rel	volumeS2	connectedComponentsS2	connectedComponentsS2Rel	corticalSize	distanceMin	direction_x	direction_y	direction_z	distanceToExtremity1	distanceToExtremity2	gravityCenter_x	gravityCenter_y	gravityCenter_z	corticalDotProduct	junctions	junctionDepthMin	junctionsSize	plisDePassage	plisDePassageDepthMax	Potential	Class	cycle
1.0	1256.4967041	2.0	0.0	238.491485596	1.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.000138177431837	0.0	1
1.0	3305.75634766	12.0	2.0	1400.0333252	4.0	2.0	112.060604095	0.0	-0.0334178544581	-0.984706521034	0.170986250043	50.2754861908	20.6204444247	48.087852478	14.0394496918	-62.9654006958	0.691891670227	1.0	10.5399999619	26.3672008514	1.0	10.5399999619	0.995770664032	1.0	1
1.0	2429.07983398	12.0	3.0	1294.0369873	4.0	2.0	88.3301212788	0.0	0.999348282814	-0.0346072986722	-0.0102586774155	60.6907303144	8.40601402434	57.9014015198	-18.5771999359	-32.1304473877	0.358888864517	3.0	0.939999997616	79.1015611887	3.0	13.9399995804	0.96288912474	1.0	1
1.0	2548.32568359	10.0	1.0	947.340881348	3.0	1.0	43.5059013367	0.0	0.0334207825363	0.984703779221	-0.171001210809	51.177635649	15.3486956611	51.1986465454	-32.0597991943	-36.929397583	0.412052243948	1.0	0.939999997616	1.31835997105	1.0	0.939999997616	0.997401152769	1.0	1
1.0	1152.70837402	6.0	3.0	370.986999512	2.0	2.0	90.9667816162	2.45008778707	0.655704200268	0.742082595825	-0.13915938139	46.6720110058	5.30754648283	35.420501709	-30.3419494629	-49.6436500549	0.703387618065	0.0	0.0	0.0	0.0	0.0	0.975822614614	1.0	1
1.0	1472.90563965	6.0	1.0	490.23248291	3.0	1.0	43.5059013367	2.83058304162	-0.825164973736	0.0485522486269	-0.562801480293	3.07330083655	7.5980019302	33.6200027466	3.39762997627	-69.0348052979	0.434377223253	0.0	0.0	0.0	0.0	0.0	0.972462397833	1.0	1
1.0	1726.85522461	2.0	2.0	1068.79455566	2.0	2.0	94.9219210148	2.19142420144	0.79206353426	0.0769610628486	0.60556781292	29.3990883615	28.5823043178	37.4135513306	-38.2757492065	-46.492099762	0.223563820124	0.0	0.0	0.0	0.0	0.0	0.904484343987	1.0	1
1.0	728.724487305	6.0	3.0	2115.50732422	3.0	3.0	122.607420206	0.0	0.0334213301539	0.984707057476	-0.17098288238	51.5422379697	22.962545665	58.5643501282	-12.2315502167	-44.1035003662	0.694552540779	2.0	9.97999954224	54.0527000427	1.0	13.9399995804	0.988965438537	1.0	1
1.0	1360.28466797	3.0	1.0	134.703491211	1.0	1.0	25.0488197803	0.0	0.999348282814	-0.0346072986722	-0.0102586774155	44.4548481103	3.73996893436	57.9014015198	-18.5771999359	-32.1304473877	0.358888864517	2.0	10.3599996567	89.6485023499	2.0	13.9399995804	0.517915258567	1.0	1
1.0	1006.96392822	4.0	2.0	370.986999512	2.0	2.0	67.2362995148	0.0	0.0334208570421	0.984704315662	-0.170998156071	28.4061157089	4.75334290777	39.947052002	-28.6210002899	-51.8260002136	0.645511031151	1.0	18.2199993134	59.3261985779	0.0	18.2199993134	0.988371400092	1.0	1
1.0	941.792419434	2.0	0.0	506.233825684	1.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.000138177431837	0.0	1
1.0	3957.82983398	12.0	5.0	2966.72851562	6.0	5.0	330.117009401	0.0	-0.0461943149567	-0.993749558926	0.101626746356	44.9464633794	33.4547688322	41.5130004883	-39.6389503479	-45.712600708	0.0806643664837	4.0	9.89999961853	113.906207561	2.0	13.6199998856	0.999999998085	1.0	1
1.0	737.984008789	6.0	2.0	1761.95678711	6.0	3.0	97.0311994553	0.0	-0.046189840883	-0.993750751019	0.101616896689	53.3246203617	50.4359244062	21.5317001343	-41.6007003784	-53.7178001404	0.259515941143	2.0	3.03999996185	23.2031607628	0.0	6.28000020981	0.856869712171	1.0	1
1.0	2682.38354492	13.0	7.0	2000.28100586	9.0	6.0	507.304497242	0.0	-0.0462871044874	-0.993746340275	0.101616449654	15.7265595892	2.03502199166	41.6821517944	16.6364002228	-68.900604248	0.335992574692	10.0	3.03999996185	278.437458515	3.0	13.6199998856	0.999784069652	1.0	1
1.0	1469.39379883	8.0	2.0	2036.44091797	5.0	4.0	156.093700409	2.0360672389	0.411174237728	-0.599155783653	0.686984717846	56.3819892425	18.4760058716	54.2562484741	4.6667547226	-59.8081016541	0.0631358399987	0.0	0.0	0.0	0.0	0.0	0.988187035659	1.0	1
1.0	1632.1114502	8.0	2.0	1566.36682129	2.0	2.0	98.0859012604	0.0	0.998030424118	-0.0331813767552	0.0532377660275	16.5823657394	2.46742570342	39.9713516235	16.1870002747	-68.9389953613	0.266778975725	2.0	15.7600002289	80.1562995911	0.0	16.9599990845	0.975441762813	1.0	1
1.0	1768.53161621	9.0	3.0	2174.50488281	3.0	3.0	151.874919653	0.0	0.998030424118	-0.0331813767552	0.0532377660275	38.1046804842	2.46742570342	39.9713516235	16.1870002747	-68.9389953613	0.266778975725	2.0	15.7600002289	80.1562995911	0.0	16.9599990845	0.9984161212	1.0	1
1.0	1681.41967773	10.0	5.0	2338.86694336	4.0	4.0	291.093719244	0.0	-0.0462871044874	-0.993746340275	0.101616449654	39.8308005918	2.03502199166	41.6821517944	16.6364002228	-68.900604248	0.335992574692	2.0	16.9599990845	85.4296989441	1.0	9.03999996185	0.990219644351	1.0	1
1.0	522.670410156	2.0	2.0	925.355834961	2.0	1.0	101.25	0.0	-0.0461925826967	-0.993750751019	0.101615436375	18.6439039315	34.880069706	28.9608001709	4.54639005661	-72.5988998413	0.635619044304	0.0	0.0	0.0	1.0	9.03999996185	0.515014760406	1.0	1
1.0	1594.30847168	11.0	3.0	2174.50488281	3.0	3.0	230.9765203	0.0	0.998030424118	-0.0331813767552	0.0532377660275	38.1046804842	2.46742570342	39.9713516235	16.1870002747	-68.9389953613	0.266778975725	2.0	15.7600002289	80.1562995911	0.0	16.9599990845	0.999193245073	1.0	1
1.0	1486.88647461	1.0	1.0	607.956481934	1.0	1.0	5.80077981949	3.47316852305	0.751510381699	0.433992981911	0.496872425079	12.7523813455	0.0	37.2631492615	2.55460143089	-67.0202941895	0.436649501324	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	3432.34619141	16.0	5.0	1307.9732666	8.0	5.0	295.83994174	0.0	0.999278366566	0.0343434996903	0.0162215828896	32.8401297363	1.77829517428	36.5207977295	7.98861026764	-68.2322998047	0.554483294487	11.0	4.76000022888	373.183601379	4.0	11.4799995422	0.999983701561	1.0	1
1.0	1417.40576172	2.0	2.0	677.437194824	2.0	2.0	34.804676652	0.0	-0.999280273914	-0.0342910252512	-0.0162182506174	36.9860764158	1.77822518762	34.2334976196	-30.0526504517	-52.910697937	0.108092136681	2.0	15.720000267	75.4102020264	1.0	11.4799995422	0.25977675254	1.0	1
1.0	1908.9831543	12.0	2.0	1259.33666992	6.0	2.0	87.0116996765	0.0	-0.999276995659	-0.0343434549868	-0.0163089893758	43.2286867757	22.880569197	43.3776016235	3.84140992165	-61.5451507568	0.892493247986	2.0	4.76000022888	43.5058994293	1.0	4.76000022888	0.998785139736	1.0	1
1.0	995.311767578	5.0	2.0	470.731018066	2.0	2.0	23.2031966448	0.0	0.999277055264	0.0343405678868	0.016307618469	31.9162617816	1.59120086558	57.1263504028	-5.54370975494	-47.9303512573	0.846664845943	3.0	14.779999733	116.982501984	0.0	15.720000267	0.58940776109	1.0	1
1.0	1730.07006836	8.0	8.0	1683.16955566	6.0	5.0	423.457155824	0.0	0.0314109697938	-0.976058006287	0.215230509639	33.1145436032	1.11741321124	38.168548584	9.6830701828	-68.5654449463	0.388047963381	6.0	4.76000022888	192.392604828	4.0	16.6200008392	0.99801164133	1.0	1
1.0	1542.47119141	1.0	1.0	970.992675781	3.0	3.0	18.3691396713	0.0	-0.0314109697938	0.976058006287	-0.215230509639	1.11741321124	12.4602039851	38.168548584	9.6830701828	-68.5654449463	0.388047963381	1.0	14.4799995422	32.8711013794	0.0	14.4799995422	0.360143474037	1.0	1
1.0	2176.4831543	8.0	6.0	474.20501709	3.0	3.0	158.554645181	0.0	-0.0314116254449	0.976059556007	-0.215223327279	42.1588010023	3.74714959215	27.168548584	-40.3993492126	-49.4019508362	0.825665891171	3.0	14.779999733	119.882900238	2.0	12.9200000763	0.981422725913	1.0	1
1.0	2006.25549316	5.0	1.0	1149.90600586	2.0	2.0	99.580173254	0.0	0.999278366566	0.0343434996903	0.0162215828896	32.8401297363	1.77829517428	36.5207977295	7.98861026764	-68.2322998047	0.554483294487	1.0	19.2800006866	53.1738014221	0.0	19.2800006866	0.919463883065	1.0	1
1.0	1598.05749512	9.0	8.0	1177.6965332	5.0	5.0	422.490124226	0.0	-0.0314109697938	0.976058006287	-0.215230509639	33.8078713907	12.4602039851	38.168548584	9.6830701828	-68.5654449463	0.388047963381	8.0	4.76000022888	249.43350029	4.0	16.6200008392	0.994469159496	1.0	1
1.0	1459.15014648	2.0	0.0	820.892028809	1.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.000138177431837	0.0	1
1.0	2378.08789062	10.0	5.0	984.301757812	7.0	6.0	171.06949091	0.0	-0.0429139919579	-0.985951066017	0.161427557468	53.9072825988	11.21968232	30.4668006897	-28.4312496185	-66.2312469482	0.646008074284	9.0	6.11999988556	364.509271622	5.0	23.2199993134	0.997950438439	1.0	1
1.0	1378.4074707	8.0	3.0	1234.22192383	3.0	2.0	39.4775393009	0.0	-0.0429155752063	-0.985951006413	0.161427542567	55.8296511826	1.78710257107	38.2723007202	-20.2217502594	-66.1241455078	0.600772678852	4.0	6.11999988556	117.116670609	2.0	12.0200004578	0.744553112045	1.0	1
1.0	4598.53369141	14.0	6.0	1889.78308105	8.0	5.0	231.601595879	0.0	-0.0429124422371	-0.985951066017	0.161427676678	26.5549518228	2.70441278201	52.0405006409	11.8846492767	-67.2285461426	0.824780225754	5.0	7.21999979019	240.812999725	2.0	14.1999998093	0.999999893858	1.0	1
1.0	1386.09643555	7.0	6.0	1388.02001953	4.0	4.0	264.499539137	0.0	0.0429978892207	0.985947012901	-0.161430045962	22.7351991904	2.71126842403	36.1066513062	-36.8520507812	-55.6280517578	0.158723816276	12.0	6.11999988556	502.680700302	7.0	23.2199993134	0.960129031049	1.0	1
1.0	2122.39990234	9.0	4.0	2033.96875	3.0	3.0	176.333101749	0.0	0.0429139919579	0.985951066017	-0.161427557468	41.4968995924	1.78710056991	30.4668006897	-28.4312496185	-66.2312469482	0.646008074284	5.0	7.21999979019	205.283102036	6.0	14.1999998093	0.964503161713	1.0	1
1.0	1972.4486084	5.0	1.0	1165.01367188	2.0	1.0	42.1093389988	0.0	0.998987436295	-0.0365982614458	0.0261649042368	47.6144258069	2.76407446204	44.1059494019	-15.0921001434	-66.8504943848	0.529209733009	0.0	0.0	0.0	1.0	14.1999998093	0.991198610006	1.0	1
