valid	volumeS1	connectedComponentsS1	connectedComponentsS1Rel	volumeS2	connectedComponentsS2	connectedComponentsS2Rel	corticalSize	distanceMin	direction_x	direction_y	direction_z	distanceToExtremity1	distanceToExtremity2	gravityCenter_x	gravityCenter_y	gravityCenter_z	corticalDotProduct	junctions	junctionDepthMin	junctionsSize	plisDePassage	plisDePassageDepthMax	Potential	Class	cycle
1.0	287.072601318	1.0	1.0	306.947509766	1.0	1.0	59.3261013031	0.0	0.0334208495915	0.984704077244	-0.170999839902	3.04667013409	8.66631957117	45.6888504028	45.5198974609	29.3968009949	0.870579779148	0.0	0.0	0.0	1.0	7.51999998093	-1.0	0.0	1
1.0	1865.97412109	7.0	4.0	2535.07470703	6.0	2.0	353.320299625	0.0	0.999347507954	-0.0346042104065	-0.0103462198749	2.8340267754	38.5553769252	63.429649353	57.6139984131	21.5818004608	0.316448032856	8.0	3.25999999046	209.619282722	2.0	7.51999998093	0.990193941996	1.0	1
1.0	1223.37182617	5.0	2.0	1592.15124512	3.0	1.0	121.288999557	0.0	0.0334208495915	0.984704077244	-0.170999839902	35.9913455309	38.3814314134	45.6888504028	45.5198974609	29.3968009949	0.870579779148	0.0	0.0	0.0	1.0	7.51999998093	0.963837390039	1.0	1
1.0	1755.5612793	5.0	3.0	1991.84545898	7.0	4.0	407.372983932	0.0	0.999347507954	-0.0346042104065	-0.0103462198749	2.8340267754	25.1339720843	63.429649353	57.6139984131	21.5818004608	0.316448032856	8.0	3.25999999046	142.382840753	3.0	14.0200004578	0.997566729333	1.0	1
1.0	653.643554688	3.0	2.0	1404.44958496	1.0	1.0	171.386642933	0.0	0.0334178842604	0.984706521034	-0.170986399055	29.6717670071	3.05723711233	44.8399505615	20.513250351	33.7397994995	0.667413115501	5.0	5.01999998093	168.750102997	0.0	15.3000001907	0.977347456617	1.0	1
1.0	1245.45593262	4.0	3.0	569.729309082	2.0	2.0	193.798799515	0.0	0.999347507954	-0.0346042104065	-0.0103462198749	2.8340267754	16.25325144	63.429649353	57.6139984131	21.5818004608	0.316448032856	2.0	4.0	34.2774000168	1.0	4.0	0.950709718282	1.0	1
1.0	1075.42028809	3.0	3.0	1203.4987793	3.0	3.0	325.63476181	0.0	0.999347507954	-0.0346042104065	-0.0103462198749	2.8340267754	16.25325144	63.429649353	57.6139984131	21.5818004608	0.316448032856	7.0	4.0	203.027503014	1.0	4.0	0.974196397218	1.0	1
1.0	580.770629883	3.0	1.0	684.559204102	2.0	1.0	40.8691005707	1.82277535754	-0.264298379421	0.76396381855	-0.588647246361	2.10665062057	8.63564053296	45.2248535156	48.6520004272	27.9568996429	0.732802510262	0.0	0.0	0.0	0.0	0.0	0.670026383532	1.0	1
1.0	1647.35766602	3.0	3.0	982.673339844	2.0	2.0	257.080082417	0.0	0.999347388744	-0.0346076078713	-0.0103462189436	7.64332155413	19.2738966808	49.9688491821	56.5018997192	25.6152000427	0.212969228625	6.0	4.76000022888	151.611363053	1.0	7.51999998093	0.997468687807	1.0	1
1.0	389.537384033	1.0	1.0	325.436004639	1.0	1.0	17.9296900034	0.0	-0.0461905896664	-0.993750035763	0.101623043418	5.27141309522	0.0	41.6977996826	40.4893493652	32.4681015015	0.246534496546	2.0	11.6999998093	66.445400238	0.0	12.8999996185	-1.0	0.0	1
1.0	1605.81445312	8.0	5.0	2161.35668945	4.0	3.0	262.617176533	0.0	-0.998027801514	0.0332693979144	-0.053232729435	34.3528977239	17.2218008229	65.8652496338	32.6208496094	28.7276992798	0.457484722137	5.0	5.07999992371	117.07033968	5.0	15.9200000763	0.993904097424	1.0	1
1.0	483.223480225	4.0	3.0	348.446807861	4.0	2.0	39.0235004425	0.0	0.046189840883	0.993750751019	-0.101616896689	2.75829226722	0.0	41.6508026123	39.4781990051	32.5714988708	0.842579722404	2.0	11.6999998093	73.8281002045	0.0	17.1200008392	0.475224346427	1.0	1
1.0	1405.29260254	8.0	5.0	2319.14404297	6.0	5.0	213.04682076	0.0	0.998022556305	-0.0332753174007	0.0533264800906	34.1772311617	15.5353345201	67.0622024536	32.460647583	27.3616504669	0.436793804169	6.0	10.5399999619	140.273582697	1.0	12.720000267	0.976930288666	1.0	1
1.0	903.990234375	6.0	2.0	325.436004639	1.0	1.0	63.2812906504	0.0	-0.0461905896664	-0.993750035763	0.101623043418	34.4263448216	0.0	41.6977996826	40.4893493652	32.4681015015	0.246534496546	2.0	11.6999998093	66.445400238	0.0	12.8999996185	0.31578039073	1.0	1
1.0	900.701660156	5.0	3.0	409.260803223	3.0	3.0	159.257797241	0.0	0.046189840883	0.993750751019	-0.101616896689	21.943547733	0.0	41.6508026123	39.4781990051	32.5714988708	0.842579722404	2.0	5.07999992371	48.5156002045	1.0	5.07999992371	0.973308528347	1.0	1
1.0	1413.51049805	5.0	3.0	297.494384766	2.0	2.0	239.414100647	1.83853199842	-0.875954031944	-0.482347756624	0.00671796640381	17.3342333829	21.3359317787	52.0346984863	56.8550033569	31.2724990845	0.909794092178	0.0	0.0	0.0	0.0	0.0	0.998675929402	1.0	1
1.0	557.186279297	3.0	1.0	954.94140625	5.0	3.0	94.9218889475	0.0	-0.0461905896664	-0.993750035763	0.101623043418	5.27141309522	21.154412194	41.6977996826	40.4893493652	32.4681015015	0.246534496546	2.0	11.6999998093	66.445400238	0.0	12.8999996185	0.637589563227	1.0	1
1.0	1063.41967773	5.0	3.0	562.1171875	4.0	4.0	221.484490991	0.0	0.0461905896664	0.993750035763	-0.101623043418	24.5209647029	21.9684388314	41.6977996826	40.4893493652	32.4681015015	0.246534496546	2.0	11.6999998093	60.1172008514	0.0	11.6999998093	0.980065549102	1.0	1
1.0	269.237609863	1.0	1.0	140.698394775	1.0	1.0	53.1737977266	1.20220629803	0.620134413242	0.172525510192	0.765289664268	1.59123442841	0.0	51.3880500793	25.2771987915	32.8500976562	0.937474429607	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
