valid	volumeS1	connectedComponentsS1	connectedComponentsS1Rel	volumeS2	connectedComponentsS2	connectedComponentsS2Rel	corticalSize	distanceMin	direction_x	direction_y	direction_z	distanceToExtremity1	distanceToExtremity2	gravityCenter_x	gravityCenter_y	gravityCenter_z	corticalDotProduct	junctions	junctionDepthMin	junctionsSize	plisDePassage	plisDePassageDepthMax	Potential	Class	cycle
1.0	306.947509766	1.0	1.0	344.487915039	1.0	1.0	3.95508003235	1.15144690835	0.735086381435	0.665917098522	-0.127288505435	13.1533304269	0.0	47.6726531982	54.9486999512	25.9216003418	0.876412093639	3.0	11.5	73.8281002045	0.0	14.5200004578	-1.0	0.0	1
1.0	1441.98913574	4.0	2.0	1545.77783203	9.0	2.0	179.296881676	0.0	0.688963830471	-0.715985536575	0.112665854394	17.3877196374	5.8075678419	47.8650970459	61.1739501953	23.0300998688	0.999253749847	5.0	11.0200004578	109.423800468	1.0	14.0200004578	0.998485496792	1.0	1
1.0	1693.73010254	6.0	4.0	2652.11303711	9.0	4.0	267.627105713	0.0	0.0334173962474	0.984704077244	-0.171000704169	28.6813867908	1.10408823466	68.123550415	49.9682998657	13.775800705	0.859276533127	9.0	3.0	301.904300213	3.0	15.0600004196	0.975822624694	1.0	1
1.0	2029.38452148	5.0	3.0	2312.04125977	13.0	5.0	143.701240778	0.0	-0.999344885349	0.0346922464669	0.0103020248935	0.0	41.2485588053	60.4637985229	73.8279495239	4.33840513229	0.51032346487	7.0	8.10000038147	220.166100502	2.0	8.10000038147	0.992458176282	1.0	1
1.0	662.476257324	3.0	2.0	969.423950195	1.0	1.0	222.802722454	0.0	0.0334213376045	0.984706401825	-0.170986369252	26.6423134546	8.63564053296	44.6870498657	49.6095504761	26.8945999146	0.766930878162	6.0	3.0	167.431643009	0.0	15.3000001907	0.673642816343	1.0	1
1.0	1338.20214844	4.0	3.0	852.385803223	4.0	4.0	345.410368204	0.0	-0.999347507954	0.0346042104065	0.0103462198749	27.5948404548	2.8340267754	63.429649353	57.6139984131	21.5818004608	0.316448032856	8.0	3.0	137.109361768	2.0	4.0	0.978498586287	1.0	1
1.0	251.741210938	1.0	1.0	399.694213867	1.0	1.0	83.0566005707	0.0	-0.0334213376045	-0.984706401825	0.170986369252	8.63564053296	4.87663437272	44.6870498657	49.6095504761	26.8945999146	0.766930878162	4.0	11.5	151.611402512	0.0	14.5200004578	0.376098546574	1.0	1
1.0	1309.49414062	3.0	3.0	324.613006592	2.0	2.0	105.468782425	0.0	-0.999347388744	0.0346076078713	0.0103462189436	34.3443453514	1.57437148193	49.9688491821	56.5018997192	25.6152000427	0.212969228625	4.0	3.0	68.5546402931	2.0	14.0200004578	0.99619319306	1.0	1
1.0	209.784301758	1.0	1.0	635.977111816	2.0	1.0	35.5956802368	0.0	0.0334173738956	0.984691441059	-0.17107360065	2.4776625251	16.3805099419	45.9182510376	52.8324508667	26.3165493011	0.153953045607	4.0	11.5	129.199302673	0.0	15.3000001907	0.156896236942	1.0	1
1.0	1744.52111816	3.0	3.0	538.813110352	4.0	4.0	316.406260967	0.0	0.0334208495915	0.984704077244	-0.170999839902	37.9211861289	2.10666657808	45.6888504028	45.5198974609	29.3968009949	0.870579779148	8.0	3.0	204.345740795	2.0	7.51999998093	0.97385840191	1.0	1
1.0	325.436004639	1.0	1.0	1056.8458252	1.0	1.0	58.0078010559	1.83853199842	-0.875954031944	-0.482347756624	0.00671796640381	3.04840863095	22.1900925532	52.0346984863	56.8550033569	31.2724990845	0.909794092178	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	1996.99536133	7.0	5.0	4179.71826172	17.0	7.0	394.453076601	0.0	0.046189840883	0.993750751019	-0.101616896689	2.03501917987	38.6108751858	47.3816986084	83.3656005859	22.4972000122	0.347145587206	11.0	4.82000017166	398.671953201	5.0	10.6199998856	0.977406434689	1.0	1
1.0	1941.11291504	7.0	6.0	4375.30761719	17.0	8.0	427.148618817	0.0	0.998026847839	-0.0331811457872	0.0533038154244	15.0241931362	51.6843092463	55.1805496216	75.199798584	7.87281036377	0.313948869705	14.0	9.31999969482	526.289404869	7.0	18.3600006104	0.997960365529	1.0	1
