valid	volumeS1	connectedComponentsS1	connectedComponentsS1Rel	volumeS2	connectedComponentsS2	connectedComponentsS2Rel	corticalSize	distanceMin	direction_x	direction_y	direction_z	distanceToExtremity1	distanceToExtremity2	gravityCenter_x	gravityCenter_y	gravityCenter_z	corticalDotProduct	junctions	junctionDepthMin	junctionsSize	plisDePassage	plisDePassageDepthMax	Potential	Class	cycle
1.0	810.429016113	1.0	1.0	240.699890137	2.0	2.0	102.832000256	0.0	0.999347448349	-0.0346065461636	-0.0103469183668	15.8761701979	21.6674148822	0.799698531628	50.1010971069	-41.2776031494	0.584822356701	1.0	13.6800003052	58.0078010559	0.0	13.6800003052	-1.0	0.0	1
1.0	2934.76904297	11.0	6.0	4840.49414062	9.0	6.0	606.445324421	0.0	-0.0334172584116	-0.984691500664	0.171073004603	15.7786033904	42.8303866035	29.0091495514	97.8879547119	-28.2833499908	0.803870201111	27.0	5.28000020981	907.031400919	6.0	18.3600006104	0.998789399003	1.0	1
1.0	3769.48876953	10.0	6.0	3897.56933594	10.0	7.0	549.755986691	0.0	0.999347448349	-0.0346065461636	-0.0103469183668	49.4608727146	16.3804344885	0.799698531628	50.1010971069	-41.2776031494	0.584822356701	22.0	1.5	675.000161886	2.0	8.27999973297	0.999405771255	1.0	1
1.0	2563.78271484	8.0	5.0	3431.62768555	10.0	8.0	282.128983974	0.0	-0.0334281213582	-0.984706282616	0.170985743403	54.042021049	24.8829118424	0.65602850914	61.8348503113	-41.4960021973	0.467947542667	15.0	4.69999980927	565.5761621	1.0	18.3600006104	0.999373603829	1.0	1
1.0	1793.1015625	4.0	2.0	351.112701416	5.0	4.0	85.6933614016	0.0	-0.033429954201	-0.984706163406	0.170985728502	44.479130684	19.1380785934	-1.01801347733	76.9413452148	-38.6520004272	0.269326627254	2.0	11.779999733	56.6894989014	0.0	13.0600004196	0.942504125203	1.0	1
1.0	2404.78710938	6.0	4.0	390.861297607	3.0	3.0	116.015761495	0.0	-0.999347627163	0.0346007533371	0.0103428009897	38.1266521158	0.0	17.2289505005	77.0182037354	-64.3115997314	0.521274864674	4.0	2.81999993324	87.0118393898	0.0	13.0600004196	0.970613552761	1.0	1
1.0	240.699890137	2.0	0.0	19.8743000031	1.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.497648495618	1.0	1
1.0	2616.77978516	7.0	5.0	501.274353027	6.0	6.0	367.822323322	0.0	0.999347269535	-0.0346103422344	-0.0103470357135	47.9561007345	7.8565088586	3.97905492783	78.782699585	-49.9160003662	0.682163774967	6.0	4.69999980927	155.566439152	2.0	8.72000026703	0.983655880233	1.0	1
1.0	2159.67211914	4.0	3.0	39.7486000061	1.0	1.0	94.921901226	0.0	0.0334281213582	0.984706282616	-0.170985743403	38.720383087	6.86674836613	0.65602850914	61.8348503113	-41.4960021973	0.467947542667	1.0	4.69999980927	19.7754001617	0.0	4.69999980927	0.441916262256	1.0	1
1.0	834.720275879	3.0	0.0	50.7897987366	1.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.497648495618	1.0	1
