valid	volumeS1	connectedComponentsS1	connectedComponentsS1Rel	volumeS2	connectedComponentsS2	connectedComponentsS2Rel	corticalSize	distanceMin	direction_x	direction_y	direction_z	distanceToExtremity1	distanceToExtremity2	gravityCenter_x	gravityCenter_y	gravityCenter_z	corticalDotProduct	junctions	junctionDepthMin	junctionsSize	plisDePassage	plisDePassageDepthMax	Potential	Class	cycle
1.0	1121.79211426	2.0	2.0	2594.69458008	2.0	1.0	63.2812407017	0.0	-0.999347269535	0.0346106663346	0.010347132571	3.73996918936	5.46802188931	57.9277000427	72.9923019409	-20.8241004944	0.119411230087	2.0	5.57999992371	65.9180011749	0.0	10.9600000381	-1.0	0.0	1
1.0	2448.95385742	10.0	6.0	7607.43554688	19.0	7.0	243.896457672	0.0	-0.999348402023	0.0346070677042	0.0102569079027	2.10672678546	67.983155801	68.8945999146	25.3414001465	10.7841501236	0.121783941984	8.0	10.3400001526	322.998105049	3.0	16.8799991608	0.979856377371	1.0	1
1.0	3073.88891602	5.0	4.0	10365.5419922	23.0	5.0	234.668023348	0.0	-0.0334172919393	-0.984701037407	0.171018302441	0.0	69.0694142466	68.1208496094	54.8951034546	-3.37257003784	0.0713471770287	5.0	5.57999992371	185.888702393	1.0	6.96000003815	0.999443667638	1.0	1
1.0	3670.11425781	7.0	6.0	4189.05761719	18.0	5.0	187.207139969	0.0	-0.0334172919393	-0.984701037407	0.171018302441	25.6931924198	64.835703567	70.4539489746	22.2667999268	9.48036003113	0.782182872295	9.0	4.0	188.525401115	3.0	14.9200000763	0.997598558299	1.0	1
1.0	476.981994629	2.0	2.0	1987.42834473	9.0	2.0	3.95508003235	2.91862298661	0.418731868267	-0.849810838699	0.32013297081	2.10666657808	47.1544094447	71.4438934326	16.9936504364	14.9035997391	0.358854442835	2.0	19.2600002289	17.1387197971	0.0	19.2800006866	0.931250318664	1.0	1
1.0	4456.25488281	4.0	3.0	4284.01123047	11.0	9.0	299.267619491	0.0	-0.688923835754	0.71601319313	-0.112734295428	0.0	73.8597733092	71.950050354	24.5570487976	-16.2890510559	0.564756512642	18.0	5.57999992371	682.910121202	6.0	17.9400005341	0.999928837066	1.0	1
1.0	2287.74707031	3.0	2.0	4359.09228516	7.0	5.0	197.753920078	0.0	-0.0162566825747	-0.167167752981	-0.985794425011	0.0	55.1080105091	69.3217010498	21.1221008301	12.4129505157	2.0	15.0	5.46000003815	464.062502861	4.0	11.279999733	0.951961618067	1.0	1
1.0	2239.16992188	6.0	6.0	6878.70751953	8.0	5.0	382.32422483	0.0	-0.688923835754	0.71601319313	-0.112734295428	0.0	73.8597733092	71.950050354	24.5570487976	-16.2890510559	0.564756512642	16.0	5.46000003815	417.919923067	6.0	17.9400005341	0.994201112238	1.0	1
1.0	3005.42944336	2.0	1.0	4546.79345703	10.0	7.0	261.035199165	0.0	0.999347746372	-0.0346072800457	-0.0103109860793	13.9131549965	80.0399436414	74.0195007324	45.2472991943	3.63321995735	0.920665562153	6.0	5.46000003815	163.476600647	3.0	6.96000003815	0.969840236708	1.0	1
1.0	2740.4387207	4.0	3.0	4069.81079102	7.0	5.0	110.742179871	0.0	-0.0162566825747	-0.167167752981	-0.985794425011	0.0	42.7796934637	69.3217010498	21.1221008301	12.4129505157	2.0	7.0	5.46000003815	172.705022097	2.0	5.57999992371	0.98691598626	1.0	1
