valid	volumeS1	connectedComponentsS1	connectedComponentsS1Rel	volumeS2	connectedComponentsS2	connectedComponentsS2Rel	corticalSize	distanceMin	direction_x	direction_y	direction_z	distanceToExtremity1	distanceToExtremity2	gravityCenter_x	gravityCenter_y	gravityCenter_z	corticalDotProduct	junctions	junctionDepthMin	junctionsSize	plisDePassage	plisDePassageDepthMax	Potential	Class	cycle
1.0	459.316009521	1.0	1.0	2594.69458008	2.0	1.0	23.7304992676	2.98193387359	0.72858953476	-0.138110309839	-0.670882165432	8.17176436574	0.0	49.8555526733	-12.3705501556	35.729549408	0.0702569782734	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	4286.22021484	13.0	12.0	10087.3037109	24.0	9.0	823.974536061	0.0	-0.0334172919393	-0.984701037407	0.171018302441	15.4324631602	69.0694142466	68.1208496094	54.8951034546	-3.37257003784	0.0713471770287	48.0	3.75999999046	1524.02377188	11.0	16.8799991608	0.99999691266	1.0	1
1.0	1192.4564209	5.0	3.0	2420.2434082	7.0	2.0	75.1464807987	0.0	-0.999347686768	0.0346259921789	0.0102569693699	30.7543029256	0.0	58.853099823	-6.66716003418	18.2998504639	0.609575152397	5.0	10.6000003815	160.839962602	3.0	12.8000001907	0.89573144677	1.0	1
1.0	2707.31860352	11.0	11.0	7408.69433594	24.0	5.0	471.97272265	0.0	0.0334178842604	0.984706521034	-0.170986399055	25.8666176602	15.0022393145	45.3382492065	-23.6693496704	17.8425998688	0.848345518112	27.0	3.75999999046	769.922265768	9.0	14.6199998856	0.999999304022	1.0	1
1.0	549.854370117	1.0	1.0	3890.93896484	2.0	1.0	23.7304992676	2.98193387359	0.72858953476	-0.138110309839	-0.670882165432	25.9685372942	0.0	49.8555526733	-12.3705501556	35.729549408	0.0702569782734	0.0	0.0	0.0	0.0	0.0	0.436596102608	1.0	1
1.0	2649.90380859	7.0	7.0	4811.78564453	8.0	6.0	435.058461785	0.0	0.0334178842604	0.984706521034	-0.170986399055	25.8666176602	15.0022393145	45.3382492065	-23.6693496704	17.8425998688	0.848345518112	10.0	3.75999999046	337.500084758	6.0	16.8799991608	0.999997596747	1.0	1
1.0	903.176025391	3.0	3.0	1709.18457031	4.0	4.0	135.791018486	0.0	0.0334173440933	0.984691441059	-0.171073451638	19.4621755114	11.3376744502	32.5575485229	-11.4176502228	41.2786483765	0.73153179884	2.0	4.94000005722	64.5996017456	1.0	12.8000001907	0.991399939817	1.0	1
1.0	3932.89868164	4.0	4.0	5266.68310547	5.0	4.0	558.984297395	0.0	0.0334173962474	0.984704077244	-0.171000704169	2.8340230738	70.0126209325	68.123550415	49.9682998657	13.775800705	0.859276533127	11.0	4.94000005722	271.582021952	6.0	17.9400005341	0.999901056751	1.0	1
1.0	998.130004883	4.0	3.0	715.47442627	5.0	3.0	72.5097789764	0.0	0.999346733093	-0.0346259586513	-0.0103471269831	25.0066482859	1.78384291003	40.1012992859	-5.09375	43.6819992065	0.475666999817	3.0	7.01999998093	63.2812013626	2.0	11.5399999619	0.970613558664	1.0	1
1.0	3111.42797852	5.0	4.0	2656.53076172	8.0	6.0	180.615300179	0.0	0.0334178842604	0.984706521034	-0.170986399055	25.8666176602	15.0022393145	45.3382492065	-23.6693496704	17.8425998688	0.848345518112	6.0	3.75999999046	239.941400528	3.0	17.9400005341	0.998154640682	1.0	1
1.0	430.627685547	2.0	1.0	1834.27661133	1.0	1.0	26.3672008514	2.59448066439	0.466902911663	0.824138045311	0.320621341467	3.02395317944	5.73273296909	66.7081451416	1.41929996014	10.3951854706	0.887723326683	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	3596.2331543	10.0	7.0	7685.55175781	26.0	11.0	448.242392063	0.0	-0.046198066324	-0.993749558926	0.10162486881	11.9189827187	23.6447374356	64.3204956055	-16.1233501434	-10.9697999954	0.262704193592	37.0	4.69999980927	875.390532017	11.0	27.0799999237	0.999430309962	1.0	1
1.0	1145.60083008	13.0	3.0	2269.83447266	8.0	3.0	12.6562896967	0.0	0.0461860597134	0.993750035763	-0.101625494659	17.8845820853	56.4540072239	70.5840988159	17.5188007355	3.13467502594	0.743293762207	3.0	9.31999969482	79.1015400887	2.0	15.9200000763	0.227954842048	1.0	1
1.0	4173.14355469	12.0	8.0	6472.56396484	23.0	10.0	508.359313011	0.0	-0.046198066324	-0.993749558926	0.10162486881	11.9189827187	23.6447374356	64.3204956055	-16.1233501434	-10.9697999954	0.262704193592	33.0	3.09999990463	913.35943687	15.0	27.0799999237	0.999989534246	1.0	1
1.0	1065.06274414	5.0	2.0	2043.01599121	6.0	2.0	60.1172008514	0.0	0.0461980588734	0.993749439716	-0.101625800133	1.52424678337	52.2689227285	69.3401031494	19.1545505524	-14.4090003967	0.938652694225	1.0	22.3999996185	61.1719017029	1.0	22.3999996185	0.30625378739	1.0	1
