valid	extremitiesValid	extremity1x	extremity1y	extremity1z	extremity2x	extremity2y	extremity2z	gravityCenter_x	gravityCenter_y	gravityCenter_z	normalValid	normal_x	normal_y	normal_z	direction_x	direction_y	direction_z	volume	geodesicDepthMax	geodesicDepthMin	connectedComponentsAllRels	connectedComponents	pureCortical	distanceBetweenComponentsMax	plisDePassage	hullJunctionsSize	Potential	Class	cycle
1.0	1.0	-3.54091000557	8.18076038361	-44.8132019043	-4.52686023712	-33.0973014832	2.18227005005	-6.64877796173	-21.0599594116	-24.1859798431	1.0	-0.39496716857	-0.769864439964	-0.501307964325	0.000322226376738	-0.443755686283	0.896147668362	198.742904663	7.51999998093	0.0	2.0	3.0	1.0	0.9375	0.0	204.345794678	-1.0	0.0	1
1.0	1.0	-1.86951994896	52.9691009521	-38.1092987061	-4.46096992493	-47.518901825	-49.640499115	-10.3798971176	-4.97951698303	-33.3773269653	1.0	-0.0818545520306	-0.503159284592	-0.860308408737	0.00471698166803	-0.849660813808	0.527308523655	1307.2857666	17.2999992371	0.0	3.0	3.0	0.0	30.0	2.0	366.504119873	1.0	1.0	1
1.0	1.0	-1.86951994896	52.9691009521	-38.1092987061	-11.6000003815	-70.6772994995	-9.30265045166	-10.0692415237	-18.1688423157	-25.613992691	1.0	-0.163619592786	-0.205516412854	-0.964879095554	-0.0114900991321	-0.967918813229	0.251000463963	3239.50683594	14.9799995422	0.0	1.0	11.0	13.0	16.988199234	7.0	1357.91040039	1.0	1.0	1
1.0	1.0	-1.86951994896	52.9691009521	-38.1092987061	-11.6000003815	-70.6772994995	-9.30265045166	-10.6972045898	-15.4508562088	-25.8199367523	1.0	0.00392038468271	-0.313203305006	-0.949678063393	0.058925550431	-0.941582143307	0.331588357687	4109.55908203	21.5	0.0	2.0	13.0	14.0	16.988199234	7.0	1643.99401855	1.0	1.0	1
1.0	1.0	-2.1463201046	17.3306999207	-50.0411987305	-4.52686023712	-33.0973014832	2.18227005005	-6.85432243347	-7.66154289246	-31.5168933868	1.0	-0.448496103287	-0.631058633327	-0.63294261694	-0.027043921873	-0.667973101139	0.743693828583	331.238220215	12.8000001907	0.0	2.0	4.0	2.0	1.32582998276	1.0	259.716918945	1.0	1.0	1
1.0	1.0	-3.54091000557	8.18076038361	-44.8132019043	-4.52686023712	-33.0973014832	2.18227005005	-6.6041097641	-20.3812732697	-24.4580154419	1.0	-0.38903465867	-0.746052086353	-0.540424227715	0.000322226376738	-0.443755686283	0.896147668362	209.784194946	9.72000026703	0.0	2.0	4.0	2.0	1.32582998276	0.0	213.574310303	1.0	1.0	1
1.0	1.0	-6.042719841	5.5744600296	-60.6166992188	-4.52686023712	-33.0973014832	2.18227005005	-8.27746868134	-14.1556148529	-36.762134552	1.0	-0.36851260066	-0.624415338039	-0.688697218895	0.0682408064604	-0.743013560772	0.665788352489	706.640991211	12.6000003815	0.0	1.0	5.0	4.0	15.029299736	0.0	355.957214355	1.0	1.0	1
1.0	1.0	-2.1463201046	17.3306999207	-50.0411987305	-11.6000003815	-70.6772994995	-9.30265045166	-9.38871669769	-29.1979637146	-21.3834266663	1.0	-0.200617626309	-0.26725295186	-0.942511737347	-0.0369374267757	-0.960617005825	0.275409847498	1830.64233398	13.3599996567	0.0	1.0	8.0	12.0	15.029299736	1.0	850.34197998	1.0	1.0	1
1.0	1.0	-3.54091000557	8.18076038361	-44.8132019043	-11.6000003815	-70.6772994995	-9.30265045166	-9.11905765533	-30.8254470825	-19.053560257	1.0	-0.2225933671	-0.199273988605	-0.954328000546	-0.0678216964006	-0.958538532257	0.276774406433	1077.62792969	12.6000003815	0.0	1.0	5.0	4.0	6.49790000916	0.0	515.478759766	1.0	1.0	1
1.0	1.0	-3.54091000557	8.18076038361	-44.8132019043	-4.52686023712	-33.0973014832	2.18227005005	-6.05973958969	-16.8934440613	-24.3866958618	1.0	-0.501935005188	-0.796755194664	-0.336514949799	0.048892814666	-0.337078630924	0.940206050873	141.328308105	7.51999998093	0.0	2.0	2.0	0.0	30.0	0.0	151.61138916	1.0	1.0	1
