valid	extremitiesValid	extremity1x	extremity1y	extremity1z	extremity2x	extremity2y	extremity2z	gravityCenter_x	gravityCenter_y	gravityCenter_z	normalValid	normal_x	normal_y	normal_z	direction_x	direction_y	direction_z	volume	geodesicDepthMax	geodesicDepthMin	connectedComponentsAllRels	connectedComponents	pureCortical	distanceBetweenComponentsMax	plisDePassage	hullJunctionsSize	Potential	Class	cycle
1.0	1.0	-2.42839002609	7.35289001465	-42.8774986267	-7.25278997421	41.0218009949	-83.0290985107	-9.49140453339	32.2675704956	-50.0665473938	1.0	0.718736410141	0.485978931189	0.497234880924	-0.0363704897463	0.47107180953	-0.881344735622	1048.92004395	19.7399997711	0.0	1.0	1.0	0.0	0.0	1.0	255.761611938	-1.0	0.0	1
1.0	1.0	-5.12530994415	-43.4976005554	-19.5454006195	-23.4764003754	81.8029022217	-57.2332992554	-10.6677942276	21.0498561859	-36.5948181152	1.0	-0.223660185933	0.320817500353	0.920354366302	-0.0945977419615	0.992816448212	-0.0732578858733	3201.96899414	24.4799995422	0.0	8.0	18.0	11.0	16.988199234	1.0	1199.7064209	1.0	1.0	1
1.0	1.0	-7.62447977066	-51.0307006836	-18.2005004883	-23.4764003754	81.8029022217	-57.2332992554	-10.7938117981	17.3934841156	-34.3182106018	1.0	-0.135829210281	0.505691170692	0.851954758167	-0.0684536024928	0.926704704762	-0.369503051043	5423.47216797	24.4799995422	0.0	4.0	17.0	19.0	15.029299736	8.0	1993.35961914	1.0	1.0	1
1.0	1.0	-7.62447977066	-51.0307006836	-18.2005004883	-23.4764003754	81.8029022217	-57.2332992554	-10.7039117813	19.9499645233	-31.8991203308	1.0	-0.125623226166	0.439301878214	0.889512598515	-0.0314049683511	0.960285305977	-0.277247011662	4312.71972656	24.4799995422	0.0	5.0	19.0	21.0	15.029299736	4.0	1637.40283203	1.0	1.0	1
1.0	1.0	-5.8845500946	-1.99898004532	-19.4748001099	-14.1757001877	65.616897583	-78.1209030151	-9.86975669861	27.1344337463	-39.528263092	1.0	-0.289541512728	0.378657966852	0.879081249237	-0.204062506557	0.972483575344	-0.112402223051	2515.20214844	24.4799995422	0.0	2.0	8.0	6.0	11.1888999939	1.0	784.423828125	1.0	1.0	1
1.0	1.0	-2.86600995064	-7.76293992996	-33.011100769	-14.1757001877	65.616897583	-78.1209030151	-10.3499364853	35.4480819702	-61.3630256653	1.0	0.106234386563	0.992345094681	0.0629717409611	-0.503620505333	0.308828800917	-0.806840181351	1002.54699707	13.5	0.0	5.0	7.0	2.0	10.7285003662	0.0	469.335998535	1.0	1.0	1
1.0	1.0	-2.34403991699	36.7659988403	-28.0541000366	-7.25278997421	41.0218009949	-83.0290985107	-9.27183246613	32.2836227417	-49.0635948181	1.0	0.718638539314	0.461230993271	0.520408153534	-0.0470470488071	0.507947981358	-0.860101938248	1097.50158691	19.7399997711	0.0	1.0	2.0	1.0	7.26425981522	1.0	287.40222168	1.0	1.0	1
1.0	1.0	-0.382660001516	29.5685005188	-30.4612998962	-14.1757001877	65.616897583	-78.1209030151	-9.76838302612	46.3336105347	-52.984954834	1.0	0.261432915926	0.827066540718	0.497608006001	-0.341153562069	0.754682719707	-0.560417830944	859.009765625	14.9799995422	0.0	2.0	4.0	2.0	7.26425981522	1.0	299.268005371	1.0	1.0	1
1.0	1.0	-2.86600995064	-7.76293992996	-33.011100769	-14.1757001877	65.616897583	-78.1209030151	-8.75229263306	34.5725669861	-50.1641731262	1.0	0.609015464783	0.530329048634	0.58978921175	-0.0492933690548	0.620196521282	-0.782896220684	1938.84606934	19.7399997711	0.0	1.0	4.0	4.0	10.7285003662	4.0	680.273742676	1.0	1.0	1
1.0	1.0	-0.237228006124	27.502199173	-37.5093002319	-8.15830993652	59.3106994629	-75.8526992798	-7.50079107285	45.4229774475	-55.6231002808	1.0	0.222787827253	0.379321366549	0.898042738438	-0.0577660799026	0.950837790966	-0.304254174232	647.585388184	15.8999996185	0.0	1.0	1.0	0.0	0.0	0.0	198.281204224	-1.0	0.0	1
