valid	extremitiesValid	extremity1x	extremity1y	extremity1z	extremity2x	extremity2y	extremity2z	gravityCenter_x	gravityCenter_y	gravityCenter_z	normalValid	normal_x	normal_y	normal_z	direction_x	direction_y	direction_z	volume	geodesicDepthMax	geodesicDepthMin	connectedComponentsAllRels	connectedComponents	pureCortical	distanceBetweenComponentsMax	plisDePassage	hullJunctionsSize	Potential	Class	cycle
1.0	1.0	-21.873500824	106.778999329	10.8411998749	-14.0227003098	44.5429992676	8.81295013428	-13.7964572906	75.7461013794	-6.61455202103	1.0	-0.0504813082516	0.160922765732	0.985675096512	-0.110015854239	0.984621286392	-0.135710567236	1746.72900391	24.3199996948	0.0	1.0	1.0	0.0	0.0	4.0	367.822296143	-1.0	0.0	1
1.0	1.0	-9.54108047485	91.3333969116	-44.6257019043	-36.6497993469	33.8693008423	27.3253993988	-19.5858306885	74.5228424072	-8.93723201752	1.0	-0.363806575537	0.216673284769	0.905923545361	0.0169690642506	0.998386442661	0.0541901029646	5308.64404297	35.2400016785	0.0	9.0	17.0	13.0	9.51642990112	14.0	1982.81311035	1.0	1.0	1
1.0	1.0	-12.470000267	100.849998474	-35.3618011475	-29.8008003235	38.4761009216	22.7949008942	-21.894115448	66.9722976685	-8.22648334503	1.0	-0.434925854206	0.492548197508	0.753814220428	0.298893630505	0.950234174728	-0.0878505855799	3098.18017578	31.0599994659	0.0	12.0	15.0	3.0	10.0080003738	4.0	991.406677246	1.0	1.0	1
1.0	1.0	-27.4281997681	111.707000732	-0.785018980503	-14.0227003098	44.5429992676	8.81295013428	-14.6202468872	79.3993988037	-4.74122428894	1.0	-0.198888853192	0.0758125782013	0.977085351944	-0.156332269311	0.964296996593	-0.213755488396	2362.83154297	24.3199996948	0.0	2.0	6.0	6.0	9.51642990112	4.0	750.146118164	1.0	1.0	1
1.0	1.0	-15.4806003571	107.402999878	-23.7728004456	-29.8008003235	38.4761009216	22.7949008942	-18.6576652527	77.6521606445	-1.05372858047	1.0	-0.544883728027	0.079787902534	0.834707021713	-0.222113519907	0.971806764603	-0.0791029855609	3069.47290039	24.3199996948	0.0	3.0	12.0	12.0	10.0080003738	3.0	1090.28356934	1.0	1.0	1
1.0	1.0	-15.4806003571	107.402999878	-23.7728004456	-29.8008003235	38.4761009216	22.7949008942	-21.4945316315	75.3370819092	0.73588937521	1.0	-0.703481137753	0.25260207057	0.664308965206	0.0218623280525	0.975287497044	-0.219855308533	2221.50366211	23.6000003815	0.0	4.0	9.0	5.0	9.51642990112	6.0	1001.953125	1.0	1.0	1
1.0	1.0	-15.3857002258	109.086997986	-20.4445991516	-14.0227003098	44.5429992676	8.81295013428	-16.9738674164	76.5794067383	-2.82481193542	1.0	-0.400613278151	0.229881539941	0.886940538883	0.0132403085008	0.991958916187	-0.125866517425	2753.69287109	24.3199996948	0.0	1.0	4.0	3.0	12.4881000519	5.0	754.101806641	1.0	1.0	1
1.0	1.0	-15.4806003571	107.402999878	-23.7728004456	-29.8008003235	38.4761009216	22.7949008942	-18.9324245453	74.0888671875	-0.698712110519	1.0	-0.585106372833	0.336941897869	0.737645447254	-0.0583417862654	0.905633270741	-0.420029193163	1459.65588379	23.6000003815	0.0	7.0	10.0	3.0	9.51642990112	1.0	698.730163574	1.0	1.0	1
1.0	1.0	-15.4806003571	107.402999878	-23.7728004456	-29.8008003235	38.4761009216	22.7949008942	-17.9231510162	75.2726669312	-2.82832479477	1.0	-0.402476251125	0.239414215088	0.883568704128	-0.0389249026775	0.978800237179	-0.201084598899	4025.6472168	24.3199996948	0.0	1.0	10.0	15.0	9.51642990112	12.0	1404.0526123	1.0	1.0	1
1.0	1.0	-15.3857002258	109.086997986	-20.4445991516	-29.8008003235	38.4761009216	22.7949008942	-21.3197956085	73.9299545288	0.622737169266	1.0	-0.640874445438	0.221920713782	0.734868109226	0.0496423654258	0.983538031578	-0.173748955131	2139.7980957	24.3199996948	0.0	7.0	12.0	5.0	9.51642990112	3.0	909.667907715	1.0	1.0	1
