valid	extremitiesValid	extremity1x	extremity1y	extremity1z	extremity2x	extremity2y	extremity2z	gravityCenter_x	gravityCenter_y	gravityCenter_z	normalValid	normal_x	normal_y	normal_z	direction_x	direction_y	direction_z	volume	geodesicDepthMax	geodesicDepthMin	connectedComponentsAllRels	connectedComponents	pureCortical	distanceBetweenComponentsMax	plisDePassage	hullJunctionsSize	Potential	Class	cycle
1.0	1.0	-56.4061012268	83.6202011108	6.36075019836	-38.2104988098	78.4495010376	-60.0335998535	-45.0649719238	77.0766601562	-27.9012889862	1.0	0.271621614695	0.742744505405	0.61200684309	0.840896010399	0.403361320496	-0.360823482275	1037.8795166	18.7999992371	0.0	6.0	11.0	5.0	11.1779003143	2.0	354.638793945	1.0	1.0	1
1.0	1.0	-56.8489990234	78.3579025269	-18.0695991516	-47.8064994812	85.9375	-37.6353988647	-48.97813797	73.9131546021	-15.0945358276	1.0	0.215230405331	0.975303053856	-0.049596041441	0.568442344666	0.3345271945	-0.751641452312	300.322509766	18.7999992371	0.0	4.0	4.0	0.0	30.0	0.0	35.5956611633	1.0	1.0	1
1.0	1.0	-56.4061012268	83.6202011108	6.36075019836	-51.5527000427	50.0117988586	-58.513999939	-50.4397964478	69.1478652954	-30.526922226	1.0	0.530860304832	0.787582159042	0.312892436981	0.563462257385	-0.0289458781481	-0.825634598732	1775.43676758	20.1599998474	0.0	5.0	11.0	6.0	11.5216999054	3.0	535.25378418	1.0	1.0	1
1.0	1.0	-59.7486991882	71.0749969482	-32.0555000305	-50.7967987061	72.2509994507	-50.484500885	-52.1064567566	67.2425689697	-39.2688064575	1.0	0.436939001083	0.873020589352	0.216608926654	0.367476940155	0.00965963117778	-0.929982483387	157.787002563	12.8800001144	0.0	1.0	1.0	0.0	0.0	0.0	64.3359985352	-1.0	0.0	1
1.0	1.0	-60.4693984985	69.8153991699	1.21860003471	-39.5261993408	48.9243011475	-67.6774978638	-45.8739433289	70.2843856812	-20.3401508331	1.0	0.422010064125	0.710805475712	0.562728226185	0.551997244358	0.187327876687	-0.812531352043	1346.12231445	24.7000007629	0.0	7.0	8.0	1.0	7.91142988205	3.0	329.062591553	1.0	1.0	1
1.0	1.0	-50.5242004395	80.6942977905	13.5601997375	-46.3819007874	60.2421989441	-57.6632995605	-42.1860160828	73.2971496582	-29.7044963837	1.0	0.69791084528	0.634681940079	0.331811845303	0.376820236444	-0.178935438395	-0.908839166164	1610.74438477	24.7000007629	0.0	5.0	7.0	2.0	12.0736999512	2.0	435.586120605	1.0	1.0	1
1.0	1.0	-50.5242004395	80.6942977905	13.5601997375	-50.7967987061	72.2509994507	-50.484500885	-45.4308776855	75.3565368652	-20.1984405518	1.0	0.619587421417	0.668313920498	0.411664992571	0.264891028404	0.115076519549	-0.957387149334	741.270751953	20.6200008392	0.0	6.0	6.0	0.0	30.0	1.0	216.210983276	1.0	1.0	1
1.0	1.0	-59.7486991882	71.0749969482	-32.0555000305	-51.0317993164	67.1951980591	-49.9674987793	-52.1128311157	68.5716781616	-38.5798149109	1.0	0.467714339495	0.838061034679	0.280886113644	0.521376609802	-0.0199778471142	-0.853092849255	164.361495972	12.8800001144	0.0	1.0	2.0	1.0	4.6875	0.0	71.7188034058	1.0	1.0	1
1.0	1.0	-35.0172996521	89.1322021484	-37.0368995667	-44.9280014038	67.2827987671	-58.3270988464	-40.7783546448	73.6864395142	-41.5180664062	1.0	0.957030594349	0.252207279205	-0.14312183857	-0.117282234132	-0.594944894314	-0.795163810253	535.818969727	22.3999996185	0.0	2.0	2.0	0.0	30.0	0.0	164.531402588	1.0	1.0	1
1.0	1.0	-71.3421020508	53.1819000244	-19.2226009369	-35.0172996521	89.1322021484	-37.0368995667	-46.8501625061	68.541343689	-34.6644058228	1.0	0.80024766922	0.49482601881	0.338749051094	0.316453695297	-0.212672919035	-0.924460530281	1285.30859375	23.2999992371	0.0	1.0	4.0	5.0	9.54895973206	0.0	379.687774658	1.0	1.0	1
1.0	1.0	-62.0234985352	69.7969970703	-11.8399000168	-50.7967987061	72.2509994507	-50.484500885	-52.4647216797	68.7243347168	-27.701253891	1.0	0.452675044537	0.664390444756	0.594702064991	0.3752143085	0.325226664543	-0.868010282516	453.638000488	20.6200008392	0.0	1.0	2.0	1.0	6.73132991791	0.0	142.382904053	1.0	1.0	1
1.0	1.0	-59.7486991882	71.0749969482	-32.0555000305	-51.0317993164	67.1951980591	-49.9674987793	-52.7760009766	66.9451980591	-38.2075996399	1.0	0.548873066902	0.82721310854	0.12023601681	0.382543891668	-0.132199957967	-0.914430677891	136.419998169	12.8800001144	0.0	1.0	1.0	0.0	0.0	0.0	52.7344017029	0.106430388534	1.0	1
1.0	1.0	-71.3421020508	53.1819000244	-19.2226009369	-35.0172996521	89.1322021484	-37.0368995667	-46.1145858765	68.7230987549	-34.0200576782	1.0	0.838801145554	0.417242944241	0.349744141102	0.303861260414	-0.257235825062	-0.917332053185	1127.52148438	23.2999992371	0.0	1.0	4.0	3.0	9.54895973206	0.0	315.351806641	1.0	1.0	1
1.0	1.0	-55.592300415	78.6667022705	-36.8544998169	-53.9118995667	68.3893966675	-48.5862007141	-52.9667015076	71.5718994141	-41.3813018799	1.0	0.835022270679	0.51760417223	-0.186611056328	0.141516953707	-0.613931775093	-0.776569783688	33.0032997131	5.15999984741	0.0	1.0	1.0	0.0	0.0	0.0	39.6386985779	-1.0	0.0	1
1.0	1.0	-59.3442001343	70.7880020142	4.07331991196	-30.2716999054	77.6829986572	-57.0806999207	-47.4959945679	76.4119262695	-20.7825756073	1.0	0.459948897362	0.486987471581	0.742489278316	0.492530882359	0.498717874289	-0.713227808475	533.265014648	18.4799995422	0.0	2.0	4.0	3.0	12.3135004044	0.0	203.027404785	1.0	1.0	1
1.0	1.0	-59.3442001343	70.7880020142	4.07331991196	-32.4987983704	75.6919021606	-55.2930984497	-51.1933517456	61.5667266846	-30.5504970551	1.0	0.270255148411	0.537677049637	0.798664808273	0.070085555315	-0.43157222867	-0.899351656437	429.043395996	18.8999996185	0.0	4.0	5.0	1.0	7.32211017609	0.0	139.218688965	1.0	1.0	1
1.0	1.0	-59.3442001343	70.7880020142	4.07331991196	-39.8320999146	60.7220001221	-60.5960998535	-49.2422523499	67.8909912109	-25.2247695923	1.0	0.432777374983	0.753090500832	0.495538622141	0.368546336889	0.21639919281	-0.904071331024	2602.05371094	24.0400009155	0.0	3.0	8.0	9.0	10.731300354	4.0	607.1484375	1.0	1.0	1
1.0	1.0	-67.806098938	59.6237983704	-10.511300087	-39.8320999146	60.7220001221	-60.5960998535	-54.6542549133	59.6898880005	-30.1617832184	1.0	0.490005910397	0.854247808456	0.17365168035	0.30547696352	-0.0440560914576	-0.951179742813	706.966003418	22.0799999237	0.0	1.0	3.0	2.0	9.34959983826	0.0	169.189498901	1.0	1.0	1
1.0	1.0	-59.4595985413	62.4548988342	-43.2050018311	-36.862701416	70.9050979614	-55.7481002808	-51.6472549438	58.8501358032	-49.3396339417	1.0	0.449802517891	0.890021562576	-0.074426010251	0.57207685709	-0.424659103155	-0.701707065105	168.491210938	11.3000001907	0.0	2.0	2.0	0.0	30.0	0.0	63.8086013794	1.0	1.0	1
1.0	1.0	-62.5844993591	67.6853027344	0.468834012747	-39.8320999146	60.7220001221	-60.5960998535	-53.0424461365	63.930103302	-28.9621543884	1.0	0.564805030823	0.786286771297	0.25049623847	0.339326441288	0.00371478195302	-0.940661370754	1387.87817383	22.0799999237	0.0	1.0	6.0	9.0	13.6344995499	0.0	375.1171875	1.0	1.0	1
1.0	1.0	-62.5844993591	67.6853027344	0.468834012747	-39.8320999146	60.7220001221	-60.5960998535	-52.3294029236	64.3503189087	-28.6587734222	1.0	0.53428286314	0.813979685307	0.227988570929	0.391959190369	0.00283324089833	-0.919978201389	581.901855469	19.4799995422	0.0	2.0	4.0	2.0	6.69688987732	0.0	181.757797241	1.0	1.0	1
1.0	1.0	-62.5844993591	67.6853027344	0.468834012747	-53.9118995667	68.3893966675	-48.5862007141	-54.3668479919	67.9464111328	-16.096408844	1.0	0.610371291637	0.721356987953	0.327247470617	0.139470160007	0.162679448724	-0.976772010326	382.144287109	19.4799995422	0.0	1.0	2.0	1.0	7.22652006149	0.0	124.716796875	1.0	1.0	1
