valid	extremitiesValid	extremity1x	extremity1y	extremity1z	extremity2x	extremity2y	extremity2z	gravityCenter_x	gravityCenter_y	gravityCenter_z	normalValid	normal_x	normal_y	normal_z	direction_x	direction_y	direction_z	volume	geodesicDepthMax	geodesicDepthMin	connectedComponentsAllRels	connectedComponents	pureCortical	distanceBetweenComponentsMax	plisDePassage	hullJunctionsSize	Potential	Class	cycle
1.0	1.0	-60.4948997498	73.4233016968	-28.0195007324	-65.8149032593	68.0259017944	18.2670001984	-53.738117218	71.5474319458	-3.92144393921	1.0	0.616536557674	0.281279534101	0.735366880894	-0.258948922157	-0.34518429637	0.902104854584	1117.37719727	22.2800006866	0.0	1.0	1.0	0.0	0.0	5.0	262.353546143	-1.0	0.0	1
1.0	1.0	-40.0611991882	104.716003418	-4.80044984818	-74.2509994507	24.4521999359	4.22070980072	-50.5129852295	70.9132995605	0.231487184763	1.0	0.56404453516	0.2406001091	0.789914727211	-0.444556742907	-0.478494465351	0.757239937782	2113.29907227	22.2800006866	0.0	4.0	8.0	4.0	10.2714996338	6.0	783.105773926	1.0	1.0	1
1.0	1.0	-60.4948997498	73.4233016968	-28.0195007324	-65.8149032593	68.0259017944	18.2670001984	-54.0807418823	71.65599823	-2.8691265583	1.0	0.337002664804	-0.331481903791	0.881220161915	-0.495646178722	-0.676154017448	0.545115172863	647.019165039	21.4200000763	0.0	2.0	2.0	0.0	30.0	2.0	177.978546143	1.0	1.0	1
1.0	1.0	-12.0032997131	100.694999695	9.92278003693	-74.2509994507	24.4521999359	4.22070980072	-47.8114624023	70.5205230713	3.30484271049	1.0	0.54729282856	0.48469337821	0.682307004929	-0.162282004952	-0.652905344963	0.739850759506	4180.22412109	24.3199996948	0.0	6.0	12.0	8.0	9.83973026276	23.0	1715.18591309	1.0	1.0	1
1.0	1.0	-47.8064994812	85.9375	-37.6353988647	-50.4348983765	55.1374015808	31.1109008789	-52.3592605591	73.0842132568	-0.738263010979	1.0	0.541426897049	0.405609339476	0.736436009407	-0.214304625988	-0.5136038661	0.830833613873	2095.63330078	22.2800006866	0.0	1.0	6.0	6.0	9.83973026276	9.0	797.608032227	1.0	1.0	1
1.0	1.0	-47.8064994812	85.9375	-37.6353988647	-49.0481987	63.498298645	27.8302993774	-53.6147727966	73.0046920776	-4.71881341934	1.0	0.550345361233	-0.105507612228	0.828243970871	-0.51132196188	-0.681335031986	0.523767530918	622.728393555	21.4200000763	0.0	3.0	5.0	2.0	10.8701000214	1.0	261.035186768	1.0	1.0	1
1.0	1.0	-51.1836013794	84.4759979248	-33.7060012817	-74.2166976929	54.0578994751	13.57970047	-54.6465492249	70.8184051514	-2.68834233284	1.0	0.601828932762	0.226556494832	0.765815973282	-0.223832160234	-0.408744156361	0.884775280952	1282.99633789	22.2800006866	0.0	1.0	3.0	2.0	5.62811994553	5.0	402.099639893	1.0	1.0	1
1.0	1.0	-40.0611991882	104.716003418	-4.80044984818	-54.6792984009	63.3942985535	26.1294994354	-45.6645622253	85.8009414673	1.39591217041	1.0	0.408833265305	0.225231304765	0.884379029274	-0.464940607548	-0.762965559959	0.44912558794	532.189147949	14.6999998093	0.0	4.0	4.0	0.0	30.0	2.0	319.043395996	1.0	1.0	1
1.0	1.0	-60.4948997498	73.4233016968	-28.0195007324	-65.8149032593	68.0259017944	18.2670001984	-54.3709068298	69.267906189	-1.23786425591	1.0	0.648079156876	0.451863378286	0.613035798073	-0.188643753529	-0.198486059904	0.961777985096	885.50994873	22.2800006866	0.0	1.0	1.0	0.0	0.0	1.0	152.929702759	0.820823362091	1.0	1
1.0	1.0	-47.8064994812	85.9375	-37.6353988647	-50.4348983765	55.1374015808	31.1109008789	-50.3050689697	76.4235839844	0.587599754333	1.0	0.503670275211	0.3106970191	0.806091547012	-0.191714003682	-0.744998633862	0.638923168182	1450.82250977	16.5599994659	0.0	2.0	6.0	4.0	9.83973026276	6.0	696.094299316	1.0	1.0	1
1.0	1.0	-63.1453018188	66.5556030273	-14.4420003891	-62.7411003113	65.2584991455	18.89220047	-53.6519393921	66.3863067627	-1.90191781521	1.0	0.355237662792	0.718666911125	0.597765922546	-0.11684563756	-0.254472464323	0.959995269775	772.499450684	20.3799991608	0.0	1.0	1.0	0.0	0.0	4.0	157.148498535	-1.0	0.0	1
1.0	1.0	-13.2782001495	101.373001099	8.92957019806	-77.1669998169	32.3694000244	10.0715999603	-51.4482002258	66.5967407227	-0.466694831848	1.0	0.272869229317	0.561953127384	0.780865550041	-0.324927538633	-0.604176938534	0.727593481541	3479.53686523	20.6200008392	0.0	3.0	10.0	8.0	13.2861003876	14.0	1299.37548828	1.0	1.0	1
