valid	volumeS1	connectedComponentsS1	connectedComponentsS1Rel	volumeS2	connectedComponentsS2	connectedComponentsS2Rel	corticalSize	distanceMin	direction_x	direction_y	direction_z	distanceToExtremity1	distanceToExtremity2	gravityCenter_x	gravityCenter_y	gravityCenter_z	corticalDotProduct	junctions	junctionDepthMin	junctionsSize	plisDePassage	plisDePassageDepthMax	Potential	Class	cycle
1.0	733.141235352	1.0	1.0	386.44418335	1.0	1.0	89.6485004425	1.74542544417	-0.591912686825	0.706080079079	0.388703405857	0.0	17.873060428	-21.9907989502	2.24285340309	35.2772979736	0.649306476116	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	876.676757812	7.0	2.0	251.741394043	2.0	1.0	109.423900604	1.74542544417	0.591912686825	-0.706080079079	-0.388703405857	18.0186425202	25.1997573599	-21.9907989502	2.24285340309	35.2772979736	0.649306476116	0.0	0.0	0.0	0.0	0.0	0.994640988807	1.0	1
1.0	1492.78076172	4.0	1.0	916.424926758	5.0	2.0	138.427759767	0.0	0.0334202349186	0.984705448151	-0.170992270112	9.13931238906	34.3910953086	-15.3118495941	5.45487499237	19.2220993042	0.524156928062	3.0	7.28000020981	138.427699089	2.0	15.220000267	0.762413310545	1.0	1
1.0	1746.7298584	8.0	4.0	998.129821777	8.0	5.0	241.259736538	0.0	-0.999346971512	0.0346216671169	0.0103427767754	19.17588748	39.8208144772	-42.7936477661	-0.64224255085	40.6427001953	0.104713656008	17.0	5.26000022888	533.935629845	9.0	21.6800003052	0.998723886973	1.0	1
1.0	1384.57458496	4.0	4.0	1024.62988281	5.0	3.0	148.974559784	0.0	0.999345242977	-0.0346973612905	-0.0102569442242	35.1516437955	1.12113357101	-30.1844005585	-19.6100502014	23.8039512634	0.465574324131	6.0	2.94000005722	148.974580646	6.0	13.7399997711	0.97136747956	1.0	1
1.0	1192.45776367	2.0	1.0	481.399078369	2.0	1.0	89.6485004425	1.74542544417	-0.591912686825	0.706080079079	0.388703405857	0.0	17.873060428	-21.9907989502	2.24285340309	35.2772979736	0.649306476116	0.0	0.0	0.0	0.0	0.0	0.214162126256	1.0	1
1.0	1179.20837402	4.0	3.0	947.340393066	6.0	5.0	184.570358753	0.0	0.999346375465	-0.0346372388303	-0.010347106494	11.2206886763	31.2313147263	-23.7387008667	-0.513328492641	38.4989013672	0.566300749779	7.0	2.94000005722	208.300822496	7.0	14.6199998856	0.97821636244	1.0	1
1.0	1419.90795898	3.0	2.0	1042.29528809	5.0	3.0	152.929739594	0.0	-0.999346494675	0.0346348546445	0.0103471158072	9.60755588091	29.1076430309	-14.7700996399	4.89183521271	19.3106994629	0.884518861771	8.0	3.57999992371	191.162120461	6.0	15.220000267	0.929478157964	1.0	1
1.0	2047.05090332	4.0	4.0	958.381652832	6.0	4.0	255.761641026	0.0	0.0334202349186	0.984705448151	-0.170992270112	9.13931238906	30.1965838995	-15.3118495941	5.45487499237	19.2220993042	0.150055199862	16.0	2.94000005722	408.691508293	11.0	15.5600004196	0.975505641483	1.0	1
1.0	376.388305664	1.0	1.0	156.143600464	1.0	1.0	42.1875	3.38687165123	-0.117456510663	0.384223759174	0.915737986565	12.3375231525	2.09660782	-25.2976493835	-6.33667516708	34.7416992188	0.546241879463	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	3191.90478516	7.0	5.0	997.675292969	7.0	5.0	229.921729445	0.0	-0.0461920872331	-0.993750333786	0.101619966328	3.08001867611	26.8918245393	-18.7756004333	9.01297473907	19.7578010559	0.597119033337	22.0	4.03999996185	530.507923126	4.0	13.5600004196	0.997757498152	1.0	1
1.0	1988.77636719	5.0	2.0	248.186309814	6.0	3.0	50.625	3.36401543485	-0.292151451111	0.240839883685	0.925550460815	33.4602434334	3.79541288881	-39.0247993469	-17.500749588	29.4537506104	0.190896958113	7.0	12.9799995422	129.726580262	0.0	25.0200004578	0.924470982942	1.0	1
1.0	2974.94628906	7.0	5.0	974.665222168	6.0	3.0	141.328050971	0.0	-0.0461920872331	-0.993750333786	0.101619966328	4.49157349744	26.8918245393	-18.7756004333	9.01297473907	19.7578010559	0.597119033337	17.0	6.23999977112	370.195349813	6.0	13.1999998093	0.984650427458	1.0	1
1.0	1235.99963379	2.0	2.0	246.542694092	3.0	2.0	89.6484084129	0.0	0.0461925528944	0.993750035763	-0.101622864604	2.46742695956	17.3516275747	-28.9463996887	5.85212993622	38.3334999084	0.884818434715	1.0	7.59999990463	12.6562004089	1.0	7.59999990463	0.667841170189	1.0	1
1.0	1973.98413086	4.0	4.0	655.80279541	5.0	4.0	222.53894937	0.0	-0.0461879707873	-0.993750870228	0.10161691159	0.0	13.7283837766	-17.3907012939	12.8973999023	17.978099823	0.90374314785	11.0	5.44000005722	303.750079155	7.0	13.9399995804	0.995411255811	1.0	1
1.0	1625.53637695	2.0	1.0	184.085113525	3.0	2.0	32.6953001022	0.0	-0.0461920872331	-0.993750333786	0.101619966328	3.08001867611	26.9229563951	-18.7756004333	9.01297473907	19.7578010559	0.597119033337	2.0	12.5200004578	47.4609084129	1.0	13.1999998093	0.717152706461	1.0	1
1.0	2302.70654297	4.0	4.0	522.67010498	5.0	5.0	181.406078577	0.0	0.0461924411356	0.993749558926	-0.101626746356	2.51045463396	14.6172527432	-19.8064994812	11.0727500916	19.4909000397	0.972504675388	4.0	5.44000005722	119.179800034	1.0	13.9399995804	0.987551370574	1.0	1
1.0	157.787094116	1.0	0.0	62.4574012756	1.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	3.80315600876e-05	1.0	1
1.0	2407.8984375	5.0	2.0	432.270812988	3.0	2.0	71.7186896801	0.0	0.0461920872331	0.993750333786	-0.101619966328	3.2299142936	12.6614819674	-18.7756004333	9.01297473907	19.7578010559	0.782200992107	6.0	6.44000005722	266.83601141	3.0	13.9399995804	0.993084498899	1.0	1
1.0	1057.84301758	1.0	1.0	144.172103882	1.0	1.0	34.8046989441	3.05850129944	-0.138108849525	0.814910709858	0.562891244888	3.48140846864	2.1161630552	-23.8086013794	-3.11627483368	42.2090492249	0.431135207415	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	3842.28198242	6.0	4.0	587.11151123	6.0	4.0	94.7460618019	0.0	0.0314124189317	-0.976058661938	0.215227052569	25.5785640616	16.3282988179	-25.0425491333	-9.66446495056	26.7821502686	0.574203133583	20.0	3.81999993324	248.46683991	3.0	6.73999977112	0.99975103183	1.0	1
1.0	189.334609985	2.0	1.0	265.763305664	2.0	1.0	54.1405982971	0.0	0.0315002426505	-0.976056933403	0.215222358704	9.88145911558	19.0153698242	-24.7466011047	6.3942399025	44.3056488037	0.610775887966	1.0	0.939999997616	1.93359005451	0.0	0.939999997616	0.68639876156	1.0	1
1.0	3027.62109375	7.0	3.0	297.029998779	2.0	2.0	25.1367602348	0.0	0.690329611301	0.709904313087	-0.139573559165	29.4180701536	12.7840552201	-16.9919509888	3.98418474197	25.3773498535	0.614600896835	16.0	3.81999993324	233.964997292	7.0	18.1000003815	0.998918137958	1.0	1
1.0	1712.69885254	2.0	1.0	257.078308105	2.0	2.0	34.8046989441	3.05850129944	-0.138108849525	0.814910709858	0.562891244888	3.48140846864	12.3474875671	-23.8086013794	-3.11627483368	42.2090492249	0.431135207415	4.0	8.92000007629	46.4062700272	4.0	12.3599996567	0.809755405597	1.0	1
1.0	2741.01269531	3.0	3.0	772.972106934	4.0	4.0	163.38863039	0.0	0.0315002426505	-0.976056933403	0.215222358704	9.88145911558	24.8366501746	-24.7466011047	6.3942399025	44.3056488037	0.610775887966	19.0	0.939999997616	239.765658975	9.0	18.1000003815	0.999664042335	1.0	1
1.0	2087.89404297	3.0	1.0	213.652801514	2.0	2.0	34.8046989441	3.05850129944	-0.138108849525	0.814910709858	0.562891244888	3.48140846864	21.9625410745	-23.8086013794	-3.11627483368	42.2090492249	0.431135207415	2.0	4.26000022888	50.2733910084	2.0	13.8999996185	0.859302863314	1.0	1
1.0	3086.6796875	4.0	3.0	663.539916992	2.0	2.0	172.090005875	0.0	-0.0314109735191	0.976040959358	-0.215307608247	38.0400452674	0.0	-28.092250824	-20.6882514954	29.1322994232	0.616038739681	17.0	0.939999997616	376.083909273	9.0	18.1000003815	0.998700129997	1.0	1
1.0	1268.02233887	3.0	2.0	330.032989502	3.0	2.0	6.76758003235	2.60007881265	0.534401714802	0.828108251095	-0.169267937541	12.2847749345	0.0	-19.6930503845	-1.57574987411	29.3410491943	0.319492220879	4.0	3.81999993324	49.3066698313	2.0	12.1999998093	0.797781016042	1.0	1
1.0	3015.4621582	3.0	3.0	785.131164551	3.0	3.0	188.525428295	0.0	-0.0314109735191	0.976040959358	-0.215307608247	38.0400452674	0.0	-28.092250824	-20.6882514954	29.1322994232	0.616038739681	21.0	0.939999997616	362.548604965	10.0	15.2399997711	0.999572205494	1.0	1
1.0	709.389160156	1.0	1.0	284.525299072	1.0	1.0	23.6865005493	2.34281241419	0.00921541731805	0.690658986568	0.723121881485	0.0	12.6882510409	-20.8650493622	-3.91957497597	30.1341514587	0.310161828995	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
