valid	volumeS1	connectedComponentsS1	connectedComponentsS1Rel	volumeS2	connectedComponentsS2	connectedComponentsS2Rel	corticalSize	distanceMin	direction_x	direction_y	direction_z	distanceToExtremity1	distanceToExtremity2	gravityCenter_x	gravityCenter_y	gravityCenter_z	corticalDotProduct	junctions	junctionDepthMin	junctionsSize	plisDePassage	plisDePassageDepthMax	Potential	Class	cycle
1.0	2749.2722168	1.0	0.0	404.109985352	1.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	6.56065761974e-10	0.0	1
1.0	7167.98486328	10.0	1.0	1287.41137695	3.0	1.0	42.1875202656	0.0	0.999347746372	-0.0346089825034	-0.0103114116937	36.8289105506	26.0361991656	-63.0508003235	-19.5028991699	-8.26930999756	0.984744131565	3.0	1.5	35.5957590342	4.0	14.6000003815	0.999991591327	1.0	1
1.0	2676.39990234	1.0	1.0	476.982391357	2.0	1.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	7.76000022888	0.23294812318	1.0	1
1.0	7839.29443359	12.0	1.0	808.220336914	3.0	1.0	13.1836004257	0.0	0.999344706535	-0.0346956402063	-0.0103109544143	2.10115052904	26.0425606617	-56.228099823	-20.121049881	2.59003996849	0.0740183293819	11.0	8.60000038147	216.211038589	0.0	19.9200000763	0.999991479746	1.0	1
1.0	26.4990005493	1.0	0.0	72.8723983765	1.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	6.56065761974e-10	1.0	1
1.0	6551.88183594	5.0	2.0	1446.40563965	2.0	1.0	10.5468800068	0.0	-0.999344706535	0.0346956402063	0.0103109544143	3.74002630785	22.1605160242	-56.228099823	-20.121049881	2.59003996849	0.203799158335	22.0	2.94000005722	561.621139526	4.0	16.2199993134	0.999993367649	1.0	1
1.0	3970.43652344	4.0	1.0	452.691589355	2.0	1.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	3.0	18.0200004578	89.6485013962	0.0	19.9200000763	0.984889472682	1.0	1
1.0	6545.25683594	3.0	1.0	1441.98913574	2.0	1.0	42.1875202656	0.0	0.999347746372	-0.0346089825034	-0.0103114116937	36.8289105506	10.7561205806	-63.0508003235	-19.5028991699	-8.26930999756	0.984744131565	6.0	1.5	90.9668594599	8.0	14.6000003815	0.999991366668	1.0	1
1.0	5081.18847656	4.0	1.0	741.97277832	2.0	1.0	21.0937604904	0.0	0.999344706535	-0.0346956402063	-0.0103109544143	2.10115052904	2.20828303394	-56.228099823	-20.121049881	2.59003996849	0.0740183293819	11.0	2.94000005722	267.626963139	0.0	22.1200008392	0.999983744421	1.0	1
1.0	5567.00097656	4.0	1.0	161.202606201	3.0	1.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	3.0	16.2199993134	133.154298782	1.0	16.2199993134	0.994046624002	1.0	1
1.0	1891.80126953	1.0	0.0	238.324005127	1.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	6.56065761974e-10	0.0	1
1.0	4654.72460938	8.0	2.0	177.5105896	3.0	3.0	34.8046998978	1.2340178154	0.0143469274044	-0.650779724121	-0.759131014347	23.8201895085	26.2812314209	-58.0818023682	-19.2475509644	-5.93603515625	0.575126647949	1.0	6.78000020981	4.21875	1.0	6.78000020981	0.970074308985	1.0	1
1.0	3058.76928711	8.0	2.0	267.909118652	2.0	2.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	5.76000022888	18.9843401909	0.0	6.78000020981	0.73461157563	1.0	1
1.0	5734.57910156	12.0	2.0	825.095092773	6.0	4.0	98.0858402252	0.0	-0.0461942739785	-0.993748605251	0.101635321975	24.4819668168	31.1165078463	-54.0445022583	-25.1574497223	-1.50995504856	0.952061474323	15.0	3.55999994278	363.867270827	7.0	10.9200000763	0.99841612373	1.0	1
1.0	1914.81176758	2.0	0.0	238.324005127	1.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	6.56065761974e-10	1.0	1
1.0	5251.35595703	4.0	1.0	259.691009521	2.0	2.0	88.5936398506	0.0	-0.0461942739785	-0.993748605251	0.101635321975	16.5111850628	3.38433718955	-54.0445022583	-25.1574497223	-1.50995504856	0.952061474323	2.0	5.17999982834	86.4844017029	1.0	5.17999982834	0.999959629963	1.0	1
