valid	volumeS1	connectedComponentsS1	connectedComponentsS1Rel	volumeS2	connectedComponentsS2	connectedComponentsS2Rel	corticalSize	distanceMin	direction_x	direction_y	direction_z	distanceToExtremity1	distanceToExtremity2	gravityCenter_x	gravityCenter_y	gravityCenter_z	corticalDotProduct	junctions	junctionDepthMin	junctionsSize	plisDePassage	plisDePassageDepthMax	Potential	Class	cycle
1.0	2749.2722168	1.0	1.0	1594.35900879	2.0	1.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	12.0	6.46000003815	511.523098946	10.0	38.2400016785	-1.0	0.0	1
1.0	7373.35253906	11.0	4.0	3387.46020508	11.0	5.0	108.105520487	0.0	-0.0334222950041	-0.984689891338	0.171081110835	3.05595664272	58.8963519536	-65.9150543213	1.76600503922	20.6863498688	0.901089072227	37.0	1.5	1067.87105811	12.0	38.2400016785	0.999996477577	1.0	1
1.0	3758.44458008	3.0	1.0	658.059265137	5.0	2.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	8.0	15.1199998856	340.136398315	3.0	38.2400016785	0.765160005311	1.0	1
1.0	6456.92724609	11.0	5.0	3268.21533203	13.0	6.0	181.933681726	0.0	0.999344706535	-0.0346956402063	-0.0103109544143	2.10115052904	30.1692926377	-56.228099823	-20.121049881	2.59003996849	0.203799158335	31.0	1.5	829.248060226	16.0	38.2400016785	0.999997329426	1.0	1
1.0	7031.07373047	4.0	2.0	1534.73596191	5.0	4.0	48.77932024	0.0	0.999344706535	-0.0346956402063	-0.0103109544143	2.10115052904	7.61726061664	-56.228099823	-20.121049881	2.59003996849	0.0740183293819	34.0	2.70000004768	930.761460781	5.0	36.5999984741	0.99293757197	1.0	1
1.0	7161.359375	5.0	2.0	1448.61486816	4.0	4.0	171.386801958	0.0	0.999344706535	-0.0346956402063	-0.0103109544143	2.10115052904	22.9393559259	-56.228099823	-20.121049881	2.59003996849	0.0740183293819	29.0	1.5	760.693199873	8.0	27.2999992371	0.991286318175	1.0	1
1.0	6361.97167969	4.0	1.0	1205.7064209	4.0	3.0	2.63671994209	0.0	-0.0334177054465	-0.984702110291	0.171011924744	30.2649060559	2.20828400563	-56.6802520752	-15.8054504395	-1.77091503143	0.436437606812	30.0	6.40000009537	833.20316124	12.0	38.2400016785	0.990064481691	1.0	1
1.0	7075.23779297	5.0	2.0	1265.32958984	4.0	4.0	145.019582033	0.0	0.999344706535	-0.0346956402063	-0.0103109544143	2.10115052904	22.9393559259	-56.228099823	-20.121049881	2.59003996849	0.0740183293819	25.0	1.5	606.445308447	6.0	22.3199996948	0.994124398163	1.0	1
1.0	5807.70019531	6.0	3.0	2696.27783203	2.0	2.0	76.4648413658	0.0	0.0334207601845	0.984699726105	-0.171024799347	3.56769758163	20.2717974108	-56.7619476318	-18.7690010071	0.554069519043	0.492355406284	35.0	2.70000004768	1040.1852591	15.0	38.2400016785	0.999561164939	1.0	1
1.0	2899.43334961	8.0	3.0	1316.11999512	4.0	3.0	13.1836004257	0.0	-0.0334232859313	-0.98470467329	0.170996338129	3.74006621379	40.0343160296	-66.0178527832	-0.706702947617	19.3055000305	0.285625010729	10.0	2.94000005722	226.757798314	2.0	11.4799995422	0.994124360444	1.0	1
1.0	1891.80126953	1.0	1.0	1872.0802002	1.0	1.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	13.0	1.87999999523	381.797024012	4.0	37.2799987793	-1.0	0.0	1
1.0	3901.94482422	4.0	2.0	1475.96643066	9.0	4.0	46.4062409401	1.2340178154	0.0143495760858	-0.650742590427	-0.759162783623	14.3069753854	28.8601955758	-52.8866996765	-21.977399826	0.379048526287	0.184565111995	9.0	1.87999999523	274.218800783	2.0	10.9200000763	0.973308606769	1.0	1
