valid	volumeS1	connectedComponentsS1	connectedComponentsS1Rel	volumeS2	connectedComponentsS2	connectedComponentsS2Rel	corticalSize	distanceMin	direction_x	direction_y	direction_z	distanceToExtremity1	distanceToExtremity2	gravityCenter_x	gravityCenter_y	gravityCenter_z	corticalDotProduct	junctions	junctionDepthMin	junctionsSize	plisDePassage	plisDePassageDepthMax	Potential	Class	cycle
1.0	2749.2722168	1.0	0.0	1521.48901367	1.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.407578277838	0.0	1
1.0	4922.19433594	10.0	0.0	1594.35852051	4.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.407578277838	1.0	1
1.0	3031.92895508	3.0	0.0	2387.12402344	2.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.407578277838	1.0	1
1.0	7894.50048828	9.0	2.0	4904.53417969	9.0	4.0	170.068459153	0.0	-0.735087990761	-0.665915131569	0.127289578319	37.9199902318	43.2121345714	-70.8304519653	22.349899292	-37.1152000427	0.375653833151	5.0	11.779999733	184.570299149	2.0	14.220000267	0.999998881292	1.0	1
1.0	6825.70507812	4.0	3.0	3310.17211914	6.0	3.0	116.015780449	0.0	0.0334243215621	0.984703660011	-0.171001642942	45.5259627163	5.58181324474	-72.7034454346	16.1828994751	-34.2063980103	0.408509403467	3.0	27.2999992371	129.199195862	2.0	27.2999992371	0.999998706704	1.0	1
1.0	4166.97070312	1.0	1.0	3060.64306641	4.0	1.0	25.0488796234	1.60552169081	0.709078192711	-0.477010786533	-0.519296467304	33.5160456704	29.9734359117	-72.3990478516	27.0988502502	-42.4382019043	0.380686879158	0.0	0.0	0.0	0.0	0.0	0.982322367938	1.0	1
1.0	3087.13525391	1.0	0.0	1241.04101562	2.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.407578277838	1.0	1
1.0	4425.33789062	4.0	3.0	3301.33886719	10.0	5.0	67.2364006042	0.0	0.0334173887968	0.98470389843	-0.171001538634	40.1545962694	2.10723157701	-71.4275512695	21.2821006775	-36.9206008911	0.848010063171	6.0	12.4200000763	254.443395615	3.0	27.2999992371	0.999589155054	1.0	1
1.0	1552.40185547	4.0	2.0	4175.81005859	7.0	2.0	63.2812995911	0.0	0.0334227383137	0.984689474106	-0.171083390713	17.252418238	2.10723044557	-68.7464447021	0.0170975029469	-29.6617507935	0.766897141933	2.0	9.97999954224	59.3262004852	0.0	10.3400001526	0.28822640602	1.0	1
1.0	6357.55566406	4.0	3.0	2406.99975586	5.0	3.0	203.027399063	0.0	-0.0334228053689	-0.984705030918	0.170993894339	42.8760519983	18.1519104175	-68.7833557129	-1.07014501095	-29.4729003906	0.889283537865	3.0	9.97999954224	98.8770008087	2.0	14.220000267	0.999901056337	1.0	1
