valid	volumeS1	connectedComponentsS1	connectedComponentsS1Rel	volumeS2	connectedComponentsS2	connectedComponentsS2Rel	corticalSize	distanceMin	direction_x	direction_y	direction_z	distanceToExtremity1	distanceToExtremity2	gravityCenter_x	gravityCenter_y	gravityCenter_z	corticalDotProduct	junctions	junctionDepthMin	junctionsSize	plisDePassage	plisDePassageDepthMax	Potential	Class	cycle
1.0	373.195007324	1.0	1.0	828.095031738	1.0	1.0	17.1386600733	0.0	-0.735087990761	-0.665915131569	0.127289578319	0.0	2.10723157701	-70.8304519653	22.349899292	-37.1152000427	0.375653833151	2.0	11.779999733	76.464799881	0.0	15.6599998474	-1.0	0.0	1
1.0	898.759094238	4.0	2.0	4617.45947266	6.0	2.0	79.101560235	0.0	-0.735087990761	-0.665915131569	0.127289578319	0.0	27.3018585355	-70.8304519653	22.349899292	-37.1152000427	0.375653833151	4.0	9.97999954224	134.472600937	0.0	15.6599998474	0.25156233795	1.0	1
1.0	342.279418945	1.0	1.0	828.095031738	1.0	1.0	15.8203001022	0.0	0.0334173887968	0.98470389843	-0.171001538634	2.47757389824	2.10723157701	-71.4275512695	21.2821006775	-36.9206008911	0.848010063171	1.0	15.6599998474	44.8241996765	0.0	15.6599998474	0.00659170438165	1.0	1
1.0	419.56829834	2.0	2.0	1943.26586914	3.0	2.0	64.5996595621	0.0	0.0334173887968	0.98470389843	-0.171001538634	5.91579606363	23.1735172526	-71.4275512695	21.2821006775	-36.9206008911	0.848010063171	2.0	11.779999733	76.464799881	0.0	15.6599998474	0.150460334476	1.0	1
1.0	223.531997681	1.0	1.0	465.143981934	1.0	1.0	31.6406002045	0.0	0.0461935847998	0.993750631809	-0.101616889238	2.33389611496	3.64661226217	-71.4313964844	21.1441001892	-41.8418998718	0.803134679794	1.0	10.0600004196	27.4218997955	1.0	10.0600004196	-1.0	0.0	1
1.0	1761.95605469	6.0	2.0	2130.12768555	7.0	2.0	95.9764995575	0.0	-0.998024463654	0.0332259088755	-0.0533218756318	27.2537682404	1.82323381844	-66.0921478271	4.37687492371	-38.3789520264	0.828719556332	2.0	10.5399999619	67.5000019073	0.0	11.3000001907	0.969446080753	1.0	1
1.0	1904.95031738	6.0	2.0	3887.15380859	5.0	2.0	169.804678917	0.0	0.0461935847998	0.993750631809	-0.101616889238	29.4143498907	3.64661226217	-71.4313964844	21.1441001892	-41.8418998718	0.803134679794	4.0	2.72000002861	131.836009502	1.0	10.0600004196	0.779518049386	1.0	1
1.0	438.845489502	4.0	0.0	425.696777344	3.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.34909669479	1.0	1
1.0	1168.60998535	1.0	1.0	2232.03222656	3.0	2.0	37.9687204361	3.36401543485	0.292146712542	-0.24084213376	-0.925551354885	4.30532306057	44.4812356198	-70.0135498047	42.0380477905	-41.7925987244	0.746018648148	0.0	0.0	0.0	0.0	0.0	0.287017073727	1.0	1
1.0	223.531997681	1.0	0.0	249.829986572	1.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.34909669479	1.0	1
1.0	48.6365013123	1.0	1.0	620.115600586	1.0	1.0	33.8379793167	0.0	-0.0314132906497	0.976059913635	-0.215221315622	2.83480736779	6.46937801243	-72.0972442627	27.3260498047	-25.964050293	0.829858481884	2.0	3.20000004768	20.3027696609	1.0	3.20000004768	-1.0	0.0	1
1.0	568.005004883	2.0	2.0	189.335006714	5.0	2.0	31.9043493271	0.0	0.0314126908779	-0.976041316986	0.215305969119	28.7357853787	35.9245289091	-73.2007446289	27.018951416	-27.3259010315	0.66517829895	2.0	3.20000004768	20.3027696609	1.0	3.20000004768	0.98965669505	1.0	1
1.0	835.506103516	5.0	4.0	2522.14526367	10.0	4.0	58.9747391939	0.0	0.999275863171	0.0343784168363	0.0163073446602	36.8148476543	12.1906871834	-71.7084960938	30.876701355	-22.5259513855	0.0902014970779	5.0	8.42000007629	146.953201294	5.0	33.0999984741	0.96642582411	1.0	1
1.0	482.891296387	4.0	4.0	3164.83984375	9.0	5.0	133.41802609	0.0	0.0314093194902	-0.976040959358	0.215307965875	1.11747177882	47.9172208981	-53.5833511353	31.598449707	-58.7321014404	0.190054818988	10.0	4.51999998093	262.0020504	8.0	33.0999984741	0.990695357142	1.0	1
1.0	340.455627441	1.0	1.0	2456.13647461	3.0	3.0	151.787059307	0.0	0.999277234077	0.034378465265	0.0162182562053	1.1344182177	43.8608417327	-51.8302993774	30.0208015442	-58.3435974121	0.380793064833	3.0	4.51999998093	36.7383794785	4.0	12.5399999619	0.880431869863	1.0	1
1.0	213.653305054	3.0	3.0	2940.76464844	5.0	5.0	173.056726217	0.0	0.999277234077	0.034378465265	0.0162182562053	1.1344182177	48.4573699164	-51.8302993774	30.0208015442	-58.3435974121	0.380793064833	6.0	4.51999998093	117.949350357	7.0	14.3800001144	0.91871319397	1.0	1
1.0	246.656616211	2.0	2.0	2534.30273438	4.0	4.0	79.2774772644	0.0	0.0314126908779	-0.976041316986	0.215305969119	5.16576677094	12.4936678297	-73.2007446289	27.018951416	-27.3259010315	0.66517829895	2.0	3.20000004768	17.4023799896	2.0	4.51999998093	0.981243912712	1.0	1
1.0	159.565002441	1.0	1.0	257.610809326	1.0	1.0	27.6343002319	0.0	0.0429130718112	0.985964775085	-0.161344394088	1.20249600503	1.78708449383	-69.0843048096	22.3681488037	-45.3925018311	0.108711838722	1.0	2.6400001049	3.94775009155	1.0	2.6400001049	-1.0	0.0	1
1.0	472.927215576	4.0	2.0	190.323989868	4.0	3.0	103.95759964	0.0	0.0429117567837	0.985951602459	-0.161425098777	6.10382280477	0.0	-67.488494873	6.97103977203	-33.7228507996	0.659418940544	3.0	1.10000002384	64.4800206423	1.0	1.10000002384	0.982852911254	1.0	1
1.0	359.501190186	4.0	2.0	2677.99536133	8.0	3.0	68.4277992249	0.0	0.0429130718112	0.985964775085	-0.161344394088	1.20249600503	19.2667979481	-69.0843048096	22.3681488037	-45.3925018311	0.108711838722	2.0	2.6400001049	48.688949585	2.0	22.7399997711	0.201185249929	1.0	1
1.0	159.565002441	1.0	1.0	747.839233398	2.0	2.0	53.9526996613	0.0	0.0429130718112	0.985964775085	-0.161344394088	1.20249600503	21.33445705	-69.0843048096	22.3681488037	-45.3925018311	0.108711838722	1.0	2.6400001049	3.94775009155	1.0	2.6400001049	0.130837652834	1.0	1
1.0	234.470993042	1.0	1.0	686.137023926	2.0	1.0	41.3086013794	2.10182069235	0.446846693754	-0.150838404894	-0.881802618504	3.96994817474	9.86661337589	-64.4001998901	20.3790512085	-47.2028007507	0.46277692914	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	164.130096436	3.0	1.0	322.089172363	3.0	1.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	16.6800003052	8.78905963898	0.0	16.6800003052	0.983512836634	1.0	1
1.0	1147.67456055	3.0	3.0	4306.86621094	6.0	3.0	152.92972815	0.0	0.00382813974284	0.980662465096	-0.195669442415	1.47277378251	28.4640897753	-61.0098991394	6.68517494202	-53.7249984741	0.0170438140631	8.0	9.60000038147	218.847565413	0.0	34.3600006104	0.360908092258	1.0	1
1.0	330.727600098	1.0	1.0	1301.93261719	5.0	2.0	41.3086013794	2.10182069235	0.446846693754	-0.150838404894	-0.881802618504	3.96994817474	9.86661337589	-64.4001998901	20.3790512085	-47.2028007507	0.46277692914	4.0	13.3599996567	22.8515853882	0.0	16.6800003052	0.105079661378	1.0	1
1.0	117.235801697	2.0	2.0	2113.94287109	3.0	2.0	21.0937995911	2.920898764	0.35279995203	-0.25698569417	-0.8997169137	1.47287989368	38.3215126277	-63.7574996948	46.1717987061	-52.3386993408	0.539265155792	1.0	15.6800003052	2.63671994209	0.0	15.6800003052	0.203655231421	1.0	1
1.0	64.1710968018	1.0	0.0	713.286315918	4.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.34909669479	1.0	1
1.0	286.269195557	1.0	1.0	464.332000732	2.0	1.0	89.1211013794	1.26600947251	0.584310054779	-0.18774998188	-0.789513587952	0.0	19.8222870826	-59.5392532349	33.2220497131	-57.4821014404	0.190552577376	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	1260.13305664	4.0	2.0	1124.5324707	5.0	4.0	45.7031211853	0.0	-0.999503552914	-0.0310958717018	-0.0050654434599	22.3654703486	23.8748632297	-69.2453994751	24.3925495148	-35.4530029297	0.0492191016674	3.0	4.80000019073	60.556599617	0.0	14.9600000381	0.975163018385	1.0	1
1.0	168.473999023	1.0	1.0	180.801696777	2.0	1.0	47.9883003235	1.26600947251	0.584310054779	-0.18774998188	-0.789513587952	0.0	10.7059427604	-59.5392532349	33.2220497131	-57.4821014404	0.190552577376	0.0	0.0	0.0	0.0	0.0	0.202812536158	1.0	1
1.0	1634.06433105	8.0	4.0	1016.32434082	7.0	2.0	171.386762619	0.0	0.0289047788829	-0.963128864765	0.267483353615	32.1438360544	7.2269826736	-69.9805450439	29.446149826	-17.8822498322	0.157986775041	8.0	5.46000003815	242.226501465	2.0	14.9600000381	0.964792227005	1.0	1
1.0	323.251403809	1.0	1.0	484.877685547	2.0	1.0	89.1211013794	1.26600947251	0.584310054779	-0.18774998188	-0.789513587952	0.0	19.8222870826	-59.5392532349	33.2220497131	-57.4821014404	0.190552577376	0.0	0.0	0.0	0.0	0.0	0.022847573767	1.0	1
1.0	205.456207275	1.0	1.0	79.4431991577	1.0	1.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	12.0399999619	0.988502730421	1.0	1
1.0	286.269195557	1.0	1.0	408.173980713	3.0	1.0	41.1328010559	1.76023006767	-0.0316200517118	0.983993828297	0.175374403596	5.78000012883	12.5812769003	-64.0925445557	35.9221496582	-52.4523506165	0.959184527397	0.0	0.0	0.0	0.0	0.0	0.235440494613	1.0	1
1.0	26.0244998932	1.0	1.0	342.427490234	4.0	1.0	20.566400528	0.0	-0.0124326832592	0.25115185976	0.967867851257	1.40711389073	8.71102420781	-70.8218536377	26.2902984619	-27.9698505402	0.935742557049	1.0	3.20000004768	3.42773008347	1.0	3.20000004768	0.978554558336	1.0	1
1.0	295.857391357	2.0	2.0	1250.54602051	4.0	3.0	83.4082012177	2.69130827306	0.761129558086	0.426725178957	-0.488454163074	13.4273274086	41.9499940638	-55.2145996094	37.5776519775	-60.8214492798	0.235487833619	2.0	9.07999992371	43.4180011749	1.0	16.2800006866	0.837019033986	1.0	1
1.0	913.596557617	3.0	0.0	698.552612305	4.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.34909669479	1.0	1
1.0	78.7537002563	1.0	1.0	1046.29956055	1.0	1.0	4.39452981949	2.37565152116	0.165775045753	0.621626138687	-0.765571415424	6.80075152115	0.0	-67.8103027344	13.4160003662	-37.0363006592	0.390685111284	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	97.0357971191	2.0	2.0	1205.21386719	3.0	1.0	35.1562304497	0.0	-0.0535315051675	-0.956508517265	0.28675031662	5.24484363014	41.9220336957	-59.6591491699	24.6529006958	-51.7772979736	0.230897367001	2.0	9.77999973297	46.5820999146	0.0	9.77999973297	0.152606986174	1.0	1
1.0	306.576782227	3.0	3.0	1416.16101074	4.0	3.0	97.55858922	0.0	-0.0535316504538	-0.956509292126	0.286747515202	2.41757519405	36.1853528481	-56.5868530273	38.4631004333	-53.5732002258	0.19424778223	4.0	7.07999992371	87.8907003403	2.0	9.22000026703	0.409540091953	1.0	1
1.0	37.970500946	2.0	2.0	1269.90380859	3.0	1.0	30.7617006302	0.0	-0.995683848858	0.0703881531954	0.0604894608259	1.59146208256	29.6381065252	-59.0064506531	25.4315490723	-50.7946014404	0.118167102337	4.0	9.77999973297	94.921998024	0.0	18.3999996185	0.118098562546	1.0	1
1.0	97.7612991333	1.0	1.0	941.725952148	1.0	1.0	35.0	2.65914839643	0.0108328200877	0.798597753048	-0.601767599583	5.34646269894	0.0	-68.864151001	11.1441049576	-44.6233978271	0.258114993572	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	115.086097717	2.0	0.0	16.0872993469	1.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.34909669479	1.0	1
1.0	482.354003906	1.0	1.0	1052.40991211	1.0	1.0	31.0	0.0	0.0178277865052	0.144357398152	-0.989365041256	1.08827594392	1.55117762038	-67.5106048584	31.7418498993	-55.2969512939	0.589135587215	0.0	0.0	0.0	1.0	8.84000015259	-1.0	0.0	1
1.0	407.550994873	2.0	1.0	833.157714844	3.0	2.0	55.0	0.0	-0.00270286458544	0.98887860775	0.148700237274	2.41297122524	30.8796590772	-59.6628494263	44.0576515198	-61.5623512268	0.857433140278	1.0	23.6800003052	68.0	0.0	23.6800003052	0.00499995833375	1.0	1
1.0	482.354003906	1.0	0.0	772.541015625	1.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.34909669479	1.0	1
1.0	331.457702637	2.0	1.0	932.466003418	2.0	1.0	7.0	3.95632407072	0.657134592533	-0.485151141882	-0.576890468597	4.82589996325	17.7045272986	-55.1464996338	37.2613983154	-66.9086990356	0.918580174446	0.0	0.0	0.0	0.0	0.0	0.974765678641	1.0	1
