valid	volumeS1	connectedComponentsS1	connectedComponentsS1Rel	volumeS2	connectedComponentsS2	connectedComponentsS2Rel	corticalSize	distanceMin	direction_x	direction_y	direction_z	distanceToExtremity1	distanceToExtremity2	gravityCenter_x	gravityCenter_y	gravityCenter_z	corticalDotProduct	junctions	junctionDepthMin	junctionsSize	plisDePassage	plisDePassageDepthMax	Potential	Class	cycle
1.0	1124.00146484	1.0	0.0	1605.40026855	5.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	8.66377809549e-09	0.0	1
1.0	4348.05126953	13.0	8.0	5926.95849609	21.0	16.0	830.566504002	0.0	0.999342381954	-0.0347805917263	-0.0102586075664	2.09506605549	49.3842604053	-14.8913993835	107.681503296	-22.0200500488	0.516994178295	20.0	3.75999999046	657.861305237	13.0	23.3799991608	0.999995707392	1.0	1
1.0	2530.65942383	7.0	4.0	1885.84790039	16.0	6.0	225.439504147	0.0	0.999347686768	-0.0346106812358	-0.0103114107624	2.10112318247	60.6608604475	-44.217300415	99.6081008911	-9.28022003174	0.181705251336	6.0	3.75999999046	117.334000587	2.0	8.77999973297	0.917886690393	1.0	1
1.0	4661.62255859	12.0	7.0	5489.71972656	16.0	10.0	461.42566216	0.0	0.0334186516702	0.984707117081	-0.170982435346	52.2362118283	21.0941565354	-8.43911933899	90.7509460449	-44.5429000854	0.187426134944	18.0	6.84000015259	676.318385124	8.0	23.3799991608	0.999996237588	1.0	1
1.0	1623.0670166	3.0	0.0	1578.90124512	5.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	8.66377809549e-09	1.0	1
1.0	1676.06518555	8.0	6.0	2351.79052734	10.0	5.0	126.562461615	0.0	0.999348223209	-0.0346106998622	-0.0102586764842	2.10112340942	35.9265812217	-34.7662010193	90.6289978027	-40.4709472656	0.75334084034	3.0	5.19999980927	90.9667606354	3.0	19.8199996948	0.999173878737	1.0	1
1.0	2199.4206543	3.0	2.0	4074.23291016	10.0	4.0	130.517521501	0.0	-0.999347269535	0.0346100330353	0.0103469435126	2.10108607681	19.007757912	-6.80591964722	89.8508987427	-46.2242965698	0.282430171967	4.0	5.19999980927	145.019563675	4.0	20.6399993896	0.997691578553	1.0	1
1.0	2766.94140625	5.0	4.0	5611.1796875	13.0	8.0	346.728498936	0.0	-0.0334186516702	-0.984707117081	0.170982435346	4.21325936647	1.5726813673	-8.43911933899	90.7509460449	-44.5429000854	0.227113977075	8.0	6.84000015259	280.810487747	6.0	20.6399993896	0.999920921922	1.0	1
1.0	2826.56518555	5.0	4.0	5447.76806641	11.0	5.0	317.724702597	0.0	-0.999347269535	0.0346100330353	0.0103469435126	2.10108607681	19.007757912	-6.80591964722	89.8508987427	-46.2242965698	0.282430171967	5.0	6.84000015259	151.611384392	4.0	20.6399993896	0.998524882267	1.0	1
1.0	2086.79956055	9.0	5.0	850.177612305	7.0	4.0	102.832042217	0.0	-0.0334186516702	-0.984707117081	0.170982435346	26.9900618736	25.8180052865	-8.43911933899	90.7509460449	-44.5429000854	0.227113977075	3.0	6.84000015259	105.468698502	2.0	16.3799991608	0.999421229355	1.0	1
1.0	1140.6706543	1.0	0.0	1615.67504883	7.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	8.66377809549e-09	0.0	1
1.0	2296.13305664	14.0	8.0	1906.59594727	17.0	9.0	193.007781267	0.0	-0.0461839064956	-0.993749976158	0.10162755847	22.0583097893	5.22700715276	-7.48620510101	81.3222503662	-50.7131996155	0.404157459736	7.0	6.96000003815	194.062602043	4.0	14.279999733	0.999697398927	1.0	1
