valid	volumeS1	connectedComponentsS1	connectedComponentsS1Rel	volumeS2	connectedComponentsS2	connectedComponentsS2Rel	corticalSize	distanceMin	direction_x	direction_y	direction_z	distanceToExtremity1	distanceToExtremity2	gravityCenter_x	gravityCenter_y	gravityCenter_z	corticalDotProduct	junctions	junctionDepthMin	junctionsSize	plisDePassage	plisDePassageDepthMax	Potential	Class	cycle
1.0	1521.48901367	1.0	1.0	273.8230896	1.0	1.0	89.6483983994	0.0	0.99934732914	-0.0346079990268	-0.0103470990434	32.9188677732	2.09466942485	-55.7324981689	11.1606006622	-57.151802063	0.848249077797	1.0	3.25999999046	5.27343988419	1.0	3.25999999046	-1.0	0.0	1
1.0	2420.24536133	10.0	4.0	1353.65942383	4.0	4.0	241.25977993	0.0	0.999346494675	-0.0346344560385	-0.0103471251205	29.3267753669	12.7031394142	-58.5665016174	-9.01560497284	-44.5596008301	0.320555537939	4.0	4.0	96.2402597666	1.0	4.0	0.999069852291	1.0	1
1.0	4023.44042969	7.0	1.0	958.382263184	2.0	2.0	126.562499046	0.0	0.99934732914	-0.0346079990268	-0.0103470990434	32.9188677732	17.776426603	-55.7324981689	11.1606006622	-57.151802063	0.848249077797	1.0	3.25999999046	5.27343988419	1.0	3.25999999046	0.995714648871	1.0	1
1.0	5198.23193359	9.0	3.0	808.221496582	3.0	3.0	191.162175179	0.0	0.999346494675	-0.0346344560385	-0.0103471251205	29.3267753669	12.7031394142	-58.5665016174	-9.01560497284	-44.5596008301	0.320555537939	6.0	11.6199998856	209.619199753	0.0	21.8400001526	0.999921957717	1.0	1
1.0	4396.63525391	4.0	4.0	896.551208496	4.0	4.0	320.361278534	0.0	0.999348282814	-0.0346090011299	-0.0102552752942	23.1732196276	28.1348919236	-25.9927005768	31.9828987122	-73.9160461426	0.608485341072	4.0	9.27999973297	100.195300102	1.0	9.27999973297	0.999428806742	1.0	1
1.0	1594.36132812	1.0	1.0	273.8230896	1.0	1.0	89.6483983994	0.0	0.99934732914	-0.0346079990268	-0.0103470990434	48.9566234187	2.09466942485	-55.7324981689	11.1606006622	-57.151802063	0.848249077797	1.0	3.25999999046	5.27343988419	1.0	3.25999999046	0.0658226925194	1.0	1
1.0	4306.09619141	4.0	2.0	987.090026855	3.0	3.0	284.76573801	0.0	0.0334228053689	0.984705030918	-0.170993894339	18.1519104175	2.37663975376	-68.7833557129	-1.07014501095	-29.4729003906	0.889283537865	4.0	9.97999954224	121.289100647	0.0	12.8000001907	0.997976413594	1.0	1
1.0	2371.66699219	3.0	2.0	273.8230896	1.0	1.0	94.9218382835	0.0	0.99934732914	-0.0346079990268	-0.0103470990434	32.9188677732	2.09466942485	-55.7324981689	11.1606006622	-57.151802063	0.848249077797	1.0	3.25999999046	5.27343988419	1.0	3.25999999046	0.527496423885	1.0	1
1.0	3422.79248047	6.0	5.0	560.896911621	4.0	4.0	271.58197403	0.0	0.0334228053689	0.984705030918	-0.170993894339	18.1519104175	2.37663975376	-68.7833557129	-1.07014501095	-29.4729003906	0.889283537865	2.0	9.97999954224	58.0078010559	0.0	12.8000001907	0.988965407377	1.0	1
1.0	1730.72851562	1.0	1.0	292.563995361	1.0	1.0	41.1328010559	2.36573036594	0.515334308147	-0.84897261858	-0.116944305599	45.5586632472	13.711885651	-48.4921989441	11.0655708313	-66.3292007446	0.961222887039	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
