valid	volumeS1	connectedComponentsS1	connectedComponentsS1Rel	volumeS2	connectedComponentsS2	connectedComponentsS2Rel	corticalSize	distanceMin	direction_x	direction_y	direction_z	distanceToExtremity1	distanceToExtremity2	gravityCenter_x	gravityCenter_y	gravityCenter_z	corticalDotProduct	junctions	junctionDepthMin	junctionsSize	plisDePassage	plisDePassageDepthMax	Potential	Class	cycle
1.0	598.436279297	1.0	1.0	1380.15917969	2.0	1.0	35.5956993103	2.85166099065	0.141352578998	0.839483320713	-0.524678349495	20.9313613319	24.310192793	-44.7286987305	-27.6183509827	-52.4286003113	0.0800669640303	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	3071.6809082	10.0	9.0	9932.72949219	23.0	11.0	577.441446543	0.0	0.999345242977	-0.0346990600228	-0.0102569442242	5.58163828765	43.5595982377	-37.8507003784	-61.8744506836	-28.5043487549	0.626993119717	44.0	4.0	1107.42186356	14.0	15.7399997711	0.999957443884	1.0	1
1.0	797.179138184	5.0	3.0	4493.79589844	18.0	2.0	50.0976991653	2.6242408563	0.404847294092	0.10552431643	-0.908274888992	10.0014967752	65.2834302831	-65.0912475586	-4.62622499466	-39.7811965942	0.498152285814	2.0	16.1599998474	46.1425991058	0.0	19.8999996185	0.32406459914	1.0	1
1.0	2689.65283203	8.0	7.0	8110.91845703	22.0	10.0	458.788901329	0.0	0.999348223209	-0.0346106998622	-0.0102569749579	10.6052871042	38.0219502547	-37.8744010925	-64.2415008545	-22.6623497009	0.605977654457	30.0	1.75999999046	651.269643664	7.0	11.5200004578	0.999330934121	1.0	1
1.0	46.373298645	1.0	0.0	373.1953125	1.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.497648495618	1.0	1
1.0	1751.14624023	5.0	5.0	3005.43286133	8.0	6.0	429.785244226	0.0	-0.0335097722709	-0.984685957432	0.171086743474	3.92171693765	26.7917075466	-42.4971008301	-10.3334951401	-59.0785522461	0.269648909569	19.0	5.46000003815	552.392563939	6.0	11.5200004578	0.99044792155	1.0	1
1.0	359.9453125	3.0	3.0	1340.40979004	3.0	3.0	109.423840046	0.0	0.999344289303	-0.0346956253052	-0.0103471018374	2.0946686281	16.2351052907	-41.1407012939	-62.4413528442	-19.2994995117	0.271729886532	4.0	5.84000015259	104.150302887	0.0	17.3799991608	0.912536311956	1.0	1
1.0	719.890991211	5.0	4.0	1907.93188477	7.0	5.0	167.431661606	0.0	0.0334208495915	0.984704077244	-0.170999839902	13.679505683	48.5859142597	-53.4508514404	-42.2845993042	-31.6412010193	0.669489443302	8.0	6.69999980927	206.982297897	2.0	10.3400001526	0.981374089696	1.0	1
1.0	613.894104004	2.0	1.0	828.09588623	2.0	1.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	8.10000038147	2.63671994209	1.0	8.10000038147	0.765159594171	1.0	1
1.0	2289.9597168	5.0	5.0	2630.03051758	10.0	7.0	332.226602793	0.0	-0.0335097722709	-0.984685957432	0.171086743474	3.92171693765	26.7917075466	-42.4971008301	-10.3334951401	-59.0785522461	0.269648909569	13.0	6.28000020981	374.413898468	2.0	10.3400001526	0.966541658445	1.0	1
1.0	596.632629395	2.0	2.0	1641.97338867	3.0	1.0	70.6640005112	1.74865664284	0.0627517476678	0.857114672661	-0.51128923893	2.31878601622	24.7361713656	-47.9485473633	-24.4477500916	-51.0473480225	0.682037830353	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	3663.62084961	6.0	6.0	6643.49951172	26.0	10.0	407.109160185	0.0	-0.0461898520589	-0.993750989437	0.101615048945	1.12712912945	21.9786127343	-46.5244979858	-56.4609985352	-18.0559005737	0.988300800323	19.0	4.5	437.695132017	8.0	16.0799999237	0.986743513624	1.0	1
1.0	1553.21740723	15.0	13.0	5463.38134766	28.0	9.0	512.577999353	0.0	0.998030781746	-0.0331813879311	0.0532327070832	3.64652988138	23.2041534915	-33.7968521118	-64.720703125	-19.4415016174	0.748372852802	22.0	4.5	585.351409435	8.0	18.8999996185	0.999706822174	1.0	1
1.0	1474.32397461	9.0	8.0	4897.97753906	28.0	8.0	342.773451328	0.0	0.046186119318	0.993751347065	-0.101613208652	2.3338937654	72.9306980547	-42.1441001892	-24.9417991638	-54.3122024536	0.773425936699	10.0	5.07999992371	206.718786836	3.0	9.31999969482	0.967482608487	1.0	1
