valid	volumeS1	connectedComponentsS1	connectedComponentsS1Rel	volumeS2	connectedComponentsS2	connectedComponentsS2Rel	corticalSize	distanceMin	direction_x	direction_y	direction_z	distanceToExtremity1	distanceToExtremity2	gravityCenter_x	gravityCenter_y	gravityCenter_z	corticalDotProduct	junctions	junctionDepthMin	junctionsSize	plisDePassage	plisDePassageDepthMax	Potential	Class	cycle
1.0	450.483886719	1.0	1.0	1101.91833496	2.0	1.0	50.0977201462	0.0	0.999345362186	-0.0346955433488	-0.0102552091703	2.24226831164	8.60315048707	-44.0906982422	-44.6493530273	-40.4375495911	0.615242123604	1.0	8.46000003815	27.6854991913	0.0	8.46000003815	-1.0	0.0	1
1.0	1642.94104004	7.0	4.0	3568.53759766	16.0	4.0	272.900359631	0.0	0.999344348907	-0.0346959009767	-0.0103461686522	2.24236591972	23.8068257778	-25.6684494019	-68.7194519043	-20.2756996155	0.847291469574	13.0	1.75999999046	329.58990407	4.0	10.9200000763	0.977930386509	1.0	1
1.0	1141.66625977	4.0	2.0	1899.09863281	9.0	3.0	118.652422905	0.0	0.0334178842604	0.984706521034	-0.170986399055	3.14886926005	18.2040529203	-42.4127502441	-43.6731491089	-44.2552032471	0.144155904651	5.0	8.46000003815	212.255802155	2.0	15.7399997711	0.875907321746	1.0	1
1.0	1888.05651855	5.0	2.0	3482.41625977	17.0	5.0	146.337859631	0.0	-0.999345242977	0.0346990600228	0.0102569442242	7.7013276578	23.4636858925	-37.8507003784	-61.8744506836	-28.5043487549	0.626993119717	8.0	1.75999999046	205.663981915	2.0	10.9200000763	0.996142772502	1.0	1
1.0	340.070892334	1.0	1.0	1391.20043945	3.0	2.0	46.1426210403	0.0	0.0334208495915	0.984704077244	-0.170999839902	3.49814638372	24.966999704	-53.4508514404	-42.2845993042	-31.6412010193	0.669489443302	1.0	10.3400001526	27.6854991913	1.0	10.3400001526	0.118098312171	1.0	1
1.0	708.849304199	5.0	3.0	1450.82299805	7.0	3.0	118.65240097	0.0	0.0334178842604	0.984706521034	-0.170986399055	14.136201721	35.7113126553	-42.4127502441	-43.6731491089	-44.2552032471	0.144155904651	4.0	5.01999998093	113.378922224	2.0	8.10000038147	0.990816629245	1.0	1
1.0	1015.7958374	2.0	2.0	1483.94775391	8.0	4.0	179.29692173	0.0	0.0334178842604	0.984706521034	-0.170986399055	3.14886926005	35.7113126553	-42.4127502441	-43.6731491089	-44.2552032471	0.144155904651	5.0	8.46000003815	195.117101669	3.0	15.7399997711	0.926737179218	1.0	1
1.0	688.975402832	2.0	1.0	1035.67089844	8.0	1.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	8.10000038147	2.63671994209	1.0	8.10000038147	0.546261525494	1.0	1
1.0	1194.66479492	3.0	2.0	2033.80200195	7.0	4.0	195.117182255	0.0	0.0334178842604	0.984706521034	-0.170986399055	3.14886926005	35.7113126553	-42.4127502441	-43.6731491089	-44.2552032471	0.144155904651	5.0	5.01999998093	192.480504513	3.0	15.7399997711	0.977640764659	1.0	1
1.0	368.170196533	2.0	0.0	802.085021973	2.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	5.43072113908e-13	0.0	1
1.0	1237.64355469	9.0	7.0	5517.62255859	8.0	2.0	262.617092729	0.0	-0.0461924411356	-0.993749558926	0.101626746356	46.4348344205	17.9241804587	-27.1072006226	-64.1462554932	-27.8227996826	0.467574238777	9.0	5.55999994278	252.070306301	7.0	18.8999996185	0.988552827811	1.0	1
1.0	548.967956543	4.0	3.0	3351.33569336	14.0	3.0	111.796798706	0.0	-0.0461898520589	-0.993750989437	0.101615048945	23.7240336568	30.179796709	-46.5244979858	-56.4609985352	-18.0559005737	0.988300800323	3.0	6.48000001907	62.2265005112	0.0	6.65999984741	0.311024740953	1.0	1
1.0	1194.90905762	5.0	3.0	2305.99609375	15.0	4.0	213.046699524	0.0	-0.998022675514	0.0332720465958	-0.0533266663551	30.8655175849	18.4337299178	-38.2492980957	-63.5597496033	-19.7852497101	0.793144881725	3.0	6.59999990463	68.554599762	2.0	10.1000003815	0.965034546665	1.0	1
1.0	313.930419922	1.0	0.0	2036.44128418	12.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	5.43072113908e-13	1.0	1
1.0	115.053207397	2.0	1.0	1055.20202637	3.0	1.0	22.148399353	0.0	-0.0461905822158	-0.993749916553	0.101624906063	1.01746003094	12.3391030365	-52.9477996826	-45.8793487549	-16.5983009338	0.324246406555	1.0	13.3400001526	37.9687995911	1.0	13.3400001526	0.291848786289	1.0	1
1.0	190.659606934	3.0	1.0	1293.52587891	4.0	1.0	22.148399353	0.0	-0.0461905822158	-0.993749916553	0.101624906063	1.01746003094	12.3391030365	-52.9477996826	-45.8793487549	-16.5983009338	0.324246406555	1.0	13.3400001526	37.9687995911	1.0	13.3400001526	0.424784452042	1.0	1
1.0	878.929992676	2.0	0.0	1023.10321045	2.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	5.43072113908e-13	0.0	1
1.0	1999.30712891	6.0	3.0	3791.91088867	12.0	3.0	60.9081594944	0.0	-0.999278903008	-0.0342893525958	-0.0163090489805	0.0	33.1896719069	-27.507900238	-57.0492477417	-35.8212509155	0.260039359331	3.0	1.72000002861	50.2734894753	1.0	13.2399997711	0.985932802977	1.0	1
1.0	1424.35314941	3.0	2.0	2523.88720703	10.0	3.0	55.1074800491	0.0	-0.0314098149538	0.976059794426	-0.215222612023	2.50490441861	45.5152441625	-37.5523529053	-44.0147476196	-40.3284492493	0.985501885414	2.0	8.52000045776	33.8378992081	2.0	12.5799999237	0.693991599351	1.0	1
