valid	volumeS1	connectedComponentsS1	connectedComponentsS1Rel	volumeS2	connectedComponentsS2	connectedComponentsS2Rel	corticalSize	distanceMin	direction_x	direction_y	direction_z	distanceToExtremity1	distanceToExtremity2	gravityCenter_x	gravityCenter_y	gravityCenter_z	corticalDotProduct	junctions	junctionDepthMin	junctionsSize	plisDePassage	plisDePassageDepthMax	Potential	Class	cycle
1.0	1380.15917969	2.0	2.0	1101.91833496	2.0	2.0	167.431620598	0.0	0.0334203280509	0.984688699245	-0.171088725328	27.0925492633	7.32442603873	-38.2948532104	-56.7697982788	-34.8126525879	0.0787719637156	3.0	5.0	39.5508012772	3.0	6.51999998093	-1.0	0.0	1
1.0	6134.52978516	16.0	10.0	2073.55102539	15.0	14.0	768.603545427	0.0	-0.999347865582	0.034603882581	0.0103109870106	42.2950509858	2.86488769764	-41.1512985229	-66.0883026123	-7.80428981781	0.698082983494	19.0	1.75999999046	573.486301661	3.0	11.1599998474	0.999998504873	1.0	1
1.0	3219.63427734	16.0	3.0	1499.40441895	9.0	4.0	81.7383022308	0.0	-0.0334208682179	-0.984703779221	0.171001657844	60.9604664254	67.8201392586	-54.8612518311	-13.8514995575	-49.2146987915	0.0523567721248	1.0	12.5600004196	39.5508003235	0.0	12.5600004196	0.999876201701	1.0	1
1.0	4531.3359375	18.0	5.0	1726.85424805	4.0	4.0	370.459062099	0.0	0.0334203280509	0.984688699245	-0.171088725328	30.4213021983	7.32442603873	-38.2948532104	-56.7697982788	-34.8126525879	0.0787719637156	6.0	5.0	113.378901005	5.0	10.3400001526	0.986916012385	1.0	1
1.0	1470.69726562	7.0	5.0	658.059875488	4.0	4.0	206.982362747	0.0	-0.999347865582	0.034603882581	0.0103109870106	1.78384952591	2.86488769764	-41.1512985229	-66.0883026123	-7.80428981781	0.698082983494	20.0	4.90000009537	441.650320768	3.0	9.42000007629	0.951339638218	1.0	1
1.0	1112.95947266	10.0	10.0	2146.42285156	6.0	5.0	456.152541161	0.0	0.999347865582	-0.034603882581	-0.0103109870106	18.055397406	1.78384952591	-41.1512985229	-66.0883026123	-7.80428981781	0.698082983494	20.0	4.90000009537	520.751919985	3.0	10.9200000763	0.9787771858	1.0	1
1.0	1581.10961914	4.0	3.0	958.381835938	4.0	4.0	216.211042881	0.0	-0.999347865582	0.034603882581	0.0103109870106	17.0163701843	2.86488769764	-41.1512985229	-66.0883026123	-7.80428981781	0.698082983494	8.0	4.90000009537	197.753923178	4.0	10.9200000763	0.392950044194	1.0	1
1.0	1236.62219238	11.0	10.0	1554.61022949	10.0	9.0	344.091877937	0.0	0.0334196686745	0.984705507755	-0.170992061496	15.3806786944	0.0	-35.3000488281	5.63659000397	-69.2031021118	0.427232503891	8.0	4.90000009537	175.341759801	3.0	10.9200000763	0.992556580648	1.0	1
1.0	1748.9375	9.0	8.0	1481.73828125	4.0	4.0	460.107383728	0.0	0.0334203280509	0.984688699245	-0.171088725328	36.7601661375	7.32442603873	-38.2948532104	-56.7697982788	-34.8126525879	0.0787719637156	7.0	5.0	170.068299294	3.0	6.51999998093	0.603561420414	1.0	1
1.0	1830.6427002	10.0	9.0	1280.78686523	8.0	8.0	474.609463215	0.0	-0.0334203466773	-0.984689235687	0.171085357666	11.5247384064	36.6874733816	-31.4458503723	-13.0018997192	-66.039352417	0.447719871998	15.0	1.75999999046	395.507641435	1.0	5.32000017166	0.999610254709	1.0	1
1.0	1641.97338867	3.0	3.0	802.085021973	2.0	2.0	165.585880518	0.0	0.998026132584	-0.0331819690764	0.0533185824752	14.459894424	22.3835882828	-30.1026496887	-12.8742008209	-69.3984527588	0.804847717285	0.0	0.0	0.0	1.0	10.6400003433	-1.0	0.0	1
1.0	7476.81396484	23.0	18.0	3380.92041016	17.0	15.0	1019.88269734	0.0	0.0461943149567	0.993749558926	-0.101626746356	20.8456905897	7.3767038737	-32.2051010132	-65.1597442627	-17.8736000061	0.391472071409	23.0	3.66000008583	538.945614815	11.0	18.8999996185	1.0	1.0	1
1.0	7869.63818359	25.0	14.0	3423.65478516	7.0	6.0	750.937213898	0.0	0.0461893863976	0.993740975857	-0.101712435484	24.6127254664	1.01756892868	-20.282699585	-70.2593002319	-12.4172496796	0.503431379795	14.0	0.939999997616	288.984378099	8.0	14.4600000381	1.0	1.0	1
1.0	3578.1550293	19.0	7.0	2327.36230469	12.0	8.0	392.34369278	0.0	-0.998024046421	0.0332357808948	-0.0533234626055	30.7774882695	40.6188246508	-1.16312646866	6.31622982025	-46.8799514771	0.948760151863	10.0	3.66000008583	174.023511529	0.0	14.1800003052	0.999992044302	1.0	1
1.0	389.537475586	3.0	3.0	1627.1809082	6.0	6.0	206.71868062	0.0	0.998022675514	-0.0332720465958	0.0533266663551	7.41518407283	19.9895190433	-38.2492980957	-63.5597496033	-19.7852497101	0.793144881725	6.0	5.44000005722	133.945401192	3.0	11.1999998093	0.973858436849	1.0	1
1.0	644.298278809	6.0	6.0	1896.73461914	11.0	7.0	221.484301567	0.0	-0.998030364513	0.0331842452288	-0.0532372891903	0.0	21.3067536872	-17.8544006348	-67.7582015991	-24.0979003906	0.900671303272	7.0	5.44000005722	134.999999046	3.0	8.53999996185	0.985735018308	1.0	1
