valid	volumeS1	connectedComponentsS1	connectedComponentsS1Rel	volumeS2	connectedComponentsS2	connectedComponentsS2Rel	corticalSize	distanceMin	direction_x	direction_y	direction_z	distanceToExtremity1	distanceToExtremity2	gravityCenter_x	gravityCenter_y	gravityCenter_z	corticalDotProduct	junctions	junctionDepthMin	junctionsSize	plisDePassage	plisDePassageDepthMax	Potential	Class	cycle
1.0	311.36340332	3.0	0.0	249.533004761	1.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.18100710278e-07	0.0	1
1.0	1667.23120117	11.0	4.0	1194.66430664	5.0	4.0	288.720579147	0.0	0.0334203466773	0.984689235687	-0.171085357666	51.4668881532	3.7394223121	-31.4458503723	-13.0018997192	-66.039352417	0.447719871998	2.0	10.0	85.6934013367	0.0	16.4400005341	0.997629975953	1.0	1
1.0	982.672790527	6.0	2.0	624.935791016	3.0	2.0	133.15430069	2.78043524992	0.213543787599	-0.963194668293	0.163263425231	28.4456418633	17.7986436992	-17.1757011414	13.0640602112	-78.0271453857	0.438614845276	0.0	0.0	0.0	0.0	0.0	0.905676229933	1.0	1
1.0	1578.90087891	12.0	3.0	1130.62548828	3.0	3.0	262.353519678	0.0	-0.999348282814	0.0346090011299	0.0102552752942	2.37503433203	23.3201620075	-25.9927005768	31.9828987122	-73.9160461426	0.608485341072	1.0	11.5200004578	25.0487995148	0.0	11.5200004578	0.999766912674	1.0	1
1.0	1260.91210938	12.0	5.0	766.263916016	4.0	4.0	330.908217669	0.0	-0.999348282814	0.0346090011299	0.0102552752942	2.37503433203	7.42657180744	-25.9927005768	31.9828987122	-73.9160461426	0.608485341072	3.0	10.0	100.195299149	0.0	11.5200004578	0.99769157863	1.0	1
1.0	1135.04248047	10.0	3.0	375.402893066	2.0	2.0	64.5995798111	0.0	0.0334203466773	0.984689235687	-0.171085357666	51.4668881532	3.7394223121	-31.4458503723	-13.0018997192	-66.039352417	0.447719871998	1.0	10.0	36.914100647	0.0	10.0	0.987745545569	1.0	1
1.0	198.742904663	4.0	0.0	249.533004761	1.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.18100710278e-07	1.0	1
1.0	1651.77319336	13.0	5.0	375.402893066	2.0	2.0	114.697280884	0.0	-0.999348282814	0.0346090011299	0.0102552752942	2.37503433203	7.42657180744	-25.9927005768	31.9828987122	-73.9160461426	0.608485341072	2.0	10.0	61.9629001617	0.0	11.5200004578	0.998485498914	1.0	1
1.0	1128.41748047	10.0	4.0	898.758666992	5.0	5.0	378.369080544	0.0	0.0334203466773	0.984689235687	-0.171085357666	51.4668881532	3.7394223121	-31.4458503723	-13.0018997192	-66.039352417	0.447719871998	2.0	10.0	75.1464996338	0.0	11.0399999619	0.998524881988	1.0	1
1.0	1581.109375	11.0	4.0	446.066772461	2.0	2.0	292.675679207	1.67705098312	-0.0334199480712	-0.984699726105	0.17102509737	35.473210072	10.6441395427	-20.887550354	2.85169506073	-76.1986541748	0.262614965439	0.0	0.0	0.0	0.0	0.0	0.998993329707	1.0	1
1.0	238.324905396	2.0	1.0	105.191497803	1.0	1.0	37.9687995911	2.37170824513	0.0461913980544	0.993748605251	-0.101636692882	7.07703005509	10.2565405842	-18.7238998413	17.5395507812	-79.2240524292	0.690379917622	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	1995.35180664	7.0	3.0	433.914489746	5.0	4.0	274.218889832	0.0	0.998024106026	-0.0332358554006	0.0533227957785	39.994443889	0.0	0.447419524193	-0.00412749964744	-60.5638504028	0.765124022961	4.0	5.92000007629	84.375	2.0	7.90000009537	0.997685486521	1.0	1
