valid	volumeS1	connectedComponentsS1	connectedComponentsS1Rel	volumeS2	connectedComponentsS2	connectedComponentsS2Rel	corticalSize	distanceMin	direction_x	direction_y	direction_z	distanceToExtremity1	distanceToExtremity2	gravityCenter_x	gravityCenter_y	gravityCenter_z	corticalDotProduct	junctions	junctionDepthMin	junctionsSize	plisDePassage	plisDePassageDepthMax	Potential	Class	cycle
1.0	220.825500488	2.0	0.0	492.440795898	1.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	5.43072113908e-13	0.0	1
1.0	3696.61694336	7.0	4.0	527.772399902	3.0	3.0	130.517559528	0.0	0.999345242977	-0.0346984267235	-0.0102576073259	19.9591249483	2.37670375547	-7.09589958191	-54.2062492371	-10.4169502258	0.228274255991	6.0	0.939999997616	158.203121781	0.0	11.8599996567	0.999450950751	1.0	1
1.0	2762.52587891	8.0	4.0	912.009033203	5.0	4.0	308.4958992	0.0	0.0334178842604	0.984706521034	-0.170986399055	18.5568978947	14.6285802909	-12.9602499008	-22.737449646	18.6324996948	0.965502023697	4.0	0.939999997616	34.2772806883	0.0	10.0200004578	0.992155096273	1.0	1
1.0	3246.13305664	7.0	5.0	978.257324219	4.0	3.0	275.536918879	0.0	0.999348223209	-0.0346106998622	-0.0102578261867	26.9492716901	1.12113022163	-16.3966999054	-69.3965988159	10.4706497192	0.325937211514	4.0	0.939999997616	102.832019091	1.0	5.34000015259	0.999740989502	1.0	1
1.0	1916.76464844	7.0	5.0	788.346801758	3.0	3.0	280.81029892	0.0	0.0334178842604	0.984706521034	-0.170986399055	44.4541533822	14.6285802909	-12.9602499008	-22.737449646	18.6324996948	0.965502023697	3.0	5.34000015259	54.0527000427	1.0	5.34000015259	0.97099282852	1.0	1
1.0	2433.49609375	7.0	4.0	651.434753418	2.0	2.0	388.91576159	0.0	0.999347865582	-0.0346038229764	-0.0103111825883	13.4569473419	8.880193346	-18.8694992065	-71.7046966553	-3.57433986664	0.870968222618	3.0	0.939999997616	29.0038807392	1.0	4.46000003815	0.996340543954	1.0	1
1.0	1523.69641113	5.0	2.0	463.733093262	2.0	2.0	163.476504326	0.0	0.0334178842604	0.984706521034	-0.170986399055	18.5568978947	14.6285802909	-12.9602499008	-22.737449646	18.6324996948	0.965502023697	2.0	0.939999997616	21.0937206745	0.0	10.0200004578	0.989251002477	1.0	1
1.0	1391.19946289	7.0	3.0	295.906005859	2.0	1.0	89.6483579874	0.0	0.999348223209	-0.0346106998622	-0.0102578261867	26.9492716901	1.12113022163	-16.3966999054	-69.3965988159	10.4706497192	0.325937211514	1.0	5.34000015259	23.7304992676	1.0	5.34000015259	0.99674930267	1.0	1
1.0	1916.76464844	7.0	5.0	856.802734375	4.0	3.0	280.81029892	0.0	0.0334178842604	0.984706521034	-0.170986399055	44.4541533822	14.6285802909	-12.9602499008	-22.737449646	18.6324996948	0.965502023697	3.0	5.34000015259	54.0527000427	1.0	5.34000015259	0.97099282852	1.0	1
1.0	2084.59130859	5.0	3.0	779.514160156	2.0	2.0	345.409957528	0.0	0.0334116853774	0.984701216221	-0.171017542481	30.524888187	22.2117117292	-6.15870475769	-46.4564971924	-0.910220503807	0.962667882442	3.0	0.939999997616	27.6855791807	1.0	5.34000015259	0.985085912074	1.0	1
