valid	volumeS1	connectedComponentsS1	connectedComponentsS1Rel	volumeS2	connectedComponentsS2	connectedComponentsS2Rel	corticalSize	distanceMin	direction_x	direction_y	direction_z	distanceToExtremity1	distanceToExtremity2	gravityCenter_x	gravityCenter_y	gravityCenter_z	corticalDotProduct	junctions	junctionDepthMin	junctionsSize	plisDePassage	plisDePassageDepthMax	Potential	Class	cycle
1.0	2389.32739258	1.0	1.0	1647.36132812	1.0	1.0	56.6894989014	0.0	-0.688926458359	0.716014683247	-0.112708345056	20.2895618681	2.10724198614	-72.7338485718	53.7356491089	-4.49477005005	0.674174487591	2.0	3.57999992371	51.4160206318	2.0	11.8400001526	-1.0	0.0	1
1.0	11401.2060547	21.0	9.0	6896.38085938	12.0	8.0	439.013676286	0.0	0.0334211811423	0.984701871872	-0.171012356877	61.4044171164	0.0	-74.2694549561	23.9085502625	4.31512498856	0.21770760417	13.0	2.6400001049	311.132959843	9.0	16.8799991608	0.999999999806	1.0	1
1.0	5010.52880859	8.0	1.0	320.196777344	6.0	4.0	134.472658157	0.0	-0.033417288214	-0.984700918198	0.171018719673	53.8193956093	18.1890604195	-73.2571487427	54.842300415	-4.67780971527	0.0701411813498	2.0	6.90000009537	72.5097999573	2.0	15.3599996567	0.859647295775	1.0	1
1.0	9753.85253906	16.0	5.0	6587.22607422	15.0	9.0	329.589781404	0.0	-0.0334241427481	-0.984699308872	0.171026647091	76.5374193614	30.6253577387	-71.9785461426	55.0147018433	9.75636482239	0.646295070648	6.0	6.13999986649	201.708999634	4.0	23.3799991608	0.999999999304	1.0	1
1.0	2389.32739258	1.0	1.0	1351.45568848	1.0	1.0	32.9589996338	0.0	-0.688926458359	0.716014683247	-0.112708345056	20.2895618681	2.10724198614	-72.7338485718	53.7356491089	-4.49477005005	0.674174487591	1.0	3.57999992371	2.63671994209	1.0	3.57999992371	0.347457283853	1.0	1
1.0	4831.66064453	3.0	1.0	969.423156738	4.0	3.0	118.652377367	0.0	0.0334241427481	0.984699308872	-0.171026647091	66.4265814464	4.76363423776	-71.9785461426	55.0147018433	9.75636482239	0.646295070648	1.0	11.8400001526	48.7793006897	3.0	15.3599996567	0.991399934672	1.0	1
1.0	7026.66113281	5.0	3.0	1771.01916504	4.0	4.0	245.214901924	0.0	-0.033417288214	-0.984700918198	0.171018719673	51.5769889681	2.10724198614	-73.2571487427	54.842300415	-4.67780971527	0.0701411813498	3.0	11.8400001526	134.472702026	3.0	16.8799991608	0.999162919969	1.0	1
1.0	3815.86352539	1.0	1.0	1128.41699219	5.0	4.0	172.704998016	0.0	-0.999348282814	0.0346076376736	0.010257769376	0.0	17.4634208944	-51.171749115	73.8637008667	-49.975151062	0.791248142719	4.0	3.75999999046	166.113302231	1.0	3.75999999046	0.358995132855	1.0	1
1.0	6955.99267578	7.0	6.0	1307.28625488	8.0	6.0	416.60119915	0.0	0.0334211811423	0.984701871872	-0.171012356877	60.2688860279	14.704829475	-74.2694549561	23.9085502625	4.31512498856	0.21770760417	5.0	3.57999992371	76.4648199081	5.0	16.8799991608	0.997810022949	1.0	1
1.0	1826.06103516	1.0	1.0	466.78729248	1.0	1.0	14.7656002045	3.04083874726	-0.0394870601594	0.294333130121	-0.95488679409	5.22712829903	5.05495842468	-72.2069015503	55.8978500366	-11.6159496307	0.862542867661	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
