valid	extremitiesValid	extremity1x	extremity1y	extremity1z	extremity2x	extremity2y	extremity2z	gravityCenter_x	gravityCenter_y	gravityCenter_z	normalValid	normal_x	normal_y	normal_z	direction_x	direction_y	direction_z	surface	geodesicDepthMax	geodesicDepthMin	geodesicDepthMean	connectedComponentsAllRels	connectedComponents	pureCortical	distanceBetweenComponentsMax	plisDePassage	hullJunctionsLength	GM_thickness	fold_opening	Potential	Class	cycle
1.0	1.0	-59.2724990845	78.1183013916	-13.5509004593	-1.50803005695	107.383003235	12.7392997742	-31.5785083771	95.3346862793	-3.85311293602	1.0	0.185695543885	-0.411855429411	-0.892127931118	0.819217205048	0.569920361042	0.0638275370002	4289.26513672	20.8199996948	0.0	10.8782420596	1.0	5.0	6.0	22.3362998962	5.0	256.323181152	3.36268173766	0.612966358662	-1.0	0.0	1
1.0	1.0	-76.1902008057	42.2177009583	-39.0438995361	-1.50803005695	107.383003235	12.7392997742	-33.564617157	76.0316467285	-20.6352043152	1.0	-0.0374371036887	-0.655385971069	-0.754365742207	0.610125422478	0.67196726799	-0.419770151377	16546.2753906	45.5999984741	0.0	13.6851179292	5.0	21.0	25.0	20.6501998901	30.0	757.225708008	3.86783187923	0.469484388828	1.0	1.0	1
1.0	1.0	-56.9236984253	73.7527008057	-51.9653015137	-10.3527002335	101.088996887	24.5172996521	-35.7347717285	87.6845932007	-9.30203342438	1.0	-0.287930846214	-0.575450837612	-0.765475094318	0.86192458868	0.408366292715	-0.300537705421	6072.96826172	28.8999996185	0.0	11.3673171997	4.0	10.0	8.0	22.3362998962	6.0	340.803253174	3.64507795427	0.600341975689	1.0	1.0	1
1.0	1.0	-76.1902008057	42.2177009583	-39.0438995361	-1.50803005695	107.383003235	12.7392997742	-29.6166305542	85.6629180908	-13.0798692703	1.0	0.129284590483	-0.505409419537	-0.853139400482	0.825734674931	0.563382208347	0.0276181939989	9731.81054688	30.8600006104	0.0	12.0711025479	7.0	20.0	15.0	20.6501998901	10.0	492.114013672	3.53177531257	0.578157901764	1.0	1.0	1
1.0	1.0	-43.5116996765	84.0967025757	-52.538898468	-10.3527002335	101.088996887	24.5172996521	-36.9718513489	88.5462875366	-5.96300792694	1.0	-0.0671683251858	-0.542517602444	-0.837354779243	0.770721852779	0.602879941463	-0.206212505698	5366.453125	25.4200000763	0.0	11.3468324949	1.0	10.0	11.0	22.3362998962	1.0	305.13482666	3.58380445476	0.59113240242	1.0	1.0	1
1.0	1.0	-18.9922008514	96.4247970581	-47.8665008545	-56.817401886	68.509803772	19.2290992737	-30.0290050507	92.271774292	-6.34397935867	1.0	0.198271378875	-0.477369576693	-0.856041312218	0.813846588135	0.558845162392	0.159203827381	5255.94287109	20.9200000763	0.0	11.114547456	1.0	9.0	10.0	20.6501998901	6.0	313.514038086	3.3815090732	0.673192501068	1.0	1.0	1
1.0	1.0	-43.5116996765	84.0967025757	-52.538898468	-10.3527002335	101.088996887	24.5172996521	-34.8992996216	85.5118408203	-7.74370241165	1.0	-0.107731692493	-0.744900107384	-0.658420622349	0.800810396671	0.52880948782	-0.281181752682	5809.20703125	25.4200000763	0.0	11.2123292735	1.0	14.0	19.0	20.6501998901	4.0	368.485626221	3.51640152616	0.675983548164	1.0	1.0	1
1.0	1.0	-43.5116996765	84.0967025757	-52.538898468	-10.3527002335	101.088996887	24.5172996521	-37.2548942566	82.6552581787	-17.2277889252	1.0	-0.411018848419	-0.74770128727	-0.521542191505	0.65571397543	0.399241447449	-0.6408162117	2187.23999023	25.4200000763	0.0	11.2768948025	3.0	6.0	3.0	18.3066997528	0.0	145.410797119	3.71253262868	0.680336654186	1.0	1.0	1
1.0	1.0	-59.2724990845	78.1183013916	-13.5509004593	-1.50803005695	107.383003235	12.7392997742	-30.6862106323	95.0734786987	-3.74202942848	1.0	0.198376148939	-0.385656386614	-0.901063859463	0.806782901287	0.585717439651	0.0776943564415	4434.49902344	20.8199996948	0.0	10.8333790677	1.0	6.0	7.0	22.3362998962	5.0	272.494018555	3.25289951148	0.642903983593	1.0	1.0	1
1.0	1.0	-59.2724990845	78.1183013916	-13.5509004593	-1.50803005695	107.383003235	12.7392997742	-32.7639656067	95.1851119995	-4.87825107574	1.0	0.204855486751	-0.352123141289	-0.913259863853	0.846300244331	0.530668973923	0.0465435534716	4099.85888672	20.8199996948	0.0	11.0522958056	1.0	5.0	6.0	22.3362998962	5.0	230.823181152	3.35064493362	0.570050477982	1.0	1.0	1
1.0	1.0	-15.2274999619	105.632003784	-8.32870006561	-53.5988998413	74.763999939	24.0097999573	-35.6116027832	93.1645736694	11.6177244186	1.0	-0.275881648064	-0.498530596495	-0.82180082798	0.899186730385	0.40482828021	0.166064098477	3019.06054688	16.6000003815	0.0	10.1839441831	1.0	3.0	2.0	10.3197002411	8.0	203.739990234	3.69725077922	1.51221895218	-1.0	0.0	1
1.0	1.0	-18.4535999298	72.6760025024	-65.0843963623	-58.3265991211	60.673500061	35.8644981384	-35.7530975342	77.1118240356	-2.2093372345	1.0	-0.0494810901582	-0.567331671715	-0.822001457214	0.859131276608	0.51149648428	0.0162721425295	10200.5185547	29.4400005341	0.0	11.9254725161	6.0	17.0	13.0	19.8495998383	7.0	536.83996582	3.76413961846	1.25457525253	1.0	1.0	1
1.0	1.0	-63.0848007202	52.0401992798	-46.7831993103	-13.8475999832	100.543998718	33.3230018616	-38.6347312927	74.6113204956	-9.27834606171	1.0	-0.277650922537	-0.696024477482	-0.66216301918	0.752211034298	0.50798022747	-0.41968396306	15945.1953125	26.7800006866	0.0	12.8756084502	3.0	16.0	18.0	15.2585000992	17.0	806.360046387	3.79831896236	1.17423069477	1.0	1.0	1
1.0	1.0	-4.77988004684	82.5628967285	-47.9143981934	-33.7789001465	92.3788986206	34.4247016907	-33.9777259827	92.5275192261	8.5897359848	1.0	-0.206159874797	-0.56925535202	-0.795893490314	0.915538311005	0.394678592682	0.0775782614946	3210.83642578	16.6000003815	0.0	10.0210515072	2.0	4.0	2.0	10.3197002411	8.0	221.899993896	3.69450199404	1.51838767529	1.0	1.0	1
1.0	1.0	-17.809299469	100.588996887	-23.2548999786	-60.4866981506	50.0993003845	31.5487003326	-34.6201667786	78.203956604	7.33927774429	1.0	-0.43455556035	-0.43662250042	-0.787732362747	0.895698308945	0.443532645702	0.03167463094	4309.53857422	29.4400005341	0.0	12.9140347235	4.0	7.0	3.0	15.2285003662	2.0	195.401580811	3.70673589053	1.1279143095	1.0	1.0	1
1.0	1.0	-17.809299469	100.588996887	-23.2548999786	-33.6394996643	63.5867004395	30.8491001129	-27.4026699066	89.1315383911	6.96350574493	1.0	-0.217566385865	-0.787594437599	-0.576506614685	0.977002322674	0.105598963797	-0.185244008899	6759.53515625	29.4400005341	0.0	11.7594927162	1.0	8.0	11.0	14.8751001358	9.0	370.241577148	3.51679026311	1.33366262913	1.0	1.0	1
