valid	extremitiesValid	extremity1x	extremity1y	extremity1z	extremity2x	extremity2y	extremity2z	gravityCenter_x	gravityCenter_y	gravityCenter_z	normalValid	normal_x	normal_y	normal_z	direction_x	direction_y	direction_z	surface	geodesicDepthMax	geodesicDepthMin	geodesicDepthMean	connectedComponentsAllRels	connectedComponents	pureCortical	distanceBetweenComponentsMax	plisDePassage	hullJunctionsLength	GM_thickness	fold_opening	Potential	Class	cycle
1.0	1.0	-28.7317008972	-32.7178993225	-61.439201355	-12.723400116	-21.3770008087	-74.2537002563	-19.7714748383	-26.9908561707	-63.7039642334	1.0	0.0472962036729	-0.960749804974	0.273354768753	-0.945494890213	0.0119910929352	0.325416147709	200.293609619	7.92000007629	0.0	5.40200042725	1.0	2.0	1.0	7.4077000618	0.0	31.6399993896	3.48545096931	3.59593105316	-1.0	0.0	1
1.0	1.0	-20.2145996094	-68.1781005859	-32.5983009338	-4.35684013367	-50.5077018738	-32.851398468	-14.354968071	-58.9659996033	-30.3481349945	1.0	0.23008506	-0.470853477716	0.851679444313	-0.619475722313	-0.742558836937	-0.254668921232	355.07800293	12.5600004196	0.0	7.71850128174	1.0	2.0	1.0	2.01039004326	0.0	30.7000007629	4.50602024517	1.12757754326	1.0	1.0	1
1.0	1.0	-27.3425998688	-66.3131027222	-14.598400116	-2.51849007607	25.6380996704	-65.1043014526	-19.6103057861	-31.9260997772	-47.8113937378	1.0	0.116108715534	-0.816377878189	0.565726041794	-0.738070309162	0.0225511919707	0.674346864223	576.609313965	23.7600002289	0.0	7.40740661621	6.0	8.0	2.0	18.2161006927	0.0	74.3800048828	3.54928281442	2.46900177002	1.0	1.0	1
1.0	1.0	-28.7317008972	-32.7178993225	-61.439201355	-3.79622006416	3.20135998726	-60.2536010742	-12.6927127838	-11.0477313995	-57.3694496155	1.0	-0.121701776981	-0.990917921066	0.0571872033179	-0.640791237354	0.170451253653	-0.748553931713	280.045013428	12.9600000381	0.0	6.53846095159	2.0	2.0	0.0	30.0	0.0	28.6599998474	4.08801269531	1.73810982704	1.0	1.0	1
1.0	1.0	-34.3377990723	-53.1318016052	-43.2220001221	-3.3691599369	0.687012016773	-71.888999939	-21.0222320557	-24.8468723297	-57.552947998	1.0	-0.0372284054756	-0.943852066994	0.328264087439	-0.86179035902	0.0422020815313	0.505506038666	1578.42163086	16.8199996948	0.0	7.78492799524	1.0	7.0	9.0	18.2161006927	0.0	148.339996338	3.55211490906	1.75890922546	1.0	1.0	1
1.0	1.0	-34.3377990723	-53.1318016052	-43.2220001221	-3.3691599369	0.687012016773	-71.888999939	-20.2876262665	-24.7172794342	-56.2622947693	1.0	-0.0568542443216	-0.926859200001	0.371079027653	-0.777907848358	0.129873812199	0.614810705185	1473.53649902	16.8199996948	0.0	8.18424831601	1.0	6.0	5.0	17.5860996246	0.0	130.059997559	3.64628323914	1.51553142071	1.0	1.0	1
1.0	1.0	-34.3377990723	-53.1318016052	-43.2220001221	-35.1875991821	9.02845954895	-70.310798645	-23.9662628174	-25.3351325989	-56.9371757507	1.0	0.0146629158407	-0.904106199741	0.427056133747	-0.785567104816	0.138117074966	0.603165030479	1198.61962891	16.8199996948	0.0	9.61689976283	2.0	3.0	1.0	8.15946960449	0.0	87.6800003052	3.34785909383	1.35262012482	1.0	1.0	1
1.0	1.0	-34.3377990723	-53.1318016052	-43.2220001221	-3.3691599369	0.687012016773	-71.888999939	-20.2876262665	-24.7172794342	-56.2622947693	1.0	-0.0568542443216	-0.926859200001	0.371079027653	-0.777907848358	0.129873812199	0.614810705185	1473.53649902	16.8199996948	0.0	8.18424831601	1.0	6.0	5.0	17.5860996246	0.0	130.059997559	3.64628323914	1.51553142071	1.0	1.0	1
1.0	1.0	-34.3377990723	-53.1318016052	-43.2220001221	-3.3691599369	0.687012016773	-71.888999939	-22.0229072571	-23.2370300293	-57.7561645508	1.0	-0.0175233837217	-0.961955189705	0.272644668818	-0.773857355118	0.105170145631	0.624567091465	1363.05065918	16.8199996948	0.0	8.45120344491	2.0	5.0	5.0	18.2161006927	0.0	112.980003357	3.39299161738	1.55138325691	1.0	1.0	1
1.0	1.0	-34.3377990723	-53.1318016052	-43.2220001221	-3.3691599369	0.687012016773	-71.888999939	-20.1408405304	-24.5540027618	-56.9042396545	1.0	-0.0435292311013	-0.937290787697	0.345819532871	-0.789035558701	0.103520676494	0.605562806129	1565.03112793	16.8199996948	0.0	7.8705599073	1.0	7.0	9.0	19.8159008026	0.0	144.91998291	3.54324833439	1.66919577122	1.0	1.0	1
