valid	extremitiesValid	extremity1x	extremity1y	extremity1z	extremity2x	extremity2y	extremity2z	gravityCenter_x	gravityCenter_y	gravityCenter_z	normalValid	normal_x	normal_y	normal_z	direction_x	direction_y	direction_z	surface	geodesicDepthMax	geodesicDepthMin	geodesicDepthMean	connectedComponentsAllRels	connectedComponents	pureCortical	distanceBetweenComponentsMax	plisDePassage	hullJunctionsLength	GM_thickness	fold_opening	Potential	Class	cycle
1.0	1.0	-40.9902000427	-63.2178993225	-17.4901008606	-55.3736991882	-48.8233985901	-5.53044986725	-46.2779006958	-52.6706008911	-10.8506002426	1.0	0.27015504241	-0.307121038437	0.912520110607	-0.583502173424	0.687055170536	0.432990133762	350.040985107	12.2600002289	0.0	9.19999972257	1.0	1.0	0.0	0.0	0.0	27.1000003815	4.34128011068	0.744412839413	-1.0	0.0	1
1.0	1.0	-20.9717006683	-70.3843002319	-21.7534999847	-57.9462013245	-31.1438999176	0.965752005577	-39.5174446106	-51.5566444397	-14.971446991	1.0	0.243716940284	-0.45439234376	0.856813669205	-0.73085308075	0.461637586355	0.502737045288	2660.2800293	23.7600002289	0.0	10.2618150567	2.0	5.0	3.0	15.0739002228	12.0	137.978408813	4.24398291237	0.771771907806	1.0	1.0	1
1.0	1.0	-20.9717006683	-70.3843002319	-21.7534999847	-57.9462013245	-31.1438999176	0.965752005577	-39.5174446106	-51.5566444397	-14.971446991	1.0	0.243716940284	-0.45439234376	0.856813669205	-0.73085308075	0.461637586355	0.502737045288	2660.2800293	23.7600002289	0.0	10.2618150567	2.0	5.0	3.0	15.0739002228	12.0	137.978408813	4.24398291237	0.771771907806	1.0	1.0	1
1.0	1.0	-15.4549999237	-69.4266967773	-5.63781023026	-57.9462013245	-31.1438999176	0.965752005577	-39.6669883728	-51.6707878113	-14.2643098831	1.0	0.126450166106	-0.48725605011	0.864055514336	-0.834935188293	0.426716595888	0.347557455301	1657.93054199	17.4400005341	0.0	9.94241543474	3.0	4.0	1.0	7.70599985123	7.0	68.9331970215	4.2085114801	0.711675524712	1.0	1.0	1
1.0	1.0	-46.7000007629	-54.2910003662	-29.057800293	-36.6848983765	-39.0099983215	5.74499988556	-45.5865783691	-49.3667144775	-12.8645524979	1.0	0.402885496616	-0.538026750088	0.740412354469	-0.50264954567	0.607903063297	0.614652216434	1062.93103027	15.3199996948	0.0	9.6376432531	1.0	3.0	2.0	15.0739002228	1.0	80.5199966431	4.26799431666	0.818078398705	1.0	1.0	1
1.0	1.0	-46.7000007629	-54.2910003662	-29.057800293	-36.6848983765	-39.0099983215	5.74499988556	-46.8986434937	-47.8599433899	-12.6668214798	1.0	0.402192026377	-0.50683760643	0.762467861176	-0.470165282488	0.68211042881	0.560062468052	915.994995117	15.0200004578	0.0	9.32899576823	1.0	3.0	2.0	15.0739002228	0.0	69.9800033569	4.28865181735	0.879787623882	1.0	1.0	1
1.0	1.0	-15.4549999237	-69.4266967773	-5.63781023026	-62.3723983765	-36.2277984619	-4.09863996506	-39.8392066956	-50.4376068115	-12.0759515762	1.0	0.0374478138983	-0.48750513792	0.872316718102	-0.75501292944	0.612088918686	0.235165148973	1252.24902344	17.4400005341	0.0	9.18658794056	2.0	3.0	1.0	20.6770000458	1.0	59.033203125	4.20893551515	0.971457779408	1.0	1.0	1
1.0	1.0	-15.4549999237	-69.4266967773	-5.63781023026	-62.3723983765	-36.2277984619	-4.09863996506	-39.4913063049	-51.2824134827	-14.0984363556	1.0	0.181753352284	-0.548410773277	0.816217660904	-0.786660075188	0.457053333521	0.415051996708	1668.47900391	19.2999992371	0.0	9.91839817592	1.0	4.0	3.0	20.6770000458	2.0	82.6131973267	4.21939536611	0.835275650024	1.0	1.0	1
1.0	1.0	-46.7000007629	-54.2910003662	-29.057800293	-36.6848983765	-39.0099983215	5.74499988556	-47.2825737	-44.8845710754	-13.7901496887	1.0	0.470197558403	-0.613961219788	0.634007751942	-0.386431664228	0.667703568935	0.636272311211	565.953979492	15.0200004578	0.0	9.40367688631	2.0	2.0	0.0	30.0	0.0	42.8800010681	4.26830582766	0.963516533375	1.0	1.0	1
1.0	1.0	-15.4549999237	-69.4266967773	-5.63781023026	-62.3723983765	-36.2277984619	-4.09863996506	-39.4913063049	-51.2824134827	-14.0984363556	1.0	0.181753352284	-0.548410773277	0.816217660904	-0.786660075188	0.457053333521	0.415051996708	1668.47900391	19.2999992371	0.0	9.91839817592	1.0	4.0	3.0	20.6770000458	2.0	82.6131973267	4.21939536611	0.835275650024	1.0	1.0	1
1.0	1.0	-34.207698822	-63.78150177	-18.8603000641	-44.8217010498	-52.949798584	5.38833999634	-39.5180015564	-56.9748039246	-7.65371322632	1.0	0.628428399563	-0.561816871166	0.537995815277	-0.240858063102	0.39017033577	0.888681352139	345.302001953	10.1999998093	0.0	6.94888899061	1.0	1.0	0.0	0.0	1.0	33.2000007629	4.19337250915	1.90135884285	-1.0	0.0	1
1.0	1.0	-10.1497001648	-65.3386993408	8.67228031158	-57.1846008301	-31.2469997406	-28.0804004669	-35.4365081787	-52.7631072998	-11.6886901855	1.0	0.367105334997	-0.291139632463	0.883442938328	-0.387261778116	0.229326248169	0.892993748188	2640.73046875	18.2800006866	0.0	9.51840165733	1.0	5.0	5.0	11.700799942	6.0	186.099990845	4.30429788961	1.11430501938	1.0	1.0	1
