valid	extremitiesValid	extremity1x	extremity1y	extremity1z	extremity2x	extremity2y	extremity2z	gravityCenter_x	gravityCenter_y	gravityCenter_z	normalValid	normal_x	normal_y	normal_z	direction_x	direction_y	direction_z	surface	geodesicDepthMax	geodesicDepthMin	geodesicDepthMean	connectedComponentsAllRels	connectedComponents	pureCortical	distanceBetweenComponentsMax	plisDePassage	hullJunctionsLength	GM_thickness	fold_opening	Potential	Class	cycle
1.0	1.0	-35.1875991821	9.02845954895	-70.310798645	-34.3377990723	-53.1318016052	-43.2220001221	-28.5267181396	-22.2051506042	-56.9967498779	1.0	-0.955299794674	0.142433300614	0.259065806866	-0.00943694636226	0.884660482407	-0.466140300035	1938.87304688	16.8199996948	0.0	11.4005640333	2.0	3.0	1.0	9.90627002716	0.0	113.839996338	3.76609149547	0.955490112305	-1.0	0.0	1
1.0	1.0	-35.7370986938	-40.2206001282	-51.0573005676	-39.6749992371	-43.0391998291	-45.9856987	-36.1447982788	-39.3960990906	-45.3179016113	1.0	0.181670099497	-0.818793535233	0.544585287571	0.719100773335	0.370045870543	-0.588183820248	80.9318008423	12.1400003433	0.0	9.91714041574	1.0	1.0	0.0	0.0	0.0	7.65999984741	4.44712042039	0.633084893227	1.0	1.0	1
1.0	1.0	-12.105799675	22.184299469	-80.685798645	-41.7363014221	-60.9639015198	-14.7940998077	-33.0231895447	-18.0100536346	-44.9863510132	1.0	-0.958003759384	-0.0362990088761	0.28444892168	0.387852758169	0.774598956108	-0.499566495419	8094.06640625	32.5200004578	0.0	12.5748851596	6.0	14.0	10.0	19.8159008026	11.0	418.080078125	3.68931515091	0.773003280163	1.0	1.0	1
1.0	1.0	-2.51849007607	25.6380996704	-65.1043014526	-34.3377990723	-53.1318016052	-43.2220001221	-32.7481842041	-29.7721977234	-44.6295051575	1.0	-0.857851564884	0.266406327486	0.439452379942	-0.00437528360635	0.883863568306	-0.467724323273	1986.49353027	23.6800003052	0.0	10.2715378594	4.0	6.0	2.0	11.7424001694	0.0	123.580001831	4.09982720588	0.766775786877	1.0	1.0	1
1.0	1.0	-35.1875991821	9.02845954895	-70.310798645	-34.3377990723	-53.1318016052	-43.2220001221	-28.1506519318	-22.6858119965	-57.1949958801	1.0	-0.954073667526	0.0842872262001	0.28747010231	-0.0720847323537	0.888061642647	-0.454037815332	2047.67199707	16.8199996948	0.0	10.6860681753	1.0	4.0	3.0	9.90627002716	0.0	130.619995117	3.81361829921	1.07129657269	1.0	1.0	1
1.0	1.0	-12.105799675	22.184299469	-80.685798645	-39.9650993347	-56.4855003357	-29.0116004944	-35.8861961365	-8.16029262543	-53.8816375732	1.0	-0.642639219761	0.750754535198	0.152913123369	0.568369448185	0.621162831783	-0.539548814297	2520.3840332	23.7999992371	0.0	14.3910628609	2.0	2.0	0.0	30.0	0.0	112.800003052	3.40351480216	0.784117162228	1.0	1.0	1
1.0	1.0	-14.9266996384	8.52112960815	-80.0588989258	-29.6054000854	-62.0037994385	-31.6222991943	-26.3214797974	-22.8666534424	-55.5351753235	1.0	-0.896140158176	-0.2527115345	0.36478716135	-0.328756272793	0.845327913761	-0.421117603779	3116.65844727	18.3600006104	0.0	9.48076113746	1.0	8.0	9.0	16.7982006073	0.0	229.020004272	3.67360827062	1.24213206768	1.0	1.0	1
1.0	1.0	-12.105799675	22.184299469	-80.685798645	-29.6054000854	-62.0037994385	-31.6222991943	-29.9318199158	-16.4442977905	-55.3519515991	1.0	-0.887208521366	0.309269815683	0.342364102602	0.166321769357	0.802927553654	-0.57240229845	5766.69482422	23.7999992371	0.0	10.997135311	1.0	9.0	13.0	12.2934999466	1.0	355.119995117	3.55251890386	1.07431638241	1.0	1.0	1
1.0	1.0	-35.1875991821	9.02845954895	-70.310798645	-29.6054000854	-62.0037994385	-31.6222991943	-30.7594642639	-29.4557571411	-50.9207267761	1.0	-0.920710325241	-0.000179344206117	0.390246719122	-0.147680655122	0.848578393459	-0.508040487766	3274.89013672	20.6599998474	0.0	10.2733022159	1.0	7.0	8.0	10.9335002899	0.0	218.599990845	3.82362042726	1.01918137074	1.0	1.0	1
1.0	1.0	-31.0508003235	13.4018001556	-74.3075027466	-20.0548992157	-61.0969009399	-40.4221000671	-25.363325119	-22.6367721558	-55.1069908142	1.0	-0.963694036007	-0.114015810192	0.241442009807	-0.0365695208311	0.903021931648	-0.428035140038	3274.00561523	20.9799995422	0.0	13.5991104015	1.0	1.0	0.0	0.0	3.0	167.999984741	4.20457237678	1.35137760639	-1.0	0.0	1
