valid	extremitiesValid	extremity1x	extremity1y	extremity1z	extremity2x	extremity2y	extremity2z	gravityCenter_x	gravityCenter_y	gravityCenter_z	normalValid	normal_x	normal_y	normal_z	direction_x	direction_y	direction_z	surface	geodesicDepthMax	geodesicDepthMin	geodesicDepthMean	connectedComponentsAllRels	connectedComponents	pureCortical	distanceBetweenComponentsMax	plisDePassage	hullJunctionsLength	GM_thickness	fold_opening	Potential	Class	cycle
1.0	1.0	-14.9266996384	8.52112960815	-80.0588989258	-4.1756401062	12.5029001236	-60.1074981689	-10.4535999298	10.6792001724	-69.5419006348	1.0	-0.250277042389	0.94940507412	-0.189714029431	0.465175926685	0.24081197381	0.851833879948	379.483001709	14.1800003052	0.0	8.34908988259	1.0	1.0	0.0	0.0	0.0	28.4200000763	2.38600985975	1.89216911793	-1.0	0.0	1
1.0	1.0	-37.8605003357	44.9957008362	-72.4940032959	-19.128200531	-14.4619998932	-73.5092010498	-21.966129303	14.2759780884	-69.155670166	1.0	0.385496735573	0.881447196007	-0.272842645645	0.843525350094	-0.502388477325	0.189923107624	1293.60351562	16.8999996185	0.0	9.93499101911	2.0	4.0	2.0	16.7982006073	0.0	92.8799972534	2.66018774449	1.4960411787	1.0	1.0	1
1.0	1.0	-19.128200531	-14.4619998932	-73.5092010498	-2.51849007607	25.6380996704	-65.1043014526	-17.9694461823	2.98717308044	-67.9390640259	1.0	0.421545833349	0.865108549595	-0.27182045579	0.816568851471	-0.451717853546	0.359397113323	1045.50756836	16.8199996948	0.0	8.63999357678	1.0	4.0	4.0	17.5860996246	0.0	83.5800018311	2.79492687203	1.77333784103	1.0	1.0	1
1.0	1.0	-6.41124010086	-6.12987995148	-61.7706985474	-14.9266996384	8.52112960815	-80.0588989258	-9.87694740295	7.57136774063	-68.6765441895	1.0	-0.177376464009	0.983740091324	-0.0281599182636	0.565576136112	0.444991767406	0.6943385005	486.157012939	14.1800003052	0.0	7.10200042725	1.0	2.0	1.0	9.2132101059	0.0	42.4000015259	2.67421535634	2.03856992722	1.0	1.0	1
1.0	1.0	-35.1875991821	9.02845954895	-70.310798645	-19.128200531	-14.4619998932	-73.5092010498	-25.9132003784	-2.03595995903	-67.4238967896	1.0	0.781269013882	0.454234987497	-0.428122997284	0.550257086754	-0.834120035172	-0.0382220000029	535.306030273	16.8199996948	0.0	11.6976998465	1.0	1.0	0.0	0.0	0.0	33.0	2.92921996272	1.37829387188	1.0	1.0	1
1.0	1.0	-19.128200531	-14.4619998932	-73.5092010498	-4.1756401062	12.5029001236	-60.1074981689	-19.5000743866	3.23868465424	-68.3025054932	1.0	0.43221065402	0.806863307953	-0.402697831392	0.710410952568	-0.535543322563	0.45662856102	914.7890625	16.8199996948	0.0	10.4052541632	1.0	2.0	1.0	16.7982006073	0.0	61.4199981689	2.70122280193	1.59146523476	1.0	1.0	1
1.0	1.0	-19.128200531	-14.4619998932	-73.5092010498	-4.1756401062	12.5029001236	-60.1074981689	-19.5000743866	3.23868465424	-68.3025054932	1.0	0.43221065402	0.806863307953	-0.402697831392	0.710410952568	-0.535543322563	0.45662856102	914.7890625	16.8199996948	0.0	10.4052541632	1.0	2.0	1.0	16.7982006073	0.0	61.4199981689	2.70122280193	1.59146523476	1.0	1.0	1
1.0	1.0	-27.0832004547	40.8983001709	-72.5882034302	-11.3853998184	28.8169994354	-80.4419021606	-19.1406002045	28.1805992126	-72.9813995361	1.0	0.595024049282	0.624003052711	-0.506524026394	0.644405066967	-0.671576082706	-0.365687996149	281.317993164	10.4200000763	0.0	6.62275958883	1.0	1.0	0.0	0.0	0.0	33.5800018311	3.99683988764	5.06128311157	-1.0	0.0	1
1.0	1.0	-22.2348995209	-3.35229992867	-75.2285003662	-7.38391017914	56.962600708	-71.3877029419	-23.3682422638	34.7016143799	-63.3750228882	1.0	-0.488744318485	0.851932883263	0.187987580895	0.768297195435	0.636802017689	-0.0648279264569	2360.60888672	22.8600006104	0.0	10.8594371654	2.0	5.0	3.0	12.4385004044	2.0	151.100006104	3.71084160925	2.23281383514	1.0	1.0	1
1.0	1.0	-22.2348995209	-3.35229992867	-75.2285003662	-7.38391017914	56.962600708	-71.3877029419	-23.5629844666	31.5211162567	-64.8152618408	1.0	-0.238859534264	0.969237685204	0.0593674108386	0.924134552479	0.284234881401	-0.255315244198	3094.96875	22.8600006104	0.0	10.2145393669	1.0	6.0	9.0	17.9762001038	2.0	205.100021362	3.77951110371	2.40544486046	1.0	1.0	1
1.0	1.0	-45.5150985718	37.2256011963	-63.9010009766	-3.42229008675	4.57535982132	-69.0623016357	-28.0807418823	34.6329193115	-63.3098640442	1.0	-0.248744368553	0.956316888332	0.153571709991	0.851507425308	0.322244375944	-0.413634687662	2138.57275391	22.8600006104	0.0	13.5129743304	2.0	3.0	1.0	12.4385004044	0.0	102.100006104	3.50468813988	1.77850627899	1.0	1.0	1
1.0	1.0	-5.13835000992	38.9733009338	-54.2206001282	-11.3853998184	28.8169994354	-80.4419021606	-14.6818666458	34.2404441833	-69.7409515381	1.0	0.287602931261	0.909395933151	-0.300472199917	0.696686148643	-0.596460044384	0.398577272892	519.71496582	10.6800003052	0.0	6.71272902055	1.0	2.0	1.0	9.9974603653	0.0	60.1000022888	3.90193676374	4.15004014969	1.0	1.0	1
1.0	1.0	-45.5150985718	37.2256011963	-63.9010009766	-3.42229008675	4.57535982132	-69.0623016357	-25.4611625671	34.5561904907	-64.5671920776	1.0	-0.141291126609	0.988142549992	0.0600928142667	0.934082746506	0.182269230485	-0.307029813528	2658.28759766	22.8600006104	0.0	11.0401581063	1.0	5.0	6.0	17.9762001038	0.0	162.200012207	3.63377045498	2.24215865135	1.0	1.0	1
1.0	1.0	-22.2348995209	-3.35229992867	-75.2285003662	-7.38391017914	56.962600708	-71.3877029419	-25.9969329834	33.6649093628	-64.4561233521	1.0	-0.316643208265	0.935442447662	0.157113105059	0.872265279293	0.368288516998	-0.321740299463	2500.85302734	22.8600006104	0.0	11.8411442683	1.0	4.0	3.0	12.4385004044	0.0	141.760009766	3.66462205929	2.12499785423	1.0	1.0	1
1.0	1.0	-27.0832004547	40.8983001709	-72.5882034302	-3.42229008675	4.57535982132	-69.0623016357	-13.4108171463	30.5895309448	-69.1578292847	1.0	0.193935513496	0.882619142532	-0.428220063448	0.698428571224	-0.414090633392	0.583717763424	605.323791504	10.6800003052	0.0	6.44423206036	1.0	3.0	2.0	17.9762001038	0.0	73.2600021362	4.03936439432	4.2448091507	1.0	1.0	1
1.0	1.0	-22.5263996124	20.0788993835	-77.34349823	-2.94674992561	28.433599472	-57.3819999695	-10.3767995834	21.845199585	-68.7945022583	1.0	-0.0756312161684	0.935312092304	-0.345646053553	0.666105031967	0.229999020696	0.709510087967	529.333007812	15.1400003433	0.0	8.66082954407	1.0	1.0	0.0	0.0	0.0	43.2000007629	3.74425021325	1.92026567459	-1.0	0.0	1
1.0	1.0	-32.4888000488	-11.8240003586	-62.6049995422	-11.3142995834	51.8559989929	-79.4064025879	-24.0997886658	23.2644252777	-66.9525375366	1.0	-0.353541046381	0.922836303711	-0.152911365032	0.918467640877	0.330222338438	-0.217647522688	2607.47998047	22.0200004578	0.0	10.9350262503	2.0	5.0	4.0	9.11096000671	0.0	165.799987793	3.94913241503	1.50367593765	1.0	1.0	1
1.0	1.0	-32.1987991333	-1.05718994141	-71.7161026001	-21.7222995758	43.2093009949	-79.5503005981	-30.0196380615	33.9749832153	-64.8784637451	1.0	-0.413207262754	0.897383630276	-0.154797717929	0.783545434475	0.305745303631	-0.540903270245	1117.66601562	22.0200004578	0.0	13.5485432943	2.0	2.0	0.0	30.0	0.0	48.4000015259	3.35036823456	0.929496884346	1.0	1.0	1
1.0	1.0	-22.5263996124	20.0788993835	-77.34349823	-2.94674992561	28.433599472	-57.3819999695	-13.6780986786	25.6314868927	-70.3897018433	1.0	-0.0179539937526	0.953120529652	-0.302057802677	0.946647644043	0.00544781750068	0.322224408388	882.696044922	16.0400009155	0.0	9.54001600477	1.0	2.0	1.0	6.86669015884	0.0	60.2799987793	3.16324018643	1.87591648102	1.0	1.0	1
1.0	1.0	-35.2515983582	6.47742986679	-67.5388031006	-2.94674992561	28.433599472	-57.3819999695	-18.2073230743	19.7865200043	-69.1694641113	1.0	-0.0251759290695	0.95339602232	-0.300669640303	0.99743193388	-0.00690813269466	0.0712872222066	1387.1550293	19.6000003815	0.0	10.6706062086	1.0	3.0	2.0	9.11096000671	0.0	86.2599945068	3.59872743804	1.69932770729	1.0	1.0	1
1.0	1.0	-35.2515983582	6.47742986679	-67.5388031006	-16.2019004822	8.67521953583	-77.283203125	-26.1324996948	9.55906963348	-67.0343017578	1.0	-0.0377569869161	0.953752636909	-0.298211872578	0.960776388645	-0.0229249093682	-0.276375114918	504.459014893	19.6000003815	0.0	13.0932995024	1.0	1.0	0.0	0.0	0.0	25.9799995422	4.39414957206	1.3903349638	1.0	1.0	1
1.0	1.0	-35.2515983582	6.47742986679	-67.5388031006	-15.5375995636	28.2457008362	-80.6819992065	-23.0392723083	18.5161819458	-69.4008407593	1.0	0.00607951777056	0.962242126465	-0.27212703228	0.924262940884	-0.153681099415	-0.349456846714	857.822021484	19.6000003815	0.0	11.8190496536	2.0	2.0	0.0	30.0	0.0	43.0599975586	3.50254571834	1.56299436092	1.0	1.0	1
1.0	1.0	-35.2515983582	6.47742986679	-67.5388031006	-15.5375995636	28.2457008362	-80.6819992065	-23.0392723083	18.5161819458	-69.4008407593	1.0	0.00607951777056	0.962242126465	-0.27212703228	0.924262940884	-0.153681099415	-0.349456846714	857.822021484	19.6000003815	0.0	11.8190496536	2.0	2.0	0.0	30.0	0.0	43.0599975586	3.50254571834	1.56299436092	1.0	1.0	1
1.0	1.0	-26.4363002777	26.2590007782	-76.1932983398	-9.11188983917	30.3848991394	-80.0874023438	-17.6139259338	26.0381851196	-74.0450439453	1.0	-0.209145382047	0.97006380558	-0.123428002	0.952718496323	0.303053081036	-0.0220530238003	320.460998535	11.1000003815	0.0	8.97749996185	1.0	1.0	0.0	0.0	0.0	27.7000007629	4.27304845796	1.42836415768	-1.0	0.0	1
1.0	1.0	1.01201999187	-0.022842399776	-60.5335998535	-8.1562204361	59.3106994629	-75.8524017334	-16.2904624939	28.7828216553	-67.232749939	1.0	0.146245062351	0.989221215248	0.00733016757295	0.839468836784	-0.377567797899	0.390812754631	1209.44274902	18.9799995422	0.0	11.9652419317	5.0	5.0	0.0	30.0	0.0	74.060005188	3.8495908268	1.1528428793	1.0	1.0	1
