valid	extremitiesValid	extremity1x	extremity1y	extremity1z	extremity2x	extremity2y	extremity2z	gravityCenter_x	gravityCenter_y	gravityCenter_z	normalValid	normal_x	normal_y	normal_z	direction_x	direction_y	direction_z	surface	geodesicDepthMax	geodesicDepthMin	geodesicDepthMean	connectedComponentsAllRels	connectedComponents	pureCortical	distanceBetweenComponentsMax	plisDePassage	hullJunctionsLength	GM_thickness	fold_opening	Potential	Class	cycle
1.0	1.0	-42.3079986572	-27.4363994598	20.7567996979	-74.6436004639	52.9566993713	-13.7145996094	-63.3184814453	20.1742610931	3.08464026451	1.0	0.0980734154582	-0.249383449554	-0.963425934315	0.226289108396	-0.943063616753	0.243770971894	4265.98876953	33.6800003052	0.0	21.3096068375	1.0	1.0	0.0	0.0	3.0	133.759994507	4.72928640691	0.335778862238	-1.0	0.0	1
1.0	1.0	-48.1777992249	-6.88370990753	40.4519004822	-69.9036026001	59.5976982117	-31.3689994812	-62.7297859192	22.9143104553	0.996662735939	1.0	0.0226574633271	-0.295796483755	-0.954982221127	0.140375614166	-0.951296925545	0.274461060762	4591.44384766	33.6800003052	0.0	18.4754322193	6.0	7.0	1.0	12.0591001511	2.0	148.599990845	4.67800137523	0.344339489937	1.0	1.0	1
1.0	1.0	-42.3079986572	-27.4363994598	20.7567996979	-55.7336006165	86.489402771	-11.9305000305	-46.8221282959	43.663684845	-3.55433630943	1.0	-0.303531646729	-0.428845733404	-0.850858330727	-0.0526106357574	-0.791339159012	0.609109580517	3370.27880859	47.2799987793	0.0	23.5924426663	9.0	9.0	0.0	30.0	0.0	95.3200073242	3.90310232073	0.61092287302	1.0	1.0	1
1.0	1.0	-42.3079986572	-27.4363994598	20.7567996979	-74.6436004639	52.9566993713	-13.7145996094	-61.7972679138	17.5594100952	3.02103972435	1.0	0.12861686945	-0.14580412209	-0.980917334557	0.217630833387	-0.951927304268	0.215571969748	4816.46435547	33.6800003052	0.0	20.8380965668	2.0	2.0	0.0	30.0	4.0	143.740005493	4.80915779687	0.307584494352	1.0	1.0	1
1.0	1.0	-39.4463005066	-27.0842990875	17.5905990601	-60.5765991211	74.0383987427	-44.3650016785	-60.3851356506	36.8100585938	-6.29223108292	1.0	-0.0669808909297	-0.51327341795	-0.855607390404	-0.160665124655	-0.76811760664	0.619824230671	3512.24731445	25.2800006866	0.0	11.573032456	4.0	8.0	4.0	14.5376996994	1.0	185.059997559	4.51892235358	0.581228137016	1.0	1.0	1
1.0	1.0	-39.4463005066	-27.0842990875	17.5905990601	-60.5765991211	74.0383987427	-44.3650016785	-60.3851356506	36.8100585938	-6.29223108292	1.0	-0.0669808909297	-0.51327341795	-0.855607390404	-0.160665124655	-0.76811760664	0.619824230671	3512.24731445	25.2800006866	0.0	11.573032456	4.0	8.0	4.0	14.5376996994	1.0	185.059997559	4.51892235358	0.581228137016	1.0	1.0	1
1.0	1.0	-77.1864013672	22.2994995117	-1.60897994041	-60.5765991211	74.0383987427	-44.3650016785	-63.4525375366	56.2677764893	-18.3054218292	1.0	-0.303480178118	-0.557501792908	-0.772716999054	-0.437991440296	-0.66302549839	0.607092022896	1759.4152832	25.2800006866	0.0	11.8017316546	3.0	4.0	1.0	6.79600000381	0.0	88.4199981689	4.51557646118	0.419764697552	1.0	1.0	1
1.0	1.0	-39.4463005066	-27.0842990875	17.5905990601	-60.5765991211	74.0383987427	-44.3650016785	-59.4631385803	31.6324977875	-7.41318511963	1.0	-0.0981669276953	-0.592893183231	-0.799275279045	-0.0343680568039	-0.646288633347	0.762318730354	2825.96582031	25.2800006866	0.0	11.6438757632	6.0	8.0	2.0	12.7112998962	0.0	150.580001831	4.45561131506	0.626285731792	1.0	1.0	1
1.0	1.0	-48.1777992249	-6.88370990753	40.4519004822	-74.6436004639	52.9566993713	-13.7145996094	-63.9722976685	23.0751628876	2.58688521385	1.0	0.0513386018574	-0.31699192524	-0.947037756443	0.179466366768	-0.951936781406	0.248209863901	3964.9597168	33.6800003052	0.0	21.832744227	2.0	2.0	0.0	30.0	1.0	118.159996033	4.71570614602	0.33635020256	1.0	1.0	1
1.0	1.0	-42.3079986572	-27.4363994598	20.7567996979	-60.5765991211	74.0383987427	-44.3650016785	-58.9563560486	29.0652065277	-1.48386049271	1.0	0.0105143198743	-0.445006608963	-0.895465552807	0.0353436842561	-0.781470358372	0.622940540314	3745.64453125	25.2800006866	0.0	11.927366589	3.0	8.0	5.0	19.4810009003	1.0	204.459991455	4.54965948348	0.610083699226	1.0	1.0	1
1.0	1.0	-46.2895011902	-25.8855991364	27.081199646	-66.7090988159	59.5381011963	-8.0689201355	-61.280380249	21.0485553741	5.16191101074	1.0	0.248642146587	-0.321023762226	-0.913849473	0.133162289858	-0.903330087662	0.407753050327	4594.1171875	29.3400001526	0.0	22.6527052659	1.0	1.0	0.0	0.0	3.0	134.800003052	4.50292660332	0.868075728416	-1.0	0.0	1
