valid	volumeS1	connectedComponentsS1	connectedComponentsS1Rel	volumeS2	connectedComponentsS2	connectedComponentsS2Rel	corticalSize	distanceMin	direction_x	direction_y	direction_z	distanceToExtremity1	distanceToExtremity2	gravityCenter_x	gravityCenter_y	gravityCenter_z	corticalDotProduct	junctions	junctionDepthMin	junctionsSize	plisDePassage	plisDePassageDepthMax	Potential	Class	cycle
1.0	4813.97363281	1.0	1.0	206.085098267	1.0	1.0	33.2000007629	2.38259316357	-0.0675912797451	-0.99101048708	-0.115453988314	23.5468746437	0.979558603234	-78.2773513794	34.5378494263	-28.0886993408	0.673182114506	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	11135.1757812	5.0	3.0	1784.24780273	6.0	5.0	72.5399997234	0.0	0.0584528110921	0.987324178219	-0.147561103106	47.8854019404	4.95373091318	-77.0301971436	33.482749939	-18.2447509766	0.284302472016	2.0	13.8199996948	43.5199995041	3.0	29.0400009155	0.997657734395	1.0	1
1.0	8550.53515625	5.0	2.0	4809.22705078	5.0	4.0	87.2400016785	1.72130471147	-0.0419187732041	-0.131147488952	-0.990476250648	26.9107367975	0.0	-73.9214019775	1.46091508865	-10.6658849716	0.643626972711	13.0	13.0200004578	238.696400762	2.0	43.7799987793	0.995445631012	1.0	1
1.0	9302.68066406	5.0	2.0	416.852905273	3.0	2.0	21.2800006866	2.38259316357	-0.0675912797451	-0.99101048708	-0.115453988314	38.3860303731	0.979558603234	-78.2773513794	34.5378494263	-28.0886993408	0.673182114506	0.0	0.0	0.0	1.0	16.5599994659	0.991281594758	1.0	1
1.0	1115.68432617	4.0	2.0	1557.44519043	2.0	2.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	13.0200004578	14.4399995804	0.0	14.5600004196	0.403809210563	1.0	1
1.0	8068.84716797	5.0	3.0	1623.05310059	3.0	3.0	34.0199992657	0.0	0.0584528110921	0.987324178219	-0.147561103106	43.4810494281	4.95373091318	-77.0301971436	33.482749939	-18.2447509766	0.284302472016	6.0	13.8199996948	164.520002365	3.0	43.7799987793	0.990622587582	1.0	1
1.0	561.539306641	4.0	2.0	1679.35327148	4.0	3.0	34.659999609	2.43961672696	0.434361755848	-0.581881046295	-0.687564015388	37.2346960815	19.9174213896	-73.5363998413	15.4915008545	-40.4666976929	0.517316909244	0.0	0.0	0.0	0.0	0.0	0.738821084028	1.0	1
1.0	7249.48681641	4.0	3.0	3054.95214844	5.0	5.0	91.2800004482	0.0	0.0584528110921	0.987324178219	-0.147561103106	47.8854019404	33.3848881847	-77.0301971436	33.482749939	-18.2447509766	0.284302472016	6.0	13.8199996948	188.589600563	4.0	42.5	0.994955405754	1.0	1
1.0	6296.75976562	3.0	1.0	3625.21435547	4.0	4.0	41.3600006104	1.72130471147	-0.0419187732041	-0.131147488952	-0.990476250648	26.9107367975	0.0	-73.9214019775	1.46091508865	-10.6658849716	0.643626972711	8.0	13.0200004578	194.769599915	3.0	43.7799987793	0.992681018567	1.0	1
1.0	4420.61523438	1.0	1.0	517.238037109	1.0	1.0	37.5799999237	0.0	0.995591461658	-0.0936337485909	0.00550808059052	37.2798311882	6.27831972429	-70.0059967041	22.7112007141	-24.9388008118	0.30101241642	1.0	8.56000041962	13.4799995422	1.0	8.56000041962	-1.0	0.0	1
1.0	6126.23291016	4.0	2.0	199.845001221	1.0	1.0	16.0600004196	0.0	-0.105040505528	-0.992555975914	-0.0616373382509	26.6951138774	2.25886688983	-70.0247497559	26.8826503754	-39.2749023438	0.835146732933	1.0	5.0	6.53999996185	1.0	5.0	0.991054512617	1.0	1
1.0	4535.41943359	2.0	2.0	402.434020996	1.0	1.0	48.5399999619	0.0	0.10493888706	0.992566823959	0.0616356544197	30.8439205114	4.34458034727	-69.3067016602	23.7434005737	-37.6343002319	0.0989796142117	3.0	8.56000041962	32.7199993134	3.0	11.6599998474	0.420452539276	1.0	1
1.0	9807.61132812	4.0	2.0	2072.33300781	4.0	3.0	55.740000248	0.0	0.995591461658	-0.0936337485909	0.00550808059052	37.2798311882	6.27831972429	-70.0059967041	22.7112007141	-24.9388008118	0.30101241642	5.0	5.0	59.9000005722	4.0	37.4399986267	0.999173880521	1.0	1
