valid	volumeS1	connectedComponentsS1	connectedComponentsS1Rel	volumeS2	connectedComponentsS2	connectedComponentsS2Rel	corticalSize	distanceMin	direction_x	direction_y	direction_z	distanceToExtremity1	distanceToExtremity2	gravityCenter_x	gravityCenter_y	gravityCenter_z	corticalDotProduct	junctions	junctionDepthMin	junctionsSize	plisDePassage	plisDePassageDepthMax	Potential	Class	cycle
1.0	9825.65332031	6.0	1.0	1948.78637695	3.0	3.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	13.0	13.0200004578	258.516401887	2.0	42.5	0.988668036774	1.0	1
1.0	2218.00195312	7.0	1.0	566.377990723	3.0	1.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	16.5599994659	0.141769636493	1.0	1
1.0	9295.76171875	6.0	2.0	1315.61364746	1.0	1.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	8.0	16.2199993134	178.100002289	1.0	43.7799987793	0.990622614853	1.0	1
1.0	1174.54870605	4.0	0.0	1535.18493652	1.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.00323373194517	1.0	1
1.0	7331.44921875	5.0	1.0	1535.18493652	1.0	1.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	8.0	13.0200004578	164.820000648	2.0	42.5	0.966407590573	1.0	1
1.0	7060.08691406	4.0	1.0	1665.52319336	4.0	4.0	45.7200000286	1.72130471147	-0.0419187732041	-0.131147488952	-0.990476250648	26.9107367975	23.7360357144	-73.9214019775	1.46091508865	-10.6658849716	0.643626972711	6.0	16.2199993134	179.220002651	2.0	43.7799987793	0.98439585646	1.0	1
1.0	6703.17822266	4.0	1.0	2749.31396484	2.0	2.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	7.0	13.0200004578	183.669599533	3.0	43.7799987793	0.983582253135	1.0	1
1.0	6532.1015625	3.0	2.0	3038.10400391	3.0	3.0	47.7200000286	1.72130471147	-0.0419187732041	-0.131147488952	-0.990476250648	26.9107367975	23.7360357144	-73.9214019775	1.46091508865	-10.6658849716	0.643626972711	9.0	13.0200004578	175.480000019	3.0	43.7799987793	0.995206769195	1.0	1
1.0	4420.61523438	1.0	1.0	154.720993042	1.0	1.0	14.2600002289	0.0	0.104936510324	0.992567062378	0.0616358891129	35.099793584	2.10324887008	-68.1974029541	5.43212509155	-11.3808002472	0.415777366925	2.0	2.11999988556	5.19999980927	2.0	5.28000020981	-1.0	0.0	1
1.0	6763.68994141	6.0	3.0	1508.30615234	4.0	3.0	17.2000000477	0.0	-0.105040483177	-0.992555737495	-0.0616411678493	21.6947683033	2.33152361429	-68.2934494019	23.476650238	-33.9916000366	0.607065954136	25.0	8.85999965668	168.666401476	18.0	38.7599983215	0.998130173792	1.0	1
1.0	4405.06054688	8.0	3.0	172.907592773	2.0	2.0	10.9600002766	0.0	-0.105040483177	-0.992555737495	-0.0616411678493	0.992891696403	2.33152361429	-68.2934494019	23.476650238	-33.9916000366	0.607065954136	3.0	11.6599998474	29.0799999237	2.0	34.8600006104	0.76787813863	1.0	1
1.0	4368.78320312	6.0	4.0	1895.89086914	2.0	2.0	30.0999994278	0.0	0.995595753193	-0.0935870632529	0.00552716292441	42.4436790555	2.78350346752	-67.0424041748	1.58261501789	-6.1310300827	0.746401050548	10.0	5.28000020981	59.8203998804	11.0	36.8199996948	0.992155099133	1.0	1
1.0	5733.72802734	1.0	1.0	154.720993042	1.0	1.0	14.2600002289	0.0	0.104936510324	0.992567062378	0.0616358891129	47.7875696762	2.10324887008	-68.1974029541	5.43212509155	-11.3808002472	0.415777366925	2.0	2.11999988556	5.19999980927	2.0	5.28000020981	0.739429221718	1.0	1
1.0	5149.21484375	2.0	2.0	1120.25805664	2.0	2.0	42.5	0.0	-0.104936510324	-0.992567062378	-0.0616358891129	34.5311459044	7.82684895057	-68.1974029541	5.43212509155	-11.3808002472	0.415777366925	9.0	5.28000020981	58.3347993344	8.0	27.3799991608	0.999605083431	1.0	1
1.0	5750.44140625	1.0	1.0	438.207000732	2.0	2.0	14.2600002289	0.0	0.104936510324	0.992567062378	0.0616358891129	35.099793584	2.10324887008	-68.1974029541	5.43212509155	-11.3808002472	0.415777366925	6.0	2.11999988556	39.1399998665	6.0	27.0	0.953781462289	1.0	1
1.0	5784.35839844	1.0	1.0	1790.34851074	3.0	3.0	51.9200000763	0.0	0.995595753193	-0.0935870632529	0.00552716292441	42.4436790555	2.78350346752	-67.0424041748	1.58261501789	-6.1310300827	0.746401050548	10.0	5.28000020981	105.559999943	11.0	39.0	0.999915533738	1.0	1
1.0	4464.30908203	7.0	3.0	1493.0715332	1.0	1.0	8.84000015259	0.0	-0.104936510324	-0.992567062378	-0.0616358891129	48.3980537465	5.26269873726	-68.1974029541	5.43212509155	-11.3808002472	0.415777366925	12.0	5.28000020981	94.5347991437	11.0	37.7200012207	0.993299155901	1.0	1
1.0	7399.27929688	2.0	2.0	2182.64257812	3.0	3.0	59.6799993515	0.0	0.995595753193	-0.0935870632529	0.00552716292441	42.4436790555	2.78350346752	-67.0424041748	1.58261501789	-6.1310300827	0.746401050548	25.0	2.11999988556	196.516398951	21.0	37.7200012207	0.999999956325	1.0	1
1.0	4821.01513672	1.0	1.0	65.119102478	1.0	1.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	16.9599990845	13.279999733	1.0	16.9599990845	-1.0	0.0	1
1.0	11386.6279297	7.0	1.0	582.061096191	3.0	2.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	12.0	18.0400009155	136.111600876	3.0	32.5800018311	0.999980189961	1.0	1
1.0	10468.0371094	5.0	2.0	794.813049316	3.0	3.0	42.3799991608	0.0	-0.0334237776697	-0.984688520432	0.171088695526	44.4283594293	0.0	-72.7024536133	16.1819000244	-34.2061462402	0.408505529892	7.0	7.98000001907	86.4799997807	5.0	18.3199996948	0.999006503761	1.0	1
1.0	9197.79980469	6.0	2.0	1985.74487305	5.0	5.0	52.9599987268	0.0	-0.999347567558	0.0346042104065	0.0103445192799	43.5555315276	2.09467190652	-73.9639511108	23.0277004242	-17.2645988464	0.0981885859016	15.0	7.98000001907	190.871200323	6.0	32.5800018311	0.984488881818	1.0	1
1.0	7348.95654297	2.0	1.0	968.496704102	5.0	5.0	51.859998703	0.0	-0.999347567558	0.0346042104065	0.0103445192799	43.5555315276	2.09467190652	-73.9639511108	23.0277004242	-17.2645988464	0.0981885859016	4.0	7.98000001907	59.9200000763	4.0	32.5800018311	0.997366703395	1.0	1
1.0	9093.04199219	2.0	1.0	1812.12976074	4.0	4.0	51.859998703	0.0	-0.999347567558	0.0346042104065	0.0103445192799	43.5555315276	2.09467190652	-73.9639511108	23.0277004242	-17.2645988464	0.0981885859016	16.0	7.98000001907	172.760400295	8.0	31.3199996948	0.999907368154	1.0	1
1.0	5797.47070312	2.0	1.0	370.288116455	2.0	2.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	3.0	16.9599990845	29.9195997715	2.0	26.6399993896	0.673643242181	1.0	1
1.0	6687.50195312	2.0	1.0	1691.2800293	1.0	1.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	6.0	18.3199996948	116.339599848	5.0	45.5800018311	0.994848225345	1.0	1
1.0	3908.37207031	1.0	1.0	352.552001953	1.0	1.0	15.9600000381	0.0	-0.998024463654	0.0332203768194	-0.0533257313073	33.8956989036	3.35254351084	-69.7314987183	4.63835000992	-12.6221504211	0.0631959871342	1.0	11.5799999237	11.6800003052	0.0	11.5799999237	-1.0	0.0	1
1.0	7041.55224609	6.0	1.0	1196.22692871	3.0	3.0	19.5399999619	0.0	-0.998024463654	0.0332203768194	-0.0533257313073	45.6606583602	3.35254351084	-69.7314987183	4.63835000992	-12.6221504211	0.0631959871342	13.0	11.5799999237	138.622399867	2.0	43.4399986267	0.978554595918	1.0	1
1.0	7283.23681641	4.0	1.0	655.181030273	3.0	3.0	43.3400001526	0.0	0.0461935810745	0.993750572205	-0.101616881788	27.6660289193	6.8201870415	-72.6329956055	25.3752994537	-16.3784999847	0.107789669214	4.0	12.6999998093	41.9748007059	1.0	12.6999998093	0.608566268965	1.0	1
1.0	11489.5292969	9.0	1.0	878.44329834	3.0	3.0	20.8600006104	0.0	0.0461935810745	0.993750572205	-0.101616881788	42.6518021241	0.0	-72.6329956055	25.3752994537	-16.3784999847	0.107789669214	17.0	12.6999998093	132.1528005	2.0	33.8199996948	0.992711394613	1.0	1
1.0	4047.7890625	1.0	1.0	352.552001953	1.0	1.0	15.9600000381	0.0	-0.998024463654	0.0332203768194	-0.0533257313073	33.8956989036	3.35254351084	-69.7314987183	4.63835000992	-12.6221504211	0.0631959871342	1.0	11.5799999237	11.6800003052	0.0	11.5799999237	0.182502798033	1.0	1
1.0	8436.46191406	2.0	1.0	1342.66125488	4.0	4.0	36.6199998856	0.0	-0.998024463654	0.0332203768194	-0.0533257313073	45.6606583602	15.8866193409	-69.7314987183	4.63835000992	-12.6221504211	0.0631959871342	12.0	11.5799999237	102.218401223	0.0	35.0200004578	0.989251044663	1.0	1
1.0	6510.35839844	2.0	1.0	496.827026367	2.0	2.0	20.8600006104	0.0	0.0461935810745	0.993750572205	-0.101616881788	27.6660289193	0.0	-72.6329956055	25.3752994537	-16.3784999847	0.107789669214	5.0	12.6999998093	46.8200006485	2.0	31.2800006866	0.85686965134	1.0	1
1.0	6781.59375	4.0	2.0	2033.57202148	2.0	2.0	34.8599996567	0.0	-0.998024463654	0.0332203768194	-0.0533257313073	45.6606583602	3.35254351084	-69.7314987183	4.63835000992	-12.6221504211	0.0631959871342	17.0	11.5799999237	157.418000311	3.0	43.4399986267	0.993299163655	1.0	1
1.0	8050.44238281	2.0	1.0	1194.50634766	3.0	3.0	15.9600000381	0.0	-0.998024463654	0.0332203768194	-0.0533257313073	35.1022315828	3.35254351084	-69.7314987183	4.63835000992	-12.6221504211	0.0631959871342	13.0	11.5799999237	91.3056011498	2.0	43.4399986267	0.917261713341	1.0	1
1.0	9776.33105469	2.0	1.0	1479.98400879	4.0	4.0	24.8800001144	0.0	-0.998024463654	0.0332203768194	-0.0533257313073	45.6606583602	15.8866193409	-69.7314987183	4.63835000992	-12.6221504211	0.0631959871342	14.0	11.5799999237	128.818800449	2.0	41.9799995422	0.990522833049	1.0	1
1.0	4408.12548828	1.0	1.0	131.259002686	1.0	1.0	14.9199995995	0.0	-0.994935154915	0.0	0.10051908344	31.3260228633	3.37914065875	-67.6890563965	2.44403004646	-5.39035987854	0.397344034127	1.0	7.42000007629	8.03999996185	1.0	7.42000007629	-1.0	0.0	1
1.0	12445.03125	7.0	1.0	1963.92211914	4.0	4.0	50.8399996758	0.0	0.00609923992306	-0.99838924408	0.0564064718783	18.6349451289	1.50108369504	-63.2154006958	-11.0295495987	-0.539524018764	0.398284661143	9.0	6.0	92.3008007258	5.0	34.2599983215	0.999988879969	1.0	1
1.0	6848.82714844	5.0	3.0	1258.9552002	4.0	3.0	27.7228000164	0.0	-0.00610281573609	0.998389780521	-0.056396856904	31.6943817064	5.12362859034	-67.9389038086	5.13091468811	-2.49639987946	0.416197521399	14.0	7.42000007629	172.592799902	8.0	36.9000015259	0.91535872	1.0	1
1.0	9314.97070312	10.0	2.0	1823.22802734	4.0	4.0	50.8399996758	0.0	0.00609923992306	-0.99838924408	0.0564064718783	18.6349451289	1.50108369504	-63.2154006958	-11.0295495987	-0.539524018764	0.398284661143	7.0	6.0	73.1600012779	7.0	34.2599983215	0.999304563273	1.0	1
1.0	2830.07202148	2.0	1.0	1065.28552246	2.0	1.0	6.90280008316	0.0	-0.00610281573609	0.998389780521	-0.056396856904	24.4061028679	5.12362859034	-67.9389038086	5.13091468811	-2.49639987946	0.416197521399	4.0	10.4600000381	47.2399997711	4.0	28.7399997711	0.801426352715	1.0	1
1.0	10007.8574219	4.0	2.0	1775.17419434	5.0	5.0	78.1628000736	0.0	-0.00609549600631	0.9983907938	-0.0563795827329	53.358633723	5.01581048045	-73.3218002319	23.0206489563	-10.5297498703	0.420963859371	14.0	6.0	135.997201085	9.0	18.6800003052	0.991347100087	1.0	1
1.0	8566.04492188	3.0	1.0	1673.86206055	3.0	3.0	14.9199995995	0.0	-0.994935154915	0.0	0.10051908344	32.658715479	10.3617590201	-67.6890563965	2.44403004646	-5.39035987854	0.397344034127	15.0	7.42000007629	187.47559981	7.0	39.0400009155	0.985895945675	1.0	1
1.0	8762.07910156	7.0	4.0	3050.98046875	5.0	5.0	33.580000639	2.01629119036	-0.00612348504364	0.998389363289	-0.056402258575	24.359129215	22.1040375502	-67.672454834	-15.1064500809	-10.4340496063	0.92906520385	15.0	4.38000011444	152.693599597	6.0	39.0400009155	0.998399341631	1.0	1
1.0	6637.41796875	1.0	1.0	1171.7890625	2.0	2.0	43.7199997902	0.0	0.00609923992306	-0.99838924408	0.0564064718783	18.2845520925	1.50108369504	-63.2154006958	-11.0295495987	-0.539524018764	0.398284661143	2.0	6.0	13.7399997711	2.0	7.42000007629	0.647650244158	1.0	1
1.0	11773.0703125	5.0	1.0	1618.77905273	3.0	3.0	43.7199997902	0.0	0.00609923992306	-0.99838924408	0.0564064718783	18.6349451289	1.50108369504	-63.2154006958	-11.0295495987	-0.539524018764	0.398284661143	7.0	6.0	75.347998783	4.0	36.9000015259	0.999973196666	1.0	1
1.0	4155.44677734	1.0	1.0	85.4039001465	1.0	1.0	15.7399997711	1.9620270153	0.0190165322274	-0.143769532442	-0.989428460598	20.288590156	1.20238636246	-68.1253967285	3.12566995621	-14.2460002899	0.720221548272	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	6414.01269531	8.0	2.0	1347.98400879	4.0	3.0	12.8000001907	2.11330550598	-0.04561214149	-0.713742434978	0.698921501637	43.4328335157	0.0	-70.1506500244	6.79914474487	-27.2460002899	0.761357106156	9.0	4.80000019073	95.4548001289	1.0	7.28000020981	0.990226304215	1.0	1
1.0	10239.0966797	6.0	3.0	2083.79833984	4.0	3.0	30.2600002289	0.0	-0.0429944433272	-0.985947847366	0.161425858736	47.6215636005	6.10383996286	-67.4875488281	6.97108507156	-33.7228507996	0.659418941846	17.0	3.90000009537	239.708799362	7.0	34.9399986267	0.999981299214	1.0	1
1.0	8157.20556641	6.0	3.0	2870.9621582	4.0	4.0	33.9000000954	0.0	0.0429126136005	0.985954999924	-0.16140383482	36.6510860423	1.7900765998	-73.0982055664	13.5043506622	1.50177502632	0.971381775237	13.0	3.90000009537	161.623600312	10.0	36.3199996948	0.999965289573	1.0	1
1.0	7314.00976562	5.0	3.0	1987.54931641	5.0	5.0	54.259999752	0.0	0.0429944433272	0.985947847366	-0.161425858736	48.7542222249	0.0	-67.4875488281	6.97108507156	-33.7228507996	0.659418941846	9.0	3.90000009537	94.8295980692	6.0	34.9399986267	0.999582646431	1.0	1
