valid	volumeS1	connectedComponentsS1	connectedComponentsS1Rel	volumeS2	connectedComponentsS2	connectedComponentsS2Rel	corticalSize	distanceMin	direction_x	direction_y	direction_z	distanceToExtremity1	distanceToExtremity2	gravityCenter_x	gravityCenter_y	gravityCenter_z	corticalDotProduct	junctions	junctionDepthMin	junctionsSize	plisDePassage	plisDePassageDepthMax	Potential	Class	cycle
1.0	4813.97363281	1.0	0.0	1228.76000977	1.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.000818057656424	0.0	1
1.0	10822.3935547	7.0	1.0	3482.3815918	9.0	3.0	48.8000006676	0.0	0.997895658016	-0.0559471212327	-0.0327737592161	27.0338348983	35.3588095605	-71.4853973389	58.5804977417	-32.65284729	0.238498398305	2.0	14.8000001907	31.6199998856	0.0	16.8400001526	0.997208542791	1.0	1
1.0	4834.91796875	1.0	1.0	1681.27319336	4.0	1.0	17.6399993896	0.0	0.0584528110921	0.987324178219	-0.147561103106	33.6052727931	41.5412401415	-77.0301971436	33.482749939	-18.2447509766	0.284302472016	2.0	13.8199996948	25.9399995804	2.0	21.4799995422	0.480278670509	1.0	1
1.0	7885.18115234	5.0	2.0	2047.94458008	7.0	3.0	59.6599998474	0.0	0.997895658016	-0.0559471212327	-0.0327737592161	22.1561000771	22.0266132924	-71.4853973389	58.5804977417	-32.65284729	0.48844724809	4.0	8.5	46.4199995995	2.0	13.8199996948	0.965177103042	1.0	1
1.0	8011.31835938	5.0	2.0	2456.87182617	4.0	2.0	38.7199997902	0.0	-0.997895658016	0.0559471212327	0.0327737592161	26.6961761246	28.5937786284	-71.4853973389	58.5804977417	-32.65284729	0.730918058201	1.0	14.8000001907	15.3599996567	0.0	14.8000001907	0.974460009786	1.0	1
1.0	9270.44433594	5.0	2.0	2975.99487305	7.0	5.0	52.3000006676	0.0	-0.997889816761	0.0560519471765	0.032773565501	0.0	18.7582020988	-65.5127029419	55.4765510559	-53.4200515747	0.99665127465	5.0	7.78000020981	58.0799994469	1.0	21.4799995422	0.998666216282	1.0	1
1.0	8349.34472656	5.0	3.0	1688.61865234	4.0	2.0	16.9400000572	0.0	-0.997895658016	0.0559471212327	0.0327737592161	26.6961761246	28.5937786284	-71.4853973389	58.5804977417	-32.65284729	0.730918058201	1.0	14.8000001907	15.3599996567	0.0	14.8000001907	0.953937518279	1.0	1
1.0	8242.68164062	3.0	2.0	3688.76098633	7.0	4.0	66.0600008965	0.0	-0.997895658016	0.0559471212327	0.0327737592161	8.01252749273	28.5937786284	-71.4853973389	58.5804977417	-32.65284729	0.238498398305	4.0	8.5	70.3400001526	2.0	29.0400009155	0.991532070164	1.0	1
1.0	5161.359375	2.0	1.0	1685.10595703	4.0	3.0	15.5599994659	2.44608662695	0.0504739843309	0.281165093184	0.958331108093	19.3440743052	14.9865848144	-76.3395004272	51.132850647	-31.3582000732	0.468052336774	1.0	29.0400009155	29.1599998474	1.0	29.0400009155	0.579970345727	1.0	1
1.0	9375.49804688	5.0	3.0	3022.79614258	7.0	5.0	116.820001364	0.0	0.0584528110921	0.987324178219	-0.147561103106	47.8854019404	23.6838273964	-77.0301971436	33.482749939	-18.2447509766	0.284302472016	4.0	8.5	60.2999997139	3.0	29.0400009155	0.996648958986	1.0	1
1.0	4420.61523438	1.0	1.0	1064.03942871	1.0	1.0	0.0	3.89187614209	0.146012067795	0.746525526047	0.649137973785	24.651653504	9.6803343953	-71.4111022949	49.5887985229	-20.5821495056	0.99932519788	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	6137.13476562	4.0	2.0	4819.20410156	5.0	3.0	27.1400001049	0.0	-0.105048105121	-0.992555141449	-0.0616372898221	0.0	27.669893718	-71.0286560059	38.1493530273	-22.1863994598	0.879863756281	7.0	9.56000041962	55.3011994883	4.0	18.0	0.996142781263	1.0	1
1.0	7448.75634766	5.0	2.0	6200.17138672	4.0	1.0	23.5799999237	3.33715440768	0.00725557236001	0.974743783474	0.223208352923	4.68946538002	38.9381534639	-64.5039978027	43.67029953	-46.397102356	0.907603793395	2.0	9.56000041962	14.8000001907	1.0	9.56000041962	0.999943124978	1.0	1
1.0	8391.87792969	4.0	1.0	2918.2253418	3.0	2.0	19.8800001144	3.36496656064	-0.176075026393	0.146913304925	0.973351955414	42.113562961	8.05657805856	-74.9053497314	32.2676506042	-6.17466592789	0.51618740337	0.0	0.0	0.0	0.0	0.0	0.985471236128	1.0	1
1.0	3020.82910156	1.0	1.0	3114.68408203	2.0	1.0	22.6399993896	0.0	0.105048105121	0.992555141449	0.0616372898221	1.9857742265	8.51926638682	-71.3765563965	35.0245513916	-18.7332000732	0.397202563348	4.0	9.56000041962	43.3951997757	4.0	18.6800003052	0.765159628021	1.0	1
1.0	8551.74609375	2.0	2.0	5795.90576172	4.0	3.0	46.5600001812	0.0	-0.105048105121	-0.992555141449	-0.0616372898221	29.3504149645	27.669893718	-71.0286560059	38.1493530273	-22.1863994598	0.879863756281	5.0	9.56000041962	45.6551990509	5.0	18.0	0.999999997751	1.0	1
1.0	8532.97363281	3.0	1.0	3487.55810547	3.0	2.0	38.4799995422	2.3049772436	0.0948071330786	0.91166216135	0.399854570627	2.10287498508	33.5368101317	-63.8989486694	54.4764022827	-43.9084014893	0.931191013047	1.0	11.5600004196	12.3199996948	1.0	11.5600004196	0.999961195372	1.0	1
1.0	3341.43725586	1.0	0.0	2366.77514648	2.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.000818057656424	1.0	1
1.0	3894.84594727	1.0	1.0	1939.62597656	2.0	1.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	9.56000041962	6.11520004272	2.0	18.0	0.987086249131	1.0	1
1.0	5975.31542969	5.0	2.0	3930.34619141	5.0	3.0	76.8199996948	0.0	0.995591640472	-0.093631953001	0.00550808152184	35.4556465023	21.8614455691	-69.8737030029	34.2997970581	-16.9365997314	0.787261283596	3.0	9.56000041962	29.0	1.0	9.56000041962	0.996618394475	1.0	1
1.0	4821.01513672	1.0	1.0	1659.36401367	1.0	1.0	30.9599990845	2.20454306991	0.0347117297351	0.793858110905	0.60711145401	1.78383930623	16.093405793	-67.6751480103	62.9225997925	-35.1374015808	0.158795024988	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	10085.7685547	6.0	0.0	3079.38671875	5.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.000818057656424	1.0	1
1.0	5432.12988281	3.0	0.0	201.99899292	2.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.000818057656424	1.0	1
