valid	volumeS1	connectedComponentsS1	connectedComponentsS1Rel	volumeS2	connectedComponentsS2	connectedComponentsS2Rel	corticalSize	distanceMin	direction_x	direction_y	direction_z	distanceToExtremity1	distanceToExtremity2	gravityCenter_x	gravityCenter_y	gravityCenter_z	corticalDotProduct	junctions	junctionDepthMin	junctionsSize	plisDePassage	plisDePassageDepthMax	Potential	Class	cycle
1.0	2192.51635742	1.0	1.0	962.940856934	7.0	6.0	89.2600009441	0.0	-0.0584400184453	-0.98730713129	0.147680208087	0.0	20.5535605112	-3.53978013992	-46.1074981689	-17.0489997864	0.678496968367	3.0	5.26000022888	14.4663996249	0.0	13.9399995804	-1.0	0.0	1
1.0	3907.19604492	17.0	13.0	2739.23925781	12.0	9.0	225.429601192	0.0	-0.0584724023938	-0.987305104733	0.147680938244	23.8204699957	14.073893003	-4.99956512451	-54.199798584	-15.7989006042	0.384572392807	4.0	11.2399997711	50.6199998856	5.0	12.9600000381	0.999385832712	1.0	1
1.0	264.214904785	3.0	2.0	1860.29333496	8.0	3.0	17.5399999619	0.0	0.0584446229041	0.987308621407	-0.147668406367	2.5442875672	47.0801788335	-3.68693494797	-39.1921463013	-34.5430984497	0.0160470824578	2.0	11.2399997711	25.3800001144	1.0	11.2399997711	0.891114039298	1.0	1
1.0	4316.65234375	14.0	10.0	3208.49707031	14.0	10.0	264.989600301	0.0	-0.0584507286549	-0.98732227087	0.147574454546	7.09058059682	38.0479438994	0.576721489429	14.5508003235	-39.6254501343	0.970381064586	6.0	6.5	60.9200000763	3.0	17.4599990845	0.998856139836	1.0	1
1.0	1519.1126709	9.0	8.0	3030.44580078	13.0	11.0	227.899200022	0.0	0.997895598412	-0.0560081005096	-0.0326712206006	7.93816555295	38.4337655942	-3.1577899456	1.42962002754	-52.5269012451	0.546830327733	3.0	8.85999965668	36.3800010681	4.0	12.9600000381	0.991532059992	1.0	1
1.0	3254.46948242	11.0	8.0	2495.08129883	13.0	10.0	191.18639981	0.0	-0.0584724023938	-0.987305104733	0.147680938244	25.6889075038	7.18370822064	-4.99956512451	-54.199798584	-15.7989006042	0.384572392807	2.0	11.2399997711	25.8800001144	7.0	16.1399993896	0.986604219885	1.0	1
1.0	1935.43981934	5.0	4.0	631.901489258	5.0	4.0	69.4296008348	0.0	0.997895598412	-0.0560081005096	-0.0326712206006	6.99896636468	27.2981830463	-3.1577899456	1.42962002754	-52.5269012451	0.546830327733	1.0	12.5600004196	12.6000003815	2.0	12.5600004196	0.466077042491	1.0	1
1.0	1168.0604248	7.0	7.0	2816.33496094	9.0	5.0	120.040000916	0.0	0.997895121574	-0.0560178421438	-0.032670866698	15.2622882121	47.1752656869	-4.49337482452	-6.27413463593	-48.3421020508	0.969800369643	2.0	11.2399997711	23.8400001526	2.0	12.5200004578	0.987361260928	1.0	1
1.0	1330.95898438	3.0	3.0	1357.56347656	8.0	6.0	52.8199999332	0.0	0.0584724023938	0.987305104733	-0.147680938244	14.073893003	3.55537653136	-4.99956512451	-54.199798584	-15.7989006042	0.384572392807	5.0	8.85999965668	61.8999996185	3.0	12.1599998474	0.485890263206	1.0	1
1.0	673.801025391	5.0	3.0	690.948608398	5.0	2.0	12.7400001884	0.0	0.997895598412	-0.0560081005096	-0.0326712206006	46.6988390159	7.99764901356	-3.1577899456	1.42962002754	-52.5269012451	0.486901903664	2.0	5.26000022888	13.6547996998	2.0	16.1399993896	0.996885105646	1.0	1
1.0	2606.0949707	2.0	2.0	209.898712158	2.0	2.0	54.259999752	0.0	0.995600402355	-0.0935386791825	0.00550813507289	13.3844645228	2.08636957936	-3.9688000679	-53.4274520874	-23.3599014282	0.478931430294	2.0	9.06000041962	21.1199998856	1.0	12.8000001907	-1.0	0.0	1
1.0	8268.81542969	13.0	12.0	1840.0760498	11.0	11.0	295.641601324	0.0	0.105002559721	0.992559850216	0.0616389214993	4.39327317038	18.4947997204	-4.98083019257	10.0247297287	-65.1005020142	0.572582201137	10.0	5.0	118.800000191	5.0	14.7399997711	0.999999985758	1.0	1
1.0	2674.26098633	4.0	3.0	363.76071167	2.0	2.0	66.0999999046	0.0	-0.10500677675	-0.992559432983	-0.0616385154426	11.5996116225	1.8204279966	-2.55375003815	-54.5726470947	-12.4713001251	0.310931575255	3.0	8.56000041962	32.6800003052	2.0	12.8000001907	0.269992277181	1.0	1
