valid	volumeS1	connectedComponentsS1	connectedComponentsS1Rel	volumeS2	connectedComponentsS2	connectedComponentsS2Rel	corticalSize	distanceMin	direction_x	direction_y	direction_z	distanceToExtremity1	distanceToExtremity2	gravityCenter_x	gravityCenter_y	gravityCenter_z	corticalDotProduct	junctions	junctionDepthMin	junctionsSize	plisDePassage	plisDePassageDepthMax	Potential	Class	cycle
1.0	2548.32641602	1.0	1.0	1424.6809082	1.0	1.0	18.2600007057	0.0	0.997889995575	-0.0560491830111	-0.032771948725	24.2298496305	2.0063234333	-3.54324483871	66.1055526733	-12.5740499496	0.881658939774	2.0	3.96000003815	20.5000004768	2.0	17.7000007629	-1.0	0.0	1
1.0	3594.97485352	10.0	3.0	3370.07910156	8.0	5.0	22.0600001812	2.03105150867	0.167869850993	-0.765809714794	-0.62076985836	14.7989429189	33.7550357381	-2.54496502876	102.950500488	-24.0278511047	0.657669300843	5.0	1.34000003338	21.2999997139	0.0	14.5600004196	0.974826428118	1.0	1
1.0	3071.85083008	3.0	2.0	1294.20776367	3.0	2.0	53.0400009155	0.0	-0.997899353504	0.0559418089688	0.0326716676354	1.98395045874	30.4798160554	-1.67340505123	73.1054000854	-28.664899826	0.280850703186	6.0	3.96000003815	43.7400012016	6.0	17.7000007629	0.641801522058	1.0	1
1.0	5714.25390625	15.0	3.0	5332.64892578	9.0	3.0	25.0599999428	0.0	0.997891008854	-0.0560498274863	-0.0327409245074	34.5267578955	0.916826956827	-8.89412021637	66.5670471191	2.56239509583	0.0719775171429	3.0	5.55999994278	15.7600002289	3.0	14.9200000763	0.99416245773	1.0	1
1.0	1364.84643555	3.0	1.0	1424.6809082	1.0	1.0	10.240000248	1.52999343696	-0.0723161101341	-0.856398999691	-0.511225104332	3.42541314551	3.29737757597	-0.907806515694	68.78125	-12.32654953	0.142269505302	0.0	0.0	0.0	0.0	0.0	0.363242169638	1.0	1
1.0	4269.70166016	9.0	7.0	4312.70263672	8.0	7.0	164.049601316	0.0	0.0584752112627	0.987315952778	-0.147607147694	1.99369460119	25.0120562141	-17.2581005096	110.332504272	-23.010848999	0.736193213817	13.0	2.0	78.6808010414	10.0	17.7000007629	0.998616531478	1.0	1
1.0	375.512481689	2.0	1.0	1514.41369629	5.0	1.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	9.93999958038	9.22000026703	1.0	9.93999958038	0.94981465774	1.0	1
1.0	2220.89770508	6.0	5.0	4001.14550781	5.0	5.0	92.2565793991	0.0	0.058412566781	0.987343490124	-0.147447600961	14.7989429189	49.2398481365	-2.86439990997	104.983001709	-22.8151493073	0.98784237363	5.0	5.55999994278	36.5400002003	9.0	17.7000007629	0.983935919956	1.0	1
1.0	4525.33544922	8.0	3.0	4541.87939453	6.0	4.0	54.645200491	0.0	-0.0584752112627	-0.987315952778	0.147607147694	0.0	4.28237648765	-17.2581005096	110.332504272	-23.010848999	0.736193213817	11.0	1.34000003338	61.1356004551	7.0	17.7000007629	0.959217004199	1.0	1
1.0	4641.65966797	9.0	6.0	5395.56787109	8.0	6.0	112.589601755	0.0	0.0584752112627	0.987315952778	-0.147607147694	1.99369460119	25.0120562141	-17.2581005096	110.332504272	-23.010848999	0.736193213817	16.0	1.34000003338	75.3683995903	13.0	32.5800018311	0.999825569912	1.0	1
1.0	2150.52490234	2.0	2.0	2715.88964844	1.0	1.0	25.9399995804	0.0	0.104996807873	0.992560505867	0.0616385824978	18.5898904928	3.64089697251	-9.41920471191	61.1031494141	3.61482000351	0.85792019849	2.0	16.6800003052	35.3600006104	0.0	23.0200004578	-1.0	0.0	1
1.0	5817.2578125	15.0	6.0	4866.78955078	8.0	5.0	87.0200004578	0.0	-0.105101414025	-0.992547571659	-0.0616685673594	34.9383298086	2.10282911294	-24.9237499237	104.055496216	-8.53407001495	0.69988095118	12.0	1.0	113.440000534	3.0	5.19999980927	0.999436285012	1.0	1
