valid	volumeS1	connectedComponentsS1	connectedComponentsS1Rel	volumeS2	connectedComponentsS2	connectedComponentsS2Rel	corticalSize	distanceMin	direction_x	direction_y	direction_z	distanceToExtremity1	distanceToExtremity2	gravityCenter_x	gravityCenter_y	gravityCenter_z	corticalDotProduct	junctions	junctionDepthMin	junctionsSize	plisDePassage	plisDePassageDepthMax	Potential	Class	cycle
1.0	1987.03686523	2.0	1.0	424.257995605	1.0	1.0	13.5399999619	3.82314003994	0.220990985632	-0.917426645756	0.33089479804	0.0	1.77433320462	-35.9325485229	21.1560497284	29.8313484192	0.862349008197	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	13483.4023438	19.0	3.0	2032.12207031	4.0	3.0	102.772000313	0.0	0.997892200947	-0.056010324508	-0.0327717587352	29.3027195401	11.051653792	-17.0360984802	5.02869987488	23.9350509644	0.508189356103	7.0	7.0	25.3964000344	3.0	11.6999998093	0.99997546833	1.0	1
1.0	3184.69189453	4.0	1.0	424.257995605	1.0	1.0	13.5399999619	3.82314003994	0.220990985632	-0.917426645756	0.33089479804	0.0	1.77433320462	-35.9325485229	21.1560497284	29.8313484192	0.862349008197	0.0	0.0	0.0	0.0	0.0	0.148934557823	1.0	1
1.0	9687.16015625	18.0	3.0	1644.67236328	6.0	5.0	69.4799995422	0.0	0.0584601834416	0.987306654453	-0.147675305605	1.77758545201	21.8018971995	-42.3526992798	8.68370437622	37.9231987	0.602801963285	8.0	7.0	50.8999997973	3.0	11.8800001144	0.981426966285	1.0	1
1.0	5951.96044922	9.0	3.0	597.710205078	3.0	3.0	87.6199994087	0.0	0.997895598412	-0.0559491701424	-0.0327738188207	33.4181845621	2.0062983607	-17.5396995544	13.9416999817	21.1464500427	0.869936080795	2.0	6.76000022888	14.2600002289	1.0	6.76000022888	0.832658816528	1.0	1
1.0	7074.421875	7.0	0.0	571.07019043	3.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.495124997604	1.0	1
1.0	9011.95996094	9.0	3.0	848.35925293	4.0	4.0	112.080000401	0.0	0.997895598412	-0.0559491701424	-0.0327738188207	33.4181845621	2.0062983607	-17.5396995544	13.9416999817	21.1464500427	0.869936080795	2.0	6.76000022888	14.2600002289	1.0	6.76000022888	0.999061169104	1.0	1
1.0	6534.37402344	9.0	3.0	760.325073242	3.0	3.0	78.2999997139	0.0	0.997895598412	-0.0559491701424	-0.0327738188207	33.4181845621	2.0062983607	-17.5396995544	13.9416999817	21.1464500427	0.869936080795	1.0	6.76000022888	5.26000022888	1.0	6.76000022888	0.984052144866	1.0	1
1.0	7933.73925781	8.0	1.0	584.030029297	3.0	1.0	12.9799995422	3.58146611439	-0.517037093639	-0.85151219368	-0.0871758237481	0.0	4.28866122814	-41.8052978516	-1.198595047	43.8495025635	0.674988856223	0.0	0.0	0.0	0.0	0.0	0.984952379205	1.0	1
1.0	8372.87890625	9.0	3.0	848.35925293	4.0	4.0	112.080000401	0.0	0.997895598412	-0.0559491701424	-0.0327738188207	33.4181845621	2.0062983607	-17.5396995544	13.9416999817	21.1464500427	0.869936080795	2.0	6.76000022888	14.2600002289	1.0	6.76000022888	0.996064614876	1.0	1
