valid	volumeS1	connectedComponentsS1	connectedComponentsS1Rel	volumeS2	connectedComponentsS2	connectedComponentsS2Rel	corticalSize	distanceMin	direction_x	direction_y	direction_z	distanceToExtremity1	distanceToExtremity2	gravityCenter_x	gravityCenter_y	gravityCenter_z	corticalDotProduct	junctions	junctionDepthMin	junctionsSize	plisDePassage	plisDePassageDepthMax	Potential	Class	cycle
1.0	7513.66113281	1.0	0.0	461.186004639	1.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	3.32853558443e-09	0.0	1
1.0	15153.4658203	18.0	4.0	1693.32678223	5.0	4.0	117.719198793	0.0	0.997889995575	-0.0560491904616	-0.0327719524503	63.5771198224	22.5137122019	-1.68191504478	73.8163528442	-30.2675495148	0.940127270455	9.0	1.74000000954	71.5200006962	3.0	13.9799995422	0.998251708046	1.0	1
1.0	18942.7519531	23.0	5.0	1683.6862793	6.0	3.0	148.636798143	0.0	0.99789005518	-0.0560487359762	-0.0327716842294	64.5226130224	24.4595135041	-0.81165099144	71.9510498047	-30.0289497375	0.941277000242	11.0	1.74000000954	75.1556006745	4.0	15.7600002289	0.999989193084	1.0	1
1.0	14557.0195312	26.0	4.0	892.375	4.0	2.0	51.7592001855	0.0	0.99789005518	-0.0560487359762	-0.0327716842294	64.5226130224	13.1749903657	-0.81165099144	71.9510498047	-30.0289497375	0.941277000242	8.0	3.92000007629	71.620800145	6.0	15.7600002289	0.999803899465	1.0	1
1.0	7376.34570312	5.0	1.0	1257.67297363	2.0	1.0	3.87319993973	0.0	0.76548576355	0.631337106228	-0.124277643859	28.8233218572	1.7743197714	-25.987449646	88.5039978027	-50.9096984863	0.418880520559	2.0	27.8400001526	55.5400009155	0.0	28.8600006104	0.562716176723	1.0	1
1.0	4441.89355469	8.0	4.0	2560.86767578	5.0	4.0	50.7931995392	0.0	-0.0584406927228	-0.987322866917	0.14757438004	58.2674456806	28.7478532227	-4.28244018555	48.4288024902	-44.4084510803	0.355751007354	2.0	13.1999998093	38.4800004959	1.0	13.1999998093	0.987543814717	1.0	1
1.0	7513.66113281	1.0	1.0	738.537963867	2.0	1.0	18.0	3.3848042252	0.231957986951	0.50418305397	0.831862330437	33.5351477746	5.82511589361	-2.80012512207	87.8946990967	-46.5275993347	0.0696413402259	0.0	0.0	0.0	0.0	0.0	0.127396011197	1.0	1
1.0	15108.8310547	9.0	5.0	1165.31860352	3.0	3.0	137.293198109	0.0	-0.997893869877	0.0560421980917	0.0326672643423	29.1613515702	16.6124455374	-2.54110002518	80.1417541504	-38.6548995972	0.214546506976	1.0	13.9799995422	14.4600000381	0.0	13.9799995422	0.999875431848	1.0	1
1.0	7685.56054688	6.0	0.0	277.351989746	1.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	3.32853558443e-09	1.0	1
1.0	3909.4987793	2.0	1.0	995.132446289	2.0	1.0	5.59999990463	3.73060321665	0.759611189365	-0.0405968874693	-0.649109184742	31.3238438273	6.62647442584	-24.9167003632	82.4223022461	-47.2381515503	0.180239982301	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	18600.1328125	15.0	8.0	3278.00683594	7.0	7.0	188.893199682	0.0	0.995599925518	-0.0935385450721	0.00560050318018	48.1584915018	9.21122406128	-27.9846000671	57.6465530396	-66.1071472168	0.699702016524	14.0	3.55999994278	144.239999533	7.0	19.9799995422	0.999999999997	1.0	1
1.0	2772.25756836	4.0	2.0	700.226013184	1.0	1.0	29.779999733	0.0	-0.104947015643	-0.99256581068	-0.0616377145052	34.394971199	1.9857737084	-17.7594985962	79.6470489502	-55.5333023071	0.163337511174	1.0	10.8000001907	9.80000019073	0.0	10.8000001907	0.312215215938	1.0	1
1.0	19569.0585938	14.0	7.0	3211.51855469	6.0	6.0	196.286399536	0.0	0.656265795231	-0.753549993038	-0.0384398251772	53.9828799922	2.10333055927	-8.64781951904	91.6962432861	-32.8118515015	0.561930563794	12.0	1.0	117.39999938	6.0	19.9799995422	0.999999999999	1.0	1
1.0	2292.55175781	5.0	2.0	892.00201416	2.0	2.0	35.4999995232	0.0	-0.104947015643	-0.99256581068	-0.0616377145052	35.0421581862	1.9857737084	-17.7594985962	79.6470489502	-55.5333023071	0.163337511174	1.0	10.8000001907	9.80000019073	0.0	10.8000001907	0.687790473964	1.0	1
1.0	5578.3984375	9.0	4.0	476.301025391	2.0	2.0	55.6296004578	0.0	0.995600759983	-0.0935350880027	0.00550994835794	45.8262562137	2.06079060539	-7.12442016602	86.0786514282	-33.1368026733	0.160532833363	3.0	11.3199996948	38.4599990845	1.0	15.279999733	0.994981972591	1.0	1
1.0	6213.20654297	5.0	1.0	1163.32397461	2.0	2.0	36.9800000191	2.3049772436	0.0948082059622	0.911662220955	0.399854272604	53.1597343354	30.0318980496	-2.24733495712	67.1636047363	-33.3218994141	0.895452185192	0.0	0.0	0.0	0.0	0.0	0.655238585896	1.0	1
1.0	12572.2636719	9.0	3.0	1644.83190918	2.0	2.0	42.560000658	0.0	-0.104987487197	-0.992567718029	-0.0615381784737	62.0197537282	1.9858670935	-5.06278991699	59.5420532227	-56.6145477295	0.507465703421	3.0	13.8599996567	44.0	1.0	15.279999733	0.999999405859	1.0	1
1.0	4915.55908203	7.0	1.0	96.7156982422	1.0	1.0	20.3799996376	2.20487192573	-0.272765308619	-0.553302407265	-0.787055015564	35.8626417878	0.0	-10.1741695404	76.1194458008	-59.3100509644	0.420913980408	0.0	0.0	0.0	0.0	0.0	0.781065061462	1.0	1
1.0	12567.9072266	7.0	5.0	771.103088379	3.0	3.0	75.7799994946	0.0	0.10499676317	0.99256080389	0.0616335980594	61.5819910785	18.2142723579	-4.77110958099	63.8573989868	-21.6973991394	0.29867457603	2.0	13.8599996567	29.3400001526	0.0	15.1199998856	0.999998636672	1.0	1
1.0	4971.23144531	1.0	1.0	1221.00415039	2.0	2.0	30.960000515	2.93375190075	0.357144922018	-0.93244177103	-0.0547707788646	2.09473223275	17.1722769964	-6.40553998947	74.9654006958	-64.4757995605	0.288537599807	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	15569.9462891	19.0	3.0	2214.96972656	4.0	3.0	41.0551995039	0.0	0.0334302186966	0.984703540802	-0.171000882983	71.6315109199	18.7536141584	-8.43810462952	90.7499008179	-44.5426025391	0.187425903654	7.0	8.15999984741	114.359999895	2.0	24.5799999237	0.999999981944	1.0	1
1.0	11190.1269531	10.0	2.0	1661.55310059	4.0	3.0	76.1399989128	0.0	-0.0334272794425	-0.984706878662	0.170982390642	57.0048398606	33.9943898672	-3.29473495483	75.9307556152	-38.4398002625	0.903387507543	1.0	4.48000001907	4.61999988556	1.0	4.48000001907	0.974859420265	1.0	1
