valid	volumeS1	connectedComponentsS1	connectedComponentsS1Rel	volumeS2	connectedComponentsS2	connectedComponentsS2Rel	corticalSize	distanceMin	direction_x	direction_y	direction_z	distanceToExtremity1	distanceToExtremity2	gravityCenter_x	gravityCenter_y	gravityCenter_z	corticalDotProduct	junctions	junctionDepthMin	junctionsSize	plisDePassage	plisDePassageDepthMax	Potential	Class	cycle
1.0	35.510799408	1.0	0.0	4289.26513672	5.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	3.36603671841e-12	0.0	1
1.0	1964.4921875	5.0	2.0	841.328979492	5.0	3.0	28.5399999619	0.0	0.0584622509778	0.987305104733	-0.147684693336	1.48139813143	26.3065295639	-32.3339996338	78.3934020996	-59.6512985229	0.267270887917	1.0	21.9200000763	9.07999992371	1.0	23.9200000763	0.995672596253	1.0	1
1.0	1110.29931641	4.0	1.0	9854.47949219	17.0	1.0	9.47999954224	0.0	0.997895658016	-0.0559471212327	-0.0327737592161	1.48140942795	2.0063465451	-71.4853973389	58.5804977417	-32.65284729	0.238498398305	1.0	16.8400001526	16.2600002289	0.0	16.8400001526	0.321248441143	1.0	1
1.0	460.506988525	1.0	1.0	9329.81054688	13.0	1.0	9.03999996185	3.65349142229	0.0720784068108	0.833335697651	0.548047721386	3.4759890419	39.440789535	-62.0886497498	67.6263504028	-47.8552513123	0.725388112558	0.0	0.0	0.0	0.0	0.0	0.047541086591	1.0	1
1.0	496.017791748	2.0	2.0	5771.88867188	11.0	1.0	21.8599996567	2.49481665188	-0.615464448929	-0.161968111992	0.771342873573	4.2927957663	40.3804490726	-58.6612472534	74.5424499512	-46.7654495239	0.289304671968	0.0	0.0	0.0	0.0	0.0	0.0912395509146	1.0	1
1.0	928.593811035	2.0	2.0	16134.4775391	17.0	3.0	28.1000003815	0.0	-0.105048105121	-0.992555141449	-0.0616372898221	7.0145285552	63.7644703199	-71.0286560059	38.1493530273	-22.1863994598	0.879863756281	3.0	9.56000041962	39.2399997711	2.0	9.56000041962	0.45768956804	1.0	1
1.0	1044.19848633	4.0	3.0	9313.68652344	17.0	3.0	45.5799999237	0.0	0.995591282845	-0.0936355441809	0.0055098910816	4.17278286262	23.0361196827	-36.4724998474	78.4032974243	-44.8776016235	0.384814032465	3.0	9.56000041962	40.8599996567	2.0	15.1599998474	0.964761758357	1.0	1
1.0	934.332885742	5.0	4.0	18776.4257812	15.0	3.0	60.7400021553	0.0	0.999345302582	-0.0346959941089	-0.010254336521	21.8704909177	48.1422569176	-51.1707496643	73.8626556396	-49.9748497009	0.791248126962	3.0	4.57999992371	39.2399992943	1.0	19.1000003815	0.673642749928	1.0	1
1.0	541.77947998	4.0	4.0	3543.81103516	6.0	3.0	10.3400001526	0.0	0.99934732914	-0.0346106700599	-0.010345431976	3.06972096004	44.0148777343	-59.7439002991	76.7703018188	-21.368598938	0.750317617868	3.0	5.53999996185	30.6199998856	3.0	19.1000003815	0.974196357017	1.0	1
1.0	142.167999268	1.0	1.0	2765.5793457	4.0	2.0	16.6599998474	0.0	0.99934732914	-0.0346106663346	-0.0103471335024	4.35931210937	45.9689698048	-49.4650993347	85.5039978027	-33.9119033813	0.290755279537	1.0	7.42000007629	9.0	0.0	7.42000007629	0.300267976411	1.0	1
