valid	volumeS1	connectedComponentsS1	connectedComponentsS1Rel	volumeS2	connectedComponentsS2	connectedComponentsS2Rel	corticalSize	distanceMin	direction_x	direction_y	direction_z	distanceToExtremity1	distanceToExtremity2	gravityCenter_x	gravityCenter_y	gravityCenter_z	corticalDotProduct	junctions	junctionDepthMin	junctionsSize	plisDePassage	plisDePassageDepthMax	Potential	Class	cycle
1.0	35.510799408	1.0	1.0	2101.53295898	1.0	1.0	14.4600000381	2.77014075972	0.566484153271	0.822490215302	0.0510449185967	0.0	7.19552260297	-50.5469017029	79.0823516846	-47.7663497925	0.12726736225	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	1697.82946777	6.0	5.0	5995.16259766	8.0	4.0	70.0999999046	0.0	-0.0584622509778	-0.987305104733	0.147684693336	15.0504981689	2.544352212	-32.3339996338	78.3934020996	-59.6512985229	0.267270887917	2.0	14.8000001907	24.4399995804	1.0	23.9200000763	0.587209926421	1.0	1
1.0	35.510799408	1.0	0.0	1479.17211914	2.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.432768960305	1.0	1
1.0	606.150085449	2.0	2.0	4731.50634766	7.0	3.0	32.2600002289	0.0	0.104935511947	0.992567420006	0.0616320855916	2.10282608953	22.9272154959	-38.1838989258	77.1568984985	-46.7965011597	0.254910142868	3.0	2.0	16.9999995232	3.0	9.56000041962	0.364724193252	1.0	1
1.0	237.370407104	2.0	1.0	1582.42614746	4.0	1.0	6.96000003815	3.17145073219	0.556344687939	-0.727956295013	-0.400699645281	1.45602042375	5.90947492475	-52.8041000366	69.3159484863	-41.9677505493	0.921730274242	0.0	0.0	0.0	0.0	0.0	0.96566303344	1.0	1
1.0	521.994689941	2.0	2.0	7227.45068359	7.0	2.0	32.3799991608	0.0	0.99934732914	-0.0346106700599	-0.010345431976	5.02472820341	41.128567421	-59.7439002991	76.7703018188	-21.368598938	0.750317617868	6.0	3.16000008583	61.1800009012	4.0	19.1000003815	0.488383427741	1.0	1
1.0	396.532501221	3.0	2.0	3215.80517578	4.0	2.0	5.57999992371	0.0	0.99934732914	-0.0346106700599	-0.010345431976	3.06972096004	31.3406441732	-59.7439002991	76.7703018188	-21.368598938	0.750317617868	2.0	5.53999996185	17.8400001526	1.0	5.53999996185	0.276092438022	1.0	1
1.0	1616.7199707	1.0	1.0	847.031311035	4.0	1.0	3.20000004768	3.70077014847	0.669667065144	0.547081589699	-0.502242743969	24.560260157	18.9195740232	-57.3712997437	71.560043335	-44.9485015869	0.619278255649	0.0	0.0	0.0	0.0	0.0	0.0329470718401	1.0	1
1.0	1745.94116211	3.0	3.0	1788.8737793	5.0	2.0	24.0599992275	2.40463509803	-0.0278261750937	-0.530790627003	-0.847046077251	8.91500990076	4.21328412242	-40.3119506836	80.6571960449	-54.0442504883	0.500299072604	1.0	18.2000007629	11.9200000763	0.0	18.2000007629	0.0461098818174	1.0	1
1.0	1204.86425781	1.0	1.0	1254.98266602	1.0	1.0	17.2800002098	2.74280334687	0.466901898384	0.824140429497	0.320616811514	4.57936131157	1.01755856855	-56.6027526855	74.7805023193	-35.1708984375	0.814758228182	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	1359.86010742	2.0	1.0	7626.34033203	6.0	3.0	59.0399999619	2.21464222794	0.511727511883	0.784350633621	-0.350612401962	19.8929140016	0.0	-46.1811981201	65.3593521118	-57.4670028687	0.746672314163	0.0	0.0	0.0	0.0	0.0	0.339316414738	1.0	1
1.0	450.756225586	1.0	1.0	327.415985107	1.0	1.0	3.59999990463	3.78730780488	-0.527117013931	-0.26836180687	0.806306123734	2.31878431558	9.58591292639	-62.4966011047	67.0905456543	-26.0055999756	0.169611606272	0.0	0.0	0.0	0.0	0.0	0.141428569096	1.0	1
1.0	1204.86425781	1.0	1.0	3337.64770508	4.0	2.0	41.759999752	2.21464222794	0.511727511883	0.784350633621	-0.350612401962	3.52556108009	32.0763950131	-46.1811981201	65.3593521118	-57.4670028687	0.746672314163	0.0	0.0	0.0	0.0	0.0	0.487378881447	1.0	1
1.0	1081.52392578	2.0	2.0	1867.21191406	3.0	3.0	37.7999997139	0.0	-0.998022794724	0.0332757756114	-0.0533217899501	14.1075201909	3.22449400816	-51.6896514893	68.4705505371	-47.2484512329	0.845685468529	4.0	6.13999986649	53.3999996185	1.0	6.13999986649	0.32051951638	1.0	1
1.0	602.236999512	1.0	1.0	858.664001465	1.0	1.0	13.8599996567	0.0	0.99493509531	0.0	-0.100519500673	2.70769441408	3.86466160852	-63.1314506531	63.0271987915	-15.3552494049	0.195036580308	3.0	7.01999998093	26.9999997616	1.0	7.01999998093	-1.0	0.0	1
1.0	2417.14428711	5.0	4.0	6720.47119141	8.0	6.0	112.020399762	0.0	0.994935870171	0.0	-0.100511498749	21.3215454532	1.12117599897	-48.3471984863	57.0171012878	-55.7938499451	0.312161268257	10.0	3.05999994278	101.299999714	5.0	13.220000267	0.974596210589	1.0	1
1.0	1269.3885498	5.0	2.0	4331.44091797	6.0	3.0	19.6004004013	0.0	0.99493509531	0.0	-0.100519500673	3.34860664817	38.5155442456	-63.1314506531	63.0271987915	-15.3552494049	0.0563631425423	4.0	7.01999998093	39.8199994564	1.0	7.01999998093	0.0968149533755	1.0	1
1.0	4018.68554688	7.0	5.0	3788.07275391	7.0	4.0	103.860398484	0.0	0.994936048985	0.0	-0.100509814918	19.5183031264	25.901692125	-63.1356010437	60.4724006653	-25.7865486145	0.602093163985	9.0	5.80000019073	112.719998121	4.0	15.0200004578	0.967086605803	1.0	1
1.0	602.236999512	1.0	1.0	796.445983887	1.0	1.0	9.47999954224	1.00814683677	-0.00610299082473	0.998390734196	-0.0563794746995	2.14241054906	2.03267467237	-62.5830001831	64.5492553711	-15.4975500107	0.412297874573	2.0	7.01999998093	16.7599999905	1.0	7.01999998093	0.045671306581	1.0	1
1.0	1138.64782715	3.0	1.0	1573.4630127	2.0	2.0	30.1400003433	0.0	0.994936048985	0.0	-0.100509814918	27.965352073	21.5901328209	-63.1356010437	60.4724006653	-25.7865486145	0.602093163985	1.0	14.720000267	16.5799999237	0.0	14.720000267	0.971243013508	1.0	1
1.0	1824.66003418	2.0	1.0	200.040802002	2.0	2.0	17.7004000675	0.0	0.99493509531	0.0	-0.100519500673	3.34860664817	0.0	-63.1314506531	63.0271987915	-15.3552494049	0.0563631425423	3.0	3.3599998951	28.1399996281	1.0	15.0200004578	0.370046461759	1.0	1
1.0	1138.58190918	3.0	3.0	997.549804688	4.0	4.0	44.0803994667	0.0	-0.99493509531	0.0	0.100519500673	1.88028130323	21.9830209785	-63.1314506531	63.0271987915	-15.3552494049	0.0563631425423	4.0	5.57999992371	42.3599991798	1.0	5.57999992371	0.964792186432	1.0	1
1.0	602.236999512	1.0	1.0	3309.67700195	5.0	5.0	82.0199987888	0.0	0.99493509531	0.0	-0.100519500673	2.70769441408	18.310182901	-63.1314506531	63.0271987915	-15.3552494049	0.195036580308	3.0	7.01999998093	26.9999997616	1.0	7.01999998093	0.512102797702	1.0	1
1.0	292.156005859	1.0	1.0	1129.74694824	1.0	1.0	21.2000007629	1.31983708959	0.0156135484576	0.786454200745	0.617451250553	4.70232301377	0.0	-54.4271011353	87.1562957764	-30.3999004364	0.741809867766	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	1538.84204102	4.0	3.0	3734.59936523	5.0	2.0	48.2607988566	0.0	-0.0429139919579	-0.985951066017	0.161427557468	24.5620424213	1.28316803102	-29.004699707	83.8325500488	-54.698348999	0.160633448758	3.0	2.96000003815	23.2199995518	2.0	5.17999982834	0.997782245599	1.0	1
1.0	585.558898926	5.0	3.0	2521.35742188	7.0	3.0	13.8040003777	0.0	-0.998985350132	0.0365989468992	-0.0262444522232	36.743529426	3.06021966254	-55.5615501404	57.1707992554	-57.3494491577	0.768060805051	2.0	12.6800003052	36.8155994415	0.0	24.1200008392	0.287722896647	1.0	1
1.0	1698.29101562	4.0	4.0	9126.09765625	12.0	6.0	168.143999577	0.0	-0.0429139919579	-0.985951066017	0.161427557468	1.79001345464	18.7377782424	-29.004699707	83.8325500488	-54.698348999	0.160633448758	12.0	4.71999979019	137.340000629	8.0	23.1599998474	0.992674062667	1.0	1
1.0	1024.48193359	1.0	1.0	6420.92431641	6.0	4.0	83.1000001431	0.0	0.998985528946	-0.0365959256887	0.0262422859669	15.4106617127	24.4025038147	-44.9831008911	85.2068939209	-37.040851593	0.478584587956	3.0	4.71999979019	32.0800008774	1.0	4.71999979019	0.627277357496	1.0	1
1.0	463.981018066	1.0	1.0	6981.42529297	6.0	3.0	57.3800003529	0.0	-0.042916148901	-0.985964119434	0.161347195506	1.73387041169	23.6878181159	-44.4138031006	83.2213516235	-38.0029983521	0.958148708961	3.0	7.67999982834	35.0400009155	2.0	18.9400005341	0.540826113483	1.0	1
1.0	852.656982422	1.0	1.0	1501.42504883	2.0	2.0	31.1600008011	0.0	0.042916148901	0.985964119434	-0.161347195506	17.1365765112	1.73387041169	-44.4138031006	83.2213516235	-38.0029983521	0.958148708961	3.0	4.71999979019	32.1600008011	2.0	18.9400005341	0.0918546009933	1.0	1
1.0	1374.11999512	1.0	1.0	875.078491211	1.0	1.0	29.2400007248	2.47244411239	0.525793910027	0.730586230755	0.435642689466	0.0	12.6301835822	-54.2041015625	73.9508514404	-39.6505508423	0.550518839053	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	4294.09863281	6.0	6.0	5456.92871094	10.0	4.0	125.040799286	0.0	0.999825835228	0.0	0.0186640024185	2.63803162755	43.0608972626	-54.853099823	70.632598877	-5.80326461792	0.0445389020897	11.0	6.71999979019	128.713600397	3.0	24.7800006866	0.94698764957	1.0	1
1.0	3699.81787109	7.0	5.0	4446.91845703	13.0	6.0	64.803599596	0.0	0.999824345112	0.0	0.018742389977	1.49147090688	9.75668988599	-25.6335506439	80.5149002075	-53.8225021362	0.984773035475	11.0	3.0	137.899999142	4.0	24.7800006866	0.964913631043	1.0	1
1.0	2066.10302734	1.0	1.0	875.078491211	1.0	1.0	29.2400007248	2.47244411239	0.525793910027	0.730586230755	0.435642689466	0.0	12.6301835822	-54.2041015625	73.9508514404	-39.6505508423	0.550518839053	0.0	0.0	0.0	0.0	0.0	0.220442343443	1.0	1
1.0	2447.70214844	1.0	1.0	913.753479004	2.0	2.0	40.8600006104	2.47244411239	0.525793910027	0.730586230755	0.435642689466	14.7098040391	21.6789424792	-54.2041015625	73.9508514404	-39.6505508423	0.550518839053	0.0	0.0	0.0	0.0	0.0	0.241243043144	1.0	1
