valid	volumeS1	connectedComponentsS1	connectedComponentsS1Rel	volumeS2	connectedComponentsS2	connectedComponentsS2Rel	corticalSize	distanceMin	direction_x	direction_y	direction_z	distanceToExtremity1	distanceToExtremity2	gravityCenter_x	gravityCenter_y	gravityCenter_z	corticalDotProduct	junctions	junctionDepthMin	junctionsSize	plisDePassage	plisDePassageDepthMax	Potential	Class	cycle
1.0	43.3689002991	1.0	0.0	434.518096924	2.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	8.47406864217e-13	1.0	1
1.0	24.044500351	1.0	1.0	1021.4630127	3.0	1.0	19.5799999237	1.95024610825	-0.313351750374	-0.937594413757	0.150756210089	0.0	21.1184365224	-3.60524988174	16.4188499451	-65.2023010254	0.237260857146	0.0	0.0	0.0	0.0	0.0	0.141769587431	1.0	1
1.0	24.044500351	1.0	1.0	1021.4630127	3.0	1.0	19.5799999237	1.95024610825	-0.313351750374	-0.937594413757	0.150756210089	0.0	21.1184365224	-3.60524988174	16.4188499451	-65.2023010254	0.237260857146	0.0	0.0	0.0	0.0	0.0	0.141769587431	1.0	1
1.0	410.127990723	3.0	1.0	668.198791504	3.0	1.0	29.7999992371	3.16187608317	-0.209145590663	-0.975930035114	-0.0617956072092	24.0756260045	20.2442703646	-10.2532405853	34.5968017578	-78.25340271	0.211939366376	0.0	0.0	0.0	0.0	0.0	0.300268323487	1.0	1
1.0	1763.93994141	3.0	2.0	2575.25390625	5.0	2.0	60.4599993229	0.0	-0.104996815324	-0.992560565472	-0.0616376250982	22.5109855195	23.0075186402	-4.96440505981	40.5356521606	-55.9471969604	0.178524909156	1.0	3.55999994278	3.75999999046	1.0	3.55999994278	0.969446128097	1.0	1
1.0	238.397003174	1.0	1.0	2629.3828125	5.0	2.0	58.7799987793	3.16187608317	-0.209145590663	-0.975930035114	-0.0617956072092	2.23658263811	28.4437510266	-10.2532405853	34.5968017578	-78.25340271	0.211939366376	0.0	0.0	0.0	0.0	0.0	0.586532446912	1.0	1
1.0	238.397003174	1.0	1.0	2629.3828125	5.0	2.0	58.7799987793	3.16187608317	-0.209145590663	-0.975930035114	-0.0617956072092	2.23658263811	28.4437510266	-10.2532405853	34.5968017578	-78.25340271	0.211939366376	0.0	0.0	0.0	0.0	0.0	0.586532446912	1.0	1
1.0	841.510009766	2.0	0.0	406.133392334	2.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	8.47406864217e-13	1.0	1
1.0	168.102996826	1.0	1.0	689.920043945	1.0	1.0	13.8599996567	0.0	0.0461944006383	0.993749499321	-0.101626932621	2.71919190463	0.0	-17.4827003479	23.3088493347	-76.8802032471	0.613870140968	1.0	10.4200000763	10.3599996567	0.0	10.4200000763	0.182502798033	1.0	1
1.0	168.102996826	1.0	1.0	120.400001526	1.0	1.0	15.279999733	3.62204358792	0.824944317341	-0.472284704447	0.310506135225	2.1049149063	1.82333110007	-4.9444937706	26.4358997345	-76.581199646	0.172681376515	0.0	0.0	0.0	0.0	0.0	0.187595698276	1.0	1
1.0	126.040000916	1.0	0.0	538.744995117	1.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	8.47406864217e-13	0.0	1
1.0	260.273010254	2.0	1.0	462.52947998	2.0	1.0	15.0399999619	3.69044713069	-0.839645683765	-0.53255957365	-0.106655739248	0.0	0.0	-13.5378198624	28.3618011475	-72.7848052979	0.0903293756771	0.0	0.0	0.0	0.0	0.0	0.17527090264	1.0	1
1.0	619.054992676	4.0	0.0	98.6175994873	1.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	8.47406864217e-13	1.0	1
1.0	386.313018799	3.0	3.0	1268.46044922	4.0	3.0	46.8200006485	3.10588637129	-0.0393374972045	0.931155741215	-0.362493515015	16.8405406107	19.3625227315	-8.00977516174	36.479598999	-73.8069000244	0.0412706439692	0.0	0.0	0.0	0.0	0.0	0.481999699085	1.0	1
1.0	2393.03662109	1.0	1.0	3030.19702148	5.0	2.0	39.1199989319	0.0	0.998985469341	-0.0365974083543	0.0262433495373	12.03412573	1.24601417472	-2.74171495438	35.3194999695	-59.1879501343	0.0791068719422	2.0	16.5	35.2399997711	1.0	9.02000045776	0.792847636853	1.0	1
1.0	727.752990723	2.0	1.0	821.075012207	2.0	1.0	1.27999997139	3.92916023251	-0.38574552536	-0.116670966148	-0.915198504925	13.3533919345	1.7419974895	-4.30658531189	15.7239990234	-77.4523468018	0.108216070301	0.0	0.0	0.0	0.0	0.0	0.0131584404367	1.0	1
1.0	293.804992676	1.0	1.0	1604.06494141	4.0	2.0	20.9999995232	0.0	0.998985469341	-0.0365966446698	0.0262433495373	0.0	24.8076073172	-3.59783506393	13.4267997742	-59.5035514832	0.104210021992	1.0	7.78000020981	6.96000003815	0.0	7.78000020981	0.226299205096	1.0	1
1.0	321.731994629	1.0	1.0	1114.88000488	3.0	1.0	3.59999990463	2.22829083739	0.209094688296	-0.964230000973	0.162910833955	4.00819514676	1.78713621827	-1.67625999451	31.9018497467	-57.3034515381	0.494887571183	0.0	0.0	0.0	0.0	0.0	0.0328860861443	1.0	1
1.0	61.910900116	1.0	0.0	270.884002686	1.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	8.47406864217e-13	0.0	1
1.0	2792.33886719	3.0	2.0	4142.19433594	6.0	2.0	24.0788000822	0.0	-0.999825954437	0.0	-0.0186565238982	12.8155267822	1.49155251444	-16.5472984314	51.9814987183	-73.5838470459	0.572456083954	2.0	6.71999979019	13.8599996567	2.0	8.85999965668	0.733395586683	1.0	1
1.0	1454.6809082	2.0	0.0	1228.98803711	3.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	8.47406864217e-13	1.0	1
1.0	1454.6809082	2.0	0.0	143.996002197	1.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	8.47406864217e-13	1.0	1
1.0	61.910900116	1.0	1.0	1613.90539551	5.0	2.0	20.1199994087	3.03216916336	-0.240326225758	-0.952768743038	0.185674533248	3.59684113632	7.16500219484	3.41842508316	32.7924003601	-64.7219543457	0.944126048192	0.0	0.0	0.0	0.0	0.0	0.135393951071	1.0	1
1.0	126.970001221	1.0	1.0	549.066711426	2.0	1.0	22.7199993134	2.71506171141	-0.400580883026	0.771507501602	-0.494278371334	2.04885264763	5.84633301782	-2.11100101471	34.9763031006	-77.4100036621	0.0132037227168	0.0	0.0	0.0	0.0	0.0	0.105079661378	1.0	1
1.0	126.970001221	1.0	1.0	1184.00463867	4.0	2.0	27.3199996948	3.3831641739	-0.0265226922929	-0.970083236694	0.241319522262	2.39767317081	21.7325820003	0.262351989746	24.5621986389	-73.5785522461	0.820139066475	0.0	0.0	0.0	0.0	0.0	0.239172767055	1.0	1
1.0	703.064575195	3.0	3.0	1052.12976074	4.0	2.0	26.8600006104	0.0	0.982108712196	-0.129120334983	-0.137077942491	14.9208420975	1.79020558291	-4.61926460266	50.0227012634	-50.3673019409	0.951798030423	2.0	7.51999998093	15.4400000572	0.0	9.31999969482	0.587684007152	1.0	1
1.0	49.3254013062	1.0	1.0	538.897338867	2.0	1.0	4.5	3.43317640804	-0.78427195549	-0.10250505805	-0.611890733242	4.4696383147	21.6236281395	-13.3957948685	22.4084014893	-71.5314025879	0.348632603711	0.0	0.0	0.0	0.0	0.0	0.240829507843	1.0	1
1.0	388.787994385	1.0	1.0	842.012390137	4.0	2.0	49.2600002289	2.25977427647	-0.0849636569619	-0.953443825245	0.28935444355	14.6286487861	24.196514906	-7.67437505722	31.0648002625	-67.3702011108	0.152911734197	0.0	0.0	0.0	0.0	0.0	0.673403124083	1.0	1
1.0	438.11340332	2.0	2.0	1028.1673584	3.0	2.0	51.4199991226	2.68692950914	-0.0526168718934	0.962136983871	-0.267439424992	8.28517243672	15.5771179538	-8.95717430115	37.2723007202	-79.6609039307	0.205113834301	0.0	0.0	0.0	0.0	0.0	0.532867329046	1.0	1
1.0	268.443817139	2.0	1.0	2838.86523438	5.0	1.0	6.26000022888	4.73393081243	-0.92566049099	-0.37824422121	-0.00916101317853	7.31159232545	0.0	-15.2568206787	58.5702514648	-73.4537506104	0.231530716709	0.0	0.0	0.0	0.0	0.0	0.0619565404853	1.0	1
1.0	239.514007568	1.0	1.0	1307.0489502	1.0	1.0	23.0200004578	2.69972774051	-0.0412269420922	-0.994548380375	0.0957801938057	2.30667025939	0.0	-0.0245019942522	23.1008987427	-76.1728515625	0.00763977329962	0.0	0.0	0.0	0.0	0.0	0.175412901871	1.0	1
1.0	239.514007568	1.0	1.0	1307.0489502	1.0	1.0	23.0200004578	2.69972774051	-0.0412269420922	-0.994548380375	0.0957801938057	2.30667025939	0.0	-0.0245019942522	23.1008987427	-76.1728515625	0.00763977329962	0.0	0.0	0.0	0.0	0.0	0.175412901871	1.0	1
1.0	239.514007568	1.0	1.0	1380.76208496	2.0	2.0	33.3000001907	2.69972774051	-0.0412269420922	-0.994548380375	0.0957801938057	2.30667025939	15.4554627861	-0.0245019942522	23.1008987427	-76.1728515625	0.00763977329962	0.0	0.0	0.0	0.0	0.0	0.175412901871	1.0	1
1.0	88.3001022339	1.0	0.0	110.830001831	1.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	8.47406864217e-13	0.0	1
1.0	216.0	1.0	0.0	424.732116699	2.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	8.47406864217e-13	1.0	1
1.0	575.366027832	1.0	1.0	2391.30908203	7.0	2.0	30.3400001526	1.40353839961	-0.47761246562	-0.676987528801	-0.559976994991	5.81519147635	0.0	-7.71895503998	51.1079025269	-63.1969528198	0.121863278846	0.0	0.0	0.0	0.0	0.0	0.2137427382	1.0	1
1.0	88.3001022339	1.0	1.0	2548.71289062	5.0	3.0	41.6000003815	1.40353839961	0.47761246562	0.676987528801	0.559976994991	0.0	5.81519147635	-7.71895503998	51.1079025269	-63.1969528198	0.121863278846	0.0	0.0	0.0	0.0	0.0	0.432318406489	1.0	1
1.0	663.666137695	2.0	1.0	1180.04394531	4.0	1.0	15.6000003815	3.32025605995	0.207409784198	-0.941933691502	0.264087319374	18.6023016007	7.03573792565	-5.5910949707	30.5722503662	-64.0430526733	0.290373962443	0.0	0.0	0.0	0.0	0.0	0.262234121117	1.0	1
1.0	41.3398017883	1.0	1.0	352.984985352	1.0	1.0	4.80000019073	3.99751168579	-0.287799358368	-0.172802522779	-0.94197177887	2.92831993259	1.82140824477	-9.63957023621	25.4919013977	-67.2845993042	0.1039803696	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	41.3398017883	1.0	1.0	607.42199707	2.0	2.0	19.3400001526	0.0	0.0130708143115	-0.976933121681	0.213145017624	0.0	2.0162095146	-6.38282489777	23.699798584	-59.1352005005	0.228920221973	1.0	2.74000000954	2.03999996185	1.0	2.74000000954	0.11296827119	1.0	1
1.0	41.3398017883	1.0	1.0	607.42199707	2.0	2.0	19.3400001526	0.0	0.0130708143115	-0.976933121681	0.213145017624	0.0	2.0162095146	-6.38282489777	23.699798584	-59.1352005005	0.228920221973	1.0	2.74000000954	2.03999996185	1.0	2.74000000954	0.11296827119	1.0	1
1.0	40.4936981201	1.0	0.0	177.087997437	1.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	8.47406864217e-13	0.0	1
1.0	495.700500488	4.0	1.0	547.482971191	2.0	1.0	9.69999980927	3.72888725271	-0.298176914454	-0.663566291332	-0.686127066612	33.9969428896	2.21200082689	-7.02451992035	25.267999649	-76.5843505859	0.353269870774	0.0	0.0	0.0	0.0	0.0	0.0368972927713	1.0	1
1.0	40.4936981201	1.0	1.0	2150.06494141	4.0	2.0	26.4800004959	1.02414841749	-0.00918030366302	0.994013786316	-0.1088681072	0.0	10.3965101908	-2.82544517517	47.1804504395	-59.8235015869	0.30778553912	0.0	0.0	0.0	0.0	0.0	0.23294812318	1.0	1
1.0	911.708740234	2.0	0.0	343.565002441	2.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	8.47406864217e-13	1.0	1
1.0	993.059020996	2.0	2.0	660.627685547	3.0	2.0	36.1800003052	1.02414841749	0.00918030366302	-0.994013786316	0.1088681072	10.3965101908	0.0	-2.82544517517	47.1804504395	-59.8235015869	0.30778553912	0.0	0.0	0.0	0.0	0.0	0.685001275609	1.0	1
1.0	493.289367676	1.0	0.0	2733.22900391	5.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	8.47406864217e-13	1.0	1
1.0	243.063995361	1.0	1.0	348.880889893	1.0	1.0	6.82000017166	3.59906939028	-0.429431319237	-0.0509293079376	-0.901662349701	0.0	1.7017698843	-4.40381526947	35.2949523926	-75.360244751	0.38755732284	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	286.479705811	2.0	1.0	2128.23681641	5.0	2.0	34.5000004768	2.57662180224	0.110272906721	-0.962810635567	-0.246648654342	13.2760792193	38.9372495181	-0.091728001833	31.8705501556	-57.1261520386	0.929037524444	0.0	0.0	0.0	0.0	0.0	0.238503258113	1.0	1
1.0	329.182983398	2.0	2.0	651.130737305	2.0	2.0	34.300000906	0.0	-0.993543684483	-0.11341714114	-0.00275788432918	1.12592237021	10.9544251304	-1.26801347733	17.6782493591	-73.6417541504	0.60032892328	1.0	6.07999992371	4.98000001907	0.0	6.07999992371	0.416506654479	1.0	1
