valid	volumeS1	connectedComponentsS1	connectedComponentsS1Rel	volumeS2	connectedComponentsS2	connectedComponentsS2Rel	corticalSize	distanceMin	direction_x	direction_y	direction_z	distanceToExtremity1	distanceToExtremity2	gravityCenter_x	gravityCenter_y	gravityCenter_z	corticalDotProduct	junctions	junctionDepthMin	junctionsSize	plisDePassage	plisDePassageDepthMax	Potential	Class	cycle
1.0	3989.71777344	1.0	0.0	379.483001709	1.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.000206200179832	0.0	1
1.0	6181.56982422	8.0	3.0	895.962158203	4.0	3.0	89.2464008331	0.0	0.0584566630423	0.987323105335	-0.147566571832	31.4052168828	1.48139847159	-37.9494018555	44.3488464355	-73.8936462402	0.899462188831	2.0	13.1400003433	28.779999733	0.0	14.8199996948	0.997018734704	1.0	1
1.0	5517.75048828	5.0	0.0	1021.4630127	3.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.000206200179832	1.0	1
1.0	8300.54394531	10.0	0.0	535.306030273	1.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.000206200179832	1.0	1
1.0	4802.79492188	6.0	0.0	1021.4630127	3.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.000206200179832	1.0	1
1.0	6807.44970703	7.0	4.0	1376.23303223	4.0	3.0	106.086399078	0.0	0.0584566630423	0.987323105335	-0.147566571832	31.4052168828	1.48139847159	-37.9494018555	44.3488464355	-73.8936462402	0.899462188831	2.0	9.73999977112	23.5200004578	1.0	9.73999977112	0.985276775135	1.0	1
1.0	6461.48730469	8.0	2.0	996.75	3.0	2.0	25.9463996887	0.0	0.0584566630423	0.987323105335	-0.147566571832	35.1422363538	1.48139847159	-37.9494018555	44.3488464355	-73.8936462402	0.899462188831	2.0	9.73999977112	23.5200004578	1.0	9.73999977112	0.978991788669	1.0	1
1.0	3225.61108398	6.0	0.0	106.674003601	1.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.000206200179832	1.0	1
1.0	8212.54589844	6.0	3.0	1455.31274414	6.0	5.0	113.126400232	0.0	0.0584566630423	0.987323105335	-0.147566571832	31.4052168828	1.48139847159	-37.9494018555	44.3488464355	-73.8936462402	0.899462188831	2.0	9.73999977112	23.5200004578	1.0	9.73999977112	0.996368491966	1.0	1
1.0	3824.72802734	1.0	1.0	281.317993164	1.0	1.0	26.4599990845	1.9125323349	0.205915302038	-0.812262415886	-0.545736849308	24.2975172584	0.0	-27.4598007202	42.3838500977	-71.5901031494	0.44205571719	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
