valid	volumeS1	connectedComponentsS1	connectedComponentsS1Rel	volumeS2	connectedComponentsS2	connectedComponentsS2Rel	corticalSize	distanceMin	direction_x	direction_y	direction_z	distanceToExtremity1	distanceToExtremity2	gravityCenter_x	gravityCenter_y	gravityCenter_z	corticalDotProduct	junctions	junctionDepthMin	junctionsSize	plisDePassage	plisDePassageDepthMax	Potential	Class	cycle
1.0	1089.63818359	2.0	2.0	2063.14135742	2.0	1.0	34.6600003242	3.34656541605	-0.300718039274	0.302683293819	0.90440672636	32.9932851185	13.6853352342	-3.15782499313	-4.38972997665	-26.9464492798	0.88425086112	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	4729.09472656	13.0	9.0	7973.05126953	10.0	6.0	137.809600353	0.0	0.99789005518	-0.0560484565794	-0.0327716879547	40.3932370178	4.31520492434	1.07602548599	30.7394485474	-12.0576496124	0.755633118635	7.0	4.0	59.1199994087	3.0	17.4599990845	0.964417695935	1.0	1
1.0	1498.31323242	6.0	3.0	667.350402832	4.0	3.0	19.9096002579	0.0	0.997890114784	-0.0560482293367	-0.0327709876001	1.77428821523	21.1236320136	-4.85496520996	-14.6184501648	-14.1339492798	0.176117303822	2.0	8.60000038147	9.51999974251	2.0	17.4599990845	0.920455157194	1.0	1
1.0	3872.39892578	12.0	8.0	7436.89501953	11.0	8.0	191.57999897	0.0	-0.997891187668	0.056052133441	0.0327320471406	23.1559196379	30.5291897463	-11.5839996338	42.8251495361	-2.82609987259	0.188016321569	9.0	0.920000016689	73.0599985123	3.0	15.3199996948	0.989309069438	1.0	1
1.0	2029.2947998	5.0	3.0	1491.86401367	4.0	4.0	87.2599999905	0.0	-0.997890114784	0.0560482293367	0.0327709876001	2.45853974866	21.2741888596	-4.85496520996	-14.6184501648	-14.1339492798	0.176117303822	4.0	8.60000038147	36.7599992752	1.0	17.4599990845	0.654533895818	1.0	1
1.0	4104.56298828	10.0	5.0	1266.14453125	5.0	5.0	133.979999542	0.0	0.0584590658545	0.987306952477	-0.147673800588	35.3616166545	27.1181621352	-6.09698009491	-9.04066085815	-17.9001998901	0.855609087739	3.0	9.30000019073	31.5799999237	0.0	18.1399993896	0.966164892433	1.0	1
1.0	1635.09521484	6.0	5.0	2219.97436523	4.0	4.0	96.2999992371	0.0	-0.997896671295	0.0559485964477	0.0327411815524	25.9106481622	12.3219663972	-1.44712758064	34.396900177	-6.49813508987	0.693821320734	1.0	4.0	4.09999990463	0.0	4.0	0.603742336322	1.0	1
1.0	2911.35498047	12.0	7.0	1789.0546875	5.0	5.0	104.280001163	0.0	0.99789005518	-0.0560484565794	-0.0327716879547	28.5438162936	25.2107433207	1.07602548599	30.7394485474	-12.0576496124	0.755633118635	6.0	5.21999979019	54.199999094	1.0	5.21999979019	0.986108341684	1.0	1
1.0	587.128967285	4.0	1.0	66.2846984863	1.0	1.0	20.8600006104	0.0	0.0584496483207	0.987323284149	-0.147568106651	32.6235490641	1.7743887929	-5.52702522278	-2.83208990097	-12.8428497314	0.553917521561	1.0	5.21999979019	4.96000003815	1.0	5.21999979019	0.654534042656	1.0	1
1.0	710.586791992	4.0	4.0	4480.49316406	1.0	1.0	97.4199991226	3.17379897823	0.215599015355	-0.926602125168	0.308099925518	2.23657332086	11.9504041463	-4.13329982758	45.8477020264	-0.902132511139	0.89509459327	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	5195.74169922	4.0	3.0	7898.97363281	10.0	5.0	167.699997425	0.0	0.10500690341	0.992559492588	0.061637558043	44.5117438858	13.6079639701	-1.67753005028	-27.0091495514	-27.1963996887	0.954057022108	5.0	1.05999994278	26.5399998426	2.0	8.52000045776	0.995770659932	1.0	1
1.0	4491.19335938	8.0	7.0	10376.1738281	6.0	2.0	205.419999123	0.0	0.10499676317	0.99256080389	0.0616335980594	2.71365773692	2.25887311686	-4.77110958099	63.8573989868	-21.6973991394	0.29867457603	7.0	2.88000011444	49.1199998856	3.0	13.0600004196	0.997976418158	1.0	1
1.0	4714.36474609	10.0	9.0	12263.1210938	6.0	2.0	249.299998164	0.0	0.10499676317	0.99256080389	0.0616335980594	2.71365773692	2.25887311686	-4.77110958099	63.8573989868	-21.6973991394	0.29867457603	15.0	2.88000011444	124.562799353	6.0	13.0600004196	0.999140566982	1.0	1
1.0	881.382080078	3.0	3.0	4859.97412109	2.0	2.0	68.1800012589	0.0	-0.995600283146	0.0935386642814	-0.00552670052275	16.7181611345	17.617816605	-2.02419996262	55.4481506348	-7.5886297226	0.735592511098	1.0	3.94000005722	4.21999979019	1.0	3.94000005722	0.691247990203	1.0	1
1.0	5878.08691406	4.0	4.0	3847.91967773	4.0	4.0	160.01999855	0.0	0.10499676317	0.99256080389	0.0616335980594	2.71365773692	2.25887311686	-4.77110958099	63.8573989868	-21.6973991394	0.29867457603	8.0	1.05999994278	53.9799995609	3.0	9.72000026703	0.99762997838	1.0	1
1.0	3444.52490234	5.0	2.0	1781.74084473	4.0	3.0	11.3599996567	0.0	-0.104992598295	-0.992561101913	-0.0616361163557	33.3392293461	4.61801265803	-4.11752510071	-9.46395015717	-13.3892002106	0.464155765517	7.0	6.55999994278	114.739999771	2.0	19.1000003815	0.994710957645	1.0	1
